DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0,000	11,1194	4,0990	2,7908	2,2759e+00	0,1297	0,014	1456,69	78,085	8,3675	163,732019	5,8551	-0,000
1,000	11,0970	4,3355	2,9771	1,6949e+00	0,1298	0,015	1456,91	79,200	8,4787	163,732124	5,9329	1,010
2,000	11,0488	4,8715	3,3988	1,5681e+00	0,1298	0,015	1457,39	78,945	8,4320	163,732142	5,9002	2,019
3,000	10,8913	7,2737	5,2809	1,2598e+00	0,1298	0,015	1459,71	79,221	8,3639	163,732163	5,8526	3,028
4,000	10,7585	12,1426	9,0717	1,2732e+00	0,1297	0,015	1465,09	79,201	8,1327	163,732183	5,6908	4,038
5,000	10,6922	17,2721	13,0559	8,9282e-01	0,1298	0,015	1471,03	78,665	7,8298	163,732202	5,4788	5,047
6,000	10,7354	22,9768	17,4742	6,9158e-01	0,1296	0,015	1478,05	77,966	7,4767	163,732219	5,2317	6,057
7,000	10,2971	25,7322	19,6815	4,9109e-01	0,1297	0,015	1479,79	77,913	7,4125	163,732237	5,1868	7,066
8,000	10,2703	26,6632	20,4095	4,7262e-01	0,1294	0,015	1480,83	77,501	7,3341	163,732254	5,1320	8,076
9,000	10,2642	27,1839	20,8157	4,7857e-01	0,1296	0,015	1481,45	76,591	7,2247	163,732271	5,0554	9,086
10,000	9,8276	27,8066	21,3684	4,1512e-01	0,1298	0,017	1480,62	75,130	7,1270	163,732288	4,9870	10,095
11,000	9,5184	28,2700	21,7767	3,6560e-01	0,1298	0,016	1480,06	74,851	7,1282	163,732305	4,9879	11,105
12,000	9,2243	28,6035	22,0813	3,3809e-01	0,1298	0,016	1479,39	74,678	7,1431	163,732322	4,9983	12,114
13,000	9,1414	28,8724	22,3035	3,2886e-01	0,1298	0,016	1479,43	74,254	7,1033	163,732338	4,9705	13,124
14,000	8,7103	28,9987	22,4654	3,2116e-01	0,1297	0,016	1477,98	73,755	7,1183	163,732355	4,9810	14,133
15,000	8,6491	29,1800	22,6159	3,0552e-01	0,1298	0,016	1477,99	73,138	7,0603	163,732372	4,9404	15,143
16,000	9,0130	29,4408	22,7666	3,0627e-01	0,1297	0,016	1479,69	71,878	6,8707	163,732389	4,8077	16,152
17,000	8,8805	29,7326	23,0142	2,9452e-01	0,1297	0,016	1479,57	71,040	6,7979	163,732406	4,7568	17,162
18,000	8,4442	30,3007	23,5226	2,8160e-01	0,1296	0,015	1478,64	71,021	6,8378	163,732423	4,7847	18,172
19,000	7,6128	30,7708	24,0072	2,5843e-01	0,1296	0,015	1476,06	70,568	6,9025	163,732440	4,8300	19,181
20,000	7,1102	31,1034	24,3363	2,1668e-01	0,1292	0,015	1474,55	68,953	6,8080	163,732457	4,7638	20,191
21,000	7,0668	31,1862	24,4072	2,0445e-01	0,1292	0,015	1474,50	67,440	6,6616	163,732474	4,6614	21,200
22,000	6,9865	31,3227	24,5250	2,2278e-01	0,1296	0,016	1474,37	64,845	6,4114	163,732491	4,4863	22,210
23,000	6,9265	31,4705	24,6492	1,9663e-01	0,1297	0,018	1474,34	62,931	6,2247	163,732508	4,3556	23,220
24,000	6,8368	31,6669	24,8154	1,9602e-01	0,1296	0,017	1474,25	61,916	6,1291	163,732526	4,2888	24,229
25,000	6,7465	31,8912	25,0037	1,8811e-01	0,1297	0,017	1474,19	61,295	6,0713	163,732543	4,2484	25,239
26,000	6,6777	32,0544	25,1412	1,8320e-01	0,1295	0,017	1474,14	60,651	6,0107	163,732561	4,2059	26,248
27,000	6,6285	32,1615	25,2319	1,7844e-01	0,1297	0,017	1474,10	60,312	5,9797	163,732579	4,1842	27,258
28,000	6,5983	32,3060	25,3496	1,7235e-01	0,1298	0,018	1474,18	59,417	5,8894	163,732596	4,1211	28,268
29,000	6,5597	32,6809	25,6501	1,7129e-01	0,1295	0,018	1474,51	58,403	5,7798	163,732612	4,0444	29,277
30,000	6,5855	32,9044	25,8230	1,7059e-01	0,1296	0,018	1474,91	57,853	5,7136	163,732629	3,9980	30,287
31,000	6,6539	33,0233	25,9078	1,7022e-01	0,1298	0,018	1475,35	57,762	5,6910	163,732646	3,9823	31,296
32,000	6,7376	33,1267	25,9782	1,6815e-01	0,1296	0,018	1475,82	58,795	5,7777	163,732663	4,0429	32,306
33,000	6,7568	33,1472	25,9919	1,6732e-01	0,1297	0,018	1475,94	60,187	5,9110	163,732680	4,1362	33,316
34,000	6,7926	33,1803	26,0133	1,6788e-01	0,1297	0,018	1476,13	60,388	5,9246	163,732697	4,1457	34,325
35,000	6,8247	33,2033	26,0271	1,6745e-01	0,1298	0,018	1476,31	59,648	5,8468	163,732715	4,0912	35,335
36,000	6,8868	33,2440	26,0509	1,6687e-01	0,1295	0,018	1476,62	59,269	5,7998	163,732732	4,0583	36,345
37,000	6,9744	33,2906	26,0758	1,6698e-01	0,1296	0,018	1477,03	58,991	5,7592	163,732749	4,0299	37,354
38,000	7,0237	33,3211	26,0931	1,6755e-01	0,1296	0,018	1477,28	58,705	5,7237	163,732767	4,0051	38,364
39,000	7,0296	33,3364	26,1043	1,6789e-01	0,1296	0,018	1477,34	57,861	5,6400	163,732784	3,9465	39,374
40,000	7,0735	33,3643	26,1204	1,6584e-01	0,1295	0,018	1477,56	56,198	5,4714	163,732802	3,8286	40,383
41,000	7,1341	33,3896	26,1320	1,6756e-01	0,1295	0,018	1477,84	55,142	5,3602	163,732819	3,7508	41,393
42,000	7,1761	33,4079	26,1407	1,6589e-01	0,1294	0,018	1478,04	55,115	5,3518	163,732836	3,7449	42,403
43,000	7,2233	33,4297	26,1513	1,6959e-01	0,1294	0,018	1478,27	54,747	5,3096	163,732853	3,7153	43,412
44,000	7,2745	33,4512	26,1611	1,6417e-01	0,1293	0,018	1478,51	53,736	5,2047	163,732870	3,6419	44,422
45,000	7,3216	33,4729	26,1716	1,6448e-01	0,1294	0,018	1478,74	52,865	5,1141	163,732887	3,5785	45,432
46,000	7,3580	33,4893	26,1794	1,6466e-01	0,1294	0,018	1478,91	51,896	5,0157	163,732904	3,5097	46,442
47,000	7,3863	33,5010	26,1847	1,6930e-01	0,1294	0,018	1479,05	50,567	4,8837	163,732921	3,4173	47,451
48,000	7,4186	33,5165	26,1923	1,6919e-01	0,1292	0,018	1479,21	49,419	4,7688	163,732939	3,3369	48,461
49,000	7,4503	33,5328	26,2007	1,6640e-01	0,1292	0,018	1479,37	48,585	4,6845	163,732955	3,2779	49,471
50,000	7,5055	33,5576	26,2124	1,6746e-01	0,1292	0,018	1479,63	47,873	4,6092	163,732972	3,2253	50,480
51,000	7,5526	33,5791	26,2226	1,6823e-01	0,1291	0,018	1479,85	47,311	4,5496	163,732989	3,1835	51,490
52,000	7,5788	33,5922	26,2292	1,6570e-01	0,1292	0,018	1479,99	46,703	4,4881	163,733006	3,1405	52,500
53,000	7,5807	33,5966	26,2324	1,6378e-01	0,1292	0,018	1480,02	45,719	4,3932	163,733023	3,0741	53,510
54,000	7,5707	33,6011	26,2373	1,6957e-01	0,1291	0,018	1480,00	45,220	4,3461	163,733040	3,0411	54,519
55,000	7,5651	33,6067	26,2426	1,7130e-01	0,1291	0,018	1480,00	45,464	4,3699	163,733058	3,0578	55,529
56,000	7,5704	33,6180	26,2507	1,7060e-01	0,1292	0,018	1480,05	45,053	4,3296	163,733075	3,0296	56,539
57,000	7,5712	33,6291	26,2593	1,7094e-01	0,1291	0,018	1480,09	43,538	4,1836	163,733092	2,9274	57,549
58,000	7,5678	33,6329	26,2628	1,7094e-01	0,1289	0,018	1480,09	41,979	4,0341	163,733109	2,8228	58,558
59,000	7,5532	33,6413	26,2715	1,7127e-01	0,1290	0,018	1480,07	40,704	3,9126	163,733126	2,7378	59,568
60,000	7,5556	33,6496	26,2776	1,7237e-01	0,1291	0,018	1480,10	39,725	3,8181	163,733143	2,6716	60,578
61,000	7,5482	33,6547	26,2827	1,7717e-01	0,1291	0,018	1480,10	39,083	3,7569	163,733160	2,6288	61,588
62,000	7,5348	33,6610	26,2896	1,8252e-01	0,1291	0,018	1480,07	38,304	3,6829	163,733177	2,5771	62,598
