DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0,000	14,1950	20,1918	14,7411	2,5563e+00	0,1300	0,010	1486,81	65,809	5,9626	163,400291	4,1723	-0,000
1,000	14,2122	20,2256	14,7638	2,3598e+00	0,1305	0,013	1486,92	76,484	6,9257	163,400400	4,8462	1,010
2,000	14,2137	20,2347	14,7706	2,3688e+00	0,1308	0,014	1486,96	77,196	6,9896	163,400421	4,8909	2,019
3,000	14,2069	20,3339	14,8480	2,3725e+00	0,1309	0,014	1487,06	78,306	7,0867	163,400444	4,9589	3,028
4,000	14,1882	20,5023	14,9809	2,2593e+00	0,1309	0,015	1487,21	78,912	7,1369	163,400466	4,9940	4,038
5,000	14,1716	20,6447	15,0933	2,2769e+00	0,1310	0,015	1487,34	79,106	7,1506	163,400485	5,0036	5,048
6,000	14,1491	20,7774	15,1994	2,4510e+00	0,1310	0,015	1487,44	79,196	7,1563	163,400505	5,0075	6,057
7,000	14,0642	21,1971	15,5376	2,1784e+00	0,1310	0,015	1487,65	79,079	7,1398	163,400526	4,9960	7,067
8,000	14,0228	21,3747	15,6817	2,2120e+00	0,1310	0,014	1487,74	78,631	7,0977	163,400545	4,9666	8,076
9,000	13,9080	21,7575	15,9972	2,0507e+00	0,1307	0,013	1487,81	77,800	7,0229	163,400564	4,9142	9,086
10,000	13,6964	22,5061	16,6121	1,9032e+00	0,1307	0,014	1487,99	77,872	7,0279	163,400585	4,9177	10,095
11,000	13,5278	22,9763	17,0049	1,7262e+00	0,1308	0,015	1487,98	77,952	7,0395	163,400604	4,9258	11,105
12,000	13,4135	23,2986	17,2739	1,8503e+00	0,1309	0,015	1487,99	77,800	7,0285	163,400623	4,9181	12,114
13,000	12,5897	25,4222	19,0605	1,3120e+00	0,1309	0,015	1487,68	77,503	7,0307	163,400644	4,9196	13,124
14,000	12,2521	26,3568	19,8428	9,5430e-01	0,1311	0,015	1487,63	77,389	7,0295	163,400663	4,9188	14,133
15,000	12,0012	26,9072	20,3128	8,2507e-01	0,1310	0,016	1487,42	76,424	6,9549	163,400683	4,8666	15,143
16,000	11,7222	27,3235	20,6837	6,9749e-01	0,1310	0,016	1486,96	75,255	6,8714	163,400704	4,8082	16,152
17,000	11,3753	27,8701	21,1671	4,3097e-01	0,1310	0,017	1486,41	75,410	6,9131	163,400724	4,8374	17,162
18,000	11,3149	27,9890	21,2696	4,1463e-01	0,1310	0,016	1486,35	74,907	6,8708	163,400743	4,8077	18,172
19,000	11,1157	28,3902	21,6147	3,7097e-01	0,1308	0,016	1486,14	73,684	6,7705	163,400766	4,7376	19,181
20,000	10,8002	28,9069	22,0691	3,0380e-01	0,1306	0,015	1485,65	72,935	6,7254	163,400786	4,7061	20,191
21,000	10,7041	29,0038	22,1604	3,1873e-01	0,1305	0,015	1485,44	72,518	6,6969	163,400806	4,6861	21,200
22,000	10,6538	29,0347	22,1928	3,0438e-01	0,1307	0,016	1485,31	71,467	6,6057	163,400828	4,6223	22,210
23,000	10,6025	29,0777	22,2347	2,8633e-01	0,1310	0,018	1485,20	71,117	6,5789	163,400849	4,6035	23,219
24,000	10,4194	29,2174	22,3733	2,8252e-01	0,1309	0,018	1484,72	71,290	6,6154	163,400869	4,6291	24,229
25,000	10,2000	29,4349	22,5782	2,5856e-01	0,1308	0,017	1484,21	71,156	6,6255	163,400891	4,6361	25,239
26,000	9,9583	29,6034	22,7482	2,4911e-01	0,1309	0,018	1483,55	70,799	6,6201	163,400912	4,6324	26,248
27,000	9,7417	29,8024	22,9377	2,4557e-01	0,1309	0,018	1483,01	70,395	6,6054	163,400932	4,6221	27,258
28,000	9,3214	30,1981	23,3117	2,3498e-01	0,1310	0,018	1481,96	69,968	6,6098	163,400955	4,6251	28,268
29,000	8,9682	30,5534	23,6432	2,2318e-01	0,1309	0,018	1481,10	69,201	6,5739	163,400976	4,6000	29,277
30,000	8,7017	30,8504	23,9154	2,2004e-01	0,1310	0,018	1480,49	68,087	6,4942	163,400997	4,5443	30,287
31,000	8,6627	31,0276	24,0598	2,1876e-01	0,1309	0,018	1480,58	67,045	6,3931	163,401020	4,4735	31,296
32,000	8,5496	31,2408	24,2435	2,1263e-01	0,1309	0,018	1480,43	65,963	6,2972	163,401042	4,4064	32,306
33,000	8,3720	31,4464	24,4306	2,0759e-01	0,1308	0,018	1480,03	65,676	6,2865	163,401064	4,3989	33,316
34,000	8,2029	31,6792	24,6377	1,9978e-01	0,1308	0,018	1479,69	65,732	6,3064	163,401084	4,4128	34,325
35,000	8,0018	31,9425	24,8731	1,9641e-01	0,1309	0,018	1479,27	65,380	6,2903	163,401106	4,4016	35,335
36,000	8,0293	32,0155	24,9265	1,9565e-01	0,1307	0,018	1479,48	64,514	6,2002	163,401127	4,3385	36,345
37,000	7,9042	32,1558	25,0545	1,9822e-01	0,1307	0,018	1479,20	64,267	6,1883	163,401147	4,3302	37,354
38,000	7,7590	32,3268	25,2094	1,9304e-01	0,1305	0,018	1478,87	64,137	6,1893	163,401168	4,3309	38,364
39,000	7,6923	32,5051	25,3589	1,8752e-01	0,1306	0,018	1478,85	64,432	6,2199	163,401188	4,3523	39,374
40,000	7,4843	32,9074	25,7042	1,8227e-01	0,1305	0,018	1478,57	63,807	6,1726	163,401207	4,3192	40,384
41,000	7,4063	33,0413	25,8204	1,8226e-01	0,1305	0,018	1478,46	63,568	6,1550	163,401226	4,3069	41,393
42,000	7,3330	33,1553	25,9202	1,7987e-01	0,1304	0,018	1478,33	63,464	6,1506	163,401246	4,3038	42,403
43,000	7,2986	33,2130	25,9704	1,7940e-01	0,1304	0,018	1478,29	63,305	6,1377	163,401265	4,2948	43,412
44,000	7,2971	33,2147	25,9719	1,7918e-01	0,1303	0,018	1478,30	62,946	6,1031	163,401284	4,2706	44,422
45,000	7,3031	33,2047	25,9632	1,7899e-01	0,1302	0,018	1478,33	62,624	6,0713	163,401305	4,2484	45,432
46,000	7,2831	33,2372	25,9915	1,8353e-01	0,1302	0,018	1478,31	61,992	6,0115	163,401390	4,2065	46,442
47,000	7,1991	33,3746	26,1113	1,7790e-01	0,1300	0,018	1478,17	61,960	6,0146	163,401457	4,2087	47,451
48,000	7,1774	33,4199	26,1499	2,0669e-01	0,1298	0,018	1478,16	60,985	5,9211	163,401608	4,1432	48,461
49,000	7,1331	33,5177	26,2329	1,8454e-01	0,1295	0,018	1478,13	60,220	5,8490	163,402005	4,0928	49,471
50,000	7,0835	33,6491	26,3432	1,7252e-01	0,1293	0,018	1478,12	59,817	5,8115	163,402273	4,0666	50,480
51,000	7,0835	33,6441	26,3393	1,8585e-01	0,1291	0,018	1478,13	59,386	5,7698	163,402341	4,0374	51,490
