DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0,000	12,5157	0,6236	-0,0746	5,2756e-01	0,1282	0,015	1457,73	82,295	8,7321	162,598574	6,1102	0,000
1,000	12,4834	0,6244	-0,0701	5,8242e-01	0,1288	0,016	1457,63	82,184	8,7267	162,598706	6,1064	1,009
2,000	12,4422	0,6261	-0,0637	6,1733e-01	0,1287	0,016	1457,49	82,466	8,7646	162,598735	6,1330	2,019
3,000	12,4009	0,6291	-0,0564	6,3154e-01	0,1286	0,015	1457,36	82,331	8,7583	162,598758	6,1285	3,028
4,000	12,3121	0,6386	-0,0383	6,3446e-01	0,1284	0,015	1457,05	82,284	8,7703	162,598783	6,1369	4,038
5,000	11,9699	0,7095	0,0572	5,9748e-01	0,1284	0,015	1455,87	82,029	8,8073	162,598806	6,1628	5,048
6,000	11,8715	0,8761	0,1984	5,9213e-01	0,1281	0,015	1455,72	82,200	8,8361	162,598825	6,1830	6,057
7,000	11,8468	2,0325	1,1009	7,3267e-01	0,1280	0,015	1457,05	81,768	8,7314	162,598846	6,1097	7,067
8,000	11,0053	7,3226	5,3055	7,8968e-01	0,1281	0,014	1460,29	80,862	8,5123	162,598865	5,9564	8,076
9,000	10,9941	14,2816	10,6973	9,5052e-01	0,1285	0,015	1468,62	81,531	8,2180	162,598882	5,7505	9,086
10,000	10,4270	20,8520	15,8706	5,3656e-01	0,1287	0,016	1474,43	80,683	7,8961	162,598902	5,5252	10,095
11,000	9,3372	24,4319	18,8106	3,6170e-01	0,1287	0,016	1474,71	79,135	7,7559	162,598921	5,4271	11,105
12,000	9,0887	25,1112	19,3750	3,9028e-01	0,1287	0,017	1474,62	75,743	7,4326	162,598939	5,2009	12,114
13,000	9,0096	25,2298	19,4785	3,6981e-01	0,1288	0,017	1474,48	70,318	6,9072	162,598958	4,8332	13,124
14,000	8,8424	25,5579	19,7578	3,6361e-01	0,1287	0,017	1474,26	67,204	6,6124	162,598977	4,6270	14,133
15,000	8,3287	26,5556	20,6073	2,6262e-01	0,1288	0,017	1473,54	65,817	6,5097	162,598994	4,5551	15,143
16,000	7,8454	27,2378	21,2053	2,4433e-01	0,1286	0,018	1472,54	64,986	6,4703	162,599012	4,5275	16,153
17,000	7,5325	27,6789	21,5916	2,3479e-01	0,1287	0,018	1471,88	63,419	6,3416	162,599030	4,4375	17,162
18,000	7,2051	28,2410	22,0742	2,2305e-01	0,1288	0,018	1471,32	61,714	6,1951	162,599051	4,3350	18,172
19,000	6,9064	28,5070	22,3202	2,1893e-01	0,1287	0,018	1470,49	59,768	6,0310	162,599072	4,2201	19,181
20,000	6,6832	28,7786	22,5610	2,1066e-01	0,1286	0,018	1469,96	58,148	5,8878	162,599093	4,1199	20,191
21,000	6,7931	29,0781	22,7833	2,1153e-01	0,1288	0,018	1470,79	56,573	5,7024	162,599113	3,9902	21,200
22,000	6,9309	29,4159	23,0320	2,0865e-01	0,1287	0,018	1471,77	55,198	5,5336	162,599134	3,8721	22,210
23,000	6,9976	29,6542	23,2111	2,0509e-01	0,1287	0,018	1472,35	53,945	5,3912	162,599155	3,7724	23,219
24,000	7,0407	29,7872	23,3102	2,0495e-01	0,1286	0,018	1472,70	53,291	5,3158	162,599174	3,7197	24,229
25,000	7,0556	29,9377	23,4267	2,0507e-01	0,1286	0,018	1472,96	52,664	5,2463	162,599195	3,6710	25,239
26,000	7,0308	30,1096	23,5650	2,0376e-01	0,1286	0,018	1473,09	52,016	5,1788	162,599216	3,6239	26,248
27,000	6,9924	30,2402	23,6726	2,0150e-01	0,1284	0,018	1473,12	51,220	5,0997	162,599236	3,5685	27,258
28,000	6,9599	30,3597	23,7708	2,0093e-01	0,1284	0,018	1473,16	50,592	5,0371	162,599258	3,5247	28,268
29,000	6,9546	30,4261	23,8237	2,0292e-01	0,1283	0,018	1473,24	51,043	5,0804	162,599279	3,5549	29,277
30,000	6,9503	30,4830	23,8690	2,0060e-01	0,1282	0,018	1473,31	50,849	5,0596	162,599299	3,5404	30,287
31,000	6,9133	30,5842	23,9534	2,0121e-01	0,1281	0,018	1473,31	50,468	5,0227	162,599321	3,5146	31,296
32,000	6,9094	30,6889	24,0362	2,0010e-01	0,1281	0,018	1473,44	49,419	4,9154	162,599342	3,4395	32,306
33,000	6,9183	30,7811	24,1076	2,0328e-01	0,1282	0,018	1473,61	48,791	4,8489	162,599362	3,3930	33,316
34,000	6,9270	30,8275	24,1431	2,0295e-01	0,1280	0,018	1473,72	49,200	4,8872	162,599384	3,4197	34,325
35,000	6,9591	30,8988	24,1950	2,0543e-01	0,1279	0,018	1473,95	49,189	4,8802	162,599404	3,4148	35,335
36,000	6,9965	30,9511	24,2314	2,0642e-01	0,1280	0,018	1474,18	48,912	4,8467	162,599423	3,3915	36,345
37,000	7,0252	30,9866	24,2555	2,0702e-01	0,1278	0,018	1474,35	48,096	4,7616	162,599445	3,3319	37,354
38,000	7,0526	31,0234	24,2809	2,0641e-01	0,1281	0,018	1474,52	47,173	4,6661	162,599465	3,2651	38,364
39,000	7,1000	31,0644	24,3070	2,0698e-01	0,1278	0,018	1474,77	46,617	4,6049	162,599486	3,2222	39,374
40,000	7,1760	31,1141	24,3361	2,1134e-01	0,1279	0,018	1475,15	46,034	4,5378	162,599506	3,1753	40,383
41,000	7,1864	31,1340	24,3504	2,0936e-01	0,1279	0,018	1475,23	45,453	4,4789	162,599526	3,1341	41,393
42,000	7,2002	31,1726	24,3789	2,1019e-01	0,1279	0,018	1475,35	43,695	4,3033	162,599546	3,0112	42,403
43,000	7,1934	31,1946	24,3971	2,0697e-01	0,1278	0,018	1475,36	42,098	4,1460	162,599567	2,9012	43,412
44,000	7,2071	31,2141	24,4106	2,0728e-01	0,1279	0,018	1475,46	42,108	4,1452	162,599587	2,9006	44,422
45,000	7,2145	31,2138	24,4094	2,0728e-01	0,1278	0,018	1475,50	42,867	4,2191	162,599607	2,9523	45,432
46,000	7,2445	31,2311	24,4190	2,0702e-01	0,1277	0,018	1475,66	44,425	4,3690	162,599628	3,0572	46,442
47,000	7,2652	31,2452	24,4273	2,0757e-01	0,1277	0,018	1475,77	44,936	4,4167	162,599648	3,0905	47,451
48,000	7,3095	31,2694	24,4404	2,0821e-01	0,1278	0,018	1475,99	44,731	4,3914	162,599667	3,0729	48,461
49,000	7,3893	31,3004	24,4541	2,1171e-01	0,1277	0,018	1476,36	44,074	4,3181	162,599687	3,0215	49,471
50,000	7,4625	31,3317	24,4688	2,1429e-01	0,1278	0,018	1476,69	42,865	4,1918	162,599708	2,9332	50,480
51,000	7,4399	31,3453	24,4825	2,1242e-01	0,1277	0,018	1476,64	41,312	4,0416	162,599728	2,8281	51,490
52,000	7,4563	31,3632	24,4944	2,1021e-01	0,1276	0,018	1476,74	39,283	3,8413	162,599747	2,6879	52,500
53,000	7,4767	31,3779	24,5032	2,0904e-01	0,1277	0,018	1476,86	38,429	3,7556	162,599768	2,6279	53,510
54,000	7,4839	31,3894	24,5112	2,1012e-01	0,1276	0,018	1476,91	39,324	3,8421	162,599788	2,6885	54,519
55,000	7,5030	31,4020	24,5185	2,1143e-01	0,1277	0,018	1477,02	39,618	3,8689	162,599808	2,7072	55,529
56,000	7,5193	31,4134	24,5253	2,0840e-01	0,1278	0,018	1477,11	39,679	3,8731	162,599829	2,7102	56,539
57,000	7,5283	31,4265	24,5343	2,0816e-01	0,1276	0,018	1477,18	39,644	3,8686	162,599849	2,7070	57,549
58,000	7,5328	31,4370	24,5419	2,0815e-01	0,1276	0,018	1477,23	39,637	3,8672	162,599869	2,7061	58,558
59,000	7,5375	31,4463	24,5486	2,0786e-01	0,1275	0,018	1477,28	39,695	3,8723	162,599889	2,7096	59,568
60,000	7,5395	31,4532	24,5538	2,0846e-01	0,1276	0,018	1477,31	39,725	3,8748	162,599909	2,7114	60,578
61,000	7,5495	31,4592	24,5571	2,1031e-01	0,1275	0,018	1477,37	39,551	3,8568	162,599928	2,6987	61,588
62,000	7,5763	31,4676	24,5600	2,0904e-01	0,1275	0,018	1477,50	39,448	3,8442	162,599948	2,6899	62,598
63,000	7,5853	31,4709	24,5614	2,1018e-01	0,1276	0,018	1477,56	39,414	3,8399	162,599968	2,6870	63,607
64,000	7,5843	31,4761	24,5656	2,1153e-01	0,1276	0,018	1477,58	39,139	3,8132	162,599989	2,6683	64,617
65,000	7,5930	31,4860	24,5721	2,1064e-01	0,1275	0,018	1477,64	38,815	3,7806	162,600009	2,6454	65,627
66,000	7,5607	31,4844	24,5753	2,0927e-01	0,1274	0,018	1477,53	38,923	3,7939	162,600029	2,6548	66,637
67,000	7,5399	31,4872	24,5804	2,0852e-01	0,1275	0,018	1477,47	38,785	3,7822	162,600049	2,6465	67,647
68,000	7,5283	31,4861	24,5812	2,0940e-01	0,1276	0,018	1477,44	38,554	3,7607	162,600067	2,6315	68,656
69,000	7,5131	31,4863	24,5833	2,0816e-01	0,1275	0,018	1477,40	39,011	3,8066	162,600087	2,6636	69,666
70,000	7,4900	31,4877	24,5876	2,0814e-01	0,1274	0,018	1477,32	39,509	3,8572	162,600108	2,6991	70,676
71,000	7,4674	31,4866	24,5898	2,0757e-01	0,1276	0,018	1477,25	39,865	3,8940	162,600127	2,7248	71,686
72,000	7,4612	31,4858	24,5901	2,0729e-01	0,1275	0,018	1477,24	40,199	3,9272	162,600147	2,7480	72,696
73,000	7,4557	31,4850	24,5902	2,0787e-01	0,1275	0,018	1477,24	40,649	3,9717	162,600167	2,7792	73,706
74,000	7,4534	31,4861	24,5914	2,0697e-01	0,1274	0,018	1477,25	41,073	4,0133	162,600187	2,8083	74,715
75,000	7,4647	31,4893	24,5924	2,0697e-01	0,1274	0,018	1477,31	41,252	4,0297	162,600206	2,8197	75,725
76,000	7,4434	31,4888	24,5948	2,0727e-01	0,1275	0,018	1477,25	41,399	4,0460	162,600226	2,8311	76,735
77,000	7,4492	31,4944	24,5985	2,0696e-01	0,1275	0,018	1477,29	41,207	4,0266	162,600245	2,8176	77,745
78,000	7,4387	31,4942	24,5997	2,0757e-01	0,1275	0,018	1477,27	41,197	4,0266	162,600265	2,8176	78,755
79,000	7,4324	31,4948	24,6011	2,0697e-01	0,1275	0,018	1477,26	41,363	4,0434	162,600285	2,8293	79,765
80,000	7,4381	31,4986	24,6033	2,0756e-01	0,1274	0,018	1477,30	41,337	4,0402	162,600304	2,8271	80,775
81,000	7,4377	31,4993	24,6039	2,0757e-01	0,1274	0,018	1477,32	41,508	4,0569	162,600324	2,8388	81,785
82,000	7,4446	31,5022	24,6052	2,0757e-01	0,1274	0,018	1477,37	41,641	4,0692	162,600343	2,8474	82,794
83,000	7,4509	31,5043	24,6060	2,0757e-01	0,1275	0,018	1477,41	41,517	4,0564	162,600362	2,8384	83,804
84,000	7,4483	31,5064	24,6080	2,0757e-01	0,1273	0,018	1477,42	41,451	4,0501	162,600381	2,8341	84,814
85,000	7,4513	31,5098	24,6103	2,0693e-01	0,1274	0,018	1477,45	41,257	4,0309	162,600401	2,8206	85,824
