DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.106	12.0011	0.4620	-0.1395	6.3492e-01	0.1273	0.015	1455.61	84.174	9.0452	162.566944	6.3293	0.107
0.093	12.0026	0.4621	-0.1396	6.5934e-01	0.1273	0.015	1455.61	84.174	9.0448	162.566945	6.3290	0.094
0.106	12.0036	0.4623	-0.1395	6.8376e-01	0.1273	0.015	1455.62	84.174	9.0446	162.566945	6.3289	0.107
0.094	12.0035	0.4624	-0.1395	6.8376e-01	0.1273	0.015	1455.61	84.174	9.0446	162.566946	6.3289	0.095
0.119	12.0001	0.4625	-0.1390	6.7155e-01	0.1273	0.015	1455.60	84.174	9.0454	162.566946	6.3294	0.120
0.104	11.9963	0.4626	-0.1385	6.5934e-01	0.1273	0.015	1455.59	84.174	9.0461	162.566947	6.3299	0.105
0.119	11.9926	0.4624	-0.1382	6.3492e-01	0.1273	0.015	1455.57	84.174	9.0469	162.566947	6.3305	0.120
0.119	11.9873	0.4622	-0.1378	6.3492e-01	0.1273	0.015	1455.55	84.174	9.0480	162.566948	6.3313	0.120
0.119	11.9806	0.4620	-0.1371	6.3492e-01	0.1273	0.011	1455.53	84.174	9.0494	162.566948	6.3322	0.120
0.128	11.9837	0.4617	-0.1377	6.3492e-01	0.1273	0.011	1455.54	84.174	9.0488	162.566949	6.3318	0.130
0.119	11.9858	0.4615	-0.1381	6.4713e-01	0.1273	0.015	1455.55	84.174	9.0483	162.566949	6.3315	0.120
0.130	11.9855	0.4615	-0.1381	6.5934e-01	0.1273	0.015	1455.55	84.234	9.0549	162.566950	6.3361	0.131
0.128	11.9819	0.4616	-0.1376	6.8376e-01	0.1273	0.011	1455.53	84.240	9.0562	162.566950	6.3370	0.130
0.141	11.9814	0.4615	-0.1376	6.7155e-01	0.1273	0.011	1455.53	84.245	9.0569	162.566951	6.3375	0.143
0.141	11.9828	0.4614	-0.1379	6.4713e-01	0.1273	0.015	1455.54	84.250	9.0572	162.566951	6.3377	0.143
0.141	11.9830	0.4614	-0.1379	6.3492e-01	0.1273	0.015	1455.54	84.255	9.0577	162.566952	6.3380	0.143
0.153	11.9820	0.4612	-0.1379	6.3492e-01	0.1273	0.015	1455.53	84.260	9.0584	162.566952	6.3385	0.154
0.166	11.9812	0.4612	-0.1378	6.3492e-01	0.1273	0.015	1455.53	84.265	9.0591	162.566953	6.3390	0.167
0.166	11.9816	0.4612	-0.1378	6.4713e-01	0.1273	0.015	1455.53	84.269	9.0594	162.566953	6.3393	0.167
