DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.183	11.8089	5.9761	4.1636	6.1050e-01	0.1298	0.015	1461.57	79.637	8.3024	164.626076	5.8095	0.184
0.171	11.8087	5.9812	4.1676	6.1050e-01	0.1298	0.011	1461.57	79.577	8.2959	164.626077	5.8050	0.173
0.183	11.8092	5.9720	4.1604	5.9829e-01	0.1298	0.011	1461.56	79.571	8.2957	164.626077	5.8048	0.184
0.181	11.8093	5.9758	4.1633	6.1050e-01	0.1298	0.011	1461.57	79.566	8.2949	164.626078	5.8043	0.183
0.183	11.8094	5.9818	4.1680	5.9829e-01	0.1298	0.011	1461.57	79.560	8.2940	164.626078	5.8037	0.184
0.171	11.8090	5.9763	4.1637	5.9829e-01	0.1298	0.011	1461.57	79.555	8.2939	164.626079	5.8036	0.173
0.171	11.8082	5.9823	4.1685	5.9829e-01	0.1298	0.015	1461.57	79.491	8.2870	164.626079	5.7987	0.173
0.181	11.8080	5.9879	4.1728	6.1050e-01	0.1298	0.011	1461.58	79.481	8.2857	164.626080	5.7978	0.183
0.183	11.8082	5.9839	4.1697	6.1050e-01	0.1285	0.011	1461.57	79.471	8.2848	164.626080	5.7972	0.184
0.171	11.8082	5.9909	4.1752	6.1050e-01	0.1298	0.015	1461.58	79.462	8.2835	164.626081	5.7963	0.173
0.183	11.8083	5.9941	4.1776	6.1050e-01	0.1298	0.011	1461.59	79.393	8.2762	164.626081	5.7912	0.184
0.158	11.8087	5.9910	4.1752	6.1050e-01	0.1298	0.011	1461.58	79.379	8.2748	164.626082	5.7902	0.160
0.160	11.8086	5.9978	4.1804	6.1050e-01	0.1298	0.015	1461.59	79.366	8.2731	164.626082	5.7890	0.162
0.171	11.8090	5.9983	4.1807	6.1050e-01	0.1298	0.011	1461.59	79.354	8.2717	164.626083	5.7880	0.173
0.171	11.8097	5.9965	4.1793	6.1050e-01	0.1298	0.015	1461.59	79.342	8.2705	164.626083	5.7872	0.173
0.170	11.8108	6.0034	4.1845	6.1050e-01	0.1298	0.011	1461.61	79.271	8.2625	164.626084	5.7816	0.171
0.160	11.8110	6.0027	4.1839	5.9829e-01	0.1298	0.011	1461.61	79.255	8.2608	164.626084	5.7804	0.162
0.147	11.8110	6.0003	4.1821	6.1050e-01	0.1298	0.015	1461.60	79.240	8.2594	164.626085	5.7794	0.148
0.147	11.8115	5.9749	4.1623	6.1050e-01	0.1298	0.015	1461.57	79.226	8.2592	164.626085	5.7793	0.148
0.158	11.8122	5.9907	4.1745	6.1050e-01	0.1298	0.011	1461.60	79.213	8.2569	164.626086	5.7777	0.160
0.136	11.8131	5.9976	4.1797	6.1050e-01	0.1298	0.015	1461.61	79.141	8.2488	164.626086	5.7721	0.137
0.136	11.8140	5.9974	4.1794	6.1050e-01	0.1298	0.011	1461.61	79.125	8.2470	164.626087	5.7707	0.137
0.123	11.8154	5.9904	4.1739	6.1050e-01	0.1298	0.011	1461.61	79.109	8.2454	164.626087	5.7697	0.124
0.123	11.8176	5.9905	4.1736	5.9829e-01	0.1298	0.015	1461.61	79.095	8.2436	164.626087	5.7684	0.124
0.111	11.8184	5.9935	4.1759	5.9829e-01	0.1298	0.011	1461.62	79.082	8.2419	164.626088	5.7672	0.113
0.123	11.8189	5.9848	4.1691	5.9829e-01	0.1298	0.011	1461.61	79.071	8.2411	164.626088	5.7666	0.124
0.074	11.8192	5.9877	4.1713	5.9829e-01	0.1298	0.015	1461.62	79.060	8.2397	164.626089	5.7657	0.075
0.136	11.8194	5.9918	4.1744	5.9829e-01	0.1298	0.011	1461.62	79.051	8.2386	164.626089	5.7649	0.137
0.111	11.8196	5.9862	4.1700	6.1050e-01	0.1298	0.011	1461.62	78.983	8.2317	164.626090	5.7601	0.113
0.111	11.8198	5.9821	4.1669	6.1050e-01	0.1298	0.015	1461.61	79.031	8.2369	164.626090	5.7637	0.113
0.099	11.8204	5.9822	4.1668	6.2271e-01	0.1285	0.011	1461.61	79.025	8.2362	164.626091	5.7632	0.099
0.100	11.8205	5.9859	4.1697	6.1050e-01	0.1298	0.011	1461.62	79.021	8.2356	164.626091	5.7628	0.101
0.111	11.8212	5.9539	4.1449	6.1050e-01	0.1298	0.015	1461.58	79.019	8.2368	164.626092	5.7637	0.113
0.111	11.8210	5.9700	4.1573	6.1050e-01	0.1298	0.011	1461.60	79.017	8.2359	164.626092	5.7630	0.113
0.110	11.8210	5.9804	4.1654	6.1050e-01	0.1298	0.015	1461.61	78.957	8.2291	164.626093	5.7582	0.111
0.111	11.8208	5.9859	4.1696	5.9829e-01	0.1298	0.015	1461.62	78.952	8.2283	164.626093	5.7577	0.113
0.100	11.8207	5.9799	4.1650	5.9829e-01	0.1285	0.011	1461.61	78.949	8.2283	164.626094	5.7577	0.101
0.123	11.8197	5.9733	4.1600	5.9829e-01	0.1298	0.015	1461.60	78.948	8.2287	164.626094	5.7579	0.124
0.110	11.8189	5.9757	4.1620	6.1050e-01	0.1298	0.015	1461.60	78.947	8.2287	164.626095	5.7579	0.111
0.111	11.8179	5.9673	4.1557	5.9829e-01	0.1298	0.011	1461.59	78.948	8.2294	164.626095	5.7585	0.113
0.123	11.8163	5.9622	4.1519	6.1050e-01	0.1298	0.015	1461.58	78.951	8.2303	164.626096	5.7591	0.124
0.123	11.8153	5.9644	4.1537	5.9829e-01	0.1285	0.015	1461.57	79.015	8.2370	164.626096	5.7638	0.124
0.123	11.8147	5.9575	4.1485	6.1050e-01	0.1298	0.011	1461.56	78.967	8.2324	164.626097	5.7606	0.124
0.123	11.8144	5.9568	4.1479	6.1050e-01	0.1298	0.015	1461.56	79.034	8.2395	164.626097	5.7655	0.124
0.136	11.8143	5.9617	4.1518	6.1050e-01	0.1285	0.011	1461.57	78.988	8.2345	164.626098	5.7620	0.137
0.136	11.8139	5.9579	4.1489	5.9829e-01	0.1285	0.011	1461.56	79.058	8.2420	164.626098	5.7673	0.137
0.145	11.8134	5.9602	4.1507	6.1050e-01	0.1285	0.015	1461.56	79.075	8.2438	164.626099	5.7685	0.147
0.147	11.8136	5.9663	4.1554	6.1050e-01	0.1298	0.011	1461.57	79.093	8.2453	164.626099	5.7696	0.148
0.147	11.8135	5.9629	4.1528	6.1050e-01	0.1298	0.011	1461.57	79.112	8.2475	164.626100	5.7711	0.148
0.147	11.8138	5.9631	4.1529	6.1050e-01	0.1298	0.015	1461.57	79.133	8.2496	164.626100	5.7726	0.148
0.158	11.8138	5.9650	4.1544	6.1050e-01	0.1298	0.011	1461.57	79.148	8.2511	164.626101	5.7737	0.160
0.160	11.8136	5.9580	4.1490	6.1050e-01	0.1298	0.015	1461.56	79.165	8.2533	164.626101	5.7751	0.162
0.171	11.8135	5.9591	4.1498	6.1050e-01	0.1298	0.015	1461.56	79.183	8.2551	164.626101	5.7764	0.173
0.160	11.8133	5.9599	4.1505	6.1050e-01	0.1298	0.011	1461.56	79.201	8.2570	164.626102	5.7778	0.162
0.170	11.8130	5.9536	4.1457	6.1050e-01	0.1285	0.011	1461.55	79.221	8.2594	164.626102	5.7795	0.171
0.183	11.8123	5.9566	4.1481	5.9829e-01	0.1298	0.015	1461.56	79.235	8.2609	164.626103	5.7805	0.184
0.183	11.8115	5.9580	4.1492	5.9829e-01	0.1298	0.011	1461.55	79.190	8.2563	164.626103	5.7773	0.184
0.196	11.8110	5.9525	4.1451	6.1050e-01	0.1298	0.011	1461.55	79.261	8.2640	164.626104	5.7827	0.197
0.194	11.8105	5.9539	4.1462	6.1050e-01	0.1298	0.015	1461.55	79.277	8.2658	164.626104	5.7839	0.196
0.196	11.8102	5.9510	4.1440	6.1050e-01	0.1298	0.011	1461.54	79.289	8.2672	164.626105	5.7849	0.197
0.196	11.8097	5.9458	4.1400	6.1050e-01	0.1298	0.015	1461.53	79.241	8.2625	164.626105	5.7816	0.197
0.207	11.8095	5.9485	4.1421	6.1050e-01	0.1298	0.011	1461.54	79.248	8.2631	164.626106	5.7821	0.209
0.205	11.8093	5.9445	4.1391	6.1050e-01	0.1285	0.011	1461.53	79.255	8.2642	164.626106	5.7828	0.207
0.196	11.8085	5.9421	4.1373	6.1050e-01	0.1298	0.015	1461.52	79.263	8.2653	164.626107	5.7836	0.197
0.218	11.8085	5.9472	4.1413	6.1050e-01	0.1298	0.011	1461.53	79.266	8.2653	164.626107	5.7836	0.220
0.207	11.8081	5.9458	4.1402	6.1050e-01	0.1285	0.011	1461.53	79.269	8.2658	164.626108	5.7839	0.209
0.205	11.8080	5.9470	4.1412	6.1050e-01	0.1298	0.011	1461.53	79.273	8.2661	164.626108	5.7842	0.207
0.218	11.8080	5.9507	4.1441	6.1050e-01	0.1298	0.015	1461.53	79.277	8.2664	164.626109	5.7843	0.220
0.207	11.8083	5.9443	4.1391	6.1050e-01	0.1298	0.015	1461.53	79.222	8.2609	164.626109	5.7805	0.209
0.207	11.8086	5.9460	4.1404	6.1050e-01	0.1298	0.015	1461.53	79.275	8.2663	164.626110	5.7843	0.209
0.205	11.8089	5.9470	4.1411	6.1050e-01	0.1298	0.011	1461.53	79.275	8.2662	164.626110	5.7842	0.207
0.207	11.8102	5.9406	4.1359	6.1050e-01	0.1298	0.011	1461.53	79.274	8.2662	164.626111	5.7842	0.209
0.207	11.8120	5.9447	4.1389	6.1050e-01	0.1298	0.015	1461.54	79.274	8.2657	164.626111	5.7838	0.209
0.196	11.8130	5.9459	4.1397	6.1050e-01	0.1298	0.011	1461.55	79.215	8.2592	164.626112	5.7793	0.197
0.205	11.8136	5.9423	4.1369	5.9829e-01	0.1285	0.011	1461.54	79.209	8.2587	164.626112	5.7790	0.207
0.196	11.8141	5.9491	4.1420	6.1050e-01	0.1298	0.015	1461.55	79.205	8.2578	164.626113	5.7783	0.197
0.196	11.8141	5.9514	4.1438	6.1050e-01	0.1298	0.011	1461.56	79.200	8.2572	164.626113	5.7779	0.197
0.183	11.8133	5.9469	4.1404	6.1050e-01	0.1298	0.015	1461.55	79.190	8.2565	164.626114	5.7774	0.184
0.194	11.8126	5.9482	4.1415	6.1050e-01	0.1298	0.015	1461.55	79.187	8.2563	164.626114	5.7772	0.196
0.196	11.8123	5.9398	4.1350	6.1050e-01	0.1298	0.011	1461.54	79.184	8.2565	164.626114	5.7774	0.197
0.183	11.8113	5.9341	4.1308	6.1050e-01	0.1298	0.015	1461.52	79.181	8.2567	164.626115	5.7775	0.184
0.171	11.8109	5.9336	4.1304	6.1050e-01	0.1298	0.011	1461.52	79.119	8.2503	164.626115	5.7731	0.173
0.170	11.8102	5.9236	4.1228	6.1050e-01	0.1285	0.011	1461.51	79.112	8.2502	164.626116	5.7730	0.171
0.171	11.8102	5.9261	4.1247	6.1050e-01	0.1298	0.015	1461.51	79.100	8.2487	164.626116	5.7720	0.173
0.171	11.8098	5.9247	4.1237	6.1050e-01	0.1298	0.011	1461.51	79.087	8.2476	164.626117	5.7712	0.173
0.160	11.8103	5.9165	4.1173	6.1050e-01	0.1298	0.011	1461.50	79.076	8.2467	164.626117	5.7706	0.162
0.170	11.8104	5.9230	4.1223	6.1050e-01	0.1298	0.015	1461.51	79.065	8.2452	164.626118	5.7695	0.171
0.160	11.8102	5.9241	4.1232	6.1050e-01	0.1298	0.011	1461.51	79.054	8.2441	164.626118	5.7687	0.162
0.171	11.8097	5.9208	4.1207	6.1050e-01	0.1298	0.015	1461.50	78.984	8.2370	164.626119	5.7638	0.173
0.145	11.8092	5.9301	4.1280	6.1050e-01	0.1285	0.015	1461.51	79.028	8.2413	164.626119	5.7668	0.147
0.147	11.8091	5.9317	4.1292	6.1050e-01	0.1285	0.011	1461.51	78.965	8.2347	164.626120	5.7621	0.148
0.160	11.8098	5.9292	4.1272	6.1050e-01	0.1298	0.015	1461.51	78.952	8.2332	164.626120	5.7611	0.162
0.160	11.8103	5.9354	4.1319	6.2271e-01	0.1298	0.015	1461.52	78.945	8.2321	164.626121	5.7603	0.162
0.158	11.8108	5.9305	4.1280	6.1050e-01	0.1298	0.011	1461.52	78.873	8.2247	164.626121	5.7552	0.160
0.136	11.8112	5.9284	4.1264	6.1050e-01	0.1298	0.015	1461.52	78.922	8.2299	164.626122	5.7588	0.137
0.160	11.8115	5.9337	4.1305	6.1050e-01	0.1285	0.011	1461.52	78.918	8.2291	164.626122	5.7583	0.162
0.160	11.8122	5.9287	4.1265	6.1050e-01	0.1298	0.011	1461.52	78.855	8.2227	164.626123	5.7538	0.162
0.170	11.8130	5.9290	4.1266	6.1050e-01	0.1298	0.015	1461.52	78.907	8.2280	164.626123	5.7575	0.171
0.147	11.8135	5.9364	4.1323	6.1050e-01	0.1298	0.011	1461.53	78.846	8.2212	164.626124	5.7527	0.148
0.147	11.8136	5.9337	4.1302	6.1050e-01	0.1298	0.011	1461.53	78.841	8.2207	164.626124	5.7524	0.148
0.160	11.8138	5.9318	4.1287	5.9829e-01	0.1298	0.015	1461.53	78.837	8.2204	164.626125	5.7521	0.162
0.145	11.8141	5.9304	4.1276	6.1050e-01	0.1298	0.015	1461.53	78.834	8.2201	164.626125	5.7519	0.147
0.147	11.8143	5.9189	4.1186	6.1050e-01	0.1285	0.015	1461.52	78.832	8.2204	164.626126	5.7522	0.148
0.160	11.8144	5.9180	4.1180	6.1050e-01	0.1298	0.015	1461.52	78.832	8.2204	164.626126	5.7522	0.162
0.147	11.8146	5.9152	4.1157	6.1050e-01	0.1285	0.011	1461.51	78.832	8.2206	164.626127	5.7523	0.148
0.145	11.8153	5.9094	4.1112	6.1050e-01	0.1298	0.015	1461.51	78.828	8.2203	164.626127	5.7521	0.147
0.147	11.8153	5.9120	4.1132	6.1050e-01	0.1298	0.015	1461.51	78.831	8.2205	164.626128	5.7522	0.148
0.136	11.8154	5.9089	4.1107	6.1050e-01	0.1298	0.011	1461.51	78.835	8.2211	164.626128	5.7526	0.137
0.147	11.8156	5.9071	4.1093	6.1050e-01	0.1298	0.011	1461.51	78.841	8.2217	164.626128	5.7531	0.148
0.145	11.8161	5.9099	4.1114	6.2271e-01	0.1298	0.015	1461.51	78.841	8.2215	164.626129	5.7529	0.147
0.147	11.8161	5.9079	4.1099	6.1050e-01	0.1298	0.011	1461.51	78.903	8.2280	164.626129	5.7575	0.148
0.160	11.8161	5.9075	4.1096	6.1050e-01	0.1298	0.015	1461.51	78.911	8.2289	164.626130	5.7581	0.161
0.136	11.8161	5.9096	4.1112	6.1050e-01	0.1298	0.011	1461.51	78.920	8.2297	164.626130	5.7587	0.137
0.145	11.8159	5.9083	4.1103	6.2271e-01	0.1298	0.011	1461.51	78.929	8.2308	164.626131	5.7595	0.147
0.160	11.8158	5.9086	4.1105	6.2271e-01	0.1298	0.015	1461.51	78.940	8.2320	164.626131	5.7602	0.161
0.160	11.8156	5.9097	4.1113	6.1050e-01	0.1298	0.011	1461.51	78.951	8.2331	164.626132	5.7610	0.161
0.147	11.8153	5.9097	4.1114	6.1050e-01	0.1285	0.011	1461.51	78.963	8.2344	164.626132	5.7619	0.148
0.158	11.8146	5.9103	4.1120	6.1050e-01	0.1298	0.015	1461.51	78.969	8.2352	164.626133	5.7625	0.160
0.160	11.8145	5.9108	4.1123	6.1050e-01	0.1285	0.011	1461.51	78.982	8.2365	164.626133	5.7634	0.161
0.147	11.8144	5.9114	4.1128	5.9829e-01	0.1298	0.011	1461.51	78.996	8.2379	164.626134	5.7644	0.148
0.171	11.8143	5.9116	4.1130	5.9829e-01	0.1298	0.015	1461.51	79.011	8.2395	164.626134	5.7655	0.173
0.145	11.8144	5.9117	4.1130	5.9829e-01	0.1285	0.011	1461.51	79.086	8.2473	164.626135	5.7710	0.147
0.160	11.8145	5.9124	4.1136	6.1050e-01	0.1298	0.011	1461.51	79.042	8.2426	164.626135	5.7677	0.161
0.160	11.8144	5.9125	4.1137	6.1050e-01	0.1298	0.015	1461.51	79.112	8.2500	164.626136	5.7728	0.161
0.171	11.8143	5.9135	4.1144	6.1050e-01	0.1285	0.011	1461.51	79.129	8.2517	164.626136	5.7740	0.173
0.158	11.8143	5.9156	4.1161	6.1050e-01	0.1298	0.015	1461.51	79.205	8.2595	164.626137	5.7795	0.160
0.171	11.8140	5.9157	4.1162	6.1050e-01	0.1298	0.011	1461.51	79.228	8.2619	164.626137	5.7812	0.173
0.171	11.8136	5.9171	4.1173	6.1050e-01	0.1298	0.011	1461.51	79.190	8.2580	164.626138	5.7785	0.173
0.160	11.8131	5.9177	4.1179	6.1050e-01	0.1298	0.015	1461.51	79.267	8.2661	164.626138	5.7841	0.161
0.170	11.8130	5.9174	4.1177	6.1050e-01	0.1298	0.015	1461.51	79.290	8.2685	164.626139	5.7858	0.171
0.171	11.8123	5.9183	4.1185	6.1050e-01	0.1285	0.011	1461.51	79.366	8.2766	164.626139	5.7915	0.173
0.160	11.8125	5.9185	4.1186	6.1050e-01	0.1298	0.015	1461.51	79.388	8.2788	164.626140	5.7930	0.161
0.171	11.8125	5.9182	4.1183	6.1050e-01	0.1298	0.015	1461.51	79.470	8.2874	164.626140	5.7990	0.173
0.170	11.8128	5.9187	4.1187	6.1050e-01	0.1298	0.011	1461.51	79.497	8.2901	164.626141	5.8009	0.171
0.160	11.8128	5.9190	4.1189	6.1050e-01	0.1298	0.015	1461.51	79.523	8.2927	164.626141	5.8028	0.161
0.171	11.8133	5.9187	4.1186	5.9829e-01	0.1285	0.011	1461.51	79.608	8.3016	164.626141	5.8089	0.173
0.160	11.8141	5.9186	4.1184	6.1050e-01	0.1298	0.011	1461.52	79.638	8.3046	164.626142	5.8110	0.161
0.158	11.8153	5.9186	4.1183	6.1050e-01	0.1298	0.015	1461.52	79.721	8.3130	164.626142	5.8169	0.160
0.171	11.8161	5.9187	4.1183	6.1050e-01	0.1285	0.011	1461.52	79.815	8.3226	164.626143	5.8237	0.173
0.171	11.8177	5.9182	4.1176	6.1050e-01	0.1298	0.011	1461.53	79.847	8.3257	164.626143	5.8258	0.173
0.134	11.8194	5.9182	4.1175	6.1050e-01	0.1298	0.015	1461.53	79.877	8.3285	164.626144	5.8278	0.135
0.196	11.8205	5.9183	4.1174	6.1050e-01	0.1298	0.011	1461.54	79.966	8.3375	164.626144	5.8341	0.197
0.160	11.8217	5.9176	4.1167	6.1050e-01	0.1298	0.011	1461.54	79.992	8.3401	164.626145	5.8359	0.161
0.160	11.8220	5.9178	4.1168	6.2271e-01	0.1298	0.015	1461.54	80.082	8.3494	164.626145	5.8424	0.161
0.145	11.8221	5.9164	4.1157	6.1050e-01	0.1285	0.011	1461.54	80.116	8.3530	164.626146	5.8449	0.147
0.171	11.8218	5.9142	4.1140	6.1050e-01	0.1298	0.015	1461.54	80.201	8.3621	164.626146	5.8513	0.173
0.147	11.8220	5.9151	4.1148	6.1050e-01	0.1298	0.011	1461.54	80.236	8.3656	164.626147	5.8538	0.148
0.147	11.8218	5.9116	4.1121	6.1050e-01	0.1285	0.011	1461.54	80.262	8.3686	164.626147	5.8558	0.148
0.145	11.8217	5.9093	4.1103	6.1050e-01	0.1298	0.015	1461.53	80.346	8.3774	164.626148	5.8620	0.147
0.147	11.8218	5.9112	4.1118	6.1050e-01	0.1298	0.011	1461.54	80.372	8.3801	164.626148	5.8639	0.148
