DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0,000	11,8164	5,8702	4,0807	6,0409e-01	0,1295	0,013	1461,46	79,203	8,2613	164,626112	5,7808	-0,000
1,000	11,8070	6,1759	4,3185	6,3517e-01	0,1297	0,014	1461,81	80,331	8,3645	164,626195	5,8530	1,010
2,000	11,8197	6,6437	4,6788	6,3883e-01	0,1300	0,015	1462,44	83,038	8,6186	164,626223	6,0308	2,019
3,000	11,8644	7,3750	5,2387	5,7921e-01	0,1300	0,015	1463,50	83,635	8,6321	164,626250	6,0402	3,028
4,000	11,9426	9,3423	6,7481	4,4926e-01	0,1300	0,016	1466,15	84,397	8,5895	164,626272	6,0104	4,038
5,000	12,4107	17,1393	12,6961	3,5682e-01	0,1301	0,016	1477,11	84,143	8,0731	164,626292	5,6491	5,047
6,000	12,8859	23,2180	17,3063	3,2198e-01	0,1301	0,016	1485,98	84,214	7,6972	164,626313	5,3861	6,057
7,000	12,9259	25,3380	18,9351	3,0110e-01	0,1300	0,016	1488,64	83,977	7,5679	164,626334	5,2956	7,067
8,000	12,6828	26,6727	20,0101	2,7411e-01	0,1301	0,017	1489,39	81,276	7,3010	164,626354	5,1088	8,076
9,000	12,3196	27,0701	20,3826	2,3769e-01	0,1303	0,017	1488,63	77,125	6,9640	164,626376	4,8730	9,086
10,000	11,7694	27,4463	20,7707	2,2212e-01	0,1301	0,017	1487,17	74,519	6,7920	164,626396	4,7527	10,095
11,000	11,2625	27,8736	21,1889	2,1448e-01	0,1299	0,015	1485,91	73,304	6,7363	164,626417	4,7136	11,105
12,000	11,1065	28,1646	21,4411	2,0858e-01	0,1299	0,015	1485,72	72,084	6,6342	164,626438	4,6422	12,114
13,000	11,0270	28,4193	21,6522	2,2106e-01	0,1299	0,016	1485,76	71,462	6,5777	164,626459	4,6027	13,124
14,000	11,0145	28,5912	21,7879	2,2773e-01	0,1300	0,016	1485,94	71,383	6,5650	164,626479	4,5938	14,133
15,000	10,7786	28,9768	22,1270	2,4006e-01	0,1300	0,016	1485,58	71,566	6,5994	164,626500	4,6179	15,143
16,000	10,7782	29,1778	22,2833	2,1821e-01	0,1300	0,016	1485,83	71,508	6,5856	164,626521	4,6082	16,152
17,000	10,5982	29,3277	22,4298	2,1625e-01	0,1300	0,016	1485,38	71,054	6,5632	164,626541	4,5926	17,162
18,000	10,4413	29,4701	22,5664	2,2225e-01	0,1300	0,016	1485,01	71,152	6,5888	164,626562	4,6104	18,172
19,000	10,2885	29,6576	22,7373	2,5068e-01	0,1300	0,016	1484,70	70,951	6,5843	164,626584	4,6073	19,181
20,000	10,4834	29,9636	22,9436	2,4351e-01	0,1299	0,016	1485,79	70,625	6,5135	164,626604	4,5577	20,191
21,000	10,4767	30,1428	23,0843	2,4262e-01	0,1298	0,015	1486,00	70,367	6,4831	164,626626	4,5365	21,200
22,000	10,4113	30,3376	23,2467	2,3870e-01	0,1297	0,015	1486,02	70,589	6,5048	164,626648	4,5517	22,210
23,000	10,2499	30,4383	23,3516	2,1165e-01	0,1296	0,014	1485,57	71,001	6,5617	164,626669	4,5915	23,219
24,000	9,5559	30,7180	23,6813	2,2267e-01	0,1296	0,015	1483,40	70,817	6,6331	164,626693	4,6415	24,229
25,000	9,6861	30,8718	23,7808	2,1895e-01	0,1298	0,017	1484,08	70,532	6,5810	164,626715	4,6050	25,239
26,000	9,6891	30,9809	23,8655	2,2082e-01	0,1298	0,017	1484,24	69,924	6,5193	164,626736	4,5618	26,248
27,000	9,6941	31,1105	23,9659	2,2124e-01	0,1299	0,017	1484,43	70,179	6,5368	164,626758	4,5741	27,258
28,000	9,6485	31,2340	24,0695	2,1148e-01	0,1299	0,017	1484,43	69,918	6,5140	164,626778	4,5581	28,267
29,000	9,3475	31,4580	24,2920	2,0838e-01	0,1298	0,017	1483,62	69,671	6,5248	164,626799	4,5656	29,277
30,000	9,1359	31,5171	24,3711	2,0165e-01	0,1298	0,018	1482,92	69,283	6,5164	164,626822	4,5598	30,287
31,000	8,5296	31,5474	24,4863	1,9634e-01	0,1299	0,018	1480,71	68,881	6,5657	164,626842	4,5943	31,296
32,000	8,3001	31,6486	24,5995	2,0012e-01	0,1298	0,018	1479,99	68,367	6,5461	164,626863	4,5806	32,306
33,000	8,1367	31,8182	24,7563	2,0025e-01	0,1299	0,018	1479,60	66,967	6,4286	164,626887	4,4984	33,316
34,000	8,1232	31,9305	24,8463	1,9657e-01	0,1299	0,018	1479,70	66,567	6,3875	164,626907	4,4696	34,325
35,000	8,0008	31,9688	24,8939	1,9513e-01	0,1298	0,018	1479,30	65,878	6,3373	164,626928	4,4345	35,335
36,000	7,6228	32,0967	25,0477	1,9146e-01	0,1298	0,018	1478,03	65,532	6,3531	164,626950	4,4455	36,345
37,000	7,3031	32,2503	25,2125	1,8415e-01	0,1299	0,018	1477,01	64,652	6,3074	164,626970	4,4135	37,354
38,000	7,0671	32,4585	25,4082	1,8393e-01	0,1298	0,018	1476,37	63,663	6,2360	164,626991	4,3636	38,364
39,000	6,7832	32,8694	25,7695	1,8114e-01	0,1298	0,018	1475,79	62,989	6,1938	164,627013	4,3340	39,374
40,000	6,6338	33,1626	26,0202	1,7689e-01	0,1297	0,018	1475,59	62,360	6,1413	164,627033	4,2973	40,383
