DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0,000	16,2797	8,5584	5,4538	7,4255e+00	0,1312	0,009	1480,33	70,869	6,6020	164,741314	4,6197	0,000
1,000	16,1043	8,6284	5,5392	7,6721e+00	0,1317	0,011	1479,84	75,196	7,0282	164,741395	4,9179	1,009
2,000	15,4688	10,5492	7,1213	5,0409e+00	0,1319	0,013	1479,95	83,372	7,8047	164,741424	5,4613	2,019
3,000	14,4800	12,9083	9,1013	2,6388e+00	0,1320	0,015	1479,35	87,123	8,2070	164,741449	5,7428	3,029
4,000	13,1901	15,4318	11,2555	1,4585e+00	0,1320	0,016	1477,84	88,176	8,4058	164,741470	5,8819	4,038
5,000	10,8954	19,5242	14,7720	8,5437e-01	0,1321	0,017	1474,47	82,678	8,0743	164,741489	5,6499	5,047
6,000	9,3645	21,6900	16,6700	6,1155e-01	0,1320	0,017	1471,39	73,634	7,3400	164,741508	5,1361	6,057
7,000	8,4900	22,7692	17,6259	5,8199e-01	0,1320	0,016	1469,38	64,661	6,5290	164,741526	4,5686	7,067
8,000	7,8131	23,7786	18,4996	5,6171e-01	0,1320	0,017	1468,01	56,333	5,7410	164,741547	4,0172	8,076
9,000	7,7902	24,2653	18,8835	5,1032e-01	0,1318	0,016	1468,53	52,248	5,3107	164,741568	3,7162	9,085
10,000	7,7298	24,7435	19,2655	4,7100e-01	0,1315	0,015	1468,91	50,016	5,0750	164,741587	3,5512	10,095
11,000	7,5335	25,3880	19,7946	5,1587e-01	0,1315	0,016	1468,95	48,793	4,9526	164,741607	3,4656	11,105
12,000	7,4251	26,0274	20,3094	5,1129e-01	0,1315	0,015	1469,33	49,638	5,0299	164,741628	3,5196	12,114
13,000	7,4814	26,5693	20,7275	5,5538e-01	0,1314	0,016	1470,24	50,849	5,1277	164,741648	3,5881	13,124
14,000	7,6926	27,0735	21,0961	6,3325e-01	0,1316	0,017	1471,71	50,628	5,0640	164,741668	3,5435	14,133
15,000	7,9388	27,5780	21,4597	6,1672e-01	0,1314	0,017	1473,30	49,580	4,9150	164,741689	3,4392	15,143
16,000	8,0928	27,8940	21,6867	6,5292e-01	0,1313	0,017	1474,30	47,874	4,7195	164,741709	3,3024	16,153
17,000	8,2446	28,3418	22,0168	6,5517e-01	0,1312	0,018	1475,45	44,401	4,3496	164,741729	3,0436	17,162
18,000	8,3833	28,7827	22,3428	7,1382e-01	0,1313	0,018	1476,54	40,838	3,9762	164,741750	2,7823	18,172
19,000	8,3903	29,2033	22,6711	7,6809e-01	0,1313	0,017	1477,10	38,811	3,7680	164,741770	2,6366	19,181
20,000	8,3041	29,8458	23,1865	8,5991e-01	0,1312	0,017	1477,58	36,616	3,5470	164,741791	2,4819	20,191
21,000	8,0646	30,7315	23,9144	7,7573e-01	0,1311	0,017	1477,78	33,362	3,2306	164,741813	2,2606	21,200
22,000	7,9055	31,0054	24,1516	7,2636e-01	0,1310	0,016	1477,53	28,803	2,7943	164,741834	1,9553	22,210
23,000	7,8714	31,0513	24,1923	7,0026e-01	0,1306	0,015	1477,47	22,854	2,2182	164,741856	1,5522	23,220
24,000	7,8420	31,0797	24,2187	6,3924e-01	0,1305	0,016	1477,41	18,007	1,7486	164,741878	1,2236	24,229
25,000	7,8045	31,1174	24,2535	5,7809e-01	0,1308	0,018	1477,33	15,681	1,5237	164,741900	1,0662	25,239
26,000	7,7863	31,1344	24,2694	5,6907e-01	0,1308	0,018	1477,30	15,110	1,4686	164,741923	1,0276	26,248
27,000	7,7823	31,1346	24,2701	5,9128e-01	0,1307	0,017	1477,30	14,251	1,3853	164,741944	0,9693	27,258
28,000	7,7840	31,1360	24,2710	6,0356e-01	0,1308	0,018	1477,33	13,250	1,2879	164,741964	0,9012	28,268
29,000	7,7733	31,1367	24,2730	6,1099e-01	0,1306	0,018	1477,30	11,666	1,1342	164,742042	0,7936	29,277
30,000	7,7680	31,1354	24,2727	5,5471e-01	0,1303	0,018	1477,29	10,307	1,0022	164,742175	0,7013	30,287
31,000	7,7675	31,1356	24,2729	6,4729e-01	0,1304	0,018	1477,31	10,492	1,0202	164,742189	0,7139	31,296
32,000	7,7671	31,1358	24,2731	6,4683e-01	0,1303	0,018	1477,33	10,448	1,0159	164,742208	0,7109	32,306
33,000	7,7664	31,1363	24,2737	7,3246e-01	0,1302	0,018	1477,34	10,287	1,0003	164,742230	0,6999	33,316
34,000	7,7658	31,1358	24,2733	8,9732e-01	0,1301	0,018	1477,36	9,752	0,9483	164,742359	0,6635	34,325
35,000	7,7686	31,1314	24,2695	8,6323e-01	0,1298	0,018	1477,38	9,751	0,9482	164,742523	0,6635	35,335
