DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.433	14.0345	24.2463	17.8880	2.0269e+00	0.1298	0.015	1491.00	75.725	6.7133	162.781238	4.6976	0.437
0.444	14.0358	24.2442	17.8861	2.0513e+00	0.1298	0.015	1491.01	75.784	6.7185	162.781239	4.7012	0.448
0.433	14.0378	24.2412	17.8835	2.0635e+00	0.1298	0.011	1491.01	75.789	6.7188	162.781239	4.7014	0.437
0.433	14.0398	24.2384	17.8809	2.0513e+00	0.1298	0.015	1491.01	75.794	6.7191	162.781240	4.7016	0.437
0.433	14.0405	24.2365	17.8793	2.0513e+00	0.1298	0.011	1491.01	75.858	6.7248	162.781240	4.7056	0.437
0.431	14.0427	24.2330	17.8762	2.1001e+00	0.1298	0.015	1491.02	75.868	6.7255	162.781241	4.7061	0.435
0.421	14.0442	24.2302	17.8738	2.1245e+00	0.1298	0.015	1491.02	75.877	6.7262	162.781241	4.7066	0.425
0.433	14.0447	24.2270	17.8712	2.1001e+00	0.1298	0.011	1491.02	75.886	6.7270	162.781242	4.7072	0.437
0.433	14.0440	24.2251	17.8699	2.0879e+00	0.1298	0.015	1491.01	75.954	6.7332	162.781242	4.7115	0.437
0.433	14.0434	24.2230	17.8684	2.0757e+00	0.1298	0.011	1491.01	75.967	6.7345	162.781243	4.7124	0.437
0.420	14.0429	24.2207	17.8668	2.0879e+00	0.1298	0.015	1491.00	75.979	6.7358	162.781243	4.7133	0.424
0.433	14.0427	24.2191	17.8656	2.1123e+00	0.1298	0.015	1491.00	75.991	6.7369	162.781244	4.7141	0.437
0.421	14.0424	24.2178	17.8646	2.1490e+00	0.1298	0.011	1491.00	76.001	6.7379	162.781244	4.7148	0.425
0.433	14.0422	24.2172	17.8642	2.1856e+00	0.1298	0.011	1491.00	76.071	6.7442	162.781245	4.7192	0.437
0.431	14.0420	24.2164	17.8636	2.2344e+00	0.1298	0.011	1490.99	76.086	6.7456	162.781245	4.7201	0.435
0.421	14.0412	24.2165	17.8638	2.2955e+00	0.1298	0.011	1490.99	76.100	6.7469	162.781246	4.7211	0.425
0.421	14.0407	24.2160	17.8635	2.3687e+00	0.1298	0.015	1490.99	76.172	6.7534	162.781246	4.7256	0.425
0.421	14.0408	24.2155	17.8631	2.4054e+00	0.1298	0.011	1490.99	76.189	6.7549	162.781247	4.7267	0.425
0.431	14.0423	24.2147	17.8622	2.3932e+00	0.1298	0.011	1490.99	76.205	6.7562	162.781247	4.7276	0.435
0.421	14.0454	24.2127	17.8601	2.3321e+00	0.1298	0.015	1491.00	76.280	6.7624	162.781248	4.7320	0.425
0.421	14.0457	24.2124	17.8598	2.2222e+00	0.1298	0.011	1491.00	76.299	6.7641	162.781248	4.7331	0.425
0.433	14.0427	24.2148	17.8622	2.1490e+00	0.1298	0.015	1490.99	76.317	6.7660	162.781249	4.7344	0.437
0.421	14.0373	24.2184	17.8660	2.0879e+00	0.1298	0.015	1490.98	76.392	6.7733	162.781249	4.7395	0.425
0.431	14.0310	24.2240	17.8715	2.0635e+00	0.1298	0.015	1490.97	76.412	6.7757	162.781250	4.7412	0.435
0.421	14.0262	24.2272	17.8749	2.0391e+00	0.1298	0.015	1490.95	76.490	6.7831	162.781250	4.7464	0.425
0.421	14.0157	24.2340	17.8822	2.0024e+00	0.1298	0.011	1490.93	76.512	6.7863	162.781250	4.7486	0.425
0.421	14.0119	24.2368	17.8850	1.9780e+00	0.1298	0.015	1490.92	76.532	6.7885	162.781251	4.7502	0.425
0.420	14.0124	24.2371	17.8851	1.9536e+00	0.1298	0.015	1490.92	76.610	6.7954	162.781251	4.7550	0.424
0.421	14.0114	24.2405	17.8880	1.9536e+00	0.1298	0.011	1490.92	76.632	6.7973	162.781252	4.7563	0.425
0.421	14.0094	24.2443	17.8913	1.9414e+00	0.1298	0.015	1490.92	76.652	6.7992	162.781252	4.7577	0.425
0.408	14.0082	24.2486	17.8948	1.9536e+00	0.1298	0.011	1490.92	76.729	6.8060	162.781253	4.7624	0.412
0.407	14.0144	24.2486	17.8936	1.9780e+00	0.1298	0.015	1490.94	76.750	6.8070	162.781253	4.7631	0.411
0.421	14.0195	24.2479	17.8921	1.9780e+00	0.1298	0.015	1490.96	76.829	6.8133	162.781254	4.7675	0.425
0.421	14.0224	24.2490	17.8924	1.9902e+00	0.1298	0.011	1490.97	76.851	6.8147	162.781254	4.7686	0.425
0.408	14.0214	24.2509	17.8941	2.0024e+00	0.1298	0.015	1490.96	76.870	6.8165	162.781255	4.7698	0.412
0.371	14.0180	24.2535	17.8967	2.0024e+00	0.1298	0.011	1490.96	76.946	6.8236	162.781255	4.7747	0.375
0.457	14.0165	24.2544	17.8977	2.0024e+00	0.1310	0.015	1490.95	76.966	6.8256	162.781256	4.7761	0.461
0.408	14.0165	24.2552	17.8982	2.0024e+00	0.1298	0.015	1490.95	77.042	6.8322	162.781256	4.7808	0.412
0.421	14.0177	24.2552	17.8980	2.0269e+00	0.1285	0.011	1490.96	77.061	6.8338	162.781257	4.7819	0.425
0.408	14.0170	24.2566	17.8993	2.0635e+00	0.1298	0.015	1490.96	77.077	6.8353	162.781257	4.7829	0.412
