DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0,000	14,0764	24,1605	17,8140	2,2895e+00	0,1297	0,012	1491,04	76,812	6,8074	162,781251	4,7634	-0,000
1,000	13,9881	24,3112	17,9467	1,7329e+00	0,1302	0,015	1490,93	78,306	6,9461	162,781402	4,8605	1,009
2,000	13,4489	25,4680	18,9392	1,9607e+00	0,1301	0,015	1490,49	78,753	7,0141	162,781441	4,9080	2,019
3,000	13,4290	25,5508	19,0068	1,9752e+00	0,1303	0,015	1490,54	78,490	6,9899	162,781479	4,8911	3,028
4,000	13,3157	25,7643	19,1926	1,8646e+00	0,1301	0,015	1490,42	78,715	7,0172	162,781517	4,9102	4,038
5,000	13,2785	25,8064	19,2319	1,7623e+00	0,1299	0,015	1490,36	77,248	6,8900	162,781556	4,8212	5,047
6,000	13,2179	25,8473	19,2747	1,6953e+00	0,1299	0,014	1490,22	76,557	6,8353	162,781596	4,7829	6,057
7,000	13,1940	25,9436	19,3534	1,5378e+00	0,1299	0,015	1490,27	76,783	6,8548	162,781635	4,7966	7,066
8,000	13,0126	26,0555	19,4732	1,3593e+00	0,1301	0,015	1489,80	76,599	6,8597	162,781673	4,8000	8,076
9,000	12,8971	26,1526	19,5693	1,2905e+00	0,1301	0,015	1489,53	76,024	6,8206	162,781712	4,7726	9,086
10,000	12,7838	26,3322	19,7286	1,0980e+00	0,1299	0,015	1489,37	74,750	6,7147	162,781751	4,6986	10,095
11,000	12,5571	26,7939	20,1265	9,6714e-01	0,1298	0,015	1489,16	74,264	6,6837	162,781790	4,6769	11,105
12,000	12,4969	26,8601	20,1884	9,6731e-01	0,1296	0,014	1489,04	72,998	6,5754	162,781830	4,6011	12,114
13,000	12,2368	27,0226	20,3607	9,0827e-01	0,1300	0,015	1488,35	72,587	6,5678	162,781867	4,5958	13,124
