DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.303	13.7258	25.0079	18.5328	1.4408e+00	0.1310	0.015	1490.86	77.985	6.9254	163.566597	4.8460	0.306
0.303	13.7259	25.0078	18.5327	1.4652e+00	0.1310	0.015	1490.86	77.985	6.9254	163.566598	4.8460	0.306
0.303	13.7259	25.0076	18.5325	1.4896e+00	0.1310	0.015	1490.86	77.926	6.9201	163.566598	4.8423	0.306
0.314	13.7258	25.0077	18.5326	1.4774e+00	0.1322	0.015	1490.86	77.920	6.9197	163.566599	4.8420	0.317
0.316	13.7260	25.0075	18.5324	1.4652e+00	0.1310	0.018	1490.86	77.915	6.9192	163.566599	4.8417	0.319
0.327	13.7259	25.0079	18.5327	1.4652e+00	0.1310	0.015	1490.86	77.911	6.9188	163.566600	4.8414	0.330
0.316	13.7259	25.0074	18.5324	1.4652e+00	0.1310	0.018	1490.86	77.847	6.9131	163.566600	4.8374	0.319
0.314	13.7263	25.0076	18.5325	1.4286e+00	0.1310	0.015	1490.86	77.837	6.9122	163.566601	4.8368	0.317
0.316	13.7265	25.0075	18.5324	1.4164e+00	0.1310	0.015	1490.86	77.828	6.9114	163.566601	4.8362	0.319
0.316	13.7265	25.0073	18.5322	1.4164e+00	0.1298	0.015	1490.86	77.819	6.9106	163.566602	4.8357	0.319
0.340	13.7265	25.0070	18.5319	1.4042e+00	0.1310	0.015	1490.86	77.812	6.9100	163.566602	4.8352	0.343
0.327	13.7268	25.0077	18.5324	1.3919e+00	0.1310	0.015	1490.86	77.804	6.9092	163.566603	4.8346	0.330
0.338	13.7265	25.0082	18.5329	1.3797e+00	0.1310	0.015	1490.86	77.797	6.9086	163.566603	4.8342	0.342
0.340	13.7268	25.0078	18.5325	1.3797e+00	0.1298	0.015	1490.86	77.790	6.9079	163.566603	4.8338	0.343
0.327	13.7268	25.0079	18.5326	1.3797e+00	0.1310	0.015	1490.86	77.724	6.9021	163.566604	4.8297	0.330
0.340	13.7271	25.0080	18.5326	1.3797e+00	0.1310	0.015	1490.86	77.713	6.9011	163.566604	4.8290	0.343
0.361	13.7275	25.0078	18.5324	1.3797e+00	0.1310	0.015	1490.86	77.703	6.9001	163.566605	4.8283	0.364
0.351	13.7275	25.0080	18.5325	1.3919e+00	0.1310	0.015	1490.86	77.693	6.8992	163.566605	4.8277	0.355
0.351	13.7276	25.0083	18.5328	1.4042e+00	0.1310	0.015	1490.86	77.684	6.8984	163.566606	4.8271	0.355
0.363	13.7276	25.0083	18.5327	1.4164e+00	0.1310	0.015	1490.86	77.675	6.8976	163.566606	4.8266	0.366
0.361	13.7278	25.0085	18.5328	1.4286e+00	0.1310	0.015	1490.86	77.608	6.8916	163.566607	4.8224	0.364
