DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0,000	13,7282	25,0082	18,5326	1,5064e+00	0,1309	0,014	1490,86	77,458	6,8782	163,566620	4,8130	0,000
1,000	13,7316	25,0074	18,5313	1,4186e+00	0,1308	0,015	1490,89	77,145	6,8500	163,566750	4,7932	1,009
2,000	13,7334	25,0022	18,5270	1,3259e+00	0,1308	0,015	1490,90	77,439	6,8760	163,566765	4,8115	2,019
3,000	13,7369	24,9980	18,5231	1,3202e+00	0,1306	0,015	1490,93	77,598	6,8899	163,566782	4,8212	3,029
4,000	13,7330	24,9870	18,5153	1,3762e+00	0,1308	0,014	1490,92	77,597	6,8908	163,566801	4,8218	4,038
5,000	13,7323	24,9849	18,5138	1,4068e+00	0,1309	0,015	1490,93	77,608	6,8920	163,566823	4,8226	5,047
6,000	13,7369	24,9924	18,5187	1,4057e+00	0,1311	0,015	1490,97	77,952	6,9216	163,566843	4,8433	6,057
7,000	13,7337	25,0073	18,5308	1,4784e+00	0,1309	0,015	1490,99	77,954	6,9216	163,566862	4,8433	7,066
8,000	13,7252	25,0279	18,5483	1,4458e+00	0,1307	0,015	1491,01	77,540	6,8851	163,566886	4,8178	8,076
9,000	13,7231	25,0915	18,5977	1,3992e+00	0,1304	0,014	1491,09	77,478	6,8772	163,566906	4,8123	9,086
10,000	13,6658	25,6101	19,0080	1,6233e+00	0,1304	0,013	1491,52	77,526	6,8675	163,566925	4,8055	10,095
11,000	13,6053	25,8311	19,1898	1,6928e+00	0,1309	0,015	1491,59	77,791	6,8902	163,566950	4,8214	11,105
12,000	13,5796	25,9278	19,2692	1,5272e+00	0,1309	0,015	1491,64	77,720	6,8835	163,566969	4,8167	12,114
13,000	13,5575	25,9682	19,3045	1,7501e+00	0,1310	0,015	1491,63	77,816	6,8935	163,566990	4,8236	13,124
14,000	13,5441	26,0532	19,3725	1,4757e+00	0,1309	0,015	1491,70	78,268	6,9317	163,567016	4,8504	14,133
15,000	13,5434	26,0922	19,4027	1,5320e+00	0,1310	0,015	1491,76	78,496	6,9503	163,567033	4,8634	15,143
16,000	13,5431	26,1018	19,4102	1,7378e+00	0,1311	0,015	1491,78	78,363	6,9381	163,567057	4,8549	16,152
17,000	13,5415	26,1080	19,4152	1,6018e+00	0,1310	0,015	1491,80	78,369	6,9387	163,567081	4,8553	17,162
18,000	13,5142	26,1751	19,4722	1,7792e+00	0,1312	0,015	1491,81	78,617	6,9617	163,567100	4,8714	18,172
19,000	13,4192	26,3647	19,6363	1,8876e+00	0,1311	0,015	1491,72	78,447	6,9522	163,567127	4,8648	19,181
20,000	13,3659	26,4735	19,7302	1,6997e+00	0,1311	0,015	1491,69	78,234	6,9363	163,567150	4,8536	20,191
21,000	12,9252	26,9012	20,1419	1,6918e+00	0,1312	0,015	1490,71	78,461	7,0025	163,567170	4,8999	21,200
22,000	12,1783	27,8363	21,0008	1,5248e+00	0,1312	0,016	1489,26	78,419	7,0680	163,567197	4,9458	22,210
23,000	11,6788	28,4223	21,5430	9,6880e-01	0,1311	0,017	1488,24	77,293	7,0152	163,567218	4,9089	23,219
24,000	11,3822	28,7768	21,8695	1,1440e+00	0,1312	0,017	1487,63	76,877	7,0062	163,567239	4,9025	24,229
