DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.064	15.0552	18.3997	13.2058	1.2698e+00	0.1249	0.018	1487.61	84.085	7.5664	162.461690	5.2945	0.064
0.064	15.0547	18.3998	13.2060	1.2454e+00	0.1249	0.015	1487.61	84.026	7.5612	162.461690	5.2909	0.064
0.062	15.0550	18.3995	13.2057	1.2576e+00	0.1249	0.015	1487.61	84.021	7.5607	162.461691	5.2905	0.063
0.064	15.0559	18.3992	13.2053	1.2454e+00	0.1249	0.015	1487.61	84.075	7.5655	162.461691	5.2939	0.064
0.075	15.0566	18.3991	13.2050	1.2332e+00	0.1249	0.015	1487.61	84.135	7.5708	162.461692	5.2976	0.076
0.064	15.0568	18.3988	13.2048	1.2210e+00	0.1249	0.015	1487.61	84.140	7.5712	162.461692	5.2979	0.064
0.074	15.0572	18.3987	13.2047	1.2454e+00	0.1249	0.015	1487.61	84.146	7.5716	162.461693	5.2982	0.074
0.064	15.0571	18.3989	13.2048	1.2576e+00	0.1249	0.015	1487.61	84.150	7.5721	162.461693	5.2985	0.064
0.075	15.0572	18.3990	13.2049	1.2576e+00	0.1249	0.015	1487.61	84.155	7.5725	162.461694	5.2988	0.076
0.088	15.0573	18.3988	13.2047	1.2454e+00	0.1249	0.015	1487.61	84.219	7.5782	162.461694	5.3028	0.089
0.074	15.0572	18.3990	13.2049	1.2576e+00	0.1237	0.015	1487.61	84.228	7.5790	162.461695	5.3033	0.074
0.075	15.0568	18.3994	13.2053	1.2821e+00	0.1249	0.015	1487.61	84.237	7.5799	162.461695	5.3039	0.076
0.075	15.0568	18.3992	13.2051	1.2943e+00	0.1249	0.015	1487.61	84.245	7.5806	162.461696	5.3045	0.076
0.087	15.0567	18.3990	13.2050	1.3187e+00	0.1249	0.015	1487.61	84.312	7.5867	162.461696	5.3087	0.087
