DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0,000	15,0579	18,3961	13,2025	1,2260e+00	0,1248	0,015	1487,61	84,803	7,6308	162,461787	5,3396	-0,000
1,000	15,0053	18,4298	13,2383	1,5513e+00	0,1249	0,015	1487,49	82,507	7,4307	162,461916	5,1996	1,009
2,000	14,9440	18,5052	13,3076	2,1905e+00	0,1248	0,015	1487,39	83,213	7,5003	162,461938	5,2483	2,019
3,000	14,8227	18,8517	13,5961	2,8464e+00	0,1248	0,014	1487,41	84,417	7,6118	162,461962	5,3263	3,028
4,000	14,6984	19,1331	13,8351	3,0099e+00	0,1249	0,014	1487,33	84,286	7,6064	162,461985	5,3225	4,038
5,000	14,5876	19,3233	14,0017	2,3689e+00	0,1249	0,015	1487,20	83,888	7,5791	162,462008	5,3034	5,047
6,000	14,3856	19,6991	14,3276	1,9854e+00	0,1249	0,015	1486,98	83,539	7,5618	162,462030	5,2913	6,057
7,000	14,2328	20,0349	14,6135	1,8163e+00	0,1249	0,015	1486,87	82,927	7,5147	162,462049	5,2583	7,066
8,000	14,0222	20,5539	15,0509	1,6738e+00	0,1249	0,015	1486,78	81,810	7,4223	162,462069	5,1937	8,076
9,000	13,7284	21,1314	15,5484	1,3823e+00	0,1249	0,015	1486,47	80,606	7,3321	162,462089	5,1305	9,086
10,000	13,4081	21,6791	16,0275	1,1665e+00	0,1249	0,015	1486,04	79,860	7,2885	162,462108	5,1000	10,095
11,000	13,3011	21,8773	16,1993	1,0017e+00	0,1249	0,015	1485,92	78,629	7,1834	162,462128	5,0265	11,105
12,000	12,4717	23,2683	17,4173	7,9145e-01	0,1249	0,015	1484,70	77,266	7,1223	162,462148	4,9837	12,114
13,000	12,0518	24,0977	18,1300	6,4943e-01	0,1250	0,016	1484,23	76,278	7,0578	162,462167	4,9386	13,124
14,000	10,7863	26,4233	20,1414	5,2717e-01	0,1250	0,016	1482,51	73,936	6,9284	162,462187	4,8481	14,133
15,000	10,3042	27,4599	21,0242	4,7237e-01	0,1250	0,017	1482,03	71,662	6,7419	162,462207	4,7176	15,143
16,000	10,2458	27,9071	21,3814	4,2535e-01	0,1250	0,017	1482,38	69,987	6,5739	162,462227	4,6000	16,152
17,000	10,2357	28,0578	21,5004	4,0780e-01	0,1250	0,017	1482,54	70,770	6,6425	162,462246	4,6480	17,162
18,000	10,3016	28,4639	21,8059	3,6518e-01	0,1251	0,018	1483,29	71,532	6,6870	162,462267	4,6792	18,172
19,000	10,1314	28,6082	21,9454	3,2677e-01	0,1251	0,018	1482,86	71,742	6,7255	162,462287	4,7061	19,181
20,000	10,0676	28,7129	22,0370	3,1889e-01	0,1253	0,018	1482,77	71,844	6,7401	162,462308	4,7163	20,191
21,000	10,0425	28,8319	22,1337	3,0288e-01	0,1251	0,018	1482,84	72,051	6,7580	162,462329	4,7289	21,200
22,000	10,0760	28,8763	22,1630	3,0342e-01	0,1251	0,018	1483,03	72,265	6,7712	162,462348	4,7381	22,210
23,000	10,0213	28,8948	22,1861	2,9253e-01	0,1252	0,018	1482,87	72,354	6,7869	162,462368	4,7491	23,219
24,000	9,8035	28,8980	22,2227	2,7634e-01	0,1251	0,018	1482,09	72,360	6,8200	162,462390	4,7722	24,229
25,000	9,5081	28,9045	22,2733	2,6167e-01	0,1252	0,018	1481,03	72,195	6,8488	162,462410	4,7924	25,239
26,000	9,4953	28,9687	22,3254	2,5708e-01	0,1253	0,018	1481,08	71,698	6,8008	162,462430	4,7588	26,248
27,000	9,6618	29,0463	22,3604	2,7005e-01	0,1250	0,018	1481,80	71,280	6,7329	162,462451	4,7113	27,258
28,000	9,6658	29,1113	22,4105	2,4984e-01	0,1251	0,017	1481,91	71,403	6,7411	162,462472	4,7170	28,267
29,000	9,4008	29,2209	22,5366	2,3961e-01	0,1249	0,016	1481,08	71,597	6,7944	162,462493	4,7543	29,277
30,000	9,1724	29,2924	22,6270	2,3226e-01	0,1248	0,015	1480,34	71,301	6,7977	162,462514	4,7566	30,287
31,000	9,0819	29,3307	22,6705	2,3721e-01	0,1248	0,015	1480,06	70,554	6,7385	162,462534	4,7152	31,296
32,000	9,0194	29,3545	22,6983	2,2805e-01	0,1246	0,015	1479,88	70,277	6,7203	162,462555	4,7025	32,306
33,000	8,9353	29,3910	22,7393	2,2922e-01	0,1248	0,015	1479,62	69,999	6,7048	162,462576	4,6916	33,316
34,000	8,8367	29,4175	22,7745	2,2008e-01	0,1249	0,016	1479,30	69,821	6,7014	162,462597	4,6892	34,325
35,000	8,7502	29,4550	22,8164	2,1547e-01	0,1249	0,016	1479,04	69,603	6,6918	162,462617	4,6825	35,335
36,000	8,6236	29,5296	22,8932	2,1223e-01	0,1249	0,017	1478,67	69,470	6,6949	162,462637	4,6847	36,345
37,000	8,5235	29,6405	22,9943	2,0905e-01	0,1250	0,017	1478,44	69,222	6,6812	162,462657	4,6751	37,354
38,000	8,4431	29,7755	23,1116	2,0733e-01	0,1250	0,017	1478,32	68,985	6,6645	162,462678	4,6635	38,364
39,000	8,3224	29,9422	23,2593	2,0845e-01	0,1249	0,017	1478,09	68,615	6,6397	162,462699	4,6461	39,374
40,000	8,2175	30,0976	23,3959	1,9908e-01	0,1249	0,018	1477,90	68,285	6,6168	162,462719	4,6300	40,383
41,000	8,1286	30,3215	23,5839	1,9943e-01	0,1250	0,018	1477,85	68,063	6,5990	162,462738	4,6176	41,393
42,000	7,9803	30,5544	23,7874	1,9414e-01	0,1250	0,018	1477,59	67,761	6,5818	162,462759	4,6056	42,403
43,000	7,8468	30,8119	24,0079	1,9011e-01	0,1252	0,018	1477,41	67,274	6,5435	162,462779	4,5788	43,412
44,000	7,6992	31,2206	24,3491	1,9009e-01	0,1251	0,018	1477,37	66,659	6,4881	162,462799	4,5400	44,422
45,000	7,5904	31,6617	24,7105	1,8285e-01	0,1250	0,018	1477,52	65,609	6,3834	162,462820	4,4667	45,432
46,000	7,5400	31,8510	24,8662	1,8034e-01	0,1250	0,018	1477,57	64,509	6,2758	162,462840	4,3914	46,441
47,000	7,4884	32,0601	25,0376	1,7296e-01	0,1250	0,018	1477,65	63,282	6,1553	162,462859	4,3071	47,451
48,000	7,4588	32,2040	25,1548	1,7123e-01	0,1251	0,018	1477,73	62,581	6,0855	162,462879	4,2583	48,461
49,000	7,4205	32,3707	25,2911	1,7395e-01	0,1251	0,018	1477,81	62,065	6,0340	162,462900	4,2222	49,471
50,000	7,4090	32,4338	25,3423	1,7119e-01	0,1251	0,018	1477,86	61,755	6,0029	162,462919	4,2005	50,480
51,000	7,3901	32,5296	25,4202	1,7411e-01	0,1251	0,018	1477,92	61,408	5,9680	162,462939	4,1761	51,490
52,000	7,3760	32,5964	25,4747	1,6999e-01	0,1251	0,018	1477,97	61,164	5,9436	162,462959	4,1590	52,500
53,000	7,3434	32,7671	25,6135	1,7210e-01	0,1252	0,018	1478,07	60,995	5,9250	162,462978	4,1460	53,510
54,000	7,3287	32,8986	25,7189	1,6866e-01	0,1250	0,018	1478,20	60,818	5,9047	162,462998	4,1318	54,519
55,000	7,2972	33,1085	25,8884	1,6766e-01	0,1250	0,018	1478,35	60,555	5,8753	162,463019	4,1112	55,529
56,000	7,2960	33,1361	25,9103	1,6607e-01	0,1251	0,018	1478,40	60,163	5,8363	162,463038	4,0839	56,539
57,000	7,2937	33,1757	25,9417	1,6732e-01	0,1251	0,018	1478,46	59,243	5,7459	162,463059	4,0207	57,549
58,000	7,2901	33,2356	25,9893	1,6789e-01	0,1250	0,018	1478,53	58,688	5,6903	162,463079	3,9818	58,559
59,000	7,2873	33,3093	26,0477	1,7223e-01	0,1251	0,018	1478,63	58,238	5,6443	162,463098	3,9496	59,568
60,000	7,2804	33,4163	26,1328	1,7349e-01	0,1251	0,018	1478,75	57,609	5,5803	162,463118	3,9048	60,578
61,000	7,2675	33,5861	26,2683	1,6949e-01	0,1250	0,018	1478,93	56,634	5,4814	162,463138	3,8356	61,588
62,000	7,2593	33,7029	26,3613	1,6974e-01	0,1250	0,018	1479,06	55,771	5,3948	162,463158	3,7749	62,598
63,000	7,2381	33,8596	26,4876	1,6172e-01	0,1251	0,018	1479,19	55,250	5,3414	162,463178	3,7376	63,607
64,000	7,2302	33,9299	26,5440	1,6252e-01	0,1250	0,018	1479,27	54,662	5,2831	162,463198	3,6968	64,617
65,000	7,2255	34,0078	26,6060	1,6438e-01	0,1251	0,018	1479,36	55,154	5,3285	162,463218	3,7285	65,627
66,000	7,2206	34,1110	26,6879	1,6544e-01	0,1250	0,018	1479,49	56,203	5,4268	162,463238	3,7973	66,637
67,000	7,2098	34,1792	26,7431	1,6050e-01	0,1250	0,018	1479,55	56,360	5,4408	162,463257	3,8072	67,647
68,000	7,1996	34,2296	26,7842	1,5872e-01	0,1250	0,018	1479,59	55,845	5,3906	162,463277	3,7720	68,656
69,000	7,1961	34,2661	26,8134	1,5873e-01	0,1250	0,018	1479,64	55,590	5,3651	162,463296	3,7542	69,666
70,000	7,1911	34,2952	26,8370	1,6011e-01	0,1251	0,018	1479,67	56,081	5,4121	162,463316	3,7871	70,676
71,000	7,1880	34,3149	26,8529	1,5903e-01	0,1251	0,018	1479,70	56,360	5,4387	162,463336	3,8057	71,686
72,000	7,1869	34,3275	26,8631	1,5809e-01	0,1250	0,018	1479,73	56,233	5,4261	162,463355	3,7969	72,696
73,000	7,1869	34,3352	26,8691	1,5988e-01	0,1250	0,018	1479,76	56,268	5,4292	162,463374	3,7990	73,706
74,000	7,1832	34,3510	26,8821	1,5873e-01	0,1250	0,018	1479,78	56,257	5,4281	162,463394	3,7983	74,715
75,000	7,1818	34,3667	26,8946	1,6126e-01	0,1250	0,018	1479,81	56,228	5,4249	162,463413	3,7960	75,725
76,000	7,1806	34,3728	26,8996	1,5906e-01	0,1250	0,018	1479,83	56,048	5,4075	162,463432	3,7838	76,735
77,000	7,1757	34,4002	26,9218	1,6410e-01	0,1251	0,018	1479,86	55,937	5,3964	162,463452	3,7761	77,745
78,000	7,1724	34,4199	26,9378	1,6405e-01	0,1251	0,018	1479,89	55,849	5,3876	162,463471	3,7699	78,755
79,000	7,1717	34,4260	26,9428	1,6056e-01	0,1251	0,018	1479,91	55,957	5,3979	162,463490	3,7771	79,765
80,000	7,1690	34,4355	26,9506	1,6014e-01	0,1250	0,018	1479,93	55,669	5,3701	162,463511	3,7577	80,775
81,000	7,1674	34,4419	26,9558	1,6111e-01	0,1250	0,018	1479,95	55,317	5,3361	162,463530	3,7339	81,785
82,000	7,1663	34,4460	26,9593	1,6414e-01	0,1252	0,018	1479,97	55,043	5,3097	162,463548	3,7154	82,794
83,000	7,1662	34,4485	26,9612	1,6622e-01	0,1251	0,018	1479,98	55,017	5,3071	162,463570	3,7136	83,804
84,000	7,1654	34,4544	26,9660	1,6850e-01	0,1251	0,018	1480,01	55,010	5,3063	162,463593	3,7130	84,814
85,000	7,1657	34,4554	26,9667	1,6490e-01	0,1251	0,018	1480,03	54,940	5,2995	162,463615	3,7083	85,824
86,000	7,1646	34,4575	26,9685	1,6522e-01	0,1250	0,018	1480,04	54,582	5,2651	162,463640	3,6842	86,834
87,000	7,1647	34,4585	26,9692	1,6592e-01	0,1251	0,018	1480,06	54,301	5,2379	162,463660	3,6652	87,844
88,000	7,1649	34,4600	26,9704	1,7135e-01	0,1250	0,018	1480,08	54,331	5,2407	162,463680	3,6671	88,854
89,000	7,1639	34,4644	26,9741	1,6900e-01	0,1250	0,018	1480,10	54,294	5,2371	162,463703	3,6646	89,864
90,000	7,1638	34,4648	26,9744	1,6739e-01	0,1251	0,018	1480,11	54,208	5,2287	162,463723	3,6587	90,874
91,000	7,1632	34,4658	26,9753	1,7087e-01	0,1250	0,018	1480,13	54,028	5,2114	162,463744	3,6467	91,884
92,000	7,1624	34,4693	26,9781	1,7010e-01	0,1250	0,018	1480,14	53,940	5,2029	162,463767	3,6407	92,894
93,000	7,1628	34,4693	26,9781	1,7007e-01	0,1250	0,018	1480,16	54,025	5,2111	162,463787	3,6464	93,904
94,000	7,1643	34,4673	26,9763	1,7033e-01	0,1250	0,018	1480,18	53,980	5,2066	162,463829	3,6433	94,914
