DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0,000	13,3190	16,8140	12,2983	3,5141e+00	0,1305	0,009	1479,86	65,540	6,1767	165,355074	4,3221	-0,000
1,000	13,4436	15,9422	11,6069	3,0104e+00	0,1310	0,012	1479,28	70,675	6,6791	165,355190	4,6736	1,009
2,000	13,0958	18,9698	13,9957	2,2683e+00	0,1312	0,014	1481,64	76,213	7,1207	165,355207	4,9827	2,019
3,000	12,9135	20,6177	15,2965	2,0311e+00	0,1313	0,015	1482,97	77,913	7,2335	165,355227	5,0616	3,028
4,000	12,5510	22,8250	17,0616	2,2123e+00	0,1313	0,015	1484,32	76,978	7,1035	165,355248	4,9706	4,038
5,000	12,2083	25,1707	18,9331	9,8488e-01	0,1313	0,016	1485,92	75,606	6,9254	165,355269	4,8460	5,047
6,000	12,2171	25,6269	19,2844	9,3608e-01	0,1313	0,015	1486,51	73,499	6,7118	165,355291	4,6965	6,057
7,000	12,2251	25,8168	19,4298	8,5927e-01	0,1313	0,015	1486,78	71,771	6,5451	165,355314	4,5799	7,067
8,000	12,1311	26,4597	19,9437	7,3360e-01	0,1313	0,015	1487,23	71,075	6,4684	165,355334	4,5262	8,076
9,000	11,8382	27,2680	20,6206	5,7663e-01	0,1312	0,015	1487,18	70,639	6,4362	165,355356	4,5037	9,086
10,000	11,5232	28,1637	21,3692	4,3546e-01	0,1309	0,015	1487,16	70,366	6,4185	165,355378	4,4913	10,095
11,000	11,0342	28,7090	21,8760	3,7456e-01	0,1310	0,015	1486,10	70,508	6,4770	165,355398	4,5322	11,105
12,000	10,9883	28,7651	21,9274	3,6630e-01	0,1311	0,015	1486,02	70,686	6,4974	165,355419	4,5465	12,114
13,000	10,9739	28,7986	21,9558	3,3888e-01	0,1309	0,016	1486,03	70,208	6,4542	165,355440	4,5162	13,124
14,000	10,9302	28,8911	22,0351	3,2909e-01	0,1311	0,017	1486,00	70,829	6,5136	165,355460	4,5578	14,133
15,000	10,8506	28,9834	22,1201	2,9872e-01	0,1310	0,017	1485,84	71,490	6,5819	165,355481	4,6056	15,143
16,000	10,7600	29,1079	22,2321	2,8335e-01	0,1311	0,017	1485,68	71,518	6,5921	165,355503	4,6128	16,152
17,000	10,7107	29,1865	22,3013	2,6993e-01	0,1311	0,017	1485,62	71,363	6,5816	165,355523	4,6054	17,162
18,000	10,6210	29,3101	22,4124	2,5345e-01	0,1311	0,017	1485,46	71,460	6,5982	165,355546	4,6170	18,172
19,000	10,5184	29,4563	22,5430	2,4446e-01	0,1309	0,016	1485,29	71,431	6,6041	165,355567	4,6211	19,181
20,000	10,4307	29,5547	22,6341	2,4477e-01	0,1308	0,015	1485,11	71,252	6,5960	165,355587	4,6155	20,191
21,000	10,1184	29,9795	23,0157	2,3641e-01	0,1306	0,015	1484,51	70,942	6,5944	165,355610	4,6144	21,200
22,000	9,8347	30,3237	23,3296	2,4862e-01	0,1302	0,015	1483,91	70,918	6,6187	165,355632	4,6314	22,210
23,000	9,7718	30,3790	23,3827	2,1955e-01	0,1307	0,016	1483,76	70,510	6,5874	165,355652	4,6094	23,219
24,000	9,6498	30,5064	23,5014	2,1756e-01	0,1309	0,017	1483,48	70,323	6,5822	165,355676	4,6058	24,229
25,000	9,4450	30,7983	23,7614	2,1048e-01	0,1307	0,018	1483,11	70,247	6,5925	165,355698	4,6130	25,239
26,000	9,2811	31,0682	23,9978	2,1862e-01	0,1307	0,018	1482,85	69,992	6,5810	165,355718	4,6050	26,248
27,000	9,2292	31,1666	24,0827	2,2651e-01	0,1307	0,018	1482,79	69,470	6,5353	165,355739	4,5730	27,258
28,000	9,1403	31,3133	24,2111	2,4121e-01	0,1306	0,018	1482,66	69,287	6,5248	165,355761	4,5657	28,268
29,000	9,2409	31,1561	24,0726	2,2275e-01	0,1306	0,018	1482,85	69,238	6,5122	165,355915	4,5569	29,277
