DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0,000	13,4096	23,5122	17,4393	1,8944e+00	0,1306	0,015	1488,03	76,014	6,8586	163,455102	4,7993	-0,000
1,000	13,4083	23,5468	17,4662	1,8389e+00	0,1307	0,015	1488,08	76,245	6,8782	163,455201	4,8129	1,010
2,000	13,4040	23,5822	17,4941	1,8712e+00	0,1306	0,015	1488,12	76,121	6,8660	163,455221	4,8045	2,019
3,000	13,3407	23,9036	17,7534	1,8948e+00	0,1307	0,015	1488,30	76,061	6,8561	163,455240	4,7975	3,028
4,000	12,2353	26,8501	20,2275	1,6475e+00	0,1307	0,015	1487,99	75,830	6,8691	163,455261	4,8066	4,038
5,000	11,9505	27,5308	20,8046	1,4431e+00	0,1306	0,015	1487,82	74,663	6,7754	163,455283	4,7410	5,047
6,000	11,9625	27,6786	20,9169	1,4217e+00	0,1307	0,016	1488,06	73,591	6,6701	163,455303	4,6673	6,057
7,000	11,9339	27,8138	21,0267	1,2216e+00	0,1306	0,016	1488,14	74,813	6,7792	163,455324	4,7437	7,066
8,000	11,7649	27,9692	21,1767	1,1207e+00	0,1308	0,017	1487,75	75,312	6,8425	163,455345	4,7879	8,076
9,000	11,4421	28,1232	21,3519	9,5123e-01	0,1307	0,017	1486,81	74,850	6,8410	163,455366	4,7869	9,085
10,000	11,3166	28,2567	21,4770	8,4291e-01	0,1307	0,018	1486,54	74,041	6,7796	163,455388	4,7440	10,095
11,000	11,3303	28,2689	21,4842	7,5556e-01	0,1307	0,017	1486,62	72,994	6,6813	163,455411	4,6752	11,105
12,000	11,3022	28,2896	21,5050	7,0459e-01	0,1306	0,018	1486,57	72,786	6,6654	163,455432	4,6640	12,114
13,000	11,2154	28,3493	21,5661	7,0095e-01	0,1306	0,018	1486,35	72,846	6,6808	163,455453	4,6749	13,124
14,000	11,0749	28,4245	21,6483	5,9754e-01	0,1307	0,018	1485,95	72,705	6,6850	163,455474	4,6778	14,133
15,000	10,8399	28,4107	21,6768	5,4161e-01	0,1306	0,018	1485,11	72,317	6,6838	163,455494	4,6769	15,143
16,000	10,5768	28,5074	21,7952	4,4057e-01	0,1305	0,018	1484,30	71,870	6,6765	163,455516	4,6718	16,152
17,000	10,2339	28,6129	21,9326	3,8028e-01	0,1306	0,018	1483,20	70,978	6,6387	163,455536	4,6454	17,162
18,000	10,0272	28,6481	21,9930	3,6408e-01	0,1304	0,018	1482,51	70,152	6,5899	163,455556	4,6112	18,172
19,000	9,9047	28,7064	22,0576	3,5751e-01	0,1305	0,018	1482,15	69,668	6,5597	163,455578	4,5901	19,181
20,000	9,8050	28,8042	22,1494	3,4952e-01	0,1306	0,018	1481,92	68,575	6,4669	163,455599	4,5252	20,191
21,000	9,7142	28,8938	22,2334	3,4758e-01	0,1304	0,018	1481,71	67,806	6,4036	163,455619	4,4809	21,200
22,000	9,5717	28,9661	22,3117	3,0395e-01	0,1306	0,018	1481,29	67,539	6,3955	163,455640	4,4752	22,210
23,000	9,4422	29,0604	22,4051	2,9999e-01	0,1304	0,018	1480,94	67,472	6,4037	163,455661	4,4810	23,219
24,000	9,3736	29,1292	22,4692	2,8912e-01	0,1303	0,018	1480,79	66,642	6,3318	163,455683	4,4306	24,229
25,000	9,2919	29,1885	22,5279	2,7675e-01	0,1303	0,018	1480,57	66,555	6,3326	163,455705	4,4312	25,239
26,000	9,1776	29,2712	22,6096	2,6657e-01	0,1305	0,018	1480,26	67,619	6,4469	163,455726	4,5111	26,248
27,000	8,9561	29,4743	22,8013	2,5441e-01	0,1302	0,018	1479,70	67,731	6,4811	163,455748	4,5351	27,258
28,000	8,7382	29,6205	22,9476	2,4477e-01	0,1302	0,018	1479,08	67,532	6,4876	163,455769	4,5396	28,267
29,000	8,5188	29,8672	23,1725	2,3626e-01	0,1303	0,018	1478,57	67,692	6,5247	163,455790	4,5656	29,277
30,000	8,4238	30,0790	23,3519	2,3035e-01	0,1301	0,018	1478,49	66,729	6,4367	163,455813	4,5041	30,287
31,000	8,1927	30,2655	23,5310	2,2191e-01	0,1302	0,018	1477,86	66,231	6,4144	163,455835	4,4884	31,296
32,000	8,0345	30,3717	23,6365	2,2764e-01	0,1302	0,018	1477,40	65,730	6,3843	163,455857	4,4674	32,306
33,000	7,9326	30,4795	23,7352	2,1917e-01	0,1302	0,018	1477,16	65,356	6,3582	163,455879	4,4491	33,316
34,000	7,6813	30,7501	23,9822	2,1837e-01	0,1302	0,018	1476,55	64,465	6,2965	163,455900	4,4059	34,325
35,000	7,4990	30,9944	24,1988	2,0039e-01	0,1301	0,018	1476,17	63,745	6,2421	163,455921	4,3679	35,335
36,000	7,2890	31,2649	24,4396	1,9759e-01	0,1301	0,018	1475,71	63,477	6,2349	163,455942	4,3628	36,345
37,000	7,0975	31,5770	24,7106	1,9562e-01	0,1299	0,018	1475,37	62,969	6,1996	163,455962	4,3381	37,354
38,000	7,0278	31,7286	24,8391	1,9363e-01	0,1301	0,018	1475,30	62,276	6,1351	163,455982	4,2930	38,364
39,000	6,8779	31,9562	25,0378	1,9327e-01	0,1299	0,018	1475,02	61,760	6,0962	163,456002	4,2657	39,374
40,000	6,6689	32,4325	25,4402	1,9043e-01	0,1300	0,018	1474,81	61,275	6,0586	163,456022	4,2394	40,383
41,000	6,5615	32,7956	25,7403	1,8987e-01	0,1299	0,018	1474,86	60,195	5,9524	163,456042	4,1651	41,393
42,000	6,5518	32,9151	25,8357	1,9248e-01	0,1299	0,018	1474,99	58,340	5,7658	163,456065	4,0346	42,403
43,000	6,5002	33,1430	26,0222	2,0762e-01	0,1297	0,018	1475,09	50,846	5,0234	163,456254	3,5151	43,413
44,000	6,4671	33,3998	26,2289	2,1233e-01	0,1295	0,018	1475,30	50,432	4,9780	163,456372	3,4833	44,422
