DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.145	13.2260	17.4262	12.7851	3.4921e+00	0.1298	0.011	1480.25	67.003	6.3034	163.642396	4.4107	0.147
0.133	13.2256	17.4880	12.8328	3.4676e+00	0.1298	0.007	1480.32	67.003	6.3010	163.642396	4.4091	0.134
0.133	13.2256	17.5216	12.8586	3.4799e+00	0.1298	0.011	1480.36	67.003	6.2997	163.642397	4.4082	0.134
0.131	13.2258	17.5218	12.8587	3.4676e+00	0.1310	0.011	1480.36	67.003	6.2997	163.642397	4.4081	0.132
0.121	13.2256	17.5683	12.8946	3.4310e+00	0.1298	0.007	1480.42	67.003	6.2978	163.642398	4.4069	0.122
0.121	13.2252	17.5562	12.8853	3.4188e+00	0.1298	0.011	1480.40	66.943	6.2928	163.642398	4.4033	0.122
0.108	13.2249	17.5461	12.8776	3.4066e+00	0.1298	0.011	1480.39	66.997	6.2983	163.642399	4.4072	0.109
0.095	13.2244	17.5897	12.9112	3.4310e+00	0.1298	0.011	1480.44	66.938	6.2911	163.642399	4.4021	0.096
0.097	13.2236	17.5940	12.9147	3.4554e+00	0.1310	0.011	1480.44	66.933	6.2905	163.642400	4.4017	0.098
0.086	13.2229	17.6247	12.9384	3.4432e+00	0.1298	0.011	1480.47	66.928	6.2889	163.642400	4.4006	0.086
0.086	13.2224	17.6634	12.9683	3.4432e+00	0.1298	0.007	1480.52	66.863	6.2815	163.642401	4.3954	0.086
0.084	13.2218	17.6632	12.9683	3.4799e+00	0.1298	0.011	1480.52	66.913	6.2862	163.642401	4.3987	0.085
0.073	13.2212	17.6978	12.9950	3.5287e+00	0.1298	0.007	1480.55	66.850	6.2790	163.642402	4.3937	0.073
0.073	13.2199	17.7072	13.0024	3.5165e+00	0.1298	0.011	1480.56	66.841	6.2779	163.642402	4.3929	0.073
0.084	13.2191	17.6761	12.9786	3.5287e+00	0.1298	0.007	1480.52	66.832	6.2785	163.642403	4.3933	0.085
0.073	13.2186	17.6749	12.9778	3.5409e+00	0.1298	0.007	1480.52	66.824	6.2778	163.642403	4.3928	0.073
0.086	13.2183	17.6424	12.9529	3.5653e+00	0.1298	0.007	1480.48	66.816	6.2784	163.642404	4.3933	0.086
0.086	13.2181	17.5913	12.9135	3.6020e+00	0.1298	0.007	1480.42	66.809	6.2797	163.642404	4.3942	0.086
0.084	13.2178	17.5619	12.8910	3.6874e+00	0.1298	0.007	1480.38	66.802	6.2803	163.642405	4.3946	0.085
0.097	13.2178	17.5008	12.8439	3.7363e+00	0.1310	0.007	1480.31	66.796	6.2821	163.642405	4.3959	0.098
0.097	13.2178	17.4652	12.8165	3.7241e+00	0.1298	0.007	1480.27	66.731	6.2774	163.642405	4.3925	0.098
0.121	13.2180	17.4505	12.8052	3.6630e+00	0.1298	0.011	1480.25	66.720	6.2769	163.642406	4.3922	0.122
0.108	13.2183	17.4130	12.7762	3.6142e+00	0.1310	0.011	1480.21	66.710	6.2774	163.642406	4.3926	0.109
0.121	13.2191	17.4408	12.7976	3.5531e+00	0.1298	0.007	1480.25	66.701	6.2753	163.642407	4.3911	0.122
0.121	13.2198	17.4517	12.8058	3.5043e+00	0.1310	0.011	1480.26	66.633	6.2684	163.642407	4.3863	0.122
0.133	13.2206	17.4404	12.7969	3.4921e+00	0.1298	0.011	1480.25	66.620	6.2675	163.642408	4.3856	0.134
0.131	13.2210	17.5069	12.8481	3.5287e+00	0.1310	0.007	1480.33	66.607	6.2637	163.642408	4.3830	0.132
0.121	13.2211	17.5217	12.8594	3.5409e+00	0.1298	0.011	1480.35	66.596	6.2620	163.642409	4.3818	0.122
0.133	13.2213	17.5619	12.8903	3.5409e+00	0.1310	0.011	1480.40	66.526	6.2539	163.642409	4.3761	0.134
0.133	13.2213	17.6279	12.9411	3.5897e+00	0.1310	0.011	1480.47	66.511	6.2499	163.642410	4.3733	0.134
0.131	13.2211	17.6259	12.9396	3.6508e+00	0.1310	0.011	1480.47	66.497	6.2487	163.642410	4.3725	0.132
0.121	13.2211	17.6606	12.9663	3.6752e+00	0.1298	0.007	1480.51	66.485	6.2462	163.642411	4.3707	0.122
0.097	13.2209	17.6960	12.9937	3.6142e+00	0.1310	0.011	1480.55	66.414	6.2381	163.642411	4.3651	0.098
0.121	13.2204	17.7096	13.0042	3.5409e+00	0.1298	0.011	1480.57	66.458	6.2418	163.642412	4.3677	0.122
0.108	13.2203	17.7724	13.0526	3.4799e+00	0.1298	0.007	1480.64	66.389	6.2330	163.642412	4.3615	0.109
0.086	13.2198	17.7994	13.0735	3.4676e+00	0.1310	0.011	1480.67	66.376	6.2307	163.642413	4.3599	0.086
0.097	13.2191	17.8004	13.0743	3.4432e+00	0.1298	0.007	1480.67	66.365	6.2297	163.642413	4.3592	0.098
0.097	13.2188	17.8364	13.1020	3.4432e+00	0.1298	0.007	1480.71	66.354	6.2274	163.642414	4.3576	0.098
