DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0,000	13,1691	17,5711	12,9063	3,5213e+00	0,1300	0,009	1480,22	65,683	6,1825	163,642438	4,3261	-0,000
1,000	13,3463	19,9554	14,7114	3,2947e+00	0,1305	0,012	1483,65	71,428	6,5969	163,642519	4,6161	1,010
2,000	13,4148	21,2881	15,7253	3,2965e+00	0,1308	0,013	1485,47	78,347	7,1668	163,642548	5,0149	2,019
3,000	13,5223	22,9567	16,9908	2,9071e+00	0,1310	0,014	1487,81	80,079	7,2333	163,642571	5,0614	3,029
4,000	13,4864	23,6905	17,5626	2,4433e+00	0,1308	0,014	1488,56	81,313	7,3168	163,642591	5,1199	4,038
5,000	13,3750	24,4882	18,1977	1,6486e+00	0,1309	0,015	1489,14	81,572	7,3208	163,642609	5,1227	5,048
6,000	13,3144	24,9651	18,5765	1,6121e+00	0,1310	0,015	1489,51	81,407	7,2936	163,642628	5,1036	6,057
7,000	13,1536	25,7822	19,2364	1,4978e+00	0,1310	0,015	1489,94	80,839	7,2303	163,642646	5,0594	7,067
8,000	13,0989	26,1398	19,5224	1,3924e+00	0,1310	0,015	1490,19	79,806	7,1302	163,642664	4,9893	8,076
9,000	13,0895	26,3741	19,7050	1,4014e+00	0,1308	0,015	1490,45	79,108	7,0588	163,642683	4,9393	9,086
10,000	13,0054	26,6443	19,9291	1,3655e+00	0,1306	0,015	1490,50	78,862	7,0374	163,642701	4,9244	10,095
11,000	12,8573	26,9409	20,1855	1,2553e+00	0,1309	0,015	1490,36	78,659	7,0282	163,642719	4,9179	11,105
12,000	12,7786	27,1262	20,3430	1,1554e+00	0,1308	0,015	1490,33	78,618	7,0280	163,642738	4,9178	12,114
13,000	12,4784	27,7179	20,8552	1,0755e+00	0,1311	0,015	1490,01	78,750	7,0583	163,642757	4,9390	13,124
14,000	12,0751	28,2225	21,3180	9,2610e-01	0,1309	0,016	1489,23	78,549	7,0783	163,642775	4,9529	14,133
15,000	11,8314	28,5313	21,6008	9,1066e-01	0,1310	0,016	1488,77	78,035	7,0547	163,642794	4,9364	15,143
16,000	11,7183	28,7305	21,7751	8,3552e-01	0,1310	0,015	1488,63	77,632	7,0264	163,642814	4,9167	16,152
17,000	11,5928	28,9483	21,9659	7,3024e-01	0,1311	0,016	1488,46	76,789	6,9591	163,642832	4,8696	17,162
18,000	11,5716	28,9647	21,9824	6,5543e-01	0,1310	0,016	1488,42	76,677	6,9515	163,642850	4,8642	18,172
19,000	11,4658	29,1311	22,1300	6,1117e-01	0,1307	0,015	1488,27	76,285	6,9243	163,642871	4,8452	19,181
20,000	11,3797	29,2528	22,2393	5,2699e-01	0,1305	0,015	1488,13	76,178	6,9221	163,642889	4,8436	20,191
21,000	11,1863	29,4965	22,4619	4,5282e-01	0,1305	0,014	1487,75	75,985	6,9226	163,642907	4,8440	21,200
22,000	10,9159	29,7472	22,7028	4,0530e-01	0,1306	0,016	1487,11	75,511	6,9086	163,642928	4,8342	22,210
23,000	10,6771	29,9960	22,9366	3,7114e-01	0,1308	0,017	1486,57	75,211	6,9058	163,642947	4,8323	23,219
24,000	10,5241	30,1596	23,0894	3,4681e-01	0,1308	0,017	1486,24	74,375	6,8446	163,642966	4,7895	24,229
25,000	10,4178	30,2847	23,2045	3,1332e-01	0,1309	0,017	1486,02	73,585	6,7822	163,642986	4,7458	25,239
26,000	10,1465	30,5729	23,4735	2,7183e-01	0,1308	0,017	1485,41	73,337	6,7870	163,643007	4,7491	26,248
27,000	9,7037	30,7970	23,7194	2,5355e-01	0,1308	0,018	1484,08	73,550	6,8633	163,643025	4,8025	27,258
28,000	9,2772	30,8798	23,8509	2,4379e-01	0,1308	0,018	1482,63	72,844	6,8581	163,643045	4,7989	28,268
29,000	8,6573	31,1358	24,1453	2,3675e-01	0,1309	0,018	1480,65	71,791	6,8416	163,643065	4,7874	29,277
30,000	8,3817	31,3502	24,3538	2,2612e-01	0,1308	0,018	1479,90	71,104	6,8088	163,643084	4,7644	30,287
31,000	8,0187	31,6487	24,6401	2,1204e-01	0,1308	0,018	1478,91	70,283	6,7725	163,643104	4,7390	31,296
32,000	7,6460	32,0633	25,0183	2,0326e-01	0,1308	0,018	1478,01	69,676	6,7527	163,643125	4,7252	32,306
33,000	7,2153	32,6091	25,5067	1,9663e-01	0,1308	0,018	1477,05	68,714	6,7013	163,643144	4,6892	33,316
34,000	7,0852	32,8621	25,7235	1,9780e-01	0,1306	0,018	1476,88	67,531	6,5947	163,643163	4,6146	34,325
35,000	6,8714	33,2782	26,0798	1,9633e-01	0,1307	0,018	1476,58	66,069	6,4660	163,643182	4,5245	35,335
36,000	6,8303	33,4216	26,1983	1,9425e-01	0,1306	0,018	1476,62	64,487	6,3112	163,643198	4,4162	36,345
37,000	6,8038	33,5846	26,3303	1,9428e-01	0,1304	0,018	1476,73	63,332	6,1953	163,643214	4,3351	37,354
38,000	6,8196	33,6448	26,3756	1,8773e-01	0,1304	0,018	1476,89	62,620	6,1210	163,643232	4,2831	38,364
39,000	6,8377	33,7391	26,4475	1,8514e-01	0,1304	0,018	1477,09	61,976	6,0518	163,643250	4,2347	39,374
40,000	6,8577	33,7922	26,4866	1,8202e-01	0,1304	0,018	1477,26	61,662	6,0163	163,643266	4,2098	40,383
41,000	6,8837	33,8464	26,5258	1,8313e-01	0,1303	0,018	1477,44	61,459	5,9907	163,643283	4,1919	41,393
42,000	6,8984	33,8907	26,5588	1,7911e-01	0,1303	0,018	1477,57	61,242	5,9658	163,643301	4,1745	42,403
43,000	6,8978	33,9094	26,5736	1,7648e-01	0,1303	0,018	1477,61	60,855	5,9274	163,643319	4,1477	43,413
44,000	6,9039	33,9256	26,5855	1,7670e-01	0,1303	0,018	1477,67	60,413	5,8830	163,643335	4,1166	44,422
45,000	6,9074	33,9364	26,5936	1,7735e-01	0,1302	0,018	1477,71	60,221	5,8633	163,643354	4,1028	45,432
46,000	6,9357	33,9598	26,6081	1,7738e-01	0,1301	0,018	1477,87	60,204	5,8570	163,643372	4,0984	46,441
47,000	6,9667	33,9785	26,6186	1,7548e-01	0,1301	0,018	1478,03	60,297	5,8611	163,643389	4,1013	47,451
48,000	6,9869	33,9919	26,6264	1,7327e-01	0,1300	0,018	1478,14	60,426	5,8704	163,643406	4,1077	48,461
49,000	7,0190	34,0116	26,6375	1,7471e-01	0,1300	0,018	1478,31	60,156	5,8392	163,643425	4,0859	49,471
50,000	7,0334	34,0211	26,6431	1,7297e-01	0,1300	0,018	1478,39	59,579	5,7809	163,643443	4,0451	50,481
51,000	7,0490	34,0416	26,6571	1,7197e-01	0,1300	0,018	1478,49	59,187	5,7400	163,643460	4,0165	51,490
52,000	7,0697	34,0557	26,6653	1,7127e-01	0,1299	0,018	1478,61	58,800	5,6993	163,643478	3,9880	52,500
53,000	7,0909	34,0687	26,6726	1,7094e-01	0,1298	0,018	1478,72	58,368	5,6542	163,643496	3,9565	53,510
54,000	7,1253	34,0924	26,6865	1,7169e-01	0,1300	0,018	1478,90	57,974	5,6106	163,643513	3,9260	54,519
55,000	7,1659	34,1187	26,7016	1,7162e-01	0,1299	0,018	1479,11	57,651	5,5733	163,643530	3,8998	55,529
56,000	7,2009	34,1335	26,7083	1,7126e-01	0,1298	0,018	1479,28	57,251	5,5297	163,643548	3,8693	56,539
57,000	7,2212	34,1496	26,7182	1,7162e-01	0,1298	0,018	1479,39	56,536	5,4575	163,643566	3,8188	57,549
58,000	7,2372	34,1638	26,7272	1,7057e-01	0,1298	0,018	1479,49	55,529	5,3578	163,643583	3,7491	58,559
59,000	7,2597	34,1908	26,7452	1,7162e-01	0,1298	0,018	1479,62	54,777	5,2816	163,643600	3,6957	59,568
60,000	7,2763	34,2113	26,7590	1,7094e-01	0,1298	0,018	1479,73	54,202	5,2235	163,643618	3,6551	60,578
61,000	7,2870	34,2238	26,7674	1,7094e-01	0,1297	0,018	1479,81	53,682	5,1717	163,643636	3,6189	61,588
62,000	7,3051	34,2478	26,7837	1,6993e-01	0,1297	0,018	1479,92	52,943	5,0976	163,643653	3,5670	62,598
63,000	7,3292	34,2767	26,8031	1,6962e-01	0,1297	0,018	1480,07	52,257	5,0278	163,643671	3,5182	63,607
64,000	7,3580	34,3133	26,8278	1,6889e-01	0,1298	0,018	1480,24	51,795	4,9789	163,643689	3,4840	64,617
65,000	7,3700	34,3276	26,8373	1,6731e-01	0,1298	0,018	1480,32	51,011	4,9018	163,643706	3,4300	65,627
66,000	7,3877	34,3540	26,8556	1,6987e-01	0,1297	0,018	1480,44	49,939	4,7960	163,643722	3,3559	66,637
