DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.136	12.6753	21.3135	15.8736	1.1600e+00	0.1298	0.011	1482.91	71.427	6.6361	164.589699	4.6436	0.137
0.126	12.6758	21.3125	15.8727	1.1477e+00	0.1298	0.011	1482.91	71.426	6.6361	164.589700	4.6436	0.127
0.126	12.6754	21.3168	15.8761	1.1477e+00	0.1298	0.011	1482.91	71.426	6.6360	164.589700	4.6435	0.127
0.113	12.6754	21.3195	15.8782	1.1477e+00	0.1298	0.007	1482.91	71.367	6.6303	164.589701	4.6395	0.114
0.124	12.6759	21.3184	15.8772	1.1600e+00	0.1285	0.011	1482.91	71.361	6.6298	164.589701	4.6391	0.126
0.102	12.6763	21.3199	15.8784	1.1844e+00	0.1310	0.015	1482.92	71.356	6.6292	164.589701	4.6387	0.103
0.126	12.6762	21.3217	15.8798	1.1966e+00	0.1298	0.011	1482.92	71.351	6.6287	164.589702	4.6383	0.127
0.113	12.6769	21.3188	15.8774	1.1966e+00	0.1298	0.011	1482.92	71.346	6.6282	164.589702	4.6380	0.114
0.113	12.6776	21.3185	15.8770	1.1844e+00	0.1298	0.011	1482.92	71.342	6.6277	164.589703	4.6377	0.114
0.113	12.6778	21.3202	15.8783	1.1844e+00	0.1298	0.011	1482.92	71.337	6.6272	164.589703	4.6373	0.114
0.113	12.6786	21.3179	15.8764	1.2088e+00	0.1298	0.007	1482.92	71.333	6.6268	164.589704	4.6371	0.114
0.113	12.6797	21.3176	15.8760	1.1844e+00	0.1298	0.011	1482.93	71.270	6.6208	164.589704	4.6328	0.114
0.113	12.6799	21.3207	15.8784	1.1844e+00	0.1298	0.011	1482.93	71.261	6.6198	164.589705	4.6321	0.114
0.102	12.6798	21.3215	15.8790	1.1722e+00	0.1298	0.011	1482.93	71.252	6.6190	164.589705	4.6316	0.103
0.102	12.6789	21.3230	15.8803	1.1722e+00	0.1298	0.011	1482.93	71.244	6.6183	164.589706	4.6311	0.103
0.100	12.6787	21.3267	15.8832	1.1844e+00	0.1298	0.011	1482.93	71.236	6.6174	164.589706	4.6305	0.101
0.102	12.6787	21.3269	15.8833	1.2088e+00	0.1298	0.011	1482.93	71.169	6.6112	164.589707	4.6261	0.103
0.090	12.6784	21.3268	15.8833	1.1966e+00	0.1298	0.011	1482.93	71.157	6.6101	164.589707	4.6254	0.091
0.090	12.6784	21.3297	15.8855	1.1966e+00	0.1298	0.011	1482.94	71.146	6.6090	164.589708	4.6246	0.091
0.076	12.6777	21.3308	15.8866	1.1966e+00	0.1298	0.007	1482.94	71.135	6.6080	164.589708	4.6239	0.076
0.077	12.6772	21.3302	15.8861	1.1844e+00	0.1298	0.011	1482.93	71.125	6.6072	164.589709	4.6233	0.078
0.042	12.6767	21.3328	15.8882	1.1600e+00	0.1298	0.011	1482.93	71.115	6.6062	164.589709	4.6227	0.042
0.077	12.6764	21.3333	15.8886	1.1477e+00	0.1298	0.007	1482.93	71.107	6.6055	164.589710	4.6221	0.078
0.053	12.6762	21.3331	15.8885	1.1600e+00	0.1298	0.011	1482.93	71.039	6.5992	164.589710	4.6177	0.054
0.030	12.6762	21.3365	15.8911	1.1600e+00	0.1298	0.011	1482.94	71.086	6.6034	164.589711	4.6207	0.031
0.042	12.6767	21.3382	15.8924	1.1477e+00	0.1285	0.007	1482.94	71.080	6.6027	164.589711	4.6202	0.042
0.018	12.6769	21.3384	15.8925	1.1355e+00	0.1298	0.011	1482.94	71.074	6.6022	164.589712	4.6198	0.018
0.016	12.6772	21.3423	15.8955	1.1355e+00	0.1298	0.011	1482.95	71.070	6.6015	164.589712	4.6194	0.016
-0.018	12.6776	21.3458	15.8982	1.1233e+00	0.1298	0.007	1482.95	71.065	6.6009	164.589713	4.6189	-0.018
-0.005	12.6778	21.3465	15.8987	1.1233e+00	0.1298	0.011	1482.95	71.062	6.6006	164.589713	4.6187	-0.005
-0.042	12.6782	21.3480	15.8997	1.1233e+00	0.1298	0.011	1482.96	71.059	6.6002	164.589714	4.6184	-0.043
0.018	12.6786	21.3482	15.8998	1.1233e+00	0.1285	0.011	1482.96	71.058	6.6000	164.589714	4.6183	0.018
-0.029	12.6787	21.3477	15.8994	1.1477e+00	0.1298	0.011	1482.96	71.056	6.5998	164.589715	4.6182	-0.030
-0.041	12.6783	21.3490	15.9005	1.1477e+00	0.1298	0.015	1482.96	71.056	6.5998	164.589715	4.6181	-0.041
-0.042	12.6786	21.3505	15.9016	1.1722e+00	0.1298	0.011	1482.96	71.056	6.5997	164.589715	4.6181	-0.043
-0.041	12.6786	21.3479	15.8996	1.1600e+00	0.1298	0.011	1482.96	71.057	6.5999	164.589716	4.6182	-0.041
-0.054	12.6779	21.3467	15.8987	1.1600e+00	0.1298	0.011	1482.95	71.058	6.6002	164.589716	4.6184	-0.054
-0.054	12.6778	21.3480	15.8998	1.1477e+00	0.1298	0.011	1482.95	71.061	6.6004	164.589717	4.6186	-0.054
-0.055	12.6768	21.3466	15.8989	1.1355e+00	0.1298	0.007	1482.95	71.004	6.5953	164.589717	4.6150	-0.056
-0.041	12.6764	21.3444	15.8972	1.1355e+00	0.1310	0.011	1482.94	71.062	6.6009	164.589718	4.6189	-0.041
-0.041	12.6762	21.3460	15.8985	1.1477e+00	0.1298	0.011	1482.95	71.007	6.5957	164.589718	4.6153	-0.041
-0.055	12.6761	21.3468	15.8991	1.1477e+00	0.1285	0.007	1482.95	71.067	6.6012	164.589719	4.6192	-0.056
-0.029	12.6765	21.3469	15.8992	1.1722e+00	0.1298	0.011	1482.95	71.014	6.5962	164.589719	4.6157	-0.030
-0.029	12.6768	21.3489	15.9007	1.1722e+00	0.1298	0.011	1482.95	71.015	6.5963	164.589720	4.6157	-0.030
-0.018	12.6772	21.3498	15.9013	1.1600e+00	0.1298	0.007	1482.95	71.078	6.6020	164.589720	4.6197	-0.018
-0.031	12.6777	21.3477	15.8995	1.1722e+00	0.1298	0.011	1482.95	71.027	6.5973	164.589721	4.6164	-0.031
-0.005	12.6776	21.3488	15.9004	1.1722e+00	0.1298	0.011	1482.95	71.032	6.5977	164.589721	4.6167	-0.005
-0.005	12.6781	21.3503	15.9015	1.1844e+00	0.1285	0.007	1482.96	71.037	6.5980	164.589722	4.6169	-0.005
0.018	12.6777	21.3503	15.9016	1.1966e+00	0.1298	0.011	1482.96	71.043	6.5987	164.589722	4.6174	0.018
0.005	12.6777	21.3510	15.9021	1.2088e+00	0.1310	0.011	1482.96	71.050	6.5993	164.589723	4.6178	0.005
0.018	12.6775	21.3532	15.9038	1.2088e+00	0.1298	0.011	1482.96	71.058	6.6000	164.589723	4.6183	0.018
0.030	12.6772	21.3542	15.9047	1.1966e+00	0.1298	0.011	1482.96	71.008	6.5953	164.589724	4.6150	0.031
0.030	12.6766	21.3556	15.9058	1.1844e+00	0.1298	0.011	1482.96	71.066	6.6007	164.589724	4.6188	0.031
0.029	12.6771	21.3572	15.9070	1.1722e+00	0.1285	0.011	1482.96	71.011	6.5955	164.589725	4.6152	0.029
0.030	12.6770	21.3574	15.9072	1.1722e+00	0.1285	0.007	1482.96	71.071	6.6011	164.589725	4.6191	0.031
0.042	12.6774	21.3573	15.9070	1.1600e+00	0.1298	0.011	1482.96	71.018	6.5961	164.589726	4.6156	0.042
0.029	12.6777	21.3583	15.9077	1.1722e+00	0.1298	0.011	1482.97	71.020	6.5962	164.589726	4.6156	0.029
0.042	12.6782	21.3562	15.9061	1.1722e+00	0.1298	0.011	1482.97	70.964	6.5909	164.589727	4.6120	0.042
0.042	12.6780	21.3540	15.9044	1.1722e+00	0.1298	0.011	1482.96	70.962	6.5909	164.589727	4.6119	0.042
0.042	12.6781	21.3553	15.9054	1.1722e+00	0.1298	0.011	1482.96	70.961	6.5908	164.589728	4.6119	0.042
0.029	12.6772	21.3525	15.9033	1.1477e+00	0.1298	0.007	1482.96	70.896	6.5850	164.589728	4.6078	0.029
0.042	12.6769	21.3504	15.9018	1.1600e+00	0.1298	0.011	1482.95	70.887	6.5842	164.589728	4.6073	0.042
0.042	12.6763	21.3541	15.9047	1.1600e+00	0.1298	0.011	1482.96	70.878	6.5834	164.589729	4.6066	0.042
0.030	12.6756	21.3537	15.9045	1.1477e+00	0.1298	0.007	1482.95	70.871	6.5828	164.589729	4.6062	0.031
0.040	12.6754	21.3517	15.9031	1.1233e+00	0.1298	0.011	1482.95	70.805	6.5768	164.589730	4.6020	0.041
0.018	12.6748	21.3549	15.9056	1.1111e+00	0.1298	0.011	1482.95	70.788	6.5752	164.589730	4.6009	0.018
0.042	12.6750	21.3556	15.9062	1.0989e+00	0.1298	0.007	1482.95	70.773	6.5737	164.589731	4.5999	0.042
0.030	12.6748	21.3540	15.9050	1.1111e+00	0.1298	0.011	1482.95	70.699	6.5670	164.589731	4.5952	0.031
0.029	12.6748	21.3541	15.9050	1.0989e+00	0.1298	0.011	1482.95	70.681	6.5653	164.589732	4.5940	0.029
0.030	12.6744	21.3554	15.9061	1.0867e+00	0.1298	0.011	1482.95	70.664	6.5637	164.589732	4.5929	0.031
0.042	12.6745	21.3532	15.9044	1.0745e+00	0.1298	0.011	1482.95	70.589	6.5568	164.589733	4.5881	0.042
0.029	12.6744	21.3535	15.9046	1.0745e+00	0.1298	0.011	1482.95	70.569	6.5550	164.589733	4.5868	0.029
0.042	12.6744	21.3539	15.9049	1.0623e+00	0.1285	0.011	1482.95	70.486	6.5472	164.589734	4.5813	0.042
0.042	12.6743	21.3510	15.9027	1.0501e+00	0.1298	0.011	1482.95	70.464	6.5453	164.589734	4.5800	0.042
0.042	12.6737	21.3516	15.9033	1.0501e+00	0.1298	0.011	1482.94	70.444	6.5435	164.589735	4.5788	0.042
0.053	12.6735	21.3512	15.9030	1.0623e+00	0.1298	0.011	1482.94	70.366	6.5363	164.589735	4.5737	0.054
0.077	12.6729	21.3485	15.9010	1.0501e+00	0.1298	0.011	1482.94	70.345	6.5345	164.589736	4.5725	0.078
0.066	12.6726	21.3490	15.9015	1.0379e+00	0.1298	0.011	1482.94	70.325	6.5327	164.589736	4.5712	0.067
0.077	12.6724	21.3510	15.9030	1.0256e+00	0.1298	0.011	1482.94	70.248	6.5255	164.589737	4.5662	0.078
0.089	12.6728	21.3499	15.9021	1.0379e+00	0.1298	0.007	1482.94	70.227	6.5236	164.589737	4.5648	0.090
0.090	12.6735	21.3512	15.9030	1.0379e+00	0.1298	0.011	1482.94	70.149	6.5162	164.589738	4.5596	0.091
0.102	12.6735	21.3528	15.9042	1.0379e+00	0.1298	0.011	1482.95	70.128	6.5141	164.589738	4.5582	0.103
0.090	12.6739	21.3497	15.9017	1.0501e+00	0.1298	0.011	1482.94	70.049	6.5069	164.589739	4.5531	0.091
0.113	12.6750	21.3479	15.9002	1.0501e+00	0.1298	0.011	1482.95	70.028	6.5048	164.589739	4.5517	0.114
0.113	12.6761	21.3487	15.9006	1.0379e+00	0.1298	0.007	1482.95	69.949	6.4974	164.589740	4.5465	0.114
0.113	12.6768	21.3491	15.9008	1.0379e+00	0.1298	0.011	1482.95	69.928	6.4953	164.589740	4.5450	0.114
0.113	12.6777	21.3494	15.9009	1.0379e+00	0.1298	0.011	1482.96	69.850	6.4879	164.589741	4.5398	0.114
0.124	12.6784	21.3518	15.9026	1.0501e+00	0.1298	0.011	1482.96	69.764	6.4797	164.589741	4.5341	0.126
0.126	12.6794	21.3516	15.9023	1.0623e+00	0.1298	0.007	1482.97	69.741	6.4774	164.589742	4.5325	0.127
0.113	12.6801	21.3516	15.9022	1.0501e+00	0.1298	0.011	1482.97	69.655	6.4694	164.589742	4.5269	0.114
0.126	12.6806	21.3546	15.9044	1.0501e+00	0.1298	0.011	1482.97	69.634	6.4672	164.589742	4.5254	0.127
0.113	12.6809	21.3547	15.9044	1.0501e+00	0.1298	0.011	1482.97	69.490	6.4538	164.589743	4.5160	0.114
0.137	12.6814	21.3541	15.9039	1.0745e+00	0.1310	0.015	1482.98	69.519	6.4565	164.589743	4.5178	0.139
0.113	12.6820	21.3555	15.9049	1.0867e+00	0.1298	0.011	1482.98	69.444	6.4493	164.589744	4.5128	0.114
0.113	12.6820	21.3510	15.9014	1.1233e+00	0.1298	0.011	1482.97	69.420	6.4473	164.589744	4.5115	0.114
0.113	12.6826	21.3442	15.8960	1.1355e+00	0.1298	0.015	1482.97	69.342	6.4402	164.589745	4.5065	0.114
0.113	12.6825	21.3454	15.8969	1.1233e+00	0.1298	0.011	1482.97	69.321	6.4383	164.589745	4.5051	0.114
0.102	12.6824	21.3426	15.8948	1.1233e+00	0.1298	0.007	1482.97	69.245	6.4313	164.589746	4.5003	0.103
0.100	12.6824	21.3400	15.8928	1.0989e+00	0.1310	0.011	1482.96	69.168	6.4243	164.589746	4.4953	0.101
0.090	12.6829	21.3439	15.8958	1.0745e+00	0.1298	0.011	1482.97	69.150	6.4223	164.589747	4.4940	0.091
0.090	12.6824	21.3444	15.8962	1.0623e+00	0.1285	0.007	1482.97	69.130	6.4206	164.589747	4.4927	0.091
0.066	12.6829	21.3419	15.8942	1.0623e+00	0.1298	0.011	1482.97	69.061	6.4142	164.589748	4.4883	0.067
0.076	12.6826	21.3468	15.8980	1.0501e+00	0.1298	0.011	1482.97	68.986	6.4070	164.589748	4.4833	0.077
0.066	12.6825	21.3499	15.9005	1.0256e+00	0.1298	0.007	1482.97	68.975	6.4059	164.589749	4.4825	0.067
