DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0,000	12,6790	21,3526	15,9031	1,0913e+00	0,1298	0,011	1482,96	69,460	6,4514	164,589766	4,5143	0,000
1,000	12,6944	21,2259	15,8027	1,2134e+00	0,1301	0,013	1482,88	70,406	6,5422	164,589854	4,5778	1,010
2,000	12,6593	21,2436	15,8224	1,3976e+00	0,1299	0,012	1482,80	72,192	6,7125	164,589870	4,6970	2,019
3,000	12,6115	21,4748	16,0089	1,6988e+00	0,1300	0,012	1482,92	74,378	6,9128	164,589889	4,8372	3,028
4,000	12,5034	22,3237	16,6825	1,6053e+00	0,1299	0,011	1483,56	74,708	6,9225	164,589912	4,8440	4,038
5,000	12,5749	24,3342	18,2227	1,1262e+00	0,1299	0,012	1486,21	77,126	7,0465	164,589930	4,9307	5,048
6,000	12,6332	25,8989	19,4211	1,0210e+00	0,1300	0,014	1488,28	77,254	6,9807	164,589948	4,8847	6,057
7,000	12,6578	26,7505	20,0747	8,9911e-01	0,1304	0,015	1489,38	77,602	6,9713	164,589972	4,8781	7,066
8,000	12,5580	27,4216	20,6116	6,7470e-01	0,1307	0,016	1489,85	77,779	6,9725	164,589990	4,8789	8,076
9,000	12,3626	27,8813	21,0025	5,5198e-01	0,1305	0,016	1489,74	76,967	6,9082	164,590008	4,8340	9,086
10,000	12,1855	28,2008	21,2817	4,9335e-01	0,1304	0,016	1489,52	76,092	6,8417	164,590031	4,7874	10,095
11,000	12,0337	28,4581	21,5082	4,1990e-01	0,1306	0,017	1489,32	75,694	6,8168	164,590051	4,7700	11,105
12,000	11,9090	28,5321	21,5876	3,7715e-01	0,1304	0,015	1488,99	74,960	6,7654	164,590068	4,7340	12,114
13,000	11,8014	28,6452	21,6943	3,3232e-01	0,1304	0,015	1488,77	74,412	6,7266	164,590091	4,7069	13,124
14,000	11,6641	28,7582	21,8060	2,6311e-01	0,1303	0,015	1488,44	73,673	6,6746	164,590112	4,6705	14,133
15,000	11,5004	28,8995	21,9441	2,5677e-01	0,1303	0,016	1488,05	73,323	6,6603	164,590129	4,6605	15,143
16,000	11,2924	29,1131	22,1460	2,4424e-01	0,1303	0,016	1487,59	73,104	6,6611	164,590152	4,6610	16,152
17,000	11,2541	29,1629	22,1912	2,3385e-01	0,1305	0,017	1487,53	72,500	6,6093	164,590173	4,6248	17,162
18,000	11,1544	29,3161	22,3273	2,2588e-01	0,1305	0,017	1487,37	72,413	6,6092	164,590192	4,6247	18,172
