DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.465	2.3837	27.6149	22.0367	3.6630e-01	0.1273	0.011	1450.13	74.320	5.8930	43.460556
0.480	2.3857	27.6079	22.0309	3.7851e-01	0.1273	0.007	1450.13	74.255	5.8879	43.460556
0.467	2.3883	27.6068	22.0298	3.9072e-01	0.1273	0.011	1450.14	74.181	5.8817	43.460557
0.467	2.3901	27.6064	22.0295	3.7851e-01	0.1273	0.011	1450.15	74.100	5.8750	43.460557
0.478	2.3911	27.6038	22.0273	3.7851e-01	0.1273	0.007	1450.15	74.074	5.8729	43.460557
0.480	2.3907	27.6081	22.0307	3.6630e-01	0.1285	0.011	1450.15	74.049	5.8708	43.460558
0.480	2.3897	27.6115	22.0335	3.6630e-01	0.1273	0.007	1450.15	73.962	5.8639	43.460558
0.480	2.3897	27.6078	22.0306	3.4188e-01	0.1285	0.007	1450.15	73.867	5.8565	43.460559
0.480	2.3897	27.6092	22.0316	3.2967e-01	0.1285	0.011	1450.15	73.828	5.8534	43.460559
0.478	2.3902	27.6070	22.0299	3.4188e-01	0.1273	0.011	1450.15	73.792	5.8505	43.460560
0.480	2.3911	27.6040	22.0274	3.6630e-01	0.1285	0.011	1450.15	73.693	5.8427	43.460560
0.480	2.3916	27.6049	22.0281	3.7851e-01	0.1273	0.011	1450.15	73.651	5.8392	43.460561
0.480	2.3928	27.6040	22.0273	3.6630e-01	0.1273	0.007	1450.16	73.548	5.8309	43.460561
0.478	2.3938	27.6070	22.0297	3.6630e-01	0.1273	0.011	1450.16	73.502	5.8270	43.460562
0.480	2.3944	27.6072	22.0298	3.5409e-01	0.1273	0.011	1450.17	73.394	5.8184	43.460562
0.480	2.3948	27.6072	22.0298	3.5409e-01	0.1285	0.007	1450.17	73.281	5.8093	43.460563
0.480	2.3950	27.6103	22.0322	3.9072e-01	0.1273	0.011	1450.17	73.225	5.8048	43.460563
0.454	2.3953	27.6080	22.0304	4.0293e-01	0.1273	0.011	1450.17	73.109	5.7956	43.460564
0.516	2.3955	27.6109	22.0326	3.7851e-01	0.1285	0.007	1450.18	73.053	5.7910	43.460564
0.456	2.3957	27.6158	22.0366	3.4188e-01	0.1273	0.011	1450.18	72.935	5.7814	43.460565
0.480	2.3959	27.6133	22.0346	3.4188e-01	0.1285	0.011	1450.18	72.877	5.7769	43.460565
0.467	2.3957	27.6173	22.0378	3.5409e-01	0.1273	0.011	1450.19	72.758	5.7674	43.460566
0.465	2.3942	27.6213	22.0411	3.4188e-01	0.1273	0.011	1450.19	72.700	5.7628	43.460566
0.456	2.3933	27.6180	22.0385	3.1746e-01	0.1285	0.011	1450.18	72.582	5.7537	43.460567
0.467	2.3916	27.6198	22.0400	3.1746e-01	0.1273	0.007	1450.17	72.524	5.7493	43.460567
0.456	2.3891	27.6233	22.0430	3.4188e-01	0.1273	0.011	1450.16	72.471	5.7453	43.460568
0.443	2.3881	27.6222	22.0422	3.6630e-01	0.1273	0.011	1450.16	72.359	5.7366	43.460568
0.456	2.3880	27.6273	22.0462	4.1514e-01	0.1273	0.011	1450.17	72.243	5.7272	43.460569
0.443	2.3871	27.6308	22.0491	4.1514e-01	0.1273	0.011	1450.17	72.187	5.7228	43.460569
0.443	2.3862	27.6310	22.0493	3.9072e-01	0.1273	0.011	1450.16	72.073	5.7139	43.460570
0.431	2.3854	27.6409	22.0573	3.6630e-01	0.1273	0.011	1450.17	72.020	5.7094	43.460570
0.430	2.3851	27.6437	22.0595	3.4188e-01	0.1273	0.011	1450.17	71.974	5.7057	43.460571
0.443	2.3852	27.6390	22.0558	3.4188e-01	0.1273	0.011	1450.17	71.869	5.6976	43.460571
0.431	2.3854	27.6435	22.0593	3.4188e-01	0.1273	0.007	1450.17	71.762	5.6889	43.460571
0.420	2.3854	27.6408	22.0572	3.5409e-01	0.1285	0.011	1450.17	71.716	5.6853	43.460572
0.430	2.3854	27.6361	22.0534	3.4188e-01	0.1273	0.011	1450.16	71.614	5.6774	43.460572
0.420	2.3849	27.6381	22.0550	3.1746e-01	0.1285	0.007	1450.17	71.573	5.6742	43.460573
0.420	2.3838	27.6353	22.0529	3.1746e-01	0.1285	0.011	1450.16	71.540	5.6718	43.460573
0.420	2.3825	27.6342	22.0521	3.2967e-01	0.1273	0.011	1450.15	71.451	5.6650	43.460574
0.418	2.3812	27.6416	22.0581	3.4188e-01	0.1273	0.011	1450.15	71.424	5.6627	43.460574
0.420	2.3804	27.6430	22.0593	3.4188e-01	0.1273	0.015	1450.15	71.340	5.6562	43.460575
0.420	2.3807	27.6505	22.0652	3.4188e-01	0.1273	0.011	1450.16	71.256	5.6491	43.460575
0.407	2.3803	27.6675	22.0788	3.4188e-01	0.1273	0.011	1450.18	71.234	5.6468	43.460576
0.420	2.3799	27.6694	22.0804	3.4188e-01	0.1285	0.011	1450.18	71.221	5.6458	43.460576
0.406	2.3792	27.6777	22.0871	3.4188e-01	0.1273	0.007	1450.19	71.153	5.6401	43.460577
0.407	2.3779	27.6890	22.0962	3.5409e-01	0.1273	0.011	1450.20	71.149	5.6395	43.460577
0.420	2.3767	27.6818	22.0905	3.7851e-01	0.1273	0.011	1450.19	71.153	5.6403	43.460578
0.407	2.3761	27.6825	22.0911	3.9072e-01	0.1273	0.007	1450.18	71.102	5.6364	43.460578
0.418	2.3751	27.6875	22.0952	3.9072e-01	0.1273	0.011	1450.19	71.116	5.6374	43.460579
0.407	2.3747	27.6799	22.0891	3.7851e-01	0.1273	0.011	1450.17	71.074	5.6344	43.460579
0.407	2.3739	27.6834	22.0919	3.6630e-01	0.1273	0.011	1450.18	71.023	5.6304	43.460580
0.407	2.3737	27.6894	22.0967	3.5409e-01	0.1273	0.011	1450.18	71.027	5.6305	43.460580
0.418	2.3733	27.6874	22.0952	3.5409e-01	0.1285	0.011	1450.18	70.967	5.6259	43.460581
0.407	2.3730	27.7026	22.1074	3.4188e-01	0.1273	0.011	1450.20	70.970	5.6256	43.460581
0.420	2.3727	27.7152	22.1174	3.2967e-01	0.1273	0.015	1450.21	70.919	5.6211	43.460582
0.420	2.3723	27.7218	22.1227	3.2967e-01	0.1285	0.011	1450.22	70.923	5.6212	43.460582
0.407	2.3702	27.7470	22.1429	3.2967e-01	0.1273	0.011	1450.24	70.926	5.6208	43.460583
0.430	2.3673	27.7612	22.1545	3.6630e-01	0.1273	0.015	1450.25	70.939	5.6216	43.460583
0.431	2.3635	27.7689	22.1609	3.9072e-01	0.1273	0.011	1450.24	70.896	5.6185	43.460584
0.420	2.3603	27.7918	22.1794	3.7851e-01	0.1285	0.011	1450.26	70.908	5.6190	43.460584
0.431	2.3589	27.7868	22.1755	3.6630e-01	0.1273	0.011	1450.24	70.864	5.6159	43.460584
0.430	2.3584	27.7777	22.1682	3.6630e-01	0.1273	0.011	1450.23	70.875	5.6172	43.460585
0.443	2.3582	27.7854	22.1744	3.6630e-01	0.1273	0.011	1450.24	70.830	5.6134	43.460585
0.443	2.3586	27.7680	22.1605	3.6630e-01	0.1285	0.011	1450.22	70.840	5.6148	43.460586
0.443	2.3584	27.7547	22.1499	3.4188e-01	0.1273	0.007	1450.20	70.785	5.6110	43.460586
0.443	2.3587	27.7610	22.1548	3.1746e-01	0.1273	0.011	1450.21	70.793	5.6113	43.460587
0.456	2.3593	27.7575	22.1521	3.2967e-01	0.1285	0.011	1450.21	70.801	5.6120	43.460587
0.456	2.3597	27.7695	22.1616	3.5409e-01	0.1285	0.011	1450.23	70.753	5.6077	43.460588
0.456	2.3598	27.7942	22.1813	3.5409e-01	0.1273	0.011	1450.26	70.760	5.6072	43.460588
0.456	2.3600	27.8044	22.1894	3.4188e-01	0.1285	0.011	1450.27	70.710	5.6029	43.460589
0.465	2.3598	27.8367	22.2153	3.4188e-01	0.1273	0.011	1450.31	70.715	5.6021	43.460589
0.456	2.3573	27.8677	22.2402	3.5409e-01	0.1273	0.015	1450.34	70.665	5.5972	43.460590
0.467	2.3515	27.8865	22.2556	4.0293e-01	0.1285	0.011	1450.34	70.604	5.5926	43.460590
0.467	2.3427	27.9293	22.2904	4.6398e-01	0.1273	0.007	1450.36	70.608	5.5925	43.460591
0.465	2.3403	27.9483	22.3056	4.3956e-01	0.1273	0.015	1450.37	70.620	5.5931	43.460591
0.467	2.3367	27.9559	22.3119	3.9072e-01	0.1285	0.011	1450.37	70.568	5.5891	43.460592
0.467	2.3331	27.9817	22.3328	3.6630e-01	0.1273	0.011	1450.38	70.569	5.5887	43.460592
0.480	2.3291	27.9778	22.3299	3.6630e-01	0.1273	0.011	1450.36	70.579	5.5902	43.460593
0.478	2.3245	27.9646	22.3197	3.6630e-01	0.1285	0.011	1450.32	70.524	5.5870	43.460593
0.467	2.3211	27.9706	22.3247	3.6630e-01	0.1273	0.011	1450.32	70.531	5.5879	43.460594
0.467	2.3201	27.9455	22.3047	3.6630e-01	0.1285	0.011	1450.28	70.483	5.5852	43.460594
0.480	2.3197	27.9236	22.2873	3.5409e-01	0.1273	0.011	1450.25	70.489	5.5866	43.460595
0.467	2.3192	27.9193	22.2838	3.2967e-01	0.1273	0.011	1450.24	70.430	5.5821	43.460595
0.478	2.3196	27.8972	22.2661	3.5409e-01	0.1285	0.011	1450.21	70.434	5.5832	43.460596
0.480	2.3201	27.9061	22.2732	4.0293e-01	0.1273	0.011	1450.23	70.372	5.5779	43.460596
0.467	2.3200	27.9238	22.2873	4.3956e-01	0.1285	0.011	1450.25	70.374	5.5774	43.460597
0.480	2.3202	27.9151	22.2804	4.2735e-01	0.1285	0.011	1450.24	70.321	5.5735	43.460597
0.465	2.3205	27.9390	22.2995	3.9072e-01	0.1273	0.007	1450.27	70.321	5.5725	43.460598
0.480	2.3196	27.9558	22.3129	3.5409e-01	0.1285	0.015	1450.29	70.330	5.5727	43.460598
0.467	2.3187	27.9630	22.3187	3.6630e-01	0.1285	0.011	1450.30	70.274	5.5681	43.460598
0.480	2.3151	28.0015	22.3498	3.6630e-01	0.1273	0.011	1450.33	70.272	5.5670	43.460599
0.456	2.3097	28.0078	22.3552	3.6630e-01	0.1273	0.015	1450.31	70.214	5.5629	43.460599
0.478	2.3026	28.0118	22.3588	3.7851e-01	0.1273	0.011	1450.29	70.219	5.5642	43.460600
0.467	2.2912	28.0384	22.3807	3.6630e-01	0.1273	0.011	1450.27	70.224	5.5652	43.460600
0.456	2.2803	28.0354	22.3790	3.5409e-01	0.1285	0.011	1450.22	70.173	5.5628	43.460601
0.467	2.2690	28.0390	22.3827	3.4188e-01	0.1273	0.011	1450.18	70.186	5.5653	43.460601
0.465	2.2613	28.0516	22.3932	3.5409e-01	0.1285	0.011	1450.16	70.197	5.5667	43.460602
0.467	2.2580	28.0362	22.3811	4.2735e-01	0.1285	0.011	1450.12	70.151	5.5642	43.460602
0.456	2.2568	28.0295	22.3758	4.8840e-01	0.1285	0.007	1450.11	70.094	5.5601	43.460603
0.456	2.2579	28.0272	22.3739	4.5177e-01	0.1285	0.011	1450.11	70.091	5.5598	43.460603
0.443	2.2610	28.0078	22.3582	3.9072e-01	0.1273	0.011	1450.10	70.031	5.5553	43.460604
0.467	2.2636	28.0140	22.3630	3.5409e-01	0.1285	0.011	1450.12	70.026	5.5543	43.460604
0.456	2.2659	28.0168	22.3651	3.4188e-01	0.1273	0.015	1450.13	70.028	5.5540	43.460605
0.443	2.2680	28.0144	22.3630	3.5409e-01	0.1273	0.011	1450.14	69.965	5.5488	43.460605
0.443	2.2703	28.0405	22.3838	3.5409e-01	0.1273	0.011	1450.18	69.964	5.5475	43.460606
0.454	2.2717	28.0418	22.3847	3.4188e-01	0.1285	0.011	1450.19	69.973	5.5479	43.460606
0.456	2.2722	28.0382	22.3818	3.2967e-01	0.1285	0.011	1450.19	69.925	5.5442	43.460607
0.443	2.2657	28.0629	22.4019	3.2967e-01	0.1273	0.011	1450.19	69.931	5.5447	43.460607
0.456	2.2579	28.0723	22.4100	3.5409e-01	0.1285	0.015	1450.17	69.883	5.5415	43.460608
0.443	2.2517	28.0865	22.4217	4.2735e-01	0.1273	0.011	1450.16	69.887	5.5422	43.460608
