DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.298	2.0160	23.4745	18.7493	3.6630e-01	0.1273	0.011	1443.09	73.414	6.0456	45.655417
0.285	2.0162	23.4709	18.7465	4.1514e-01	0.1273	0.007	1443.08	73.350	6.0404	45.655417
0.298	2.0171	23.4753	18.7499	4.6398e-01	0.1273	0.011	1443.09	73.341	6.0393	45.655418
0.296	2.0177	23.4874	18.7596	4.6398e-01	0.1273	0.007	1443.11	73.332	6.0380	45.655418
0.298	2.0181	23.4787	18.7526	4.8840e-01	0.1285	0.011	1443.10	73.324	6.0376	45.655419
0.298	2.0185	23.4822	18.7554	5.1282e-01	0.1285	0.011	1443.11	73.316	6.0367	45.655419
0.298	2.0186	23.4901	18.7617	5.2503e-01	0.1273	0.011	1443.12	73.244	6.0305	45.655420
0.296	2.0188	23.4802	18.7538	4.7619e-01	0.1273	0.011	1443.11	73.292	6.0348	45.655420
0.298	2.0192	23.4855	18.7580	3.7851e-01	0.1273	0.011	1443.12	73.221	6.0287	45.655421
0.298	2.0194	23.4781	18.7521	3.5409e-01	0.1273	0.011	1443.11	73.206	6.0277	45.655421
0.298	2.0202	23.4648	18.7414	4.3956e-01	0.1273	0.011	1443.09	73.191	6.0270	45.655421
0.307	2.0208	23.4677	18.7437	4.5177e-01	0.1285	0.011	1443.10	73.178	6.0256	45.655422
0.298	2.0217	23.4617	18.7389	3.9072e-01	0.1273	0.011	1443.10	73.165	6.0247	45.655422
0.298	2.0228	23.4536	18.7324	3.9072e-01	0.1273	0.007	1443.09	73.089	6.0185	45.655423
0.298	2.0239	23.4598	18.7373	4.3956e-01	0.1273	0.011	1443.10	73.132	6.0217	45.655423
0.298	2.0248	23.4570	18.7349	4.7619e-01	0.1273	0.007	1443.10	73.058	6.0156	45.655424
0.307	2.0263	23.4546	18.7330	4.7619e-01	0.1285	0.011	1443.11	73.040	6.0139	45.655424
0.298	2.0279	23.4669	18.7427	4.7619e-01	0.1273	0.011	1443.13	73.022	6.0117	45.655425
0.298	2.0285	23.4696	18.7449	5.0061e-01	0.1273	0.011	1443.14	73.006	6.0102	45.655425
0.309	2.0293	23.4732	18.7477	5.2503e-01	0.1285	0.011	1443.15	72.991	6.0087	45.655426
0.296	2.0292	23.4943	18.7646	5.7387e-01	0.1273	0.011	1443.17	72.914	6.0015	45.655426
0.309	2.0301	23.5022	18.7708	5.6166e-01	0.1273	0.007	1443.19	72.892	5.9992	45.655427
0.309	2.0303	23.5010	18.7698	5.2503e-01	0.1285	0.011	1443.19	72.808	5.9923	45.655427
0.298	2.0305	23.5023	18.7709	5.3724e-01	0.1273	0.011	1443.19	72.845	5.9953	45.655428
0.296	2.0310	23.4863	18.7581	5.3724e-01	0.1285	0.011	1443.17	72.764	5.9892	45.655428
0.309	2.0310	23.4775	18.7511	4.6398e-01	0.1273	0.011	1443.16	72.741	5.9876	45.655429
0.298	2.0314	23.4801	18.7531	4.0293e-01	0.1285	0.007	1443.16	72.719	5.9857	45.655429
0.309	2.0319	23.4760	18.7498	3.2967e-01	0.1273	0.011	1443.16	72.634	5.9788	45.655430
0.296	2.0327	23.4774	18.7509	3.1746e-01	0.1285	0.011	1443.17	72.607	5.9764	45.655430
0.298	2.0336	23.4777	18.7511	4.2735e-01	0.1285	0.011	1443.17	72.583	5.9742	45.655431
0.285	2.0342	23.4664	18.7421	6.1050e-01	0.1273	0.011	1443.16	72.496	5.9675	45.655431
0.298	2.0342	23.4661	18.7418	6.9597e-01	0.1273	0.015	1443.16	72.467	5.9651	45.655432
0.296	2.0337	23.4701	18.7450	7.2039e-01	0.1273	0.011	1443.16	72.441	5.9629	45.655432
0.285	2.0337	23.4708	18.7455	6.5934e-01	0.1273	0.007	1443.16	72.418	5.9609	45.655433
0.285	2.0333	23.4802	18.7531	5.4945e-01	0.1273	0.011	1443.17	72.333	5.9536	45.655433
0.274	2.0333	23.4869	18.7585	4.1514e-01	0.1273	0.011	1443.18	72.306	5.9511	45.655434
0.285	2.0333	23.4870	18.7585	3.2967e-01	0.1273	0.007	1443.18	72.282	5.9492	45.655434
0.285	2.0337	23.4969	18.7664	3.4188e-01	0.1285	0.011	1443.20	72.197	5.9417	45.655435
0.285	2.0342	23.5056	18.7733	4.0293e-01	0.1273	0.007	1443.21	72.171	5.9391	45.655435
