DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0,000	14,7629	11,1617	7,7139	7,4102e+00	0,1307	0,009	1478,24	71,583	6,7755	165,332770	4,7411	0,000
1,000	14,6168	11,7133	8,1618	5,3151e+00	0,1312	0,012	1478,40	77,737	7,3555	165,332871	5,1470	1,009
2,000	14,4771	12,4431	8,7452	4,7055e+00	0,1315	0,013	1478,78	78,799	7,4446	165,332885	5,2093	2,019
3,000	14,2789	13,4085	9,5196	3,8137e+00	0,1313	0,014	1479,25	79,825	7,5283	165,332905	5,2679	3,029
4,000	14,0493	14,5985	10,4721	2,4854e+00	0,1314	0,015	1479,86	79,578	7,4865	165,332926	5,2386	4,038
5,000	13,7455	16,0977	11,6755	1,6158e+00	0,1314	0,016	1480,58	78,721	7,3850	165,332946	5,1676	5,047
6,000	13,1508	19,1104	14,0948	1,0261e+00	0,1316	0,016	1482,07	77,556	7,2318	165,332965	5,0604	6,057
7,000	12,8903	20,3646	15,1053	8,3641e-01	0,1316	0,017	1482,65	76,212	7,0903	165,332984	4,9613	7,067
8,000	12,5939	21,6531	16,1495	7,2806e-01	0,1316	0,015	1483,15	74,843	6,9509	165,333004	4,8638	8,076
9,000	12,1943	22,9713	17,2351	5,9728e-01	0,1314	0,015	1483,33	72,911	6,7734	165,333024	4,7396	9,086
10,000	11,7882	23,8648	17,9941	5,1093e-01	0,1315	0,015	1482,97	71,023	6,6187	165,333043	4,6313	10,095
11,000	11,4148	24,7979	18,7783	4,4933e-01	0,1313	0,015	1482,77	70,229	6,5590	165,333063	4,5896	11,105
12,000	11,2210	25,1198	19,0595	4,5303e-01	0,1315	0,015	1482,48	68,955	6,4539	165,333082	4,5161	12,114
13,000	10,9401	25,5475	19,4367	4,2597e-01	0,1317	0,016	1482,00	66,483	6,2438	165,333102	4,3690	13,124
14,000	10,7919	25,7016	19,5801	4,1087e-01	0,1317	0,017	1481,67	64,590	6,0798	165,333121	4,2543	14,133
15,000	10,3717	26,0560	19,9216	4,0870e-01	0,1313	0,017	1480,58	63,152	5,9859	165,333141	4,1886	15,143
16,000	10,0220	26,3222	20,1826	3,9800e-01	0,1315	0,017	1479,64	61,664	5,8801	165,333160	4,1145	16,152
17,000	9,6843	26,6149	20,4614	3,7833e-01	0,1315	0,017	1478,76	60,251	5,7777	165,333179	4,0429	17,162
18,000	9,2443	27,0010	20,8272	3,7058e-01	0,1314	0,017	1477,61	58,622	5,6628	165,333199	3,9625	18,172
19,000	8,7816	27,5305	21,3072	3,8377e-01	0,1313	0,016	1476,53	56,611	5,5070	165,333219	3,8535	19,181
20,000	8,5169	27,8795	21,6173	3,7223e-01	0,1311	0,015	1475,97	54,531	5,3244	165,333239	3,7257	20,191
21,000	8,2177	28,2753	21,9684	3,6543e-01	0,1311	0,015	1475,33	51,918	5,0909	165,333259	3,5623	21,200
22,000	8,0605	28,5101	22,1737	3,5694e-01	0,1309	0,015	1475,04	49,168	4,8310	165,333279	3,3805	22,210
23,000	7,9181	28,7250	22,3614	3,9537e-01	0,1308	0,015	1474,77	46,681	4,5953	165,333299	3,2155	23,220
24,000	7,8230	28,8850	22,4996	3,7960e-01	0,1309	0,017	1474,62	44,319	4,3676	165,333320	3,0562	24,229
25,000	7,7696	28,9825	22,5833	3,7405e-01	0,1309	0,017	1474,55	42,861	4,2264	165,333339	2,9574	25,239
26,000	7,7330	29,0616	22,6502	3,8525e-01	0,1309	0,017	1474,52	41,345	4,0783	165,333361	2,8537	26,248
27,000	7,6863	29,1312	22,7110	3,7353e-01	0,1309	0,018	1474,45	40,176	3,9654	165,333382	2,7747	27,258
28,000	7,6718	29,1581	22,7340	3,8599e-01	0,1309	0,018	1474,44	39,453	3,8947	165,333402	2,7253	28,268
29,000	7,6501	29,1894	22,7614	3,7593e-01	0,1309	0,018	1474,41	39,057	3,8567	165,333423	2,6987	29,277
30,000	7,5648	29,3012	22,8605	1,0230e+00	0,1302	0,017	1474,24	39,233	3,8788	165,333676	2,7142	30,287
31,000	7,5688	29,2960	22,8559	3,8982e-01	0,1301	0,018	1474,26	39,374	3,8926	165,333792	2,7238	31,296
32,000	7,5337	29,3333	22,8898	4,3755e-01	0,1300	0,018	1474,19	39,433	3,9005	165,333833	2,7294	32,306
33,000	7,4475	29,4266	22,9743	6,2852e-01	0,1301	0,018	1473,99	39,616	3,9241	165,333900	2,7458	33,315
