DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.269	5.9762	23.5229	18.5006	1.1844e+00	0.6339	1.022	1460.20	95.369	7.1139	338.471782
0.271	5.9764	23.5220	18.4999	1.2943e+00	0.6339	1.022	1460.20	95.120	7.0954	338.471783
0.259	5.9765	23.5225	18.5003	1.3309e+00	0.6327	1.004	1460.20	95.028	7.0885	338.471783
0.271	5.9764	23.5206	18.4988	1.2821e+00	0.6315	1.000	1460.20	94.930	7.0813	338.471784
0.269	5.9765	23.5191	18.4976	1.2210e+00	0.6315	1.000	1460.19	94.701	7.0643	338.471784
0.271	5.9765	23.5195	18.4979	1.1722e+00	0.6302	1.007	1460.19	94.514	7.0503	338.471785
0.271	5.9765	23.5195	18.4979	1.1477e+00	0.6315	0.993	1460.19	94.315	7.0355	338.471785
0.259	5.9764	23.5202	18.4984	1.1477e+00	0.6278	0.971	1460.19	94.105	7.0197	338.471786
0.258	5.9764	23.5215	18.4995	1.1111e+00	0.6290	0.963	1460.20	93.883	7.0032	338.471786
0.259	5.9767	23.5211	18.4991	1.1966e+00	0.6290	0.960	1460.20	93.652	6.9859	338.471787
0.246	5.9761	23.5214	18.4994	1.2088e+00	0.6302	0.982	1460.19	93.411	6.9680	338.471787
0.235	5.9765	23.5210	18.4991	1.2088e+00	0.6315	1.011	1460.20	93.161	6.9493	338.471788
0.235	5.9764	23.5203	18.4986	1.1844e+00	0.6290	1.132	1460.19	92.841	6.9255	338.471788
0.233	5.9765	23.5202	18.4984	1.2698e+00	0.6278	1.546	1460.19	92.568	6.9051	338.471789
0.224	5.9762	23.5205	18.4987	1.3797e+00	0.6278	1.538	1460.19	92.289	6.8843	338.471789
0.199	5.9764	23.5126	18.4925	1.3065e+00	0.6302	1.337	1460.18	92.004	6.8634	338.471790
0.199	5.9765	23.5054	18.4868	1.1966e+00	0.6278	1.176	1460.18	91.713	6.8420	338.471790
0.187	5.9764	23.5042	18.4858	1.2210e+00	0.6278	1.099	1460.17	91.418	6.8201	338.471791
0.211	5.9765	23.5034	18.4852	1.2332e+00	0.6290	1.066	1460.17	91.119	6.7978	338.471791
0.187	5.9765	23.5025	18.4845	1.1966e+00	0.6302	1.081	1460.17	90.817	6.7753	338.471792
0.187	5.9767	23.5018	18.4840	1.1966e+00	0.6302	1.088	1460.17	90.512	6.7525	338.471792
0.174	5.9765	23.5009	18.4832	1.1722e+00	0.6278	1.088	1460.17	90.267	6.7343	338.471793
0.175	5.9764	23.5003	18.4828	1.1600e+00	0.6290	1.121	1460.17	89.967	6.7120	338.471793
0.164	5.9759	23.5008	18.4832	1.1722e+00	0.6290	1.132	1460.17	89.665	6.6895	338.471793
0.164	5.9757	23.5001	18.4827	1.1600e+00	0.6302	1.092	1460.16	89.363	6.6670	338.471794
