DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.660	5.6485	25.5608	20.1396	7.2039e-01	0.4031	0.850	1461.42	94.069	6.9774	339.620741
0.671	5.6489	25.5584	20.1376	6.9597e-01	0.4044	0.835	1461.42	94.007	6.9728	339.620741
0.660	5.6487	25.5575	20.1369	7.2039e-01	0.4080	0.824	1461.42	93.999	6.9723	339.620742
0.660	5.6486	25.5560	20.1357	7.4481e-01	0.4080	0.832	1461.42	93.929	6.9672	339.620742
0.670	5.6483	25.5546	20.1347	7.3260e-01	0.4080	0.861	1461.41	93.915	6.9662	339.620743
0.671	5.6482	25.5551	20.1351	7.0818e-01	0.4105	0.883	1461.41	93.901	6.9652	339.620743
0.671	5.6485	25.5547	20.1347	7.2039e-01	0.4080	0.872	1461.42	93.888	6.9642	339.620744
0.671	5.6483	25.5550	20.1350	7.3260e-01	0.4019	0.872	1461.42	93.875	6.9633	339.620744
0.660	5.6480	25.5562	20.1360	7.3260e-01	0.4044	0.868	1461.42	93.801	6.9578	339.620745
0.670	5.6471	25.5578	20.1373	7.2039e-01	0.4031	0.861	1461.41	93.782	6.9565	339.620745
0.683	5.6465	25.5597	20.1389	7.2039e-01	0.4056	0.850	1461.41	93.702	6.9506	339.620746
0.660	5.6462	25.5605	20.1396	8.6691e-01	0.4044	0.839	1461.41	93.677	6.9487	339.620746
0.671	5.6455	25.5617	20.1406	1.0379e+00	0.4044	0.824	1461.41	93.592	6.9425	339.620747
0.671	5.6457	25.5612	20.1402	9.8901e-01	0.4056	0.813	1461.41	93.500	6.9356	339.620747
0.670	5.6453	25.5601	20.1393	9.0354e-01	0.4031	0.802	1461.41	93.403	6.9285	339.620747
0.671	5.6453	25.5595	20.1388	8.5470e-01	0.4031	0.806	1461.41	93.361	6.9255	339.620748
0.660	5.6457	25.5558	20.1359	8.0586e-01	0.4031	0.839	1461.41	93.260	6.9181	339.620748
0.660	5.6462	25.5546	20.1349	7.4481e-01	0.4044	0.864	1461.41	93.216	6.9148	339.620749
0.660	5.6462	25.5513	20.1323	6.8376e-01	0.4056	0.919	1461.40	93.112	6.9072	339.620749
0.670	5.6466	25.5453	20.1275	6.7155e-01	0.4080	0.930	1461.40	93.066	6.9040	339.620750
0.647	5.6469	25.5435	20.1260	6.4713e-01	0.4080	0.916	1461.39	92.960	6.8961	339.620750
0.660	5.6468	25.5406	20.1238	6.4713e-01	0.4092	0.875	1461.39	92.849	6.8881	339.620751
0.647	5.6471	25.5375	20.1213	6.4713e-01	0.4068	0.835	1461.39	92.797	6.8843	339.620751
0.636	5.6472	25.5364	20.1204	6.7155e-01	0.4068	0.813	1461.39	92.686	6.8761	339.620752
0.647	5.6471	25.5367	20.1207	6.4713e-01	0.4068	0.821	1461.39	92.633	6.8722	339.620752
0.636	5.6469	25.5405	20.1237	6.3492e-01	0.4080	0.842	1461.39	92.460	6.8592	339.620753
0.636	5.6469	25.5411	20.1241	6.9597e-01	0.4068	0.850	1461.39	92.400	6.8547	339.620753
0.636	5.6471	25.5425	20.1252	7.5702e-01	0.4105	0.839	1461.39	92.282	6.8459	339.620754
0.612	5.6468	25.5465	20.1285	8.6691e-01	0.4141	0.824	1461.40	92.161	6.8368	339.620754
0.610	5.6469	25.5483	20.1298	9.7680e-01	0.4129	0.806	1461.40	92.038	6.8275	339.620755
0.600	5.6466	25.5500	20.1312	9.4017e-01	0.4117	0.806	1461.40	91.974	6.8228	339.620755
0.600	5.6463	25.5497	20.1310	8.4249e-01	0.4105	0.817	1461.40	91.854	6.8139	339.620756
0.587	5.6462	25.5498	20.1311	7.5702e-01	0.4105	0.813	1461.40	91.732	6.8049	339.620756
0.587	5.6460	25.5503	20.1315	7.0818e-01	0.4105	0.802	1461.40	91.671	6.8004	339.620757
0.574	5.6462	25.5499	20.1311	7.0818e-01	0.4117	0.806	1461.40	91.491	6.7870	339.620757
0.565	5.6458	25.5518	20.1327	7.2039e-01	0.4105	0.824	1461.40	91.427	6.7822	339.620758
0.565	5.6458	25.5502	20.1315	6.8376e-01	0.4068	0.828	1461.40	91.307	6.7734	339.620758
0.565	5.6457	25.5498	20.1311	6.4713e-01	0.4068	0.821	1461.40	91.187	6.7646	339.620759
0.574	5.6460	25.5489	20.1305	6.4713e-01	0.4044	0.806	1461.40	91.067	6.7556	339.620759
0.552	5.6463	25.5452	20.1275	6.5934e-01	0.4031	0.799	1461.39	90.946	6.7468	339.620760
0.565	5.6466	25.5451	20.1274	6.7155e-01	0.4019	0.802	1461.39	90.889	6.7425	339.620760
0.565	5.6465	25.5448	20.1271	6.9597e-01	0.4056	0.806	1461.39	90.777	6.7342	339.620761
0.565	5.6465	25.5449	20.1272	6.8376e-01	0.4092	0.864	1461.39	90.666	6.7260	339.620761
0.563	5.6466	25.5460	20.1281	6.4713e-01	0.4080	1.037	1461.40	90.618	6.7224	339.620761
0.565	5.6463	25.5454	20.1276	6.1050e-01	0.4068	1.220	1461.39	90.517	6.7150	339.620762
0.576	5.6463	25.5462	20.1282	6.2271e-01	0.4068	1.168	1461.39	90.418	6.7075	339.620762
0.565	5.6463	25.5468	20.1287	6.3492e-01	0.4080	1.059	1461.39	90.319	6.7002	339.620763
0.587	5.6463	25.5462	20.1283	6.3492e-01	0.4092	1.004	1461.39	90.223	6.6931	339.620763
0.587	5.6458	25.5484	20.1300	6.7155e-01	0.4068	1.022	1461.40	90.192	6.6908	339.620764
0.587	5.6460	25.5482	20.1298	7.8144e-01	0.4080	1.044	1461.40	90.108	6.6846	339.620764
0.587	5.6460	25.5485	20.1301	7.6923e-01	0.4080	0.993	1461.40	90.019	6.6779	339.620765
0.600	5.6458	25.5505	20.1317	7.3260e-01	0.4092	0.974	1461.40	89.933	6.6715	339.620765
0.600	5.6457	25.5517	20.1326	6.8376e-01	0.4056	1.150	1461.40	89.841	6.6646	339.620766
0.599	5.6455	25.5535	20.1341	6.4713e-01	0.4068	1.267	1461.40	89.752	6.6580	339.620766
0.612	5.6453	25.5535	20.1341	6.2271e-01	0.4056	1.154	1461.40	89.667	6.6517	339.620767
0.600	5.6452	25.5535	20.1341	6.3492e-01	0.4044	1.007	1461.40	89.647	6.6503	339.620767
0.612	5.6449	25.5524	20.1333	6.4713e-01	0.4056	0.912	1461.40	89.515	6.6405	339.620768
0.599	5.6450	25.5478	20.1297	6.1050e-01	0.4056	0.857	1461.39	89.495	6.6392	339.620768
0.612	5.6452	25.5480	20.1298	5.9829e-01	0.4117	0.839	1461.39	89.425	6.6340	339.620769
0.587	5.6450	25.5466	20.1287	6.1050e-01	0.4105	0.857	1461.39	89.350	6.6285	339.620769
0.600	5.6452	25.5455	20.1278	6.1050e-01	0.4105	0.897	1461.39	89.280	6.6234	339.620770
0.600	5.6452	25.5457	20.1280	6.4713e-01	0.4080	0.919	1461.39	89.207	6.6179	339.620770
0.587	5.6452	25.5433	20.1261	6.5934e-01	0.4044	0.912	1461.39	89.192	6.6169	339.620771
0.600	5.6450	25.5441	20.1267	6.5934e-01	0.4056	0.919	1461.39	89.119	6.6115	339.620771
0.600	5.6453	25.5435	20.1262	6.4713e-01	0.4044	0.923	1461.39	89.050	6.6063	339.620772
0.587	5.6450	25.5443	20.1269	6.2271e-01	0.4056	0.890	1461.39	88.977	6.6010	339.620772
0.587	5.6444	25.5477	20.1296	6.2271e-01	0.4044	0.853	1461.39	88.909	6.5959	339.620773
0.574	5.6441	25.5492	20.1308	6.2271e-01	0.4056	0.824	1461.39	88.838	6.5906	339.620773
0.600	5.6436	25.5525	20.1335	6.3492e-01	0.4068	0.806	1461.39	88.772	6.5856	339.620774
0.576	5.6435	25.5536	20.1344	6.7155e-01	0.4056	0.795	1461.39	88.702	6.5804	339.620774
0.587	5.6431	25.5545	20.1351	6.5934e-01	0.4044	0.791	1461.39	88.630	6.5751	339.620774
0.600	5.6428	25.5562	20.1365	6.4713e-01	0.4080	0.788	1461.39	88.564	6.5701	339.620775
0.574	5.6425	25.5565	20.1367	6.3492e-01	0.4068	0.788	1461.39	88.494	6.5650	339.620775
0.587	5.6427	25.5568	20.1370	6.2271e-01	0.4080	0.795	1461.39	88.430	6.5602	339.620776
0.587	5.6426	25.5552	20.1357	6.2271e-01	0.4080	0.799	1461.39	88.355	6.5547	339.620776
0.576	5.6428	25.5540	20.1347	6.8376e-01	0.4056	0.810	1461.39	88.286	6.5496	339.620777
0.552	5.6430	25.5538	20.1345	7.3260e-01	0.4056	0.817	1461.39	88.215	6.5443	339.620777
0.625	5.6435	25.5521	20.1332	7.2039e-01	0.4044	0.810	1461.39	88.142	6.5389	339.620778
0.576	5.6438	25.5529	20.1338	7.2039e-01	0.4056	0.806	1461.39	88.066	6.5332	339.620778
0.576	5.6441	25.5540	20.1346	7.2039e-01	0.4044	0.813	1461.39	88.058	6.5325	339.620779
0.587	5.6442	25.5545	20.1350	7.2039e-01	0.4044	0.842	1461.40	87.994	6.5277	339.620779
0.563	5.6442	25.5565	20.1366	7.2039e-01	0.4031	0.905	1461.40	87.927	6.5226	339.620780
0.576	5.6445	25.5565	20.1366	7.0818e-01	0.4019	1.018	1461.40	87.866	6.5181	339.620780
0.587	5.6445	25.5577	20.1375	7.0818e-01	0.4044	1.480	1461.40	87.796	6.5128	339.620781
0.576	5.6447	25.5573	20.1372	7.0818e-01	0.4044	1.802	1461.40	87.793	6.5126	339.620781
0.587	5.6449	25.5568	20.1367	6.8376e-01	0.4068	1.604	1461.40	87.734	6.5082	339.620782
0.574	5.6452	25.5574	20.1372	6.7155e-01	0.4068	1.311	1461.40	87.672	6.5035	339.620782
0.576	5.6453	25.5571	20.1369	6.4713e-01	0.4080	1.154	1461.40	87.608	6.4988	339.620783
0.587	5.6447	25.5582	20.1379	6.3492e-01	0.4080	1.114	1461.40	87.604	6.4986	339.620783
0.576	5.6444	25.5595	20.1390	6.3492e-01	0.4068	1.066	1461.40	87.551	6.4946	339.620784
0.587	5.6441	25.5594	20.1389	6.4713e-01	0.4068	1.000	1461.40	87.559	6.4952	339.620784
0.574	5.6438	25.5605	20.1398	6.3492e-01	0.4044	0.952	1461.40	87.509	6.4915	339.620785
0.587	5.6431	25.5611	20.1404	6.2271e-01	0.4031	0.919	1461.40	87.527	6.4930	339.620785
0.576	5.6435	25.5614	20.1405	6.3492e-01	0.4056	0.923	1461.40	87.489	6.4900	339.620786
0.576	5.6431	25.5617	20.1408	6.3492e-01	0.4092	0.974	1461.40	87.509	6.4916	339.620786
0.574	5.6430	25.5613	20.1405	6.7155e-01	0.4117	0.967	1461.40	87.473	6.4890	339.620787
0.600	5.6430	25.5624	20.1414	7.2039e-01	0.4129	0.919	1461.40	87.496	6.4906	339.620787
0.587	5.6431	25.5616	20.1407	7.2039e-01	0.4129	0.868	1461.40	87.470	6.4887	339.620788
0.587	5.6430	25.5616	20.1407	6.9597e-01	0.4092	0.853	1461.40	87.503	6.4911	339.620788
0.576	5.6427	25.5617	20.1409	6.8376e-01	0.4092	0.853	1461.40	87.478	6.4893	339.620788
0.574	5.6426	25.5606	20.1400	6.9597e-01	0.4080	0.835	1461.40	87.512	6.4919	339.620789
0.587	5.6428	25.5604	20.1398	7.9365e-01	0.4117	0.839	1461.40	87.488	6.4901	339.620789
0.576	5.6431	25.5588	20.1385	8.4249e-01	0.4117	0.883	1461.40	87.523	6.4927	339.620790
