DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.243	5.0902	24.5638	19.4052	7.3260e-01	0.6766	0.952	1457.84	89.268	6.7560	339.711840
0.241	5.0894	24.5597	19.4020	7.0818e-01	0.6779	0.941	1457.83	89.331	6.7610	339.711841
0.243	5.0950	24.5527	19.3960	7.4481e-01	0.6766	0.938	1457.85	89.400	6.7657	339.711841
0.243	5.0996	24.5528	19.3957	8.6691e-01	0.6779	0.934	1457.87	89.415	6.7660	339.711842
0.243	5.1013	24.5603	19.4015	8.7912e-01	0.6779	0.930	1457.88	89.554	6.7759	339.711842
0.243	5.1024	24.5680	19.4075	8.0586e-01	0.6791	0.930	1457.90	89.584	6.7776	339.711843
0.253	5.1030	24.5736	19.4118	7.4481e-01	0.6791	0.923	1457.91	89.674	6.7841	339.711843
0.243	5.1017	24.5795	19.4166	7.3260e-01	0.6779	0.923	1457.91	89.772	6.7915	339.711844
0.254	5.0993	24.5830	19.4196	7.0818e-01	0.6791	0.923	1457.91	89.876	6.7996	339.711844
0.254	5.0967	24.5816	19.4187	7.0818e-01	0.6766	0.927	1457.89	89.986	6.8084	339.711845
0.253	5.0946	24.5780	19.4160	7.4481e-01	0.6779	0.934	1457.88	90.038	6.8128	339.711845
0.254	5.0923	24.5735	19.4127	8.0586e-01	0.6766	0.945	1457.86	90.150	6.8219	339.711846
0.254	5.0892	24.5699	19.4101	8.6691e-01	0.6779	0.945	1457.85	90.268	6.8315	339.711846
0.254	5.0864	24.5659	19.4072	8.6691e-01	0.6766	0.934	1457.83	90.391	6.8414	339.711847
0.253	5.0833	24.5605	19.4032	8.4249e-01	0.6754	0.927	1457.81	90.517	6.8518	339.711847
0.254	5.0804	24.5544	19.3987	8.6691e-01	0.6766	0.930	1457.79	90.586	6.8578	339.711848
0.254	5.0787	24.5474	19.3933	8.9133e-01	0.6779	0.930	1457.77	90.713	6.8680	339.711848
0.267	5.0767	24.5415	19.3889	9.0354e-01	0.6779	0.941	1457.76	90.843	6.8784	339.711848
0.241	5.0752	24.5357	19.3843	8.9133e-01	0.6766	0.960	1457.74	90.914	6.8843	339.711849
0.254	5.0744	24.5315	19.3811	9.2796e-01	0.6766	0.985	1457.74	91.043	6.8944	339.711849
0.254	5.0733	24.5285	19.3789	9.4017e-01	0.6754	1.000	1457.73	91.175	6.9048	339.711850
0.243	5.0738	24.5259	19.3767	8.9133e-01	0.6754	0.989	1457.73	91.247	6.9102	339.711850
0.253	5.0736	24.5243	19.3755	8.1807e-01	0.6742	0.971	1457.72	91.376	6.9201	339.711851
0.254	5.0741	24.5236	19.3749	7.4481e-01	0.6754	0.967	1457.72	91.508	6.9300	339.711851
0.243	5.0740	24.5230	19.3745	7.0818e-01	0.6730	0.978	1457.72	91.578	6.9354	339.711852
0.254	5.0744	24.5217	19.3734	7.2039e-01	0.6742	0.982	1457.72	91.706	6.9451	339.711852
0.230	5.0747	24.5211	19.3728	7.8144e-01	0.6742	0.974	1457.72	91.772	6.9500	339.711853
0.243	5.0751	24.5208	19.3726	7.8144e-01	0.6742	0.967	1457.72	91.895	6.9593	339.711853
0.243	5.0758	24.5204	19.3722	7.0818e-01	0.6754	0.960	1457.73	91.956	6.9638	339.711854
0.243	5.0791	24.5188	19.3706	6.4713e-01	0.6779	0.956	1457.74	92.072	6.9721	339.711854
0.253	5.0844	24.5182	19.3697	6.4713e-01	0.6779	0.949	1457.76	92.126	6.9754	339.711855
0.243	5.0905	24.5223	19.3724	6.5934e-01	0.6766	0.941	1457.79	92.236	6.9824	339.711855
0.232	5.0965	24.5315	19.3791	7.2039e-01	0.6779	0.945	1457.83	92.283	6.9846	339.711856
0.267	5.0992	24.5468	19.3910	8.1807e-01	0.6791	0.945	1457.86	92.324	6.9865	339.711856
0.253	5.0998	24.5621	19.4030	9.4017e-01	0.6779	0.949	1457.88	92.421	6.9930	339.711857
0.267	5.1000	24.5716	19.4105	9.5238e-01	0.6779	0.945	1457.89	92.518	6.9998	339.711857
0.267	5.0998	24.5760	19.4140	9.0354e-01	0.6766	0.945	1457.90	92.552	7.0023	339.711858
0.267	5.0993	24.5771	19.4149	8.7912e-01	0.6754	0.945	1457.90	92.578	7.0043	339.711858
0.217	5.0990	24.5770	19.4149	8.6691e-01	0.6742	0.952	1457.90	92.596	7.0057	339.711859
0.314	5.0978	24.5770	19.4149	8.9133e-01	0.6742	0.952	1457.89	92.670	7.0115	339.711859
0.267	5.0981	24.5757	19.4140	9.0354e-01	0.6766	0.974	1457.89	92.679	7.0122	339.711860
0.267	5.0996	24.5745	19.4128	8.9133e-01	0.6815	0.982	1457.90	92.679	7.0120	339.711860
0.254	5.1001	24.5759	19.4139	8.7912e-01	0.6803	0.982	1457.90	92.734	7.0160	339.711861
0.277	5.1006	24.5788	19.4161	8.4249e-01	0.6803	0.989	1457.91	92.789	7.0199	339.711861
0.278	5.1016	24.5813	19.4180	8.1807e-01	0.6803	0.993	1457.91	92.779	7.0189	339.711861
0.267	5.1016	24.5838	19.4200	8.1807e-01	0.6803	0.993	1457.92	92.761	7.0174	339.711862
0.278	5.1014	24.5855	19.4214	8.0586e-01	0.6815	0.989	1457.92	92.733	7.0153	339.711862
0.265	5.1024	24.5853	19.4211	8.0586e-01	0.6803	0.974	1457.92	92.759	7.0170	339.711863
0.278	5.1052	24.5846	19.4203	7.8144e-01	0.6779	0.967	1457.93	92.720	7.0137	339.711863
0.267	5.1085	24.5883	19.4229	7.6923e-01	0.6791	0.963	1457.95	92.671	7.0092	339.711864
0.267	5.1109	24.5976	19.4301	7.6923e-01	0.6779	0.978	1457.97	92.684	7.0094	339.711864
0.277	5.1114	24.6069	19.4374	7.6923e-01	0.6766	1.004	1457.99	92.643	7.0057	339.711865
0.278	5.1093	24.6128	19.4423	7.6923e-01	0.6766	1.029	1457.98	92.593	7.0020	339.711865
0.267	5.1053	24.6135	19.4431	7.9365e-01	0.6754	1.026	1457.97	92.551	6.9995	339.711866
0.278	5.1014	24.6071	19.4385	7.8144e-01	0.6779	1.000	1457.94	92.563	7.0014	339.711866
0.265	5.0981	24.5970	19.4308	7.6923e-01	0.6803	0.974	1457.92	92.520	6.9992	339.711867
0.290	5.0967	24.5868	19.4228	7.9365e-01	0.6803	0.963	1457.90	92.477	6.9966	339.711867
0.278	5.0970	24.5797	19.4172	8.4249e-01	0.6803	0.967	1457.89	92.434	6.9936	339.711868
0.290	5.0976	24.5780	19.4158	9.0354e-01	0.6803	0.971	1457.89	92.391	6.9904	339.711868
0.290	5.0970	24.5807	19.4180	9.4017e-01	0.6815	1.000	1457.89	92.404	6.9913	339.711869
0.278	5.0979	24.5804	19.4176	9.5238e-01	0.6827	1.026	1457.90	92.362	6.9880	339.711869
0.290	5.0996	24.5797	19.4170	8.9133e-01	0.6827	1.040	1457.90	92.322	6.9847	339.711870
0.314	5.1008	24.5816	19.4183	8.1807e-01	0.6840	1.081	1457.91	92.283	6.9815	339.711870
0.277	5.1022	24.5846	19.4206	7.3260e-01	0.6815	1.088	1457.92	92.245	6.9782	339.711871
0.327	5.1013	24.5890	19.4242	7.2039e-01	0.6791	1.040	1457.92	92.202	6.9749	339.711871
0.314	5.1007	24.5888	19.4241	7.2039e-01	0.6815	1.026	1457.92	92.160	6.9719	339.711872
0.303	5.1038	24.5844	19.4203	7.2039e-01	0.6803	1.033	1457.93	92.120	6.9686	339.711872
0.314	5.1074	24.5875	19.4224	7.2039e-01	0.6827	1.015	1457.95	92.075	6.9644	339.711873
0.312	5.1104	24.5968	19.4295	7.3260e-01	0.6840	0.989	1457.97	92.032	6.9602	339.711873
0.327	5.1125	24.6058	19.4364	7.5702e-01	0.6815	0.971	1457.99	92.055	6.9611	339.711874
0.327	5.1132	24.6112	19.4406	7.5702e-01	0.6815	0.967	1458.00	92.018	6.9580	339.711874
