DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.250	4.3359	14.5026	11.5021	6.1050e-01	1.2261	0.755	1441.84	80.152	6.6114	339.400127
0.239	4.3477	14.5046	11.5031	5.9829e-01	1.2249	0.744	1441.89	80.275	6.6196	339.400128
0.239	4.3457	14.5053	11.5038	5.9829e-01	1.2224	0.729	1441.88	80.544	6.6420	339.400128
0.239	4.3311	14.5136	11.5111	5.8608e-01	1.2200	0.725	1441.83	80.720	6.6586	339.400129
0.237	4.3179	14.5216	11.5181	5.7387e-01	1.2188	0.729	1441.78	80.974	6.6814	339.400129
0.239	4.2900	14.5200	11.5183	5.9829e-01	1.2188	0.733	1441.66	81.315	6.7144	339.400130
0.239	4.2563	14.4916	11.4974	5.8608e-01	1.2200	0.733	1441.47	81.560	6.7417	339.400130
0.239	4.1913	14.4441	11.4630	5.6166e-01	1.2200	0.733	1441.13	81.887	6.7820	339.400131
0.250	4.1387	14.4152	11.4427	5.6166e-01	1.2188	0.736	1440.86	82.231	6.8209	339.400131
0.239	4.1883	14.4233	11.4467	5.7387e-01	1.2212	0.744	1441.09	82.632	6.8452	339.400132
0.239	4.1733	14.4451	11.4647	5.8608e-01	1.2200	0.747	1441.05	82.946	6.8728	339.400132
0.239	4.0567	14.4137	11.4454	5.6166e-01	1.2200	0.751	1440.49	83.294	6.9236	339.400133
0.237	3.9683	14.3653	11.4111	5.8608e-01	1.2200	0.755	1440.04	83.706	6.9757	339.400133
0.239	3.9408	14.3512	11.4012	6.3492e-01	1.2188	0.751	1439.90	84.117	7.0156	339.400134
0.252	3.9722	14.3648	11.4105	6.4713e-01	1.2163	0.747	1440.06	84.524	7.0432	339.400134
0.228	4.0379	14.4010	11.4362	5.9829e-01	1.2175	0.751	1440.40	84.930	7.0635	339.400135
0.226	4.0534	14.4339	11.4616	5.6166e-01	1.2200	0.755	1440.51	85.361	7.0950	339.400135
0.263	4.0571	14.4399	11.4661	5.7387e-01	1.2224	0.758	1440.53	85.806	7.1310	339.400136
0.239	4.1068	14.4536	11.4747	5.9829e-01	1.2224	0.755	1440.77	86.179	7.1523	339.400136
0.252	4.1259	14.4896	11.5023	5.9829e-01	1.2212	0.755	1440.90	86.624	7.1840	339.400136
0.239	4.1545	14.4969	11.5066	5.9829e-01	1.2212	0.751	1441.03	87.071	7.2155	339.400137
0.237	4.1803	14.4966	11.5052	6.1050e-01	1.2212	0.751	1441.14	87.461	7.2431	339.400137
0.252	4.2007	14.5012	11.5078	6.3492e-01	1.2212	0.747	1441.24	87.912	7.2765	339.400138
0.239	4.2314	14.4951	11.5015	6.4713e-01	1.2212	0.747	1441.37	88.361	7.3083	339.400138
0.252	4.2388	14.4913	11.4981	6.3492e-01	1.2200	0.755	1441.40	88.759	7.3400	339.400139
0.237	4.1975	14.5131	11.5174	5.9829e-01	1.2188	0.762	1441.24	89.235	7.3859	339.400139
0.252	4.1830	14.5287	11.5305	5.6166e-01	1.2188	0.766	1441.20	89.700	7.4264	339.400140
0.239	4.2140	14.5204	11.5224	5.3724e-01	1.2175	0.773	1441.32	90.080	7.4525	339.400140
0.252	4.2424	14.5186	11.5195	5.3724e-01	1.2175	0.777	1441.45	90.515	7.4831	339.400141
0.250	4.2645	14.5257	11.5241	5.4945e-01	1.2175	0.777	1441.55	90.886	7.5093	339.400141
0.252	4.2823	14.5241	11.5219	5.8608e-01	1.2163	0.773	1441.63	91.248	7.5359	339.400142
0.252	4.2932	14.5139	11.5133	5.9829e-01	1.2175	0.773	1441.66	91.665	7.5687	339.400142
0.252	4.2985	14.5055	11.5063	6.2271e-01	1.2163	0.769	1441.68	92.016	7.5971	339.400143
0.250	4.3049	14.5032	11.5042	6.7155e-01	1.2163	0.758	1441.70	92.352	7.6238	339.400143
0.252	4.3353	14.5048	11.5039	6.8376e-01	1.2151	0.751	1441.84	92.661	7.6433	339.400144
0.252	4.3632	14.5196	11.5142	6.8376e-01	1.2175	0.747	1441.98	92.955	7.6614	339.400144
0.252	4.3656	14.5359	11.5270	6.7155e-01	1.2188	0.751	1442.01	93.248	7.6842	339.400145
0.237	4.3574	14.5328	11.5250	6.5934e-01	1.2175	0.751	1441.97	93.530	7.7092	339.400145
0.263	4.3337	14.5180	11.5145	6.7155e-01	1.2163	0.751	1441.85	93.804	7.7372	339.400146
0.239	4.3129	14.5004	11.5016	6.9597e-01	1.2175	0.747	1441.73	94.059	7.7632	339.400146
0.252	4.2936	14.4802	11.4866	7.0818e-01	1.2188	0.751	1441.62	94.294	7.7875	339.400147
0.250	4.2762	14.4549	11.4674	6.8376e-01	1.2200	0.751	1441.51	94.509	7.8100	339.400147
0.252	4.2617	14.4446	11.4599	6.7155e-01	1.2200	0.747	1441.44	94.702	7.8294	339.400148
0.239	4.2462	14.4493	11.4644	6.4713e-01	1.2188	0.744	1441.37	94.938	7.8517	339.400148
0.239	4.2279	14.4508	11.4665	6.1050e-01	1.2188	0.740	1441.30	95.036	7.8633	339.400149
0.237	4.2159	14.4485	11.4653	5.7387e-01	1.2188	0.740	1441.24	95.162	7.8763	339.400149
0.239	4.2021	14.4490	11.4664	5.4945e-01	1.2163	0.740	1441.18	95.267	7.8877	339.400149
0.252	4.1901	14.4454	11.4642	5.4945e-01	1.2163	0.744	1441.12	95.346	7.8969	339.400150
0.228	4.2058	14.4377	11.4572	5.7387e-01	1.2139	0.744	1441.18	95.320	7.8920	339.400150
0.239	4.2098	14.4386	11.4578	5.7387e-01	1.2127	0.744	1441.20	95.332	7.8921	339.400151
0.226	4.1819	14.4381	11.4587	5.6166e-01	1.2090	0.744	1441.08	95.355	7.8997	339.400151
0.239	4.1584	14.4307	11.4540	5.6166e-01	1.2066	0.744	1440.96	95.386	7.9073	339.400152
