DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
-0.161	0.8938	3.5416	2.7719	4.2735e-01	2.0480	0.703	1411.62	89.137	8.6783	7.608727
-0.161	0.8933	3.5419	2.7721	4.2735e-01	2.0480	0.703	1411.61	89.137	8.6784	7.608727
-0.162	0.8933	3.5421	2.7723	4.2735e-01	2.0492	0.703	1411.61	89.072	8.6720	7.608728
-0.161	0.8930	3.5422	2.7724	4.1514e-01	2.0528	0.700	1411.61	89.062	8.6712	7.608728
-0.161	0.8930	3.5422	2.7724	4.2735e-01	2.0541	0.700	1411.61	89.053	8.6703	7.608729
-0.161	0.8926	3.5424	2.7725	4.2735e-01	2.0553	0.703	1411.61	88.980	8.6632	7.608729
-0.162	0.8926	3.5424	2.7725	4.1514e-01	2.0565	0.707	1411.61	88.962	8.6614	7.608730
-0.148	0.8922	3.5423	2.7724	4.1514e-01	2.0528	0.707	1411.61	88.945	8.6599	7.608730
-0.148	0.8924	3.5423	2.7724	4.1514e-01	2.0516	0.707	1411.61	88.928	8.6582	7.608731
-0.162	0.8921	3.5423	2.7724	4.1514e-01	2.0516	0.711	1411.61	88.913	8.6568	7.608731
-0.148	0.8919	3.5421	2.7722	4.1514e-01	2.0516	0.711	1411.61	88.898	8.6554	7.608732
-0.148	0.8916	3.5419	2.7721	4.1514e-01	2.0541	0.711	1411.61	88.819	8.6478	7.608732
-0.148	0.8918	3.5415	2.7718	4.1514e-01	2.0541	0.729	1411.61	88.797	8.6456	7.608733
-0.138	0.8921	3.5413	2.7716	4.1514e-01	2.0528	0.828	1411.61	88.645	8.6308	7.608733
-0.161	0.8921	3.5412	2.7715	4.1514e-01	2.0516	0.846	1411.61	88.606	8.6270	7.608734
-0.136	0.8923	3.5408	2.7713	4.2735e-01	2.0516	0.802	1411.61	88.569	8.6233	7.608734
-0.149	0.8924	3.5405	2.7710	4.2735e-01	2.0504	0.766	1411.61	88.598	8.6262	7.608735
-0.136	0.8924	3.5400	2.7706	4.2735e-01	2.0492	0.747	1411.61	88.445	8.6113	7.608735
-0.148	0.8924	3.5394	2.7701	4.1514e-01	2.0492	0.744	1411.61	88.469	8.6137	7.608736
-0.136	0.8927	3.5389	2.7697	4.1514e-01	2.0492	0.740	1411.61	88.310	8.5981	7.608736
-0.138	0.8924	3.5386	2.7694	4.1514e-01	2.0504	0.725	1411.60	88.329	8.6001	7.608736
-0.136	0.8927	3.5385	2.7694	4.1514e-01	2.0480	0.718	1411.61	88.230	8.5904	7.608737
-0.136	0.8928	3.5387	2.7695	4.1514e-01	2.0480	0.714	1411.61	88.124	8.5801	7.608737
-0.162	0.8928	3.5389	2.7697	4.1514e-01	2.0516	0.714	1411.61	88.077	8.5754	7.608738
-0.101	0.8930	3.5393	2.7700	4.2735e-01	2.0504	0.722	1411.61	88.033	8.5711	7.608738
