%StNo BotDep	DepSM	Potemp090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
08 47	0.124	4.7281	29.7011	23.5045	2.9304e-01	0.3799	0.700	1462.86	96.785	7.1397	7.346609
08 47	0.098	4.7285	29.7009	23.5043	2.9304e-01	0.3799	0.703	1462.86	96.660	7.1303	7.346609
08 47	0.100	4.7290	29.7012	23.5046	2.9304e-01	0.3775	0.703	1462.86	96.393	7.1105	7.346610
08 47	0.100	4.7289	29.7016	23.5049	2.9304e-01	0.3751	0.696	1462.86	96.157	7.0932	7.346610
08 47	0.088	4.7282	29.7027	23.5058	2.8083e-01	0.3751	0.692	1462.86	95.900	7.0743	7.346611
08 47	0.111	4.7281	29.7039	23.5068	2.9304e-01	0.3738	0.689	1462.86	95.560	7.0491	7.346611
08 47	0.100	4.7287	29.7051	23.5076	2.9304e-01	0.3738	0.689	1462.87	95.254	7.0264	7.346612
08 47	0.088	4.7304	29.7059	23.5081	2.9304e-01	0.3738	0.689	1462.88	94.804	6.9928	7.346612
08 47	0.100	4.7317	29.7063	23.5083	2.9304e-01	0.3738	0.689	1462.88	94.446	6.9662	7.346613
08 47	0.098	4.7321	29.7060	23.5080	2.9304e-01	0.3738	0.681	1462.88	94.073	6.9387	7.346613
08 47	0.100	4.7323	29.7055	23.5076	2.9304e-01	0.3738	0.678	1462.88	93.623	6.9054	7.346614
08 47	0.088	4.7326	29.7041	23.5065	3.0525e-01	0.3738	0.674	1462.88	93.088	6.8660	7.346614
08 47	0.100	4.7326	29.7034	23.5059	3.0525e-01	0.3763	0.674	1462.88	92.651	6.8338	7.346615
08 47	0.098	4.7359	29.7033	23.5055	3.0525e-01	0.3787	0.670	1462.90	92.078	6.7910	7.346615
08 47	0.088	4.7370	29.7052	23.5069	2.9304e-01	0.3775	0.670	1462.90	91.542	6.7512	7.346616
08 47	0.113	4.7414	29.7058	23.5070	2.9304e-01	0.3763	0.667	1462.92	90.991	6.7098	7.346616
