DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
1.906	4.3145	20.8581	16.5356	3.1746e-01	1.2861	1.256	1449.87	87.362	6.9086	10.576863
1.931	4.3221	20.8933	16.5629	3.1746e-01	1.2824	1.234	1449.95	87.298	6.9006	10.576864
1.955	4.3287	20.9380	16.5979	3.2967e-01	1.2824	1.231	1450.03	87.352	6.9017	10.576864
1.979	4.3320	20.9730	16.6254	3.1746e-01	1.2800	1.231	1450.09	87.352	6.8995	10.576865
1.990	4.3317	20.9881	16.6374	3.1746e-01	1.2751	1.238	1450.11	87.353	6.8989	10.576865
2.015	4.3309	20.9841	16.6343	3.2967e-01	1.2751	1.238	1450.10	87.353	6.8992	10.576866
2.026	4.3264	20.9730	16.6258	3.2967e-01	1.2726	1.231	1450.07	87.355	6.9006	10.576866
2.062	4.3270	20.9554	16.6118	3.1746e-01	1.2702	1.223	1450.05	87.355	6.9014	10.576867
2.075	4.3311	20.9548	16.6110	3.1746e-01	1.2690	1.216	1450.07	87.355	6.9007	10.576867
2.097	4.3388	20.9833	16.6330	3.2967e-01	1.2677	1.209	1450.14	87.354	6.8980	10.576868
2.110	4.3449	21.0266	16.6669	3.2967e-01	1.2677	1.212	1450.22	87.354	6.8949	10.576868
2.133	4.3475	21.0598	16.6930	3.1746e-01	1.2641	1.212	1450.27	87.354	6.8929	10.576869
2.146	4.3480	21.0701	16.7011	3.2967e-01	1.2653	1.205	1450.29	87.354	6.8924	10.576869
2.181	4.3493	21.0728	16.7032	3.2967e-01	1.2629	1.198	1450.30	87.355	6.8921	10.576870
2.193	4.3487	21.0797	16.7087	3.4188e-01	1.2641	1.194	1450.30	87.355	6.8919	10.576870
2.217	4.3444	21.0809	16.7100	3.4188e-01	1.2653	1.198	1450.29	87.420	6.8977	10.576871
2.241	4.3409	21.0611	16.6945	3.4188e-01	1.2629	1.198	1450.25	87.429	6.8999	10.576871
2.266	4.3414	21.0384	16.6765	3.2967e-01	1.2629	1.201	1450.22	87.437	6.9016	10.576872
2.277	4.3434	21.0365	16.6748	3.2967e-01	1.2604	1.209	1450.23	87.445	6.9019	10.576872
2.288	4.3442	21.0481	16.6840	3.2967e-01	1.2568	1.205	1450.25	87.452	6.9018	10.576873
2.324	4.3450	21.0549	16.6893	3.2967e-01	1.2494	1.194	1450.26	87.523	6.9069	10.576873
2.337	4.3594	21.0549	16.6883	3.1746e-01	1.2360	1.187	1450.32	87.535	6.9054	10.576874
2.361	4.3916	21.1065	16.7269	3.1746e-01	1.2299	1.183	1450.53	87.480	6.8931	10.576874
2.408	4.4324	21.2576	16.8436	3.1746e-01	1.2238	1.187	1450.89	87.541	6.8840	10.576875
2.397	4.4554	21.4865	17.0231	3.1746e-01	1.2152	1.194	1451.28	87.549	6.8701	10.576875
2.432	4.4741	21.6445	17.1468	3.1746e-01	1.2030	1.194	1451.57	87.558	6.8604	10.576875
2.468	4.4942	21.7534	17.2315	3.1746e-01	1.1920	1.187	1451.79	87.566	6.8526	10.576876
2.492	4.5157	21.8497	17.3062	3.1746e-01	1.1823	1.172	1452.01	87.573	6.8450	10.576876
2.503	4.5343	21.9596	17.3917	3.1746e-01	1.1749	1.165	1452.23	87.580	6.8374	10.576877
2.516	4.5452	22.0479	17.4608	3.1746e-01	1.1676	1.165	1452.38	87.587	6.8321	10.576877
