DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
-0.136	0.5992	3.5574	2.7726	8.9133e-01	5.1200	1.194	1410.19	57.634	5.6566	10.415417
-0.136	0.6100	3.5538	2.7701	9.0354e-01	5.1200	1.201	1410.24	57.632	5.6548	10.415417
-0.151	0.6217	3.5507	2.7682	8.9133e-01	5.1200	1.205	1410.29	57.629	5.6528	10.415418
-0.125	0.6276	3.5502	2.7680	8.9133e-01	5.1200	1.201	1410.32	57.628	5.6518	10.415418
-0.149	0.6334	3.5469	2.7656	8.7912e-01	5.1200	1.194	1410.35	57.627	5.6509	10.415419
-0.126	0.6354	3.5445	2.7637	8.7912e-01	5.1200	1.194	1410.35	57.627	5.6507	10.415419
-0.149	0.6363	3.5449	2.7641	8.9133e-01	5.1200	1.198	1410.36	57.626	5.6505	10.415420
-0.125	0.6366	3.5432	2.7628	8.9133e-01	5.1200	1.201	1410.36	57.626	5.6505	10.415420
-0.136	0.6359	3.5407	2.7607	8.9133e-01	5.1200	1.205	1410.35	57.626	5.6507	10.415421
-0.139	0.6355	3.5407	2.7607	8.7912e-01	5.1200	1.201	1410.35	57.626	5.6508	10.415421
-0.136	0.6388	3.5396	2.7599	8.7912e-01	5.1200	1.194	1410.36	57.626	5.6503	10.415421
-0.125	0.6513	3.5364	2.7579	8.6691e-01	5.1200	1.187	1410.42	57.623	5.6482	10.415422
-0.139	0.6622	3.5356	2.7577	8.6691e-01	5.1200	1.183	1410.47	57.686	5.6526	10.415422
-0.125	0.6680	3.5354	2.7578	8.7912e-01	5.1200	1.190	1410.50	57.695	5.6526	10.415423
-0.136	0.6728	3.5329	2.7560	8.6691e-01	5.1200	1.209	1410.52	57.703	5.6527	10.415423
-0.125	0.6754	3.5324	2.7557	8.6691e-01	5.1200	1.227	1410.53	57.711	5.6532	10.415424
-0.126	0.6766	3.5332	2.7563	8.6691e-01	5.1200	1.227	1410.54	57.719	5.6538	10.415424
