DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
-0.049	5.3279	29.6617	23.4115	3.2967e-01	0.3886	0.593	1465.28	92.213	6.7067	8.674884
-0.064	5.3298	29.6607	23.4106	3.2967e-01	0.3862	0.590	1465.29	92.212	6.7064	8.674885
-0.049	5.3300	29.6568	23.4075	3.4188e-01	0.3850	0.590	1465.28	92.213	6.7066	8.674885
-0.062	5.3287	29.6549	23.4061	3.4188e-01	0.3850	0.597	1465.28	92.213	6.7069	8.674886
-0.051	5.3281	29.6515	23.4035	3.5409e-01	0.3837	0.597	1465.27	92.213	6.7072	8.674886
-0.062	5.3271	29.6500	23.4024	3.5409e-01	0.3837	0.597	1465.26	92.213	6.7074	8.674887
-0.049	5.3262	29.6513	23.4035	3.5409e-01	0.3813	0.590	1465.26	92.213	6.7075	8.674887
-0.074	5.3252	29.6534	23.4053	3.6630e-01	0.3825	0.586	1465.26	92.213	6.7076	8.674888
-0.064	5.3252	29.6542	23.4059	3.6630e-01	0.3837	0.582	1465.26	92.213	6.7075	8.674888
-0.062	5.3267	29.6546	23.4061	3.5409e-01	0.3850	0.590	1465.27	92.213	6.7073	8.674889
-0.074	5.3295	29.6533	23.4048	3.5409e-01	0.3862	0.597	1465.28	92.212	6.7068	8.674889
-0.074	5.3306	29.6526	23.4041	3.6630e-01	0.3850	0.604	1465.28	92.212	6.7067	8.674890
-0.075	5.3300	29.6539	23.4052	3.6630e-01	0.3850	0.608	1465.28	92.212	6.7067	8.674890
-0.087	5.3293	29.6551	23.4062	3.5409e-01	0.3850	0.612	1465.28	92.212	6.7068	8.674891
-0.087	5.3296	29.6550	23.4061	3.7851e-01	0.3850	0.612	1465.28	92.212	6.7067	8.674891
-0.088	5.3306	29.6546	23.4057	3.7851e-01	0.3850	0.608	1465.28	92.212	6.7066	8.674891
-0.087	5.3310	29.6577	23.4080	3.6630e-01	0.3862	0.604	1465.29	92.212	6.7063	8.674892
-0.087	5.3322	29.6621	23.4114	3.5409e-01	0.3850	0.601	1465.30	92.212	6.7059	8.674892
-0.098	5.3338	29.6615	23.4107	3.4188e-01	0.3886	0.604	1465.30	92.211	6.7057	8.674893
-0.088	5.3350	29.6576	23.4075	3.4188e-01	0.3886	0.601	1465.30	92.211	6.7057	8.674893
-0.109	5.3358	29.6593	23.4088	3.5409e-01	0.3886	0.593	1465.31	92.211	6.7054	8.674894
-0.098	5.3374	29.6651	23.4132	3.9072e-01	0.3837	0.590	1465.32	92.211	6.7049	8.674894
-0.100	5.3385	29.6690	23.4162	3.7851e-01	0.3850	0.586	1465.33	92.210	6.7045	8.674895
-0.098	5.3392	29.6675	23.4149	3.5409e-01	0.3862	0.586	1465.33	92.210	6.7045	8.674895
-0.109	5.3385	29.6641	23.4123	3.5409e-01	0.3837	0.593	1465.33	92.210	6.7047	8.674896
-0.098	5.3372	29.6578	23.4075	3.6630e-01	0.3837	0.597	1465.31	92.211	6.7053	8.674896
-0.111	5.3328	29.6505	23.4022	3.6630e-01	0.3837	0.604	1465.29	92.211	6.7063	8.674897
-0.098	5.3293	29.6425	23.3962	3.7851e-01	0.3837	0.608	1465.26	92.212	6.7073	8.674897
-0.109	5.3262	29.6377	23.3928	3.7851e-01	0.3825	0.608	1465.24	92.212	6.7080	8.674898
-0.124	5.3244	29.6359	23.3915	3.6630e-01	0.3837	0.604	1465.23	92.213	6.7084	8.674898
-0.074	5.3235	29.6363	23.3919	4.0293e-01	0.3813	0.601	1465.23	92.213	6.7086	8.674899
-0.098	5.3232	29.6359	23.3917	4.1514e-01	0.3813	0.597	1465.23	92.213	6.7087	8.674899
-0.087	5.3229	29.6351	23.3910	4.1514e-01	0.3813	0.590	1465.23	92.213	6.7088	8.674900
