DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.131	3.8829	25.9202	20.5811	3.9072e-01	0.7523	0.894	1454.46	84.486	6.5266	7.478970
0.118	3.7968	25.7603	20.4608	3.9072e-01	0.7560	0.897	1453.89	84.503	6.5490	7.478970
0.129	3.7172	25.5093	20.2675	3.9072e-01	0.7560	0.894	1453.22	84.583	6.5793	7.478971
0.118	3.6593	25.2954	20.1019	3.9072e-01	0.7585	0.890	1452.70	84.603	6.6000	7.478971
0.131	3.6306	25.1483	19.9871	3.9072e-01	0.7597	0.886	1452.38	84.617	6.6124	7.478972
0.129	3.6317	25.0961	19.9456	3.7851e-01	0.7633	0.886	1452.32	84.688	6.6201	7.478972
0.118	3.7234	25.2868	20.0903	3.6630e-01	0.7658	0.883	1452.96	84.684	6.5961	7.478973
0.118	3.8462	25.7772	20.4704	3.5409e-01	0.7658	0.883	1454.12	84.737	6.5583	7.478973
0.118	3.9595	26.2849	20.8645	3.5409e-01	0.7670	0.883	1455.26	84.736	6.5175	7.478974
0.118	4.0360	26.6501	21.1482	3.4188e-01	0.7670	0.875	1456.05	84.742	6.4896	7.478974
0.131	4.1193	26.8517	21.3012	3.4188e-01	0.7658	0.864	1456.66	84.745	6.4678	7.478975
0.107	4.1642	26.9771	21.3969	3.5409e-01	0.7658	0.857	1457.01	84.754	6.4559	7.478975
0.131	4.1853	27.0466	21.4502	3.5409e-01	0.7646	0.853	1457.19	84.768	6.4506	7.478976
0.118	4.2217	27.0658	21.4624	3.5409e-01	0.7633	0.861	1457.37	84.841	6.4495	7.478976
0.118	4.2363	27.0742	21.4678	3.5409e-01	0.7646	0.875	1457.44	84.798	6.4436	7.478977
0.118	4.2294	27.0447	21.4450	3.5409e-01	0.7670	0.923	1457.38	84.877	6.4519	7.478977
0.107	4.2371	27.0168	21.4222	3.4188e-01	0.7682	0.985	1457.37	84.960	6.4582	7.478978
0.129	4.2487	27.0477	21.4457	3.4188e-01	0.7694	1.026	1457.46	84.986	6.4570	7.478978
0.118	4.2637	27.0891	21.4773	3.4188e-01	0.7694	1.026	1457.58	84.946	6.4498	7.478979
0.107	4.2955	27.1193	21.4985	3.4188e-01	0.7670	0.996	1457.75	85.018	6.4490	7.478979
0.118	4.3275	27.1668	21.5333	3.6630e-01	0.7670	0.960	1457.95	85.098	6.4479	7.478980
0.118	4.3623	27.2469	21.5938	3.6630e-01	0.7658	0.930	1458.20	85.120	6.4406	7.478980
0.107	4.4194	27.3471	21.6681	3.7851e-01	0.7646	0.916	1458.57	85.135	6.4284	7.478981
0.118	4.4773	27.4383	21.7352	4.0293e-01	0.7646	0.923	1458.93	85.148	6.4164	7.478981
0.107	4.5214	27.5139	21.7912	4.0293e-01	0.7658	0.923	1459.21	85.162	6.4072	7.478981
0.129	4.5322	27.5665	21.8318	3.9072e-01	0.7633	0.908	1459.32	85.181	6.4047	7.478982
0.107	4.5319	27.5831	21.8450	3.6630e-01	0.7646	0.897	1459.34	85.199	6.4054	7.478982
0.131	4.5283	27.5885	21.8496	3.5409e-01	0.7633	0.886	1459.33	85.217	6.4070	7.478983
0.107	4.5311	27.5865	21.8478	3.5409e-01	0.7609	0.883	1459.34	85.230	6.4077	7.478983
0.129	4.5343	27.5858	21.8469	3.5409e-01	0.7609	0.883	1459.35	85.242	6.4081	7.478984
0.118	4.5302	27.5864	21.8478	3.6630e-01	0.7572	0.879	1459.34	85.316	6.4143	7.478984
0.118	4.5485	27.5840	21.8443	3.7851e-01	0.7572	0.879	1459.41	85.328	6.4125	7.478985
0.131	4.6113	27.6127	21.8612	3.9072e-01	0.7572	0.872	1459.71	85.328	6.4015	7.478985
0.118	4.6716	27.7031	21.9272	4.1514e-01	0.7597	0.872	1460.08	85.264	6.3834	7.478986
0.118	4.6983	27.7806	21.9861	4.6398e-01	0.7585	0.879	1460.29	85.322	6.3802	7.478986
0.131	4.7054	27.8202	22.0167	5.2503e-01	0.7609	0.890	1460.37	85.327	6.3778	7.478987
0.129	4.7169	27.8321	22.0252	5.4945e-01	0.7609	0.901	1460.43	85.329	6.3757	7.478987
0.131	4.7254	27.8563	22.0435	5.0061e-01	0.7572	0.912	1460.50	85.329	6.3733	7.478988
0.131	4.7468	27.9258	22.0965	4.5177e-01	0.7536	0.927	1460.68	85.324	6.3667	7.478988
0.131	4.7820	28.0932	22.2257	4.0293e-01	0.7523	0.923	1461.04	85.314	6.3533	7.478989
0.118	4.7874	28.2808	22.3738	3.7851e-01	0.7548	0.923	1461.30	85.307	6.3440	7.478989
0.142	4.7806	28.3585	22.4359	3.6630e-01	0.7511	0.927	1461.37	85.363	6.3460	7.478990
