DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.073	1.3585	7.2982	5.8117	7.9365e-01	4.5547	1.103	1418.85	83.890	7.8575	10.387500
0.088	1.3590	7.2986	5.8120	7.8144e-01	4.5559	1.095	1418.86	83.890	7.8573	10.387500
0.063	1.3601	7.2983	5.8118	7.9365e-01	4.5583	1.099	1418.86	83.890	7.8571	10.387501
0.073	1.3612	7.2980	5.8116	7.9365e-01	4.5596	1.099	1418.86	83.890	7.8568	10.387501
0.075	1.3622	7.2981	5.8117	7.9365e-01	4.5596	1.095	1418.87	83.889	7.8566	10.387502
0.075	1.3624	7.2984	5.8119	7.9365e-01	4.5596	1.088	1418.87	83.889	7.8565	10.387502
0.075	1.3632	7.2985	5.8120	7.9365e-01	4.5583	1.092	1418.88	83.824	7.8503	10.387503
0.062	1.3635	7.2989	5.8123	7.9365e-01	4.5571	1.092	1418.88	83.815	7.8493	10.387503
0.075	1.3640	7.2991	5.8125	7.9365e-01	4.5596	1.088	1418.88	83.806	7.8483	10.387504
0.063	1.3648	7.2997	5.8130	7.8144e-01	4.5583	1.088	1418.88	83.797	7.8473	10.387504
0.075	1.3670	7.2999	5.8132	7.9365e-01	4.5608	1.088	1418.90	83.853	7.8520	10.387505
0.062	1.3692	7.2997	5.8131	7.8144e-01	4.5608	1.088	1418.91	83.789	7.8456	10.387505
0.075	1.3710	7.2998	5.8132	7.8144e-01	4.5596	1.088	1418.91	83.781	7.8444	10.387506
0.063	1.3726	7.2997	5.8131	7.8144e-01	4.5571	1.084	1418.92	83.773	7.8434	10.387506
0.026	1.3740	7.2995	5.8130	7.9365e-01	4.5559	1.081	1418.93	83.765	7.8424	10.387507
0.099	1.3763	7.2994	5.8130	7.8144e-01	4.5535	1.073	1418.94	83.759	7.8413	10.387507
0.063	1.3778	7.2991	5.8128	7.9365e-01	4.5535	1.070	1418.95	83.752	7.8403	10.387508
0.063	1.3787	7.2991	5.8127	7.9365e-01	4.5547	1.070	1418.95	83.746	7.8396	10.387508
0.062	1.3792	7.2994	5.8130	7.9365e-01	4.5571	1.073	1418.95	83.740	7.8389	10.387509
0.063	1.3789	7.2998	5.8133	7.8144e-01	4.5596	1.084	1418.95	83.736	7.8385	10.387509
0.063	1.3790	7.3003	5.8137	7.9365e-01	4.5583	1.095	1418.95	83.666	7.8320	10.387510
0.052	1.3797	7.3009	5.8142	7.9365e-01	4.5571	1.103	1418.96	83.717	7.8366	10.387510
0.050	1.3807	7.3007	5.8141	7.8144e-01	4.5583	1.106	1418.96	83.714	7.8360	10.387511
0.075	1.3818	7.3011	5.8144	7.8144e-01	4.5583	1.110	1418.97	83.711	7.8355	10.387511
0.052	1.3823	7.3017	5.8149	7.9365e-01	4.5583	1.114	1418.97	83.708	7.8351	10.387512
