DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.041	6.1414	31.0241	24.3955	2.3199e-01	0.4729	0.685	1470.29	80.906	5.7200	10.539236
0.052	6.1476	31.0067	24.3810	2.4420e-01	0.4729	0.674	1470.30	80.781	5.7110	10.539237
0.050	6.1503	30.9923	24.3693	2.6862e-01	0.4704	0.670	1470.29	80.704	5.7057	10.539237
0.063	6.1572	30.9660	24.3477	2.6862e-01	0.4680	0.674	1470.28	80.619	5.6998	10.539238
0.052	6.1713	30.9379	24.3239	2.5641e-01	0.4668	0.674	1470.30	80.527	5.6925	10.539238
0.050	6.1811	30.9141	24.3040	2.4420e-01	0.4643	0.674	1470.31	80.430	5.6852	10.539239
0.087	6.1863	30.8922	24.2860	2.4420e-01	0.4619	0.674	1470.31	80.327	5.6781	10.539239
0.063	6.1896	30.8864	24.2811	2.4420e-01	0.4607	0.667	1470.31	80.157	5.6658	10.539239
0.076	6.1919	30.8861	24.2805	2.4420e-01	0.4594	0.659	1470.32	80.037	5.6570	10.539240
0.062	6.1951	30.8793	24.2748	2.5641e-01	0.4582	0.659	1470.33	79.912	5.6480	10.539240
0.076	6.1982	30.8834	24.2777	2.5641e-01	0.4570	0.656	1470.34	79.783	5.6383	10.539241
0.076	6.1998	30.8878	24.2809	2.5641e-01	0.4546	0.656	1470.36	79.588	5.6242	10.539241
0.052	6.2009	30.8778	24.2729	2.5641e-01	0.4546	0.663	1470.35	79.506	5.6186	10.539242
0.062	6.2017	30.8797	24.2743	2.4420e-01	0.4582	0.663	1470.35	79.304	5.6042	10.539242
0.063	6.2015	30.8840	24.2777	2.4420e-01	0.4607	0.663	1470.36	79.217	5.5979	10.539243
0.052	6.1923	30.8840	24.2788	2.4420e-01	0.4655	0.659	1470.32	79.011	5.5845	10.539243
0.063	6.1796	30.8957	24.2896	2.5641e-01	0.4668	0.659	1470.28	78.858	5.5750	10.539244
0.039	6.1623	30.9096	24.3027	2.5641e-01	0.4716	0.656	1470.23	78.703	5.5658	10.539244
0.041	6.1302	30.9259	24.3193	2.8083e-01	0.4765	0.659	1470.12	78.548	5.5584	10.539245
0.041	6.0978	30.9518	24.3436	3.1746e-01	0.4851	0.674	1470.03	78.392	5.5506	10.539245
0.041	6.0766	30.9688	24.3596	3.1746e-01	0.4924	0.689	1469.96	78.234	5.5416	10.539246
0.026	6.0555	30.9866	24.3762	3.0525e-01	0.4936	0.685	1469.90	78.076	5.5324	10.539246
0.028	6.0368	31.0038	24.3919	2.9304e-01	0.4948	0.685	1469.85	77.917	5.5230	10.539247
0.028	6.0098	31.0269	24.4133	2.6862e-01	0.4985	0.678	1469.77	77.759	5.5144	10.539247
-0.010	5.9757	31.0561	24.4405	2.5641e-01	0.5034	0.670	1469.67	77.601	5.5066	10.539248
0.063	5.9486	31.0794	24.4620	2.5641e-01	0.5083	0.670	1469.59	77.445	5.4981	10.539248
0.016	5.9293	31.0956	24.4770	2.5641e-01	0.5107	0.681	1469.53	77.288	5.4889	10.539249
0.028	5.9121	31.1100	24.4905	2.5641e-01	0.5132	0.685	1469.48	77.133	5.4796	10.539249
0.026	5.9035	31.1171	24.4971	2.5641e-01	0.5144	0.689	1469.46	76.980	5.4696	10.539250
0.028	5.9007	31.1206	24.5002	2.4420e-01	0.5156	0.711	1469.45	76.828	5.4591	10.539250
0.028	5.8980	31.1269	24.5055	2.4420e-01	0.5180	0.780	1469.45	76.680	5.4486	10.539251
0.041	5.8960	31.1285	24.5070	2.4420e-01	0.5180	0.799	1469.44	76.534	5.4385	10.539251
0.039	5.9044	31.1203	24.4995	2.4420e-01	0.5193	0.762	1469.46	76.392	5.4276	10.539252
0.041	5.9308	31.0960	24.4772	2.4420e-01	0.5205	0.722	1469.54	76.253	5.4152	10.539252
0.041	5.9540	31.0732	24.4565	2.4420e-01	0.5242	0.700	1469.60	76.118	5.4035	10.539253
0.063	5.9746	31.0531	24.4382	2.4420e-01	0.5315	0.689	1469.66	75.988	5.3924	10.539253
0.050	5.9897	31.0405	24.4264	2.5641e-01	0.5364	0.674	1469.71	75.862	5.3820	10.539253
0.052	5.9959	31.0311	24.4183	2.6862e-01	0.5449	0.670	1469.72	75.742	5.3730	10.539254
0.063	5.9989	31.0240	24.4123	2.6862e-01	0.5510	0.670	1469.72	75.626	5.3647	10.539254
0.063	5.9981	31.0225	24.4113	2.5641e-01	0.5559	0.667	1469.72	75.578	5.3614	10.539255
0.062	5.9987	31.0204	24.4095	2.5641e-01	0.5583	0.663	1469.72	75.482	5.3546	10.539255
0.052	6.0001	31.0181	24.4076	2.6862e-01	0.5608	0.652	1469.72	75.391	5.3480	10.539256
0.063	6.0016	31.0155	24.4053	2.6862e-01	0.5644	0.652	1469.72	75.306	5.3419	10.539256
0.050	6.0028	31.0125	24.4028	2.6862e-01	0.5693	0.652	1469.72	75.228	5.3363	10.539257
0.063	6.0043	31.0098	24.4005	2.6862e-01	0.5705	0.652	1469.73	75.157	5.3312	10.539257
0.063	6.0056	31.0090	24.3997	2.8083e-01	0.5730	0.652	1469.73	75.093	5.3265	10.539258
0.063	6.0063	31.0080	24.3989	2.8083e-01	0.5779	0.656	1469.73	75.036	5.3225	10.539258
0.050	6.0068	31.0069	24.3980	2.8083e-01	0.5815	0.656	1469.73	74.988	5.3190	10.539259
0.052	6.0068	31.0097	24.4001	2.6862e-01	0.5840	0.659	1469.74	75.009	5.3204	10.539259
0.063	6.0078	31.0071	24.3980	2.6862e-01	0.5889	0.663	1469.74	74.923	5.3142	10.539260
0.052	6.0108	31.0015	24.3932	2.6862e-01	0.5913	0.670	1469.74	74.945	5.3156	10.539260
0.050	6.0114	31.0020	24.3935	2.6862e-01	0.5889	0.681	1469.74	74.913	5.3133	10.539261
0.052	6.0090	31.0023	24.3940	2.5641e-01	0.5901	0.689	1469.74	74.880	5.3113	10.539261
0.041	6.0062	31.0025	24.3945	2.5641e-01	0.5925	0.685	1469.72	74.848	5.3093	10.539262
0.052	6.0024	31.0090	24.4001	2.5641e-01	0.5925	0.685	1469.72	74.878	5.3117	10.539262
0.050	5.9985	31.0106	24.4018	2.5641e-01	0.5950	0.681	1469.70	74.853	5.3104	10.539263
0.041	5.9924	31.0120	24.4037	2.5641e-01	0.5974	0.678	1469.68	74.820	5.3087	10.539263
0.052	5.9783	31.0272	24.4173	2.5641e-01	0.6011	0.678	1469.64	74.786	5.3075	10.539264
0.052	5.9559	31.0441	24.4333	2.5641e-01	0.6011	0.674	1469.58	74.752	5.3073	10.539264
0.050	5.9351	31.0584	24.4470	2.6862e-01	0.6011	0.674	1469.51	74.716	5.3069	10.539265
0.041	5.9178	31.0732	24.4607	2.5641e-01	0.6023	0.678	1469.46	74.672	5.3054	10.539265
0.052	5.9122	31.0773	24.4646	2.5641e-01	0.6023	0.681	1469.44	74.635	5.3033	10.539266
0.015	5.9146	31.0732	24.4611	2.5641e-01	0.6047	0.678	1469.45	74.590	5.2999	10.539266
0.063	5.9086	31.0851	24.4712	2.4420e-01	0.6060	0.674	1469.44	74.552	5.2976	10.539266
0.041	5.8971	31.1002	24.4845	2.4420e-01	0.6072	0.674	1469.41	74.567	5.2995	10.539267
0.052	5.8877	31.1097	24.4931	2.5641e-01	0.6084	0.674	1469.38	74.526	5.2975	10.539267
0.039	5.8653	31.1403	24.5198	2.5641e-01	0.6060	0.674	1469.33	74.484	5.2962	10.539268
0.041	5.8432	31.1643	24.5414	2.6862e-01	0.6072	0.674	1469.27	74.441	5.2950	10.539268
0.028	5.8255	31.1757	24.5525	2.5641e-01	0.6060	0.685	1469.22	74.458	5.2981	10.539269
0.028	5.8027	31.2017	24.5757	2.5641e-01	0.6047	0.689	1469.16	74.420	5.2973	10.539269
0.039	5.7785	31.2245	24.5965	2.5641e-01	0.6060	0.685	1469.09	74.380	5.2967	10.539270
0.016	5.7606	31.2334	24.6055	2.4420e-01	0.6047	0.678	1469.03	74.338	5.2956	10.539270
0.028	5.7424	31.2522	24.6226	2.4420e-01	0.6084	0.674	1468.98	74.357	5.2986	10.539271
0.028	5.7345	31.2610	24.6304	2.4420e-01	0.6108	0.674	1468.96	74.258	5.2922	10.539271
0.015	5.7322	31.2574	24.6278	2.4420e-01	0.6096	0.674	1468.94	74.273	5.2937	10.539272
0.016	5.7296	31.2651	24.6342	2.5641e-01	0.6133	0.670	1468.94	74.232	5.2909	10.539272
0.016	5.7284	31.2697	24.6380	2.5641e-01	0.6145	0.667	1468.94	74.190	5.2878	10.539273
0.016	5.7299	31.2613	24.6312	2.5641e-01	0.6157	0.667	1468.94	74.145	5.2847	10.539273
0.002	5.7280	31.2693	24.6377	2.5641e-01	0.6133	0.663	1468.94	74.160	5.2858	10.539274
0.003	5.7186	31.2801	24.6473	2.5641e-01	0.6121	0.667	1468.92	74.119	5.2837	10.539274
0.003	5.7109	31.2762	24.6452	2.5641e-01	0.6133	0.663	1468.88	74.076	5.2817	10.539275
