%StNo BotDep	DepSM	Potemp090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
08 47	-0.011	4.9664	28.0245	22.1535	2.9304e-01	0.4312	0.619	1461.71	73.082	5.4207	7.528657
08 47	-0.009	4.9668	28.0235	22.1527	2.9304e-01	0.4288	0.626	1461.71	73.207	5.4300	7.528658
08 47	-0.009	4.9693	28.0348	22.1613	2.8083e-01	0.4276	0.626	1461.74	73.473	5.4490	7.528658
08 47	0.002	4.9731	28.0393	22.1646	2.8083e-01	0.4300	0.623	1461.76	73.645	5.4610	7.528659
08 47	-0.011	4.9770	28.0405	22.1651	2.6862e-01	0.4324	0.619	1461.78	73.829	5.4741	7.528659
08 47	-0.009	4.9810	28.0478	22.1705	2.8083e-01	0.4324	0.615	1461.80	74.090	5.4927	7.528660
08 47	-0.009	4.9849	28.0451	22.1679	2.6862e-01	0.4312	0.615	1461.82	74.308	5.5084	7.528660
08 47	-0.009	4.9888	28.0474	22.1694	2.6862e-01	0.4337	0.615	1461.84	74.600	5.5294	7.528661
08 47	-0.011	4.9894	28.0515	22.1726	2.6862e-01	0.4324	0.619	1461.84	74.848	5.5476	7.528661
08 47	-0.009	4.9881	28.0470	22.1692	2.6862e-01	0.4312	0.626	1461.83	75.107	5.5671	7.528662
08 47	-0.022	4.9837	28.0556	22.1764	2.6862e-01	0.4349	0.630	1461.83	75.374	5.5872	7.528662
08 47	0.001	4.9788	28.0657	22.1848	2.8083e-01	0.4349	0.630	1461.82	75.651	5.6080	7.528663
08 47	-0.022	4.9752	28.0729	22.1909	2.6862e-01	0.4361	0.623	1461.81	75.934	5.6292	7.528663
08 47	-0.009	4.9717	28.0805	22.1973	2.8083e-01	0.4373	0.623	1461.81	76.225	5.6510	7.528664
08 47	-0.009	4.9671	28.0855	22.2017	2.8083e-01	0.4361	0.619	1461.79	76.522	5.6734	7.528664
08 47	-0.011	4.9591	28.0868	22.2035	3.1746e-01	0.4349	0.615	1461.76	76.825	5.6970	7.528665
08 47	-0.009	4.9538	28.0797	22.1984	3.4188e-01	0.4324	0.619	1461.73	77.133	5.7208	7.528665
08 47	-0.009	4.9533	28.0730	22.1932	3.1746e-01	0.4337	0.619	1461.72	77.443	5.7441	7.528666
08 47	0.002	4.9552	28.0645	22.1862	2.9304e-01	0.4324	0.619	1461.72	77.757	5.7675	7.528666
08 47	-0.024	4.9604	28.0541	22.1775	2.8083e-01	0.4349	0.619	1461.73	78.072	5.7905	7.528667
08 47	0.002	4.9652	28.0478	22.1720	2.8083e-01	0.4324	0.615	1461.74	78.327	5.8090	7.528667
08 47	-0.009	4.9693	28.0409	22.1662	2.8083e-01	0.4349	0.615	1461.75	78.637	5.8317	7.528668
08 47	-0.011	4.9711	28.0383	22.1639	2.8083e-01	0.4349	0.615	1461.75	78.950	5.8547	7.528668
08 47	0.002	4.9714	28.0377	22.1634	2.8083e-01	0.4349	0.615	1461.75	79.263	5.8779	7.528668
08 47	0.002	4.9715	28.0364	22.1624	2.8083e-01	0.4337	0.615	1461.75	79.514	5.8965	7.528669
08 47	-0.009	4.9701	28.0376	22.1635	2.9304e-01	0.4361	0.615	1461.75	79.818	5.9193	7.528669
08 47	0.001	4.9681	28.0371	22.1633	3.0525e-01	0.4373	0.615	1461.74	80.122	5.9421	7.528670
08 47	-0.009	4.9651	28.0379	22.1642	3.1746e-01	0.4349	0.612	1461.73	80.361	5.9602	7.528670
08 47	0.002	4.9615	28.0408	22.1669	3.0525e-01	0.4373	0.608	1461.71	80.590	5.9776	7.528671
08 47	0.002	4.9570	28.0414	22.1678	2.9304e-01	0.4410	0.608	1461.70	80.808	5.9944	7.528671
08 47	-0.011	4.9535	28.0448	22.1708	2.8083e-01	0.4434	0.608	1461.69	81.140	6.0194	7.528672
08 47	-0.009	4.9517	28.0461	22.1720	2.8083e-01	0.4410	0.612	1461.68	81.350	6.0352	7.528672
08 47	-0.009	4.9495	28.0460	22.1721	2.8083e-01	0.4422	0.612	1461.67	81.610	6.0548	7.528673
08 47	0.002	4.9475	28.0493	22.1750	2.8083e-01	0.4434	0.612	1461.67	81.803	6.0693	7.528673
08 47	-0.011	4.9449	28.0511	22.1767	2.6862e-01	0.4459	0.612	1461.66	81.982	6.0829	7.528674
08 47	-0.009	4.9417	28.0520	22.1776	2.8083e-01	0.4434	0.612	1461.65	82.147	6.0956	7.528674
08 47	-0.009	4.9399	28.0511	22.1771	2.6862e-01	0.4410	0.612	1461.64	82.297	6.1070	7.528675
08 47	-0.011	4.9378	28.0432	22.1710	2.6862e-01	0.4410	0.615	1461.62	82.495	6.1224	7.528675
08 47	-0.009	4.9358	28.0403	22.1690	2.8083e-01	0.4398	0.615	1461.61	82.624	6.1323	7.528676
08 47	-0.009	4.9352	28.0359	22.1655	2.6862e-01	0.4434	0.615	1461.60	82.736	6.1409	7.528676
08 47	-0.009	4.9346	28.0309	22.1616	2.8083e-01	0.4422	0.615	1461.59	82.831	6.1483	7.528677
08 47	-0.011	4.9337	28.0308	22.1616	2.8083e-01	0.4398	0.615	1461.59	82.911	6.1543	7.528677
08 47	-0.009	4.9312	28.0299	22.1612	2.8083e-01	0.4434	0.615	1461.57	83.037	6.1641	7.528678
08 47	-0.009	4.9291	28.0313	22.1625	2.9304e-01	0.4447	0.619	1461.57	83.091	6.1684	7.528678
