DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
-0.011	3.4002	26.3071	20.9251	3.2967e-01	0.5388	0.560	1452.88	90.315	7.0428	9.471863
-0.021	3.4066	26.3043	20.9223	3.4188e-01	0.5388	0.564	1452.90	90.313	7.0417	9.471864
-0.009	3.4116	26.3009	20.9193	3.4188e-01	0.5388	0.557	1452.92	90.249	7.0359	9.471864
-0.011	3.4169	26.2994	20.9177	3.2967e-01	0.5351	0.568	1452.94	90.176	7.0294	9.471865
-0.009	3.4205	26.2983	20.9166	3.4188e-01	0.5376	0.597	1452.95	90.095	7.0225	9.471865
-0.021	3.4222	26.2970	20.9154	3.6630e-01	0.5412	0.608	1452.96	90.070	7.0203	9.471866
0.002	3.4235	26.2977	20.9158	3.7851e-01	0.5388	0.601	1452.97	89.983	7.0133	9.471866
-0.011	3.4248	26.2982	20.9162	3.7851e-01	0.5351	0.582	1452.97	89.825	7.0008	9.471867
0.002	3.4272	26.2964	20.9145	3.4188e-01	0.5351	0.571	1452.98	89.779	6.9968	9.471867
0.015	3.4299	26.2954	20.9136	3.4188e-01	0.5339	0.579	1452.99	89.671	6.9879	9.471868
0.015	3.4338	26.2936	20.9118	3.4188e-01	0.5339	0.571	1453.01	89.556	6.9784	9.471868
0.013	3.4386	26.2905	20.9091	3.5409e-01	0.5315	0.560	1453.02	89.499	6.9733	9.471869
0.026	3.4449	26.2861	20.9051	3.4188e-01	0.5303	0.557	1453.04	89.381	6.9632	9.471869
0.039	3.4610	26.2743	20.8945	3.9072e-01	0.5327	0.549	1453.10	89.256	6.9512	9.471870
0.050	3.4777	26.2619	20.8834	4.3956e-01	0.5303	0.553	1453.16	89.126	6.9388	9.471870
0.049	3.4884	26.2538	20.8761	4.8840e-01	0.5278	0.571	1453.19	88.991	6.9268	9.471871
0.062	3.4958	26.2487	20.8716	5.1282e-01	0.5290	0.586	1453.22	88.854	6.9151	9.471871
0.062	3.5032	26.2431	20.8666	4.6398e-01	0.5290	0.604	1453.24	88.712	6.9031	9.471872
0.084	3.5078	26.2389	20.8629	4.6398e-01	0.5303	0.604	1453.26	88.631	6.8961	9.471872
0.097	3.5113	26.2340	20.8587	4.7619e-01	0.5315	0.590	1453.27	88.492	6.8849	9.471873
0.110	3.5130	26.2278	20.8537	4.3956e-01	0.5339	0.575	1453.26	88.349	6.8738	9.471873
0.122	3.5090	26.2286	20.8546	3.9072e-01	0.5303	0.557	1453.25	88.268	6.8682	9.471874
0.133	3.5027	26.2338	20.8592	3.4188e-01	0.5290	0.546	1453.23	88.130	6.8583	9.471874
0.135	3.4907	26.2484	20.8717	3.2967e-01	0.5303	0.546	1453.20	87.990	6.8488	9.471875
0.157	3.4804	26.2639	20.8848	3.4188e-01	0.5278	0.542	1453.17	87.848	6.8388	9.471875
0.182	3.4690	26.2843	20.9019	3.6630e-01	0.5278	0.542	1453.15	87.704	6.8286	9.471875
0.204	3.4549	26.3158	20.9279	3.5409e-01	0.5278	0.538	1453.13	87.559	6.8182	9.471876
0.206	3.4443	26.3427	20.9501	3.7851e-01	0.5266	0.546	1453.12	87.475	6.8122	9.471876
0.217	3.4377	26.3661	20.9692	3.9072e-01	0.5278	0.560	1453.12	87.335	6.8014	9.471877
0.241	3.4344	26.3937	20.9914	3.9072e-01	0.5266	0.568	1453.14	87.258	6.7946	9.471877
0.251	3.4336	26.4118	21.0058	3.5409e-01	0.5254	0.568	1453.16	87.124	6.7835	9.471878
0.253	3.4336	26.4218	21.0138	3.5409e-01	0.5254	0.575	1453.17	86.990	6.7726	9.471878
0.253	3.4338	26.4330	21.0227	3.5409e-01	0.5242	0.601	1453.19	86.856	6.7617	9.471879
0.266	3.4347	26.4384	21.0270	3.7851e-01	0.5254	0.645	1453.20	86.723	6.7508	9.471879
0.275	3.4355	26.4391	21.0274	4.5177e-01	0.5242	0.678	1453.20	86.590	6.7403	9.471880
0.277	3.4371	26.4418	21.0295	4.5177e-01	0.5217	0.711	1453.21	86.521	6.7346	9.471880
0.301	3.4385	26.4393	21.0274	4.5177e-01	0.5217	0.696	1453.22	86.400	6.7250	9.471881
0.301	3.4394	26.4351	21.0240	4.2735e-01	0.5242	0.667	1453.22	86.279	6.7157	9.471881
0.301	3.4408	26.4368	21.0252	3.9072e-01	0.5254	0.678	1453.23	86.224	6.7111	9.471882
0.300	3.4433	26.4345	21.0232	3.9072e-01	0.5278	0.722	1453.23	86.116	6.7024	9.471882
0.313	3.4451	26.4314	21.0206	4.0293e-01	0.5278	0.791	1453.24	86.011	6.6940	9.471883
0.326	3.4475	26.4312	21.0203	4.1514e-01	0.5303	0.762	1453.25	85.971	6.6905	9.471883
0.326	3.4536	26.4287	21.0178	4.1514e-01	0.5315	0.692	1453.27	85.879	6.6824	9.471884
0.324	3.4599	26.4237	21.0134	4.1514e-01	0.5327	0.634	1453.29	85.790	6.6747	9.471884
0.337	3.4627	26.4215	21.0115	4.0293e-01	0.5364	0.601	1453.30	85.704	6.6677	9.471885
0.337	3.4656	26.4183	21.0087	3.9072e-01	0.5351	0.604	1453.31	85.686	6.6659	9.471885
0.337	3.4694	26.4143	21.0052	3.9072e-01	0.5388	0.656	1453.32	85.617	6.6601	9.471886
0.347	3.4724	26.4113	21.0026	3.9072e-01	0.5388	0.674	1453.33	85.552	6.6547	9.471886
0.337	3.4744	26.4080	20.9998	3.9072e-01	0.5400	0.641	1453.33	85.491	6.6498	9.471887
0.348	3.4764	26.4063	20.9983	3.6630e-01	0.5400	0.608	1453.34	85.372	6.6402	9.471887
0.348	3.4795	26.4049	20.9970	3.6630e-01	0.5364	0.582	1453.35	85.439	6.6450	9.471888
0.347	3.4848	26.4010	20.9935	3.9072e-01	0.5351	0.579	1453.37	85.394	6.6408	9.471888
0.348	3.4889	26.3973	20.9902	3.9072e-01	0.5388	0.641	1453.38	85.407	6.6413	9.471889
0.348	3.4902	26.3968	20.9898	3.6630e-01	0.5376	0.656	1453.39	85.362	6.6376	9.471889
0.361	3.4872	26.4015	20.9937	3.4188e-01	0.5364	0.626	1453.38	85.322	6.6348	9.471889
0.348	3.4833	26.4048	20.9966	3.4188e-01	0.5400	0.590	1453.37	85.278	6.6319	9.471890
0.360	3.4802	26.4073	20.9988	3.5409e-01	0.5400	0.571	1453.36	85.221	6.6278	9.471890
0.361	3.4768	26.4129	21.0035	3.5409e-01	0.5388	0.593	1453.35	85.169	6.6241	9.471891
0.361	3.4736	26.4171	21.0071	3.5409e-01	0.5351	0.619	1453.34	85.176	6.6249	9.471891
0.361	3.4705	26.4202	21.0098	3.4188e-01	0.5351	0.626	1453.33	85.124	6.6213	9.471892
0.371	3.4682	26.4243	21.0133	3.4188e-01	0.5315	0.670	1453.33	85.076	6.6178	9.471892
0.361	3.4661	26.4268	21.0154	3.5409e-01	0.5327	0.762	1453.32	85.088	6.6190	9.471893
0.372	3.4648	26.4283	21.0167	3.6630e-01	0.5315	0.769	1453.32	85.041	6.6155	9.471893
0.361	3.4639	26.4315	21.0193	3.9072e-01	0.5315	0.744	1453.32	85.053	6.6164	9.471894
0.384	3.4644	26.4319	21.0196	3.9072e-01	0.5327	0.747	1453.32	85.006	6.6126	9.471894
0.372	3.4658	26.4320	21.0196	3.6630e-01	0.5315	0.766	1453.33	85.017	6.6132	9.471895
0.372	3.4692	26.4328	21.0199	3.6630e-01	0.5339	0.747	1453.34	84.968	6.6088	9.471895
0.384	3.4738	26.4319	21.0189	3.6630e-01	0.5339	0.703	1453.36	84.923	6.6046	9.471896
0.384	3.4778	26.4296	21.0167	3.7851e-01	0.5327	0.678	1453.38	85.000	6.6100	9.471896
0.371	3.4805	26.4323	21.0187	3.6630e-01	0.5339	0.678	1453.39	84.962	6.6065	9.471897
0.372	3.4821	26.4345	21.0203	3.6630e-01	0.5339	0.667	1453.40	84.992	6.6085	9.471897
0.361	3.4842	26.4332	21.0191	3.6630e-01	0.5339	0.645	1453.41	84.961	6.6058	9.471898
0.361	3.4879	26.4338	21.0193	3.6630e-01	0.5339	0.623	1453.43	84.989	6.6073	9.471898
0.360	3.4922	26.4325	21.0180	3.6630e-01	0.5303	0.619	1453.44	84.955	6.6041	9.471899
0.361	3.4961	26.4271	21.0134	3.6630e-01	0.5278	0.645	1453.45	84.980	6.6055	9.471899
0.337	3.4994	26.4268	21.0129	4.0293e-01	0.5290	0.703	1453.47	85.006	6.6071	9.471900
0.337	3.5010	26.4287	21.0143	3.9072e-01	0.5315	0.722	1453.48	84.981	6.6048	9.471900
0.335	3.5024	26.4255	21.0117	3.9072e-01	0.5303	0.685	1453.48	85.014	6.6072	9.471901
0.326	3.5033	26.4271	21.0129	3.9072e-01	0.5290	0.696	1453.48	85.057	6.6104	9.471901
0.326	3.5043	26.4304	21.0154	3.7851e-01	0.5290	0.729	1453.49	85.103	6.6137	9.471902
0.326	3.5059	26.4281	21.0135	3.9072e-01	0.5266	0.714	1453.50	85.087	6.6123	9.471902
0.326	3.5069	26.4288	21.0139	4.0293e-01	0.5266	0.685	1453.50	85.128	6.6152	9.471902
0.311	3.5074	26.4310	21.0156	4.0293e-01	0.5254	0.703	1453.51	85.234	6.6233	9.471903
0.301	3.5074	26.4308	21.0155	4.0293e-01	0.5254	0.711	1453.51	85.286	6.6273	9.471903
0.301	3.5076	26.4340	21.0180	3.9072e-01	0.5254	0.718	1453.51	85.284	6.6270	9.471904
0.301	3.5079	26.4373	21.0206	4.1514e-01	0.5229	0.864	1453.52	85.337	6.6309	9.471904
0.300	3.5101	26.4361	21.0195	4.0293e-01	0.5254	0.985	1453.52	85.390	6.6348	9.471905
0.288	3.5142	26.4360	21.0191	4.0293e-01	0.5242	1.026	1453.54	85.453	6.6389	9.471905
0.266	3.5210	26.4339	21.0169	4.0293e-01	0.5278	1.205	1453.57	85.515	6.6427	9.471906
0.277	3.5258	26.4290	21.0127	4.0293e-01	0.5303	1.348	1453.58	85.577	6.6469	9.471906
0.275	3.5296	26.4268	21.0107	4.0293e-01	0.5303	1.275	1453.60	85.647	6.6519	9.471907
0.266	3.5351	26.4254	21.0091	3.9072e-01	0.5278	1.125	1453.62	85.716	6.6564	9.471907
0.253	3.5428	26.4186	21.0031	3.9072e-01	0.5303	1.132	1453.64	85.784	6.6607	9.471908
0.266	3.5478	26.4155	21.0003	3.9072e-01	0.5290	1.044	1453.66	85.851	6.6652	9.471908
0.264	3.5505	26.4157	21.0003	3.9072e-01	0.5266	0.985	1453.67	85.926	6.6705	9.471909
