%StNo BotDep	TimeJ	T090C	DepSM	PrDM	SeaTurbMtr
08 47	7.528657	4.9664	-0.011	-0.011	0.619
08 47	7.528658	4.9668	-0.009	-0.009	0.626
08 47	7.528658	4.9693	-0.009	-0.009	0.626
08 47	7.528659	4.9731	0.002	0.002	0.623
08 47	7.528659	4.9770	-0.011	-0.011	0.619
08 47	7.528660	4.9810	-0.009	-0.009	0.615
08 47	7.528660	4.9849	-0.009	-0.009	0.615
08 47	7.528661	4.9888	-0.009	-0.009	0.615
08 47	7.528661	4.9894	-0.011	-0.011	0.619
08 47	7.528662	4.9881	-0.009	-0.009	0.626
08 47	7.528662	4.9837	-0.022	-0.022	0.630
08 47	7.528663	4.9788	0.001	0.001	0.630
08 47	7.528663	4.9752	-0.022	-0.022	0.623
08 47	7.528664	4.9717	-0.009	-0.009	0.623
08 47	7.528664	4.9671	-0.009	-0.009	0.619
08 47	7.528665	4.9591	-0.011	-0.011	0.615
08 47	7.528665	4.9538	-0.009	-0.009	0.619
08 47	7.528666	4.9533	-0.009	-0.009	0.619
08 47	7.528666	4.9552	0.002	0.002	0.619
08 47	7.528667	4.9604	-0.024	-0.024	0.619
08 47	7.528667	4.9652	0.002	0.002	0.615
08 47	7.528668	4.9693	-0.009	-0.009	0.615
08 47	7.528668	4.9711	-0.011	-0.011	0.615
08 47	7.528668	4.9714	0.002	0.002	0.615
08 47	7.528669	4.9715	0.002	0.002	0.615
08 47	7.528669	4.9701	-0.009	-0.009	0.615
08 47	7.528670	4.9681	0.001	0.001	0.615
08 47	7.528670	4.9651	-0.009	-0.009	0.612
08 47	7.528671	4.9615	0.002	0.002	0.608
08 47	7.528671	4.9570	0.002	0.002	0.608
08 47	7.528672	4.9535	-0.011	-0.011	0.608
08 47	7.528672	4.9517	-0.009	-0.009	0.612
08 47	7.528673	4.9495	-0.009	-0.009	0.612
08 47	7.528673	4.9475	0.002	0.002	0.612
08 47	7.528674	4.9449	-0.011	-0.011	0.612
08 47	7.528674	4.9417	-0.009	-0.009	0.612
08 47	7.528675	4.9399	-0.009	-0.009	0.612
08 47	7.528675	4.9378	-0.011	-0.011	0.615
08 47	7.528676	4.9358	-0.009	-0.009	0.615
08 47	7.528676	4.9352	-0.009	-0.009	0.615
08 47	7.528677	4.9346	-0.009	-0.009	0.615
08 47	7.528677	4.9337	-0.011	-0.011	0.615
08 47	7.528678	4.9312	-0.009	-0.009	0.615
08 47	7.528678	4.9291	-0.009	-0.009	0.619
08 47	7.528679	4.9272	-0.009	-0.009	0.615
08 47	7.528679	4.9280	-0.011	-0.011	0.615
08 47	7.528680	4.9319	-0.022	-0.022	0.623
08 47	7.528680	4.9356	-0.009	-0.009	0.623
08 47	7.528681	4.9358	-0.011	-0.011	0.623
08 47	7.528681	4.9344	-0.009	-0.009	0.619
08 47	7.528682	4.9333	-0.022	-0.022	0.619
08 47	7.528682	4.9326	-0.009	-0.009	0.615
08 47	7.528682	4.9318	-0.024	-0.024	0.612
08 47	7.528683	4.9304	-0.009	-0.009	0.612
08 47	7.528683	4.9290	-0.022	-0.022	0.612
08 47	7.528684	4.9290	-0.022	-0.022	0.615
08 47	7.528684	4.9296	-0.024	-0.024	0.623
08 47	7.528685	4.9312	-0.033	-0.034	0.623
08 47	7.528685	4.9326	-0.022	-0.022	0.623
08 47	7.528686	4.9335	-0.024	-0.024	0.619
08 47	7.528686	4.9344	-0.033	-0.034	0.619
08 47	7.528687	4.9367	-0.022	-0.022	0.615
08 47	7.528687	4.9382	-0.033	-0.034	0.615
08 47	7.528688	4.9383	-0.035	-0.035	0.615
08 47	7.528688	4.9381	-0.033	-0.034	0.612
08 47	7.528689	4.9382	-0.022	-0.022	0.608
08 47	7.528689	4.9379	-0.022	-0.022	0.604
08 47	7.528690	4.9382	-0.035	-0.035	0.601
08 47	7.528690	4.9391	-0.033	-0.034	0.601
08 47	7.528691	4.9399	-0.022	-0.022	0.601
08 47	7.528691	4.9405	-0.024	-0.024	0.601
08 47	7.528692	4.9407	-0.022	-0.022	0.604
08 47	7.528692	4.9411	-0.022	-0.022	0.604
08 47	7.528693	4.9412	-0.022	-0.022	0.604
08 47	7.528693	4.9410	-0.011	-0.011	0.608
08 47	7.528694	4.9410	-0.022	-0.022	0.608
08 47	7.528694	4.9405	-0.009	-0.009	0.612
08 47	7.528695	4.9402	-0.009	-0.009	0.612
08 47	7.528695	4.9402	-0.024	-0.024	0.608
08 47	7.528696	4.9402	-0.009	-0.009	0.608
08 47	7.528696	4.9401	-0.009	-0.009	0.604
08 47	7.528696	4.9413	-0.009	-0.009	0.604
08 47	7.528697	4.9440	-0.011	-0.011	0.601
08 47	7.528697	4.9470	-0.009	-0.009	0.604
08 47	7.528698	4.9490	-0.009	-0.009	0.604
08 47	7.528698	4.9501	-0.024	-0.024	0.604
08 47	7.528699	4.9522	-0.009	-0.009	0.604
08 47	7.528699	4.9541	-0.022	-0.022	0.604
08 47	7.528700	4.9557	-0.022	-0.022	0.604
08 47	7.528700	4.9575	-0.024	-0.024	0.604
08 47	7.528701	4.9593	-0.009	-0.009	0.608
08 47	7.528701	4.9599	-0.022	-0.022	0.612
08 47	7.528702	4.9595	-0.033	-0.034	0.612
08 47	7.528702	4.9594	-0.024	-0.024	0.608
08 47	7.528703	4.9597	-0.022	-0.022	0.608
08 47	7.528703	4.9597	-0.022	-0.022	0.608
08 47	7.528704	4.9601	-0.024	-0.024	0.612
08 47	7.528704	4.9599	-0.022	-0.022	0.608
08 47	7.528705	4.9599	-0.022	-0.022	0.608
08 47	7.528705	4.9597	-0.022	-0.022	0.608
08 47	7.528706	4.9591	-0.024	-0.024	0.608
08 47	7.528706	4.9589	-0.009	-0.009	0.608
08 47	7.528707	4.9583	-0.022	-0.022	0.612
08 47	7.528707	4.9579	-0.009	-0.009	0.615
08 47	7.528708	4.9574	-0.011	-0.011	0.615
08 47	7.528708	4.9574	-0.009	-0.009	0.615
08 47	7.528709	4.9576	-0.009	-0.009	0.615
08 47	7.528709	4.9575	0.001	0.001	0.615
08 47	7.528709	4.9571	-0.009	-0.009	0.615
08 47	7.528710	4.9557	-0.009	-0.009	0.619
08 47	7.528710	4.9538	-0.009	-0.009	0.619
08 47	7.528711	4.9531	-0.011	-0.011	0.626
08 47	7.528711	4.9541	-0.009	-0.009	0.630
08 47	7.528712	4.9550	-0.009	-0.009	0.637
08 47	7.528712	4.9561	0.002	0.002	0.637
08 47	7.528713	4.9567	-0.024	-0.024	0.637
08 47	7.528713	4.9574	-0.009	-0.009	0.637
08 47	7.528714	4.9579	-0.009	-0.009	0.637
08 47	7.528714	4.9575	-0.046	-0.047	0.634
08 47	7.528715	4.9563	0.014	0.014	0.634
08 47	7.528715	4.9553	-0.022	-0.022	0.634
08 47	7.528716	4.9547	-0.022	-0.022	0.634
08 47	7.528716	4.9542	-0.024	-0.024	0.634
08 47	7.528717	4.9536	-0.009	-0.009	0.630
08 47	7.528717	4.9538	-0.022	-0.022	0.626
08 47	7.528718	4.9541	-0.022	-0.022	0.623
08 47	7.528718	4.9558	-0.024	-0.024	0.623
08 47	7.528719	4.9574	-0.022	-0.022	0.619
08 47	7.528719	4.9582	-0.009	-0.009	0.619
08 47	7.528720	4.9588	-0.022	-0.022	0.619
08 47	7.528720	4.9596	-0.011	-0.011	0.619
08 47	7.528721	4.9601	-0.022	-0.022	0.623
08 47	7.528721	4.9604	-0.009	-0.009	0.626
08 47	7.528722	4.9600	-0.011	-0.011	0.630
08 47	7.528722	4.9594	-0.009	-0.009	0.626
08 47	7.528723	4.9594	-0.009	-0.009	0.623
