DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.088	1.5239	26.1257	20.8932	2.4420e-01	0.1285	0.015	1444.33	73.309	8.5797	72.530486	6.0036	0.089
0.099	1.5243	26.1261	20.8934	2.5641e-01	0.1285	0.015	1444.33	73.309	8.5796	72.530487	6.0035	0.100
0.112	1.5240	26.1265	20.8938	2.5641e-01	0.1285	0.011	1444.33	73.309	8.5796	72.530487	6.0035	0.113
0.101	1.5239	26.1264	20.8937	2.5641e-01	0.1298	0.018	1444.33	73.309	8.5797	72.530488	6.0035	0.102
0.101	1.5240	26.1260	20.8934	2.4420e-01	0.1298	0.015	1444.33	73.309	8.5797	72.530488	6.0035	0.102
0.099	1.5239	26.1266	20.8939	2.4420e-01	0.1298	0.015	1444.33	73.309	8.5797	72.530489	6.0035	0.100
0.088	1.5233	26.1270	20.8942	2.5641e-01	0.1285	0.015	1444.33	73.309	8.5798	72.530489	6.0036	0.089
0.088	1.5233	26.1268	20.8941	2.4420e-01	0.1298	0.015	1444.33	73.309	8.5798	72.530489	6.0036	0.089
0.099	1.5227	26.1278	20.8949	2.4420e-01	0.1285	0.015	1444.32	73.309	8.5799	72.530490	6.0037	0.100
0.101	1.5217	26.1285	20.8955	2.5641e-01	0.1285	0.015	1444.32	73.374	8.5877	72.530490	6.0091	0.102
0.088	1.5207	26.1299	20.8967	2.4420e-01	0.1298	0.015	1444.32	73.319	8.5813	72.530491	6.0047	0.089
0.088	1.5209	26.1300	20.8967	2.4420e-01	0.1285	0.015	1444.32	73.318	8.5812	72.530491	6.0046	0.089
0.088	1.5207	26.1305	20.8971	2.3199e-01	0.1298	0.015	1444.32	73.318	8.5812	72.530492	6.0046	0.089
0.076	1.5208	26.1306	20.8972	2.3199e-01	0.1285	0.011	1444.32	73.317	8.5811	72.530492	6.0046	0.077
0.101	1.5204	26.1316	20.8980	2.3199e-01	0.1285	0.015	1444.32	73.317	8.5811	72.530493	6.0046	0.102
0.076	1.5201	26.1325	20.8988	2.4420e-01	0.1285	0.015	1444.32	73.317	8.5811	72.530493	6.0045	0.077
0.088	1.5200	26.1330	20.8992	2.4420e-01	0.1285	0.015	1444.32	73.316	8.5811	72.530494	6.0045	0.089
0.088	1.5203	26.1336	20.8996	2.4420e-01	0.1298	0.018	1444.32	73.316	8.5809	72.530494	6.0044	0.089
0.076	1.5219	26.1333	20.8993	2.4420e-01	0.1285	0.015	1444.33	73.380	8.5880	72.530495	6.0094	0.077
0.088	1.5237	26.1337	20.8996	2.4420e-01	0.1298	0.015	1444.34	73.388	8.5886	72.530495	6.0098	0.089
