DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.000	1.5136	26.1200	20.8891	2.4255e-01	0.1290	0.015	1444.27	73.459	8.5999	72.530546	6.0177	0.000
1.000	1.5949	26.3966	21.1067	3.8205e-01	0.1287	0.015	1445.02	73.543	8.5753	72.530730	6.0005	1.010
2.000	1.7049	26.6689	21.3192	5.8931e-01	0.1288	0.015	1445.89	73.600	8.5416	72.530757	5.9769	2.019
3.000	1.8416	26.9336	21.5238	7.6838e-01	0.1288	0.015	1446.87	73.593	8.4953	72.530780	5.9445	3.028
4.000	1.9017	27.0518	21.6151	8.6004e-01	0.1288	0.015	1447.31	73.411	8.4543	72.530802	5.9158	4.038
5.000	2.0179	27.1962	21.7239	7.8381e-01	0.1287	0.015	1448.03	73.552	8.4371	72.530827	5.9038	5.047
6.000	2.3560	27.5673	22.0004	7.1053e-01	0.1288	0.015	1450.04	73.747	8.3654	72.530855	5.8536	6.057
7.000	2.6383	27.8559	22.2122	6.4962e-01	0.1288	0.015	1451.67	74.233	8.3441	72.530881	5.8387	7.067
8.000	2.8060	28.0256	22.3361	5.8497e-01	0.1290	0.015	1452.64	74.143	8.2892	72.530906	5.8003	8.076
9.000	2.9206	28.1322	22.4129	5.2636e-01	0.1290	0.015	1453.30	73.917	8.2342	72.530931	5.7618	9.086
10.000	3.1449	28.3384	22.5605	4.3784e-01	0.1289	0.015	1454.56	73.345	8.1135	72.530956	5.6774	10.095
11.000	3.5091	28.7254	22.8401	4.1958e-01	0.1287	0.014	1456.64	72.829	7.9627	72.530980	5.5718	11.105
12.000	3.7435	29.1029	23.1208	4.2402e-01	0.1286	0.013	1458.15	72.678	7.8800	72.531005	5.5139	12.114
13.000	3.9029	29.4903	23.4147	4.4860e-01	0.1288	0.015	1459.34	72.362	7.7946	72.531029	5.4542	13.124
14.000	4.0097	29.7016	23.5731	4.1409e-01	0.1291	0.015	1460.08	71.716	7.6938	72.531055	5.3837	14.133
15.000	4.2284	30.1499	23.9089	3.1787e-01	0.1292	0.015	1461.59	71.058	7.5597	72.531080	5.2899	15.143
16.000	4.4812	30.3687	24.0581	2.7871e-01	0.1291	0.015	1462.95	70.131	7.4045	72.531104	5.1812	16.152
17.000	4.6646	30.4990	24.1432	2.4907e-01	0.1291	0.015	1463.89	69.361	7.2844	72.531130	5.0972	17.162
18.000	4.9193	30.8087	24.3624	2.2666e-01	0.1290	0.015	1465.36	68.421	7.1269	72.531155	4.9870	18.172
19.000	5.2080	31.1259	24.5826	2.1043e-01	0.1293	0.015	1466.96	68.021	7.0215	72.531180	4.9132	19.181
20.000	5.5962	31.6019	24.9157	2.0828e-01	0.1294	0.015	1469.16	67.522	6.8840	72.531206	4.8170	20.191
21.000	5.7735	31.8207	25.0680	1.9494e-01	0.1295	0.016	1470.17	66.783	6.7704	72.531230	4.7375	21.200
22.000	5.9372	31.9342	25.1382	1.8534e-01	0.1292	0.015	1470.99	64.532	6.5121	72.531256	4.5568	22.210
23.000	6.1509	32.1001	25.2434	1.8246e-01	0.1296	0.016	1472.06	61.000	6.1180	72.531282	4.2810	23.219
24.000	6.2019	32.1235	25.2556	1.8338e-01	0.1295	0.016	1472.31	59.203	5.9298	72.531308	4.1493	24.229
25.000	6.2810	32.1979	25.3044	1.8199e-01	0.1295	0.016	1472.74	57.225	5.7184	72.531334	4.0014	25.239
26.000	6.3469	32.2413	25.3305	1.8184e-01	0.1295	0.015	1473.07	56.235	5.6091	72.531360	3.9249	26.248
27.000	6.4797	32.3412	25.3925	1.7325e-01	0.1296	0.016	1473.74	55.653	5.5303	72.531387	3.8698	27.258
28.000	6.5066	32.3907	25.4281	1.7160e-01	0.1295	0.016	1473.92	55.132	5.4733	72.531414	3.8299	28.268
29.000	6.5406	32.4515	25.4717	1.7094e-01	0.1296	0.025	1474.15	54.387	5.3929	72.531439	3.7736	29.277
30.000	6.5446	32.4669	25.4833	1.7094e-01	0.1297	0.027	1474.20	54.191	5.3724	72.531465	3.7593	30.287
31.000	6.5685	32.5201	25.5222	1.7049e-01	0.1296	0.026	1474.38	53.986	5.3473	72.531491	3.7417	31.296
32.000	6.5779	32.5531	25.5470	1.6917e-01	0.1296	0.026	1474.47	54.062	5.3524	72.531518	3.7453	32.306
33.000	6.6062	32.6128	25.5904	1.6614e-01	0.1298	0.026	1474.68	54.020	5.3427	72.531544	3.7385	33.316
34.000	6.6397	32.6828	25.6412	1.6509e-01	0.1297	0.026	1474.91	54.034	5.3375	72.531570	3.7349	34.325
35.000	6.6967	32.7648	25.6984	1.6282e-01	0.1298	0.026	1475.25	54.397	5.3633	72.531597	3.7529	35.335
36.000	6.7195	32.7970	25.7209	1.6121e-01	0.1296	0.029	1475.40	54.746	5.3938	72.531623	3.7742	36.345
37.000	6.7680	32.8527	25.7584	1.5920e-01	0.1298	0.029	1475.68	55.115	5.4221	72.531648	3.7940	37.354
38.000	6.8021	32.8879	25.7816	1.6054e-01	0.1298	0.030	1475.87	55.426	5.4471	72.531673	3.8115	38.364
39.000	6.8668	32.9563	25.8269	1.5965e-01	0.1298	0.030	1476.23	55.713	5.4646	72.531699	3.8238	39.374
40.000	6.9451	33.0269	25.8720	1.5874e-01	0.1298	0.031	1476.64	56.166	5.4965	72.531724	3.8462	40.383
41.000	6.9695	33.0464	25.8842	1.5873e-01	0.1298	0.032	1476.77	56.519	5.5273	72.531750	3.8677	41.393
42.000	7.0075	33.0833	25.9081	1.5804e-01	0.1298	0.033	1476.98	56.636	5.5326	72.531776	3.8714	42.403
43.000	7.0451	33.1146	25.9277	1.5805e-01	0.1299	0.033	1477.18	56.844	5.5470	72.531801	3.8815	43.412
44.000	7.0540	33.1255	25.9350	1.5873e-01	0.1298	0.033	1477.25	57.126	5.5729	72.531828	3.8996	44.422
45.000	7.0669	33.1348	25.9406	1.5803e-01	0.1298	0.036	1477.33	57.416	5.5993	72.531853	3.9181	45.432
46.000	7.0864	33.1547	25.9536	1.5711e-01	0.1298	0.040	1477.45	57.375	5.5920	72.531879	3.9129	46.442
47.000	7.1135	33.1774	25.9678	1.5527e-01	0.1298	0.040	1477.59	57.395	5.5897	72.531904	3.9113	47.451
48.000	7.1798	33.2332	26.0027	1.5086e-01	0.1298	0.040	1477.94	57.562	5.5953	72.531930	3.9153	48.461
49.000	7.2177	33.2595	26.0181	1.5037e-01	0.1299	0.040	1478.13	57.678	5.6008	72.531956	3.9191	49.471
50.000	7.2665	33.2961	26.0402	1.4925e-01	0.1298	0.040	1478.39	57.867	5.6115	72.531982	3.9266	50.480
51.000	7.3118	33.3250	26.0566	1.4901e-01	0.1298	0.040	1478.61	57.917	5.6095	72.532008	3.9252	51.490
52.000	7.3766	33.3731	26.0855	1.4674e-01	0.1298	0.041	1478.94	57.895	5.5973	72.532034	3.9167	52.500
53.000	7.4095	33.4024	26.1039	1.4721e-01	0.1298	0.043	1479.12	57.948	5.5972	72.532060	3.9166	53.510
54.000	7.4384	33.4242	26.1170	1.4675e-01	0.1298	0.044	1479.27	58.045	5.6021	72.532086	3.9200	54.519
55.000	7.4511	33.4357	26.1242	1.4675e-01	0.1298	0.045	1479.35	58.112	5.6065	72.532111	3.9231	55.529
56.000	7.4717	33.4505	26.1330	1.4723e-01	0.1299	0.048	1479.47	58.040	5.5964	72.532137	3.9160	56.539
57.000	7.4902	33.4631	26.1403	1.4700e-01	0.1299	0.048	1479.57	58.079	5.5973	72.532162	3.9166	57.549
58.000	7.4998	33.4703	26.1446	1.4652e-01	0.1299	0.050	1479.63	58.173	5.6048	72.532187	3.9219	58.558
59.000	7.5202	33.4862	26.1542	1.4652e-01	0.1299	0.051	1479.75	58.105	5.5951	72.532213	3.9151	59.568
60.000	7.5495	33.5097	26.1685	1.4652e-01	0.1298	0.051	1479.90	58.198	5.5995	72.532239	3.9182	60.578
61.000	7.5785	33.5319	26.1818	1.4652e-01	0.1299	0.053	1480.06	58.225	5.5976	72.532263	3.9169	61.588
62.000	7.6253	33.5630	26.1997	1.4652e-01	0.1299	0.054	1480.29	58.330	5.6005	72.532287	3.9189	62.598
63.000	7.6411	33.5753	26.2070	1.4652e-01	0.1299	0.055	1480.39	58.323	5.5974	72.532312	3.9167	63.607
64.000	7.7139	33.6133	26.2265	1.4629e-01	0.1298	0.058	1480.73	58.383	5.5926	72.532338	3.9134	64.617
65.000	7.7455	33.6274	26.2330	1.4629e-01	0.1299	0.060	1480.88	58.452	5.5946	72.532363	3.9148	65.627
66.000	7.7681	33.6473	26.2454	1.4652e-01	0.1298	0.062	1481.01	58.425	5.5884	72.532389	3.9105	66.637
67.000	7.7981	33.6616	26.2523	1.4604e-01	0.1298	0.064	1481.16	58.247	5.5672	72.532414	3.8956	67.647
68.000	7.8040	33.6668	26.2555	1.4653e-01	0.1300	0.066	1481.21	58.234	5.5650	72.532439	3.8940	68.657
69.000	7.8089	33.6716	26.2585	1.4652e-01	0.1300	0.066	1481.25	58.184	5.5594	72.532464	3.8901	69.666
70.000	7.8157	33.6757	26.2608	1.4652e-01	0.1299	0.070	1481.29	58.218	5.5616	72.532489	3.8917	70.676
71.000	7.8322	33.6846	26.2654	1.4537e-01	0.1299	0.071	1481.38	58.258	5.5630	72.532515	3.8927	71.686
72.000	7.8532	33.6971	26.2721	1.4554e-01	0.1299	0.073	1481.50	58.159	5.5505	72.532540	3.8839	72.696
73.000	7.8716	33.7092	26.2790	1.4583e-01	0.1299	0.073	1481.60	58.085	5.5408	72.532565	3.8771	73.706
74.000	7.8803	33.7145	26.2819	1.4293e-01	0.1299	0.074	1481.65	58.209	5.5512	72.532590	3.8844	74.716
75.000	7.8887	33.7187	26.2839	1.4460e-01	0.1298	0.076	1481.71	58.249	5.5538	72.532614	3.8863	75.725
76.000	7.8940	33.7227	26.2863	1.4437e-01	0.1298	0.076	1481.75	58.331	5.5608	72.532639	3.8912	76.735
77.000	7.9031	33.7277	26.2889	1.4627e-01	0.1298	0.073	1481.81	58.312	5.5578	72.532663	3.8890	77.745
78.000	7.9101	33.7325	26.2916	1.4465e-01	0.1298	0.070	1481.86	58.431	5.5680	72.532688	3.8962	78.755
79.000	7.9145	33.7363	26.2940	1.4363e-01	0.1298	0.070	1481.89	58.392	5.5637	72.532713	3.8931	79.765
80.000	7.9227	33.7416	26.2969	1.4448e-01	0.1298	0.069	1481.95	58.467	5.5695	72.532738	3.8972	80.775
81.000	7.9253	33.7439	26.2983	1.4510e-01	0.1298	0.070	1481.98	58.517	5.5739	72.532763	3.9003	81.785
82.000	7.9310	33.7485	26.3011	1.4408e-01	0.1298	0.070	1482.02	58.488	5.5703	72.532788	3.8977	82.794
83.000	7.9396	33.7545	26.3046	1.4408e-01	0.1298	0.070	1482.08	58.458	5.5661	72.532812	3.8948	83.804
84.000	7.9475	33.7582	26.3064	1.4481e-01	0.1298	0.070	1482.13	58.539	5.5727	72.532837	3.8994	84.814
85.000	7.9518	33.7621	26.3088	1.4527e-01	0.1298	0.070	1482.17	58.503	5.5686	72.532861	3.8966	85.824
86.000	7.9538	33.7637	26.3097	1.4464e-01	0.1298	0.070	1482.19	58.500	5.5680	72.532885	3.8961	86.834
87.000	7.9553	33.7655	26.3109	1.4310e-01	0.1297	0.070	1482.22	58.554	5.5728	72.532910	3.8995	87.844
88.000	7.9555	33.7664	26.3116	1.4293e-01	0.1298	0.070	1482.24	58.517	5.5693	72.532934	3.8971	88.854
89.000	7.9566	33.7673	26.3121	1.4353e-01	0.1298	0.070	1482.26	58.539	5.5712	72.532959	3.8984	89.864
90.000	7.9591	33.7687	26.3128	1.4161e-01	0.1298	0.070	1482.28	58.599	5.5766	72.532984	3.9022	90.874
91.000	7.9657	33.7713	26.3139	1.4205e-01	0.1298	0.070	1482.33	58.562	5.5721	72.533009	3.8990	91.884
92.000	7.9691	33.7726	26.3144	1.4420e-01	0.1298	0.070	1482.36	58.505	5.5662	72.533035	3.8949	92.894
93.000	7.9788	33.7759	26.3156	1.4422e-01	0.1298	0.070	1482.42	58.433	5.5580	72.533060	3.8892	93.904
94.000	7.9859	33.7774	26.3157	1.4114e-01	0.1298	0.070	1482.46	58.459	5.5595	72.533086	3.8902	94.913
95.000	7.9864	33.7773	26.3156	1.4328e-01	0.1298	0.070	1482.48	58.465	5.5601	72.533111	3.8906	95.924
96.000	7.9927	33.7789	26.3159	1.4306e-01	0.1299	0.070	1482.53	58.480	5.5606	72.533137	3.8910	96.933
97.000	7.9928	33.7790	26.3160	1.4145e-01	0.1299	0.070	1482.54	58.491	5.5617	72.533162	3.8917	97.943
98.000	7.9937	33.7795	26.3162	1.4145e-01	0.1299	0.070	1482.56	58.433	5.5560	72.533187	3.8878	98.953
99.000	7.9953	33.7805	26.3168	1.4191e-01	0.1298	0.070	1482.59	58.408	5.5534	72.533213	3.8860	99.963
100.000	7.9973	33.7826	26.3182	1.4229e-01	0.1298	0.070	1482.61	58.540	5.5656	72.533238	3.8945	100.973
101.000	7.9993	33.7845	26.3193	1.4313e-01	0.1298	0.070	1482.64	58.529	5.5643	72.533264	3.8936	101.983
102.000	8.0006	33.7856	26.3200	1.4336e-01	0.1298	0.070	1482.66	58.447	5.5563	72.533290	3.8879	102.993
103.000	8.0020	33.7868	26.3207	1.4261e-01	0.1298	0.070	1482.69	58.409	5.5525	72.533316	3.8853	104.003
104.000	8.0028	33.7873	26.3210	1.4208e-01	0.1299	0.070	1482.71	58.409	5.5523	72.533342	3.8852	105.013
105.000	8.0034	33.7877	26.3212	1.4415e-01	0.1298	0.070	1482.73	58.399	5.5513	72.533368	3.8845	106.023
106.000	8.0038	33.7880	26.3214	1.4140e-01	0.1298	0.070	1482.74	58.395	5.5508	72.533394	3.8841	107.033
107.000	8.0054	33.7891	26.3221	1.4205e-01	0.1298	0.070	1482.77	58.382	5.5493	72.533419	3.8831	108.043
108.000	8.0067	33.7901	26.3226	1.4245e-01	0.1298	0.070	1482.79	58.493	5.5597	72.533445	3.8904	109.053
109.000	8.0077	33.7907	26.3230	1.4245e-01	0.1298	0.070	1482.81	58.367	5.5476	72.533471	3.8819	110.063
110.000	8.0084	33.7914	26.3234	1.4089e-01	0.1298	0.070	1482.83	58.392	5.5498	72.533497	3.8835	111.073
111.000	8.0093	33.7923	26.3240	1.4209e-01	0.1298	0.070	1482.85	58.351	5.5458	72.533523	3.8806	112.083
112.000	8.0108	33.7935	26.3248	1.4122e-01	0.1298	0.070	1482.88	58.415	5.5516	72.533549	3.8847	113.093
