DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.031	2.5658	14.2927	11.4029	5.2503e-01	0.1273	0.015	1433.64	74.002	9.1425	70.739699	6.3974	0.032
0.031	2.5644	14.2780	11.3911	5.6166e-01	0.1261	0.015	1433.62	74.003	9.1438	70.739700	6.3983	0.032
0.020	2.5639	14.2735	11.3876	5.8608e-01	0.1261	0.015	1433.61	74.003	9.1442	70.739700	6.3986	0.020
0.043	2.5636	14.2774	11.3907	5.8608e-01	0.1261	0.015	1433.61	74.003	9.1440	70.739701	6.3985	0.043
0.020	2.5642	14.2810	11.3936	5.6166e-01	0.1273	0.015	1433.62	74.003	9.1436	70.739701	6.3982	0.020
0.044	2.5657	14.2872	11.3985	5.3724e-01	0.1273	0.015	1433.64	74.003	9.1429	70.739701	6.3977	0.045
0.044	2.5678	14.3021	11.4103	5.2503e-01	0.1273	0.015	1433.67	74.002	9.1414	70.739702	6.3966	0.045
0.043	2.5694	14.3180	11.4229	5.1282e-01	0.1273	0.015	1433.69	74.002	9.1400	70.739702	6.3956	0.043
0.031	2.5705	14.3315	11.4337	5.0061e-01	0.1261	0.015	1433.72	74.001	9.1388	70.739703	6.3948	0.032
0.056	2.5723	14.3435	11.4432	5.0061e-01	0.1261	0.015	1433.74	74.001	9.1376	70.739703	6.3940	0.056
0.030	2.5729	14.3551	11.4524	4.8840e-01	0.1261	0.015	1433.76	74.001	9.1367	70.739704	6.3933	0.030
0.056	2.5728	14.3607	11.4569	4.8840e-01	0.1261	0.015	1433.76	74.001	9.1364	70.739704	6.3931	0.056
0.044	2.5731	14.3640	11.4595	4.8840e-01	0.1261	0.015	1433.77	74.065	9.1440	70.739705	6.3985	0.045
0.044	2.5738	14.3685	11.4631	4.8840e-01	0.1261	0.015	1433.78	74.010	9.1367	70.739705	6.3934	0.045
0.030	2.5745	14.3726	11.4663	4.7619e-01	0.1273	0.015	1433.79	74.009	9.1363	70.739706	6.3930	0.030
0.044	2.5740	14.3742	11.4677	4.8840e-01	0.1261	0.015	1433.79	74.009	9.1362	70.739706	6.3930	0.045
