DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0,000	2,5191	13,9234	11,1095	4,7827e-01	0,1264	0,014	1432,95	73,949	9,1700	70,739799	6,4167	0,000
1,000	2,7713	16,6528	13,2757	5,2419e-01	0,1266	0,015	1437,64	74,042	8,9554	70,739942	6,2665	1,009
2,000	3,2089	21,6841	17,2605	6,5453e-01	0,1266	0,015	1446,11	74,417	8,5991	70,739978	6,0172	2,019
3,000	3,6845	25,7997	20,5005	6,3494e-01	0,1265	0,015	1453,50	74,997	8,3275	70,740019	5,8271	3,029
4,000	3,7667	26,6737	21,1886	5,0653e-01	0,1266	0,015	1454,99	75,422	8,3083	70,740059	5,8136	4,038
5,000	3,7963	26,9919	21,4390	5,5609e-01	0,1267	0,015	1455,55	75,008	8,2388	70,740098	5,7651	5,047
6,000	3,8451	27,8016	22,0782	5,9365e-01	0,1267	0,015	1456,81	75,144	8,1988	70,740138	5,7370	6,057
7,000	3,8273	28,0706	22,2934	5,1995e-01	0,1268	0,016	1457,10	75,413	8,2167	70,740177	5,7496	7,067
8,000	3,8054	28,3531	22,5197	4,8571e-01	0,1269	0,016	1457,38	75,128	8,1745	70,740216	5,7201	8,076
9,000	3,8282	28,7061	22,7982	4,4622e-01	0,1269	0,016	1457,95	74,982	8,1346	70,740255	5,6921	9,086
10,000	3,7824	28,9250	22,9761	3,7849e-01	0,1269	0,016	1458,05	74,752	8,1068	70,740294	5,6727	10,095
11,000	3,8124	29,0634	23,0835	3,7397e-01	0,1270	0,016	1458,37	74,407	8,0559	70,740333	5,6371	11,105
12,000	3,7795	29,2358	23,2234	3,9949e-01	0,1271	0,017	1458,47	74,385	8,0507	70,740372	5,6334	12,114
13,000	3,8188	29,6124	23,5193	2,9560e-01	0,1270	0,017	1459,14	74,068	7,9883	70,740412	5,5897	13,124
14,000	3,9602	29,8721	23,7130	3,4297e-01	0,1270	0,037	1460,09	73,956	7,9346	70,740452	5,5521	14,133
15,000	4,1939	30,1737	23,9309	4,5908e-01	0,1271	0,050	1461,48	73,532	7,8282	70,740492	5,4777	15,143
16,000	4,3296	30,2800	24,0025	5,6146e-01	0,1271	0,049	1462,20	73,821	7,8274	70,740532	5,4772	16,152
17,000	4,4514	30,4768	24,1468	6,3660e-01	0,1271	0,053	1462,98	74,080	7,8213	70,740571	5,4729	17,162
18,000	4,5189	30,8184	24,4111	5,5868e-01	0,1271	0,059	1463,71	74,632	7,8486	70,740611	5,4920	18,171
19,000	4,5717	31,3079	24,7940	3,8472e-01	0,1271	0,056	1464,57	74,542	7,8035	70,740651	5,4604	19,181
20,000	4,6706	31,7235	25,1134	2,6717e-01	0,1271	0,051	1465,53	73,403	7,6448	70,740691	5,3494	20,191
21,000	4,8712	32,0856	25,3792	2,4468e-01	0,1272	0,049	1466,84	71,914	7,4354	70,740732	5,2029	21,200
22,000	4,9527	32,2532	25,5033	2,1073e-01	0,1272	0,048	1467,40	71,121	7,3310	70,740773	5,1298	22,210
23,000	5,0932	32,4533	25,6463	2,0822e-01	0,1272	0,047	1468,25	69,815	7,1625	70,740815	5,0119	23,220
24,000	5,1857	32,6242	25,7713	1,9603e-01	0,1271	0,046	1468,86	68,980	7,0532	70,740853	4,9354	24,229
25,000	5,2391	32,7233	25,8437	2,1848e-01	0,1272	0,047	1469,22	68,506	6,9913	70,740882	4,8921	25,239
26,000	5,2764	32,7700	25,8765	1,9176e-01	0,1273	0,048	1469,45	68,245	6,9563	70,740908	4,8676	26,248
27,000	5,2912	32,8110	25,9072	1,8962e-01	0,1273	0,048	1469,57	68,022	6,9292	70,740932	4,8487	27,258
28,000	5,4248	32,9852	26,0296	1,8394e-01	0,1273	0,048	1470,35	67,844	6,8813	70,740953	4,8151	28,268
29,000	5,5516	33,1033	26,1082	1,8804e-01	0,1273	0,048	1471,03	67,949	6,8659	70,740972	4,8043	29,277
30,000	5,6092	33,1495	26,1380	1,8968e-01	0,1273	0,049	1471,34	68,147	6,8744	70,740993	4,8103	30,287
31,000	5,6531	33,2108	26,1812	1,9200e-01	0,1272	0,051	1471,61	67,899	6,8395	70,741014	4,7859	31,296
32,000	5,7361	33,2667	26,2154	1,9191e-01	0,1273	0,051	1472,03	67,305	6,7639	70,741035	4,7330	32,306
33,000	5,7898	33,3046	26,2389	1,8624e-01	0,1273	0,051	1472,31	67,431	6,7662	70,741057	4,7346	33,316
