DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.126	2.3343	18.4358	14.7137	6.1050e-01	0.1261	0.015	1437.97	66.062	7.9817	70.702303	5.5851	0.127
0.126	2.3357	18.4353	14.7133	6.2271e-01	0.1261	0.018	1437.97	66.126	7.9891	70.702304	5.5903	0.127
0.138	2.3344	18.4352	14.7133	6.2271e-01	0.1261	0.015	1437.97	66.135	7.9905	70.702304	5.5913	0.139
0.115	2.3297	18.4360	14.7141	6.1050e-01	0.1273	0.015	1437.95	66.145	7.9926	70.702305	5.5928	0.116
0.126	2.3248	18.4354	14.7138	6.1050e-01	0.1261	0.015	1437.92	66.282	8.0103	70.702305	5.6051	0.127
0.126	2.3211	18.4344	14.7131	6.1050e-01	0.1261	0.015	1437.91	66.309	8.0143	70.702306	5.6079	0.127
0.125	2.3194	18.4344	14.7132	5.8608e-01	0.1261	0.015	1437.90	66.398	8.0254	70.702306	5.6157	0.126
0.102	2.3196	18.4349	14.7135	5.7387e-01	0.1261	0.015	1437.90	66.494	8.0370	70.702307	5.6238	0.103
0.126	2.3202	18.4356	14.7141	5.7387e-01	0.1273	0.015	1437.90	66.534	8.0416	70.702307	5.6271	0.127
0.089	2.3211	18.4357	14.7141	5.8608e-01	0.1261	0.018	1437.91	66.635	8.0537	70.702308	5.6355	0.090
0.162	2.3218	18.4362	14.7145	5.7387e-01	0.1261	0.015	1437.91	66.745	8.0668	70.702308	5.6446	0.163
0.115	2.3231	18.4356	14.7139	5.7387e-01	0.1261	0.015	1437.92	66.860	8.0804	70.702309	5.6542	0.116
0.126	2.3230	18.4353	14.7137	5.9829e-01	0.1261	0.015	1437.92	67.046	8.1029	70.702309	5.6700	0.127
0.138	2.3230	18.4358	14.7142	6.4713e-01	0.1261	0.015	1437.92	67.118	8.1117	70.702310	5.6761	0.139
0.139	2.3228	18.4363	14.7145	6.3492e-01	0.1261	0.015	1437.92	67.251	8.1278	70.702310	5.6873	0.140
0.139	2.3225	18.4365	14.7147	6.1050e-01	0.1261	0.015	1437.92	67.389	8.1445	70.702310	5.6990	0.140
0.139	2.3215	18.4367	14.7149	5.9829e-01	0.1261	0.015	1437.91	67.532	8.1619	70.702311	5.7112	0.140
0.138	2.3214	18.4365	14.7148	5.8608e-01	0.1261	0.015	1437.91	67.743	8.1874	70.702311	5.7291	0.139
0.139	2.3213	18.4362	14.7146	5.8608e-01	0.1261	0.015	1437.91	67.903	8.2068	70.702312	5.7426	0.140
0.139	2.3216	18.4356	14.7140	5.8608e-01	0.1261	0.015	1437.91	68.065	8.2264	70.702312	5.7564	0.140
0.139	2.3209	18.4362	14.7145	5.6166e-01	0.1261	0.015	1437.91	68.231	8.2466	70.702313	5.7705	0.140
0.138	2.3209	18.4365	14.7148	5.8608e-01	0.1261	0.015	1437.91	68.399	8.2669	70.702313	5.7847	0.139
0.139	2.3208	18.4366	14.7149	6.3492e-01	0.1261	0.015	1437.91	68.569	8.2874	70.702314	5.7990	0.140
0.126	2.3205	18.4365	14.7148	6.3492e-01	0.1249	0.015	1437.91	68.740	8.3082	70.702314	5.8136	0.127
0.139	2.3201	18.4368	14.7150	6.2271e-01	0.1261	0.015	1437.90	68.913	8.3292	70.702315	5.8283	0.140
0.138	2.3197	18.4367	14.7150	7.3260e-01	0.1261	0.015	1437.90	69.151	8.3580	70.702315	5.8484	0.139
0.126	2.3197	18.4366	14.7149	7.4481e-01	0.1261	0.015	1437.90	69.333	8.3800	70.702316	5.8639	0.127
0.115	2.3207	18.4360	14.7144	6.7155e-01	0.1261	0.015	1437.91	69.515	8.4019	70.702316	5.8791	0.116
