DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0,000	2,3177	18,4231	14,7042	6,2140e-01	0,1263	0,015	1437,87	73,247	8,8544	70,702357	6,1958	-0,000
1,000	2,3415	18,5072	14,7705	6,0059e-01	0,1263	0,015	1438,11	74,371	8,9796	70,702448	6,2834	1,010
2,000	2,7202	20,1723	16,0822	6,4656e-01	0,1267	0,015	1441,99	74,153	8,7662	70,702469	6,1341	2,019
3,000	3,0099	22,1743	17,6606	4,5347e-01	0,1267	0,015	1445,88	74,456	8,6196	70,702490	6,0315	3,028
4,000	3,6693	26,7872	21,2859	4,1645e-01	0,1264	0,015	1454,72	75,094	8,2862	70,702511	5,7982	4,038
5,000	3,6558	27,1659	21,5884	3,6422e-01	0,1262	0,014	1455,17	75,364	8,2971	70,702532	5,8058	5,048
6,000	3,6023	27,6266	21,9589	3,3972e-01	0,1263	0,015	1455,55	75,998	8,3519	70,702553	5,8441	6,057
7,000	3,5763	28,0068	22,2633	3,3499e-01	0,1265	0,016	1455,94	75,545	8,2860	70,702574	5,7981	7,066
8,000	3,6244	28,4172	22,5857	3,6356e-01	0,1267	0,015	1456,69	74,719	8,1629	70,702595	5,7119	8,076
9,000	3,7892	28,8173	22,8899	4,8832e-01	0,1266	0,015	1457,93	74,222	8,0539	70,702616	5,6357	9,086
10,000	3,8235	29,2188	23,2060	4,0734e-01	0,1267	0,015	1458,61	74,041	8,0056	70,702636	5,6019	10,095
11,000	4,0092	29,4564	23,3783	6,5696e-01	0,1266	0,015	1459,71	74,221	7,9759	70,702657	5,5811	11,105
12,000	4,1580	29,5970	23,4765	6,8724e-01	0,1268	0,016	1460,54	74,104	7,9268	70,702678	5,5467	12,114
13,000	4,2511	29,8304	23,6531	6,5977e-01	0,1269	0,017	1461,25	74,438	7,9320	70,702699	5,5503	13,124
14,000	4,3399	30,0519	23,8205	6,4598e-01	0,1270	0,018	1461,92	74,685	7,9292	70,702721	5,5484	14,133
15,000	4,3457	30,1125	23,8680	5,9232e-01	0,1268	0,056	1462,04	74,873	7,9448	70,702741	5,5593	15,143
16,000	4,3739	30,1921	23,9285	5,7074e-01	0,1269	0,060	1462,27	74,877	7,9355	70,702762	5,5528	16,152
17,000	4,3917	30,3335	24,0389	5,8562e-01	0,1270	0,060	1462,55	74,753	7,9114	70,702784	5,5359	17,162
18,000	4,4139	30,4605	24,1375	4,6031e-01	0,1268	0,064	1462,82	74,733	7,8983	70,702805	5,5267	18,172
19,000	4,3782	30,6362	24,2805	4,1596e-01	0,1270	0,066	1462,91	74,872	7,9104	70,702826	5,5352	19,181
20,000	4,2653	30,7716	24,3989	3,6767e-01	0,1270	0,064	1462,63	74,636	7,9000	70,702848	5,5280	20,191
21,000	4,3717	30,9569	24,5356	3,6739e-01	0,1270	0,061	1463,33	74,423	7,8474	70,702869	5,4912	21,200
22,000	4,4812	31,1515	24,6791	4,2448e-01	0,1270	0,057	1464,05	74,078	7,7800	70,702890	5,4440	22,210
23,000	4,4990	31,3720	24,8523	3,2012e-01	0,1271	0,051	1464,42	74,101	7,7676	70,702912	5,4353	23,220
24,000	4,4995	31,5678	25,0075	2,9930e-01	0,1273	0,049	1464,69	74,159	7,7633	70,702934	5,4323	24,229
25,000	4,5256	31,6838	25,0969	2,5100e-01	0,1271	0,049	1464,96	73,842	7,7193	70,702956	5,4015	25,239
26,000	4,5349	31,8551	25,2319	2,4165e-01	0,1270	0,049	1465,24	73,529	7,6760	70,702978	5,3712	26,248
27,000	4,6092	31,9552	25,3036	2,4471e-01	0,1271	0,048	1465,69	73,083	7,6106	70,702999	5,3255	27,258
28,000	4,6554	32,0844	25,4013	2,2645e-01	0,1272	0,048	1466,06	72,663	7,5520	70,703022	5,2844	28,268
29,000	4,7189	32,2358	25,5146	2,3256e-01	0,1271	0,048	1466,53	72,497	7,5155	70,703044	5,2589	29,277
30,000	4,7794	32,3500	25,5988	2,3862e-01	0,1271	0,047	1466,94	72,482	7,4974	70,703065	5,2462	30,287
31,000	4,8265	32,4206	25,6496	2,4536e-01	0,1271	0,047	1467,24	72,264	7,4628	70,703086	5,2220	31,297
32,000	4,8623	32,5015	25,7099	2,2073e-01	0,1272	0,047	1467,51	72,121	7,4376	70,703106	5,2044	32,306
33,000	4,9076	32,5704	25,7596	2,1442e-01	0,1272	0,048	1467,80	72,147	7,4288	70,703126	5,1982	33,316
34,000	4,9862	32,6917	25,8470	2,0762e-01	0,1271	0,048	1468,29	72,165	7,4107	70,703147	5,1856	34,325
35,000	5,0525	32,7760	25,9065	2,0288e-01	0,1271	0,051	1468,69	71,835	7,3610	70,703168	5,1508	35,335
36,000	5,0951	32,8216	25,9378	2,0400e-01	0,1270	0,053	1468,94	71,471	7,3140	70,703188	5,1179	36,345
37,000	5,1239	32,8667	25,9704	1,9961e-01	0,1272	0,057	1469,13	71,138	7,2728	70,703208	5,0891	37,354
