DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
-0.067	2.1496	26.2294	20.9438	2.9304e-01	0.1285	0.015	1447.28	72.888	8.3882	72.427905	5.8696	-0.068
-0.091	2.1496	26.2288	20.9433	2.9304e-01	0.1285	0.015	1447.27	72.888	8.3882	72.427906	5.8696	-0.092
-0.106	2.1496	26.2268	20.9418	3.0525e-01	0.1273	0.011	1447.27	72.888	8.3883	72.427906	5.8696	-0.107
-0.104	2.1501	26.2251	20.9404	3.0525e-01	0.1285	0.015	1447.27	72.887	8.3883	72.427907	5.8696	-0.105
-0.127	2.1512	26.2228	20.9385	3.0525e-01	0.1285	0.011	1447.27	72.887	8.3881	72.427907	5.8695	-0.128
-0.140	2.1525	26.2203	20.9364	3.0525e-01	0.1285	0.015	1447.28	72.887	8.3879	72.427908	5.8694	-0.141
-0.141	2.1541	26.2180	20.9345	2.9304e-01	0.1285	0.015	1447.28	72.822	8.3803	72.427908	5.8640	-0.143
-0.163	2.1554	26.2173	20.9339	3.0525e-01	0.1285	0.015	1447.28	72.812	8.3790	72.427908	5.8631	-0.164
-0.175	2.1553	26.2200	20.9360	2.9304e-01	0.1298	0.015	1447.29	72.804	8.3778	72.427909	5.8623	-0.177
-0.201	2.1557	26.2242	20.9394	2.9304e-01	0.1285	0.015	1447.29	72.859	8.3839	72.427909	5.8666	-0.203
-0.187	2.1564	26.2273	20.9418	3.0525e-01	0.1285	0.015	1447.30	72.796	8.3763	72.427910	5.8612	-0.189
-0.235	2.1564	26.2301	20.9440	3.0525e-01	0.1285	0.015	1447.30	72.788	8.3752	72.427910	5.8605	-0.238
-0.211	2.1569	26.2332	20.9464	3.0525e-01	0.1285	0.015	1447.31	72.781	8.3741	72.427911	5.8597	-0.213
-0.260	2.1572	26.2356	20.9484	3.0525e-01	0.1285	0.015	1447.31	72.773	8.3730	72.427911	5.8589	-0.262
-0.235	2.1574	26.2375	20.9499	3.0525e-01	0.1285	0.011	1447.32	72.767	8.3721	72.427912	5.8583	-0.238
-0.247	2.1578	26.2388	20.9509	2.9304e-01	0.1273	0.015	1447.32	72.824	8.3786	72.427912	5.8628	-0.249
-0.237	2.1581	26.2397	20.9516	2.9304e-01	0.1273	0.011	1447.32	72.827	8.3788	72.427913	5.8630	-0.239
-0.247	2.1578	26.2412	20.9528	2.9304e-01	0.1285	0.015	1447.32	72.766	8.3718	72.427913	5.8581	-0.249
-0.247	2.1578	26.2413	20.9529	2.9304e-01	0.1285	0.011	1447.33	72.760	8.3711	72.427914	5.8576	-0.249
-0.294	2.1570	26.2420	20.9535	2.9304e-01	0.1285	0.015	1447.32	72.755	8.3705	72.427914	5.8572	-0.296
-0.284	2.1574	26.2421	20.9535	2.9304e-01	0.1298	0.015	1447.32	72.750	8.3699	72.427915	5.8567	-0.287
-0.282	2.1588	26.2406	20.9523	3.0525e-01	0.1273	0.011	1447.33	72.744	8.3691	72.427915	5.8562	-0.285
-0.294	2.1602	26.2395	20.9513	3.0525e-01	0.1285	0.015	1447.33	72.740	8.3683	72.427916	5.8556	-0.296
-0.273	2.1604	26.2397	20.9514	3.0525e-01	0.1285	0.015	1447.33	72.672	8.3604	72.427916	5.8501	-0.275
-0.247	2.1600	26.2424	20.9536	3.1746e-01	0.1285	0.015	1447.34	72.724	8.3663	72.427917	5.8543	-0.249
-0.258	2.1598	26.2449	20.9556	3.1746e-01	0.1298	0.015	1447.34	72.657	8.3585	72.427917	5.8488	-0.260
-0.282	2.1598	26.2451	20.9558	3.1746e-01	0.1285	0.015	1447.34	72.645	8.3572	72.427918	5.8478	-0.285
-0.284	2.1594	26.2444	20.9553	3.0525e-01	0.1285	0.015	1447.34	72.699	8.3635	72.427918	5.8523	-0.287
-0.271	2.1583	26.2453	20.9561	2.9304e-01	0.1285	0.011	1447.33	72.634	8.3562	72.427919	5.8472	-0.274
-0.282	2.1569	26.2464	20.9570	3.1746e-01	0.1285	0.015	1447.33	72.689	8.3628	72.427919	5.8518	-0.285
-0.260	2.1559	26.2460	20.9568	3.2967e-01	0.1285	0.015	1447.32	72.690	8.3631	72.427920	5.8520	-0.262
-0.247	2.1552	26.2442	20.9554	3.2967e-01	0.1285	0.015	1447.32	72.627	8.3561	72.427920	5.8471	-0.249
-0.247	2.1550	26.2413	20.9531	3.1746e-01	0.1285	0.015	1447.31	72.619	8.3554	72.427921	5.8466	-0.249
-0.273	2.1550	26.2381	20.9505	3.1746e-01	0.1273	0.015	1447.31	72.612	8.3547	72.427921	5.8462	-0.275
-0.271	2.1550	26.2360	20.9488	3.4188e-01	0.1298	0.018	1447.30	72.605	8.3541	72.427921	5.8457	-0.274
-0.258	2.1525	26.2371	20.9499	3.4188e-01	0.1273	0.015	1447.30	72.600	8.3541	72.427922	5.8457	-0.260
-0.282	2.1497	26.2375	20.9503	3.4188e-01	0.1285	0.018	1447.28	72.596	8.3541	72.427922	5.8457	-0.285
-0.248	2.1491	26.2348	20.9482	3.2967e-01	0.1285	0.015	1447.28	72.593	8.3540	72.427923	5.8456	-0.251
-0.247	2.1491	26.2296	20.9441	3.1746e-01	0.1285	0.011	1447.27	72.589	8.3539	72.427923	5.8456	-0.249
-0.247	2.1492	26.2257	20.9409	3.1746e-01	0.1285	0.015	1447.27	72.587	8.3539	72.427924	5.8455	-0.249
-0.284	2.1495	26.2231	20.9388	3.1746e-01	0.1285	0.011	1447.26	72.585	8.3537	72.427924	5.8455	-0.287
-0.271	2.1514	26.2198	20.9361	3.1746e-01	0.1285	0.015	1447.27	72.584	8.3534	72.427925	5.8452	-0.274
-0.271	2.1536	26.2193	20.9356	3.1746e-01	0.1285	0.015	1447.28	72.584	8.3529	72.427925	5.8449	-0.274
-0.282	2.1554	26.2232	20.9386	2.9304e-01	0.1285	0.015	1447.29	72.584	8.3523	72.427926	5.8445	-0.285
-0.260	2.1559	26.2345	20.9475	3.0525e-01	0.1285	0.015	1447.31	72.586	8.3518	72.427926	5.8441	-0.262
-0.271	2.1558	26.2486	20.9589	3.0525e-01	0.1273	0.015	1447.33	72.588	8.3512	72.427927	5.8437	-0.274
-0.271	2.1558	26.2575	20.9659	3.0525e-01	0.1285	0.015	1447.34	72.591	8.3511	72.427927	5.8436	-0.274
-0.284	2.1555	26.2625	20.9700	3.1746e-01	0.1285	0.015	1447.34	72.595	8.3513	72.427928	5.8437	-0.287
-0.307	2.1550	26.2638	20.9710	3.0525e-01	0.1298	0.015	1447.34	72.535	8.3445	72.427928	5.8390	-0.309
-0.294	2.1552	26.2632	20.9705	3.1746e-01	0.1285	0.015	1447.34	72.596	8.3515	72.427929	5.8439	-0.296
-0.284	2.1538	26.2638	20.9711	3.0525e-01	0.1298	0.015	1447.34	72.539	8.3451	72.427929	5.8394	-0.287
-0.294	2.1519	26.2626	20.9702	3.1746e-01	0.1285	0.015	1447.33	72.538	8.3455	72.427930	5.8397	-0.296
-0.294	2.1508	26.2577	20.9664	3.1746e-01	0.1285	0.011	1447.31	72.537	8.3460	72.427930	5.8400	-0.296
-0.294	2.1508	26.2517	20.9616	3.1746e-01	0.1285	0.015	1447.31	72.538	8.3464	72.427931	5.8403	-0.296
-0.308	2.1531	26.2459	20.9569	3.1746e-01	0.1285	0.011	1447.31	72.475	8.3390	72.427931	5.8352	-0.311
