DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0,000	2,4995	25,8871	20,6503	8,1927e-01	0,1272	0,014	1448,39	74,031	8,4639	72,358871	5,9225	0,000
1,000	2,4986	25,8864	20,6498	8,0149e-01	0,1270	0,015	1448,40	74,547	8,5231	72,358916	5,9640	1,009
2,000	2,4995	25,8883	20,6512	8,1551e-01	0,1271	0,015	1448,42	74,590	8,5278	72,358958	5,9672	2,019
3,000	2,5025	25,8978	20,6586	8,1984e-01	0,1269	0,015	1448,46	74,624	8,5304	72,359001	5,9691	3,029
4,000	2,5035	25,8997	20,6601	9,0645e-01	0,1268	0,015	1448,49	74,267	8,4892	72,359045	5,9402	4,038
5,000	2,5336	25,9462	20,6954	8,6792e-01	0,1269	0,015	1448,70	74,217	8,4743	72,359089	5,9298	5,047
6,000	2,5909	26,0443	20,7701	8,5184e-01	0,1270	0,015	1449,09	74,632	8,5036	72,359131	5,9503	6,057
7,000	2,6535	26,1427	20,8447	8,9324e-01	0,1271	0,015	1449,51	75,069	8,5341	72,359178	5,9716	7,067
8,000	2,6774	26,1930	20,8834	1,0475e+00	0,1271	0,015	1449,70	75,127	8,5326	72,359219	5,9706	8,076
9,000	2,6970	26,2389	20,9188	8,8104e-01	0,1269	0,015	1449,86	75,076	8,5199	72,359264	5,9617	9,086
10,000	2,7727	26,3592	21,0098	9,6029e-01	0,1266	0,012	1450,37	74,671	8,4508	72,359310	5,9134	10,095
11,000	2,8898	26,5283	21,1369	1,1110e+00	0,1269	0,017	1451,12	74,798	8,4304	72,359353	5,8991	11,105
12,000	3,0444	26,7820	21,3283	1,0865e+00	0,1270	0,021	1452,14	75,080	8,4148	72,359396	5,8882	12,114
13,000	3,1959	27,1344	21,5982	9,6563e-01	0,1270	0,023	1453,27	75,187	8,3748	72,359442	5,8602	13,124
14,000	3,2932	27,3693	21,7780	1,0200e+00	0,1271	0,027	1454,01	75,296	8,3532	72,359487	5,8451	14,133
15,000	3,3551	27,5550	21,9212	9,6058e-01	0,1271	0,037	1454,54	75,155	8,3141	72,359532	5,8177	15,143
16,000	3,4205	27,7592	22,0786	9,3359e-01	0,1271	0,037	1455,10	75,254	8,3001	72,359576	5,8079	16,152
17,000	3,4856	27,9653	22,2375	8,8678e-01	0,1272	0,038	1455,66	75,195	8,2686	72,359625	5,7858	17,162
18,000	3,5530	28,1948	22,4146	8,6231e-01	0,1272	0,038	1456,26	75,270	8,2502	72,359675	5,7730	18,172
19,000	3,6102	28,3785	22,5561	8,4566e-01	0,1272	0,039	1456,76	75,153	8,2154	72,359726	5,7486	19,181
20,000	3,6487	28,5528	22,6915	9,7469e-01	0,1273	0,040	1457,17	75,153	8,1979	72,359776	5,7364	20,191
21,000	3,6521	28,6791	22,7916	6,4950e-01	0,1272	0,039	1457,36	75,094	8,1837	72,359830	5,7265	21,200
22,000	3,6435	28,9714	23,0247	5,3559e-01	0,1272	0,040	1457,72	75,080	8,1678	72,359852	5,7154	22,210
23,000	3,7958	29,3991	23,3517	6,0092e-01	0,1272	0,040	1458,93	75,053	8,1107	72,359880	5,6754	23,220
24,000	3,9418	29,6402	23,5304	6,1668e-01	0,1273	0,040	1459,88	75,111	8,0748	72,359906	5,6502	24,229
25,000	4,0950	29,9108	23,7315	4,1726e-01	0,1273	0,040	1460,89	75,146	8,0336	72,359929	5,6214	25,239
26,000	4,1247	30,1613	23,9277	3,1420e-01	0,1271	0,039	1461,35	75,186	8,0184	72,359949	5,6108	26,248
27,000	4,1910	30,5915	24,2629	2,9841e-01	0,1272	0,039	1462,20	75,027	7,9656	72,359975	5,5738	27,258
28,000	4,3099	31,0257	24,5963	2,9004e-01	0,1272	0,040	1463,27	74,474	7,8608	72,359997	5,5005	28,268
29,000	4,3773	31,1305	24,6728	3,6538e-01	0,1272	0,040	1463,70	74,359	7,8304	72,360018	5,4793	29,277
30,000	4,4721	31,2936	24,7928	3,9471e-01	0,1272	0,054	1464,32	73,343	7,6973	72,360042	5,3861	30,287
31,000	4,5497	31,4518	24,9104	3,7710e-01	0,1273	0,062	1464,86	72,884	7,6266	72,360063	5,3366	31,296
32,000	4,5985	31,5732	25,0017	3,2924e-01	0,1273	0,062	1465,24	73,022	7,6258	72,360085	5,3361	32,306
33,000	4,6677	31,6930	25,0895	2,2118e-01	0,1272	0,062	1465,69	73,716	7,6792	72,360109	5,3735	33,316
34,000	4,8219	31,8633	25,2083	1,9394e-01	0,1272	0,062	1466,56	74,068	7,6787	72,360130	5,3731	34,325
35,000	5,0332	32,0605	25,3416	1,9464e-01	0,1273	0,063	1467,70	73,611	7,5831	72,360153	5,3062	35,335
36,000	5,2134	32,3029	25,5138	1,9954e-01	0,1272	0,064	1468,76	71,119	7,2828	72,360178	5,0961	36,345
37,000	5,5678	32,6805	25,7718	1,7407e-01	0,1273	0,064	1470,69	70,057	7,0963	72,360200	4,9656	37,354
38,000	5,7160	32,7936	25,8437	1,7188e-01	0,1272	0,066	1471,45	68,989	6,9583	72,360220	4,8690	38,364
39,000	5,8435	32,9249	25,9322	1,7331e-01	0,1273	0,066	1472,14	68,514	6,8838	72,360244	4,8168	39,374
40,000	6,1413	33,1988	26,1119	1,6920e-01	0,1273	0,066	1473,69	67,307	6,7032	72,360269	4,6905	40,383
41,000	6,2617	33,2878	26,1669	1,5991e-01	0,1272	0,066	1474,30	67,186	6,6684	72,360291	4,6662	41,393
42,000	6,4230	33,4063	26,2398	1,5761e-01	0,1274	0,069	1475,10	66,899	6,6099	72,360313	4,6252	42,403
43,000	6,5719	33,5270	26,3156	1,6320e-01	0,1274	0,070	1475,85	66,436	6,5363	72,360334	4,5738	43,412
44,000	6,6462	33,6366	26,3923	1,5963e-01	0,1273	0,072	1476,30	66,297	6,5067	72,360358	4,5530	44,422
45,000	6,8485	33,7825	26,4802	1,7222e-01	0,1274	0,073	1477,29	66,169	6,4578	72,360383	4,5188	45,432
46,000	6,9410	33,8364	26,5102	1,5090e-01	0,1275	0,073	1477,73	66,495	6,4735	72,360405	4,5298	46,442
47,000	6,9780	33,8456	26,5124	1,4736e-01	0,1274	0,073	1477,91	66,556	6,4735	72,360426	4,5298	47,451
48,000	6,9986	33,8615	26,5222	1,4928e-01	0,1273	0,074	1478,02	66,284	6,4433	72,360450	4,5086	48,461
49,000	7,0486	33,8963	26,5427	1,5086e-01	0,1276	0,076	1478,28	66,272	6,4333	72,360474	4,5017	49,471
50,000	7,0620	33,9082	26,5502	1,4677e-01	0,1275	0,077	1478,36	66,407	6,4439	72,360496	4,5090	50,481
51,000	7,0745	33,9191	26,5571	1,5180e-01	0,1275	0,079	1478,44	66,391	6,4401	72,360517	4,5064	51,490
52,000	7,0964	33,9358	26,5672	1,4890e-01	0,1275	0,081	1478,56	66,565	6,4530	72,360541	4,5154	52,500
53,000	7,1102	33,9489	26,5756	1,5250e-01	0,1276	0,081	1478,65	66,569	6,4508	72,360565	4,5139	53,510
54,000	7,1106	33,9595	26,5839	1,5059e-01	0,1275	0,084	1478,68	66,706	6,4635	72,360587	4,5228	54,520
55,000	7,1033	33,9634	26,5880	1,4735e-01	0,1275	0,084	1478,67	66,654	6,4594	72,360610	4,5199	55,529
56,000	7,1223	33,9788	26,5975	1,4832e-01	0,1276	0,086	1478,78	66,745	6,4648	72,360632	4,5237	56,539
57,000	7,3556	34,0760	26,6413	1,4560e-01	0,1275	0,088	1479,82	66,852	6,4367	72,360657	4,5040	57,549
58,000	7,5379	34,1278	26,6562	1,4733e-01	0,1277	0,088	1480,60	67,216	6,4427	72,360682	4,5082	58,558
59,000	7,5546	34,1331	26,6580	1,4570e-01	0,1277	0,089	1480,68	67,017	6,4210	72,360704	4,4930	59,568
60,000	7,5663	34,1394	26,6612	1,4304e-01	0,1276	0,090	1480,75	65,880	6,3101	72,360726	4,4154	60,578
61,000	7,6948	34,1873	26,6803	1,4114e-01	0,1278	0,092	1481,32	65,494	6,2529	72,360750	4,3754	61,588
62,000	7,8157	34,2472	26,7097	1,3942e-01	0,1278	0,092	1481,87	65,656	6,2488	72,360774	4,3726	62,598
63,000	7,8460	34,2608	26,7161	1,3973e-01	0,1277	0,092	1482,02	65,374	6,2172	72,360799	4,3504	63,607
64,000	7,9108	34,3024	26,7392	1,3993e-01	0,1277	0,092	1482,33	64,885	6,1600	72,360825	4,3104	64,617
65,000	7,9438	34,3208	26,7487	1,3946e-01	0,1276	0,093	1482,50	64,749	6,1418	72,360847	4,2977	65,627
66,000	7,9689	34,3286	26,7512	1,3820e-01	0,1277	0,093	1482,62	64,584	6,1224	72,360869	4,2841	66,637
67,000	8,0201	34,3503	26,7606	1,3784e-01	0,1278	0,094	1482,86	64,300	6,0876	72,360893	4,2597	67,647
68,000	8,1395	34,4002	26,7819	1,3823e-01	0,1277	0,094	1483,39	64,210	6,0608	72,360921	4,2410	68,656
69,000	8,1874	34,4208	26,7909	1,3813e-01	0,1279	0,095	1483,61	64,278	6,0598	72,360942	4,2403	69,666
70,000	8,1996	34,4340	26,7993	1,3822e-01	0,1277	0,095	1483,69	63,896	6,0217	72,360967	4,2136	70,676
71,000	8,2013	34,4413	26,8048	1,3675e-01	0,1279	0,095	1483,72	63,603	5,9935	72,360989	4,1939	71,686
72,000	8,2170	34,4546	26,8129	1,3546e-01	0,1278	0,095	1483,81	63,570	5,9878	72,361012	4,1899	72,696
73,000	8,2556	34,4754	26,8233	1,3805e-01	0,1278	0,095	1484,00	63,431	5,9687	72,361039	4,1766	73,706
74,000	8,3008	34,4935	26,8307	1,3487e-01	0,1279	0,097	1484,21	63,432	5,9622	72,361061	4,1720	74,716
75,000	8,3372	34,5130	26,8404	1,3476e-01	0,1280	0,098	1484,38	63,273	5,9416	72,361084	4,1576	75,725
76,000	8,4090	34,5381	26,8492	1,3513e-01	0,1279	0,099	1484,70	62,846	5,8911	72,361109	4,1222	76,735
77,000	8,4187	34,5433	26,8517	1,3762e-01	0,1280	0,099	1484,76	62,661	5,8722	72,361131	4,1091	77,745
78,000	8,4300	34,5521	26,8569	1,3644e-01	0,1280	0,099	1484,83	62,074	5,8155	72,361157	4,0693	78,755
79,000	8,4373	34,5571	26,8596	1,3506e-01	0,1280	0,099	1484,88	61,845	5,7929	72,361182	4,0535	79,765
80,000	8,4353	34,5575	26,8603	1,3459e-01	0,1279	0,100	1484,89	61,718	5,7812	72,361204	4,0453	80,775
81,000	8,4287	34,5605	26,8636	1,3603e-01	0,1279	0,101	1484,88	61,602	5,7711	72,361230	4,0383	81,785
82,000	8,4076	34,5639	26,8696	1,3557e-01	0,1282	0,102	1484,83	61,589	5,7724	72,361255	4,0392	82,794
83,000	8,3875	34,5661	26,8743	1,3478e-01	0,1281	0,103	1484,77	61,452	5,7621	72,361279	4,0320	83,804
84,000	8,3547	34,5680	26,8809	1,3504e-01	0,1281	0,103	1484,67	61,401	5,7614	72,361304	4,0315	84,814
85,000	8,3451	34,5673	26,8818	1,3432e-01	0,1282	0,103	1484,65	61,376	5,7604	72,361329	4,0308	85,824
86,000	8,3323	34,5663	26,8830	1,3431e-01	0,1280	0,103	1484,61	61,541	5,7776	72,361356	4,0428	86,834
87,000	8,3250	34,5664	26,8842	1,3459e-01	0,1283	0,103	1484,60	61,578	5,7820	72,361379	4,0459	87,844
88,000	8,3276	34,5684	26,8853	1,3454e-01	0,1280	0,103	1484,63	61,749	5,7976	72,361402	4,0568	88,854
89,000	8,3333	34,5722	26,8875	1,3453e-01	0,1282	0,104	1484,67	61,917	5,8125	72,361429	4,0672	89,864
90,000	8,3411	34,5749	26,8884	1,3657e-01	0,1282	0,105	1484,72	61,787	5,7992	72,361452	4,0579	90,874
91,000	8,3445	34,5774	26,8898	1,3595e-01	0,1282	0,105	1484,76	61,685	5,7891	72,361473	4,0509	91,884
92,000	8,3530	34,5835	26,8933	1,3457e-01	0,1284	0,106	1484,81	61,500	5,7704	72,361496	4,0378	92,894
93,000	8,3578	34,5909	26,8984	1,3537e-01	0,1283	0,106	1484,86	61,423	5,7622	72,361517	4,0321	93,904
94,000	8,3771	34,5985	26,9014	1,3457e-01	0,1283	0,106	1484,95	61,330	5,7508	72,361539	4,0241	94,914
95,000	8,3807	34,6060	26,9067	1,3431e-01	0,1283	0,106	1484,99	61,312	5,7484	72,361561	4,0224	95,923
96,000	8,3794	34,6116	26,9113	1,3526e-01	0,1284	0,106	1485,01	61,130	5,7312	72,361579	4,0104	96,933
97,000	8,3733	34,6189	26,9180	1,3496e-01	0,1284	0,106	1485,02	61,087	5,7277	72,361598	4,0079	97,943
98,000	8,3357	34,6268	26,9299	1,3463e-01	0,1284	0,106	1484,90	60,904	5,7151	72,361616	3,9991	98,953
99,000	8,3206	34,6261	26,9317	1,3611e-01	0,1283	0,106	1484,86	60,648	5,6930	72,361636	3,9836	99,963
100,000	8,2447	34,6328	26,9485	1,3494e-01	0,1286	0,107	1484,60	60,550	5,6932	72,361655	3,9838	100,973
101,000	8,2008	34,6338	26,9560	1,3533e-01	0,1284	0,107	1484,45	60,379	5,6827	72,361673	3,9764	101,983
102,000	8,1176	34,6287	26,9646	1,3432e-01	0,1284	0,107	1484,15	60,356	5,6913	72,361690	3,9825	102,993
103,000	8,0514	34,6258	26,9723	1,3464e-01	0,1285	0,107	1483,91	60,281	5,6928	72,361707	3,9835	104,003
104,000	7,9978	34,6240	26,9788	1,3534e-01	0,1285	0,109	1483,73	60,406	5,7115	72,361725	3,9966	105,013
105,000	7,9920	34,6239	26,9796	1,3563e-01	0,1285	0,110	1483,72	60,991	5,7677	72,361742	4,0359	106,023
106,000	7,9898	34,6276	26,9829	1,3431e-01	0,1283	0,110	1483,73	61,667	5,8317	72,361759	4,0807	107,033
107,000	7,9761	34,6316	26,9881	1,3466e-01	0,1283	0,110	1483,70	62,301	5,8933	72,361776	4,1238	108,043
108,000	7,9394	34,6293	26,9917	1,3468e-01	0,1284	0,110	1483,58	62,588	5,9255	72,361792	4,1463	109,053
109,000	7,8859	34,6349	27,0040	1,3500e-01	0,1284	0,110	1483,40	62,521	5,9260	72,361810	4,1467	110,063
110,000	7,8452	34,6425	27,0161	1,3468e-01	0,1285	0,110	1483,27	62,381	5,9179	72,361826	4,1410	111,073
111,000	7,8169	34,6400	27,0183	1,3431e-01	0,1284	0,110	1483,18	62,568	5,9396	72,361842	4,1562	112,083
112,000	7,7687	34,6363	27,0225	1,3539e-01	0,1285	0,110	1483,01	62,906	5,9782	72,361858	4,1832	113,094
113,000	7,7411	34,6368	27,0270	1,3539e-01	0,1285	0,110	1482,92	63,134	6,0037	72,361874	4,2010	114,103
114,000	7,6973	34,6463	27,0408	1,3433e-01	0,1285	0,110	1482,78	63,450	6,0393	72,361891	4,2259	115,114
115,000	7,6755	34,6568	27,0523	1,3544e-01	0,1286	0,110	1482,73	63,795	6,0747	72,361909	4,2507	116,124
116,000	7,6627	34,6573	27,0545	1,3430e-01	0,1284	0,110	1482,70	63,749	6,0721	72,361924	4,2489	117,134
117,000	7,6250	34,6661	27,0669	1,3505e-01	0,1284	0,110	1482,58	63,899	6,0912	72,361939	4,2622	118,144
118,000	7,5932	34,6684	27,0733	1,3574e-01	0,1286	0,110	1482,48	63,966	6,1019	72,361955	4,2698	119,154
119,000	7,5719	34,6718	27,0791	1,3464e-01	0,1285	0,110	1482,42	63,946	6,1028	72,361972	4,2704	120,164
120,000	7,5907	34,6785	27,0817	1,3465e-01	0,1285	0,110	1482,51	63,850	6,0908	72,361990	4,2620	121,174
121,000	7,5975	34,6838	27,0848	1,3466e-01	0,1286	0,110	1482,56	63,912	6,0956	72,362008	4,2653	122,184
122,000	7,5974	34,6849	27,0857	1,3470e-01	0,1284	0,110	1482,58	64,188	6,1218	72,362023	4,2837	123,194
123,000	7,5903	34,6854	27,0871	1,3469e-01	0,1284	0,110	1482,57	63,853	6,0908	72,362038	4,2620	124,204
124,000	7,5816	34,6850	27,0881	1,3590e-01	0,1286	0,110	1482,55	63,306	6,0399	72,362055	4,2263	125,214
125,000	7,5736	34,6861	27,0901	1,3535e-01	0,1284	0,110	1482,54	63,113	6,0225	72,362073	4,2142	126,224
126,000	7,5718	34,6873	27,0914	1,3469e-01	0,1284	0,110	1482,55	63,084	6,0199	72,362089	4,2124	127,235
127,000	7,5650	34,6887	27,0934	1,3594e-01	0,1285	0,110	1482,54	63,226	6,0344	72,362106	4,2225	128,244
128,000	7,5473	34,6896	27,0967	1,3500e-01	0,1284	0,110	1482,50	63,276	6,0415	72,362124	4,2275	129,255
129,000	7,5350	34,6908	27,0994	1,3431e-01	0,1285	0,110	1482,47	63,182	6,0342	72,362140	4,2224	130,265
130,000	7,5198	34,6914	27,1021	1,3468e-01	0,1286	0,110	1482,42	63,137	6,0319	72,362154	4,2208	131,275
131,000	7,5095	34,6926	27,1045	1,3564e-01	0,1284	0,110	1482,40	63,233	6,0424	72,362172	4,2281	132,285
132,000	7,4973	34,6941	27,1075	1,3461e-01	0,1286	0,110	1482,38	63,295	6,0500	72,362190	4,2335	133,295
133,000	7,4857	34,6974	27,1117	1,3431e-01	0,1286	0,110	1482,35	63,297	6,0517	72,362207	4,2346	134,305
134,000	7,4719	34,7021	27,1174	1,3504e-01	0,1285	0,110	1482,32	63,195	6,0436	72,362222	4,2289	135,316
