DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
1,000	3,9652	27,1047	21,5148	6,7054e-01	0,1251	0,013	1456,35	39,958	4,3672	70,610754	3,0559	1,009
2,000	3,9611	27,1508	21,5518	7,4821e-01	0,1255	0,015	1456,40	57,128	6,2428	70,610857	4,3683	2,019
3,000	3,9204	27,1591	21,5618	1,0022e+00	0,1258	0,015	1456,26	70,724	7,7357	70,610885	5,4130	3,028
4,000	3,9307	27,1733	21,5721	8,9766e-01	0,1255	0,015	1456,34	73,953	8,0860	70,610928	5,6581	4,038
5,000	4,0667	27,4839	21,8073	1,0940e+00	0,1257	0,015	1457,33	74,158	8,0644	70,610957	5,6430	5,047
6,000	4,1266	27,9435	22,1669	1,3057e+00	0,1255	0,015	1458,19	74,265	8,0392	70,611003	5,6254	6,057
7,000	4,0568	28,0308	22,2423	1,1494e+00	0,1256	0,015	1458,02	74,281	8,0500	70,611028	5,6329	7,066
8,000	4,1515	28,4319	22,5522	1,0532e+00	0,1256	0,015	1458,95	74,325	8,0145	70,611069	5,6081	8,076
9,000	4,4807	29,5170	23,3825	1,2394e+00	0,1258	0,015	1461,74	74,933	7,9570	70,611098	5,5678	9,086
10,000	4,4467	29,7953	23,6067	1,0848e+00	0,1259	0,015	1461,97	76,452	8,1097	70,611136	5,6747	10,095
11,000	4,4633	30,0025	23,7694	1,1211e+00	0,1259	0,027	1462,32	75,963	8,0434	70,611169	5,6283	11,105
12,000	4,4618	30,1743	23,9059	9,4742e-01	0,1260	0,044	1462,55	76,374	8,0778	70,611205	5,6524	12,114
13,000	4,4490	30,3183	24,0213	1,0795e+00	0,1258	0,041	1462,70	76,059	8,0393	70,611240	5,6254	13,124
14,000	4,4842	30,3782	24,0654	1,0942e+00	0,1255	0,040	1462,94	75,922	8,0147	70,611274	5,6082	14,133
15,000	4,5052	30,4041	24,0839	1,2266e+00	0,1259	0,043	1463,08	75,650	7,9806	70,611314	5,5843	15,143
16,000	4,5271	30,4367	24,1076	1,4239e+00	0,1259	0,045	1463,23	75,692	7,9790	70,611347	5,5832	16,152
17,000	4,6271	30,6593	24,2741	1,3435e+00	0,1259	0,055	1463,94	75,819	7,9611	70,611386	5,5707	17,162
18,000	4,6129	30,7458	24,3441	1,5042e+00	0,1261	0,072	1464,01	75,790	7,9562	70,611419	5,5673	18,172
19,000	4,6517	30,8542	24,4262	9,8516e-01	0,1261	0,078	1464,33	75,432	7,9055	70,611458	5,5318	19,181
20,000	4,6377	31,0688	24,5977	9,1358e-01	0,1262	0,087	1464,56	75,418	7,8953	70,611495	5,5246	20,191
21,000	4,6177	31,1893	24,6953	1,1237e+00	0,1262	0,087	1464,65	75,312	7,8816	70,611530	5,5151	21,200
22,000	4,6489	31,3194	24,7952	7,9065e-01	0,1261	0,088	1464,96	75,313	7,8689	70,611562	5,5062	22,210
23,000	4,7645	31,6512	25,0463	5,6621e-01	0,1262	0,096	1465,88	75,354	7,8338	70,611591	5,4817	23,220
24,000	4,7988	31,7554	25,1253	6,7659e-01	0,1263	0,103	1466,17	75,449	7,8318	70,611610	5,4802	24,229
25,000	4,8327	31,8250	25,1769	6,1250e-01	0,1262	0,109	1466,41	75,491	7,8261	70,611642	5,4762	25,239
26,000	4,8495	31,8624	25,2047	5,0864e-01	0,1264	0,098	1466,55	75,354	7,8068	70,611657	5,4628	26,248
27,000	4,8751	31,9720	25,2888	1,1844e+00	0,1262	0,106	1466,81	75,414	7,8025	70,611677	5,4598	27,258
28,000	4,8931	32,0607	25,3572	5,2215e-01	0,1262	0,111	1467,01	75,328	7,7856	70,611709	5,4479	28,268
29,000	4,9189	32,1697	25,4408	5,7941e-01	0,1262	0,110	1467,27	75,270	7,7692	70,611723	5,4364	29,277
30,000	4,9626	32,3496	25,5786	6,6815e-01	0,1262	0,110	1467,70	75,286	7,7534	70,611740	5,4253	30,287
31,000	4,9677	32,6199	25,7922	5,6116e-01	0,1263	0,113	1468,08	75,429	7,7530	70,611772	5,4251	31,296
32,000	5,0027	32,6573	25,8180	5,6077e-01	0,1263	0,113	1468,29	75,094	7,7102	70,611789	5,3952	32,306
33,000	5,0208	32,6957	25,8464	5,8986e-01	0,1262	0,114	1468,43	74,702	7,6647	70,611806	5,3633	33,316
34,000	5,0403	32,7288	25,8705	5,4960e-01	0,1262	0,116	1468,56	74,507	7,6394	70,611829	5,3456	34,325
35,000	5,0677	32,8071	25,9295	5,8276e-01	0,1261	0,117	1468,79	74,576	7,6375	70,611850	5,3443	35,335
36,000	5,0987	32,8499	25,9598	8,2361e-01	0,1262	0,117	1468,99	74,594	7,6316	70,611871	5,3401	36,345
37,000	5,1290	32,9313	26,0209	7,2169e-01	0,1262	0,117	1469,23	74,712	7,6339	70,611889	5,3418	37,354
38,000	5,1257	33,0113	26,0847	7,2192e-01	0,1262	0,117	1469,34	74,875	7,6471	70,611905	5,3510	38,364
39,000	5,1339	33,0178	26,0889	7,1578e-01	0,1262	0,118	1469,40	74,846	7,6423	70,611922	5,3476	39,374
40,000	5,1508	33,0445	26,1081	7,5077e-01	0,1262	0,118	1469,52	74,812	7,6344	70,611946	5,3421	40,383
41,000	5,1456	33,1023	26,1545	6,8951e-01	0,1263	0,117	1469,58	74,841	7,6354	70,611964	5,3428	41,393
42,000	5,1136	33,1776	26,2178	6,7675e-01	0,1262	0,120	1469,57	74,902	7,6435	70,611978	5,3485	42,403
43,000	5,1120	33,2366	26,2647	7,2430e-01	0,1262	0,121	1469,65	74,802	7,6306	70,611995	5,3395	43,412
44,000	5,1220	33,2679	26,2884	5,9394e-01	0,1263	0,122	1469,75	74,714	7,6183	70,612016	5,3308	44,422
45,000	5,1360	33,3176	26,3262	5,3419e-01	0,1263	0,125	1469,88	74,942	7,6364	70,612036	5,3435	45,432
46,000	5,1450	33,3433	26,3455	5,4807e-01	0,1264	0,126	1469,97	75,040	7,6434	70,612052	5,3484	46,442
47,000	5,1495	33,3534	26,3529	4,9764e-01	0,1264	0,128	1470,02	75,114	7,6496	70,612067	5,3528	47,451
48,000	5,1578	33,3667	26,3626	5,0932e-01	0,1263	0,128	1470,09	75,132	7,6493	70,612089	5,3525	48,461
49,000	5,1750	33,3859	26,3758	4,7386e-01	0,1264	0,128	1470,20	75,133	7,6453	70,612108	5,3497	49,471
50,000	5,1922	33,3994	26,3845	6,1911e-01	0,1264	0,129	1470,30	75,065	7,6345	70,612124	5,3422	50,481
51,000	5,2072	33,4149	26,3950	4,6802e-01	0,1263	0,129	1470,40	75,019	7,6263	70,612144	5,3365	51,490
52,000	5,2533	33,4580	26,4238	4,0072e-01	0,1262	0,129	1470,66	74,959	7,6098	70,612165	5,3249	52,500
53,000	5,3954	33,5615	26,4893	3,9040e-01	0,1262	0,129	1471,38	74,976	7,5806	70,612181	5,3045	53,510
54,000	5,4676	33,6069	26,5167	5,8829e-01	0,1262	0,130	1471,75	74,983	7,5661	70,612203	5,2943	54,519
55,000	5,4957	33,6266	26,5289	2,9439e-01	0,1263	0,130	1471,90	74,666	7,5282	70,612224	5,2678	55,529
56,000	5,5902	33,6927	26,5698	2,7248e-01	0,1264	0,131	1472,38	73,671	7,4081	70,612239	5,1837	56,539
57,000	5,6510	33,7474	26,6058	2,8664e-01	0,1263	0,131	1472,71	72,990	7,3264	70,612260	5,1266	57,549
58,000	5,6750	33,7789	26,6278	2,6290e-01	0,1263	0,132	1472,86	72,576	7,2792	70,612283	5,0936	58,559
59,000	5,6894	33,7890	26,6340	2,5807e-01	0,1263	0,132	1472,95	71,997	7,2183	70,612299	5,0509	59,568
60,000	5,7046	33,8077	26,6470	2,5835e-01	0,1264	0,132	1473,05	71,549	7,1699	70,612319	5,0171	60,578
61,000	5,7415	33,8441	26,6713	2,5850e-01	0,1263	0,132	1473,26	71,534	7,1604	70,612343	5,0104	61,588
62,000	5,8236	33,9004	26,7057	2,2768e-01	0,1263	0,132	1473,68	71,596	7,1501	70,612359	5,0032	62,598
63,000	5,9251	33,9554	26,7365	2,4370e-01	0,1262	0,132	1474,17	71,641	7,1351	70,612375	4,9927	63,607
64,000	6,0427	33,9966	26,7544	2,5766e-01	0,1263	0,132	1474,70	71,760	7,1253	70,612401	4,9859	64,617
65,000	6,0930	34,0274	26,7723	2,1594e-01	0,1263	0,132	1474,96	71,626	7,1022	70,612417	4,9697	65,627
66,000	6,2883	34,0898	26,7966	2,4733e-01	0,1263	0,132	1475,83	71,440	7,0488	70,612432	4,9323	66,637
67,000	6,4404	34,1263	26,8056	2,6447e-01	0,1263	0,133	1476,49	71,198	6,9985	70,612456	4,8971	67,647
68,000	6,6387	34,1742	26,8172	1,9556e-01	0,1263	0,134	1477,34	71,049	6,9496	70,612476	4,8629	68,656
69,000	6,7173	34,1951	26,8231	2,3513e-01	0,1264	0,134	1477,69	70,684	6,9005	70,612490	4,8285	69,666
70,000	6,7816	34,2290	26,8412	1,9548e-01	0,1263	0,135	1478,00	70,287	6,8500	70,612516	4,7932	70,676
71,000	6,7780	34,2353	26,8466	1,8562e-01	0,1263	0,136	1478,01	69,679	6,7911	70,612535	4,7520	71,686
72,000	6,7634	34,2497	26,8600	1,8759e-01	0,1264	0,136	1477,99	69,351	6,7607	70,612549	4,7307	72,696
73,000	6,7879	34,2747	26,8763	1,9172e-01	0,1263	0,136	1478,13	68,976	6,7192	70,612574	4,7017	73,706
74,000	6,8106	34,2868	26,8828	1,7350e-01	0,1264	0,135	1478,26	68,993	6,7168	70,612597	4,7000	74,715
75,000	6,8136	34,2910	26,8857	1,7389e-01	0,1263	0,136	1478,29	68,999	6,7168	70,612610	4,7000	75,725
76,000	6,8126	34,2938	26,8880	2,0199e-01	0,1263	0,136	1478,31	69,020	6,7189	70,612629	4,7015	76,735
77,000	6,8137	34,2971	26,8905	1,8990e-01	0,1264	0,136	1478,33	69,045	6,7210	70,612654	4,7030	77,745
78,000	6,8163	34,3013	26,8935	1,7703e-01	0,1263	0,136	1478,36	68,895	6,7059	70,612672	4,6924	78,755
79,000	6,8228	34,3076	26,8976	1,7330e-01	0,1263	0,136	1478,41	68,884	6,7035	70,612688	4,6907	79,765
