DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.441	3.2281	24.6296	19.6026	6.8376e-01	0.1261	0.015	1449.97	69.285	7.8435	70.779792	5.4884	0.446
0.430	3.2283	24.6304	19.6032	7.3260e-01	0.1249	0.011	1449.97	69.221	7.8362	70.779792	5.4833	0.434
0.417	3.2284	24.6323	19.6048	7.4481e-01	0.1249	0.011	1449.98	69.213	7.8351	70.779793	5.4825	0.421
0.416	3.2289	24.6310	19.6037	7.2039e-01	0.1261	0.011	1449.98	69.204	7.8341	70.779793	5.4819	0.420
0.406	3.2294	24.6323	19.6047	7.4481e-01	0.1249	0.011	1449.98	69.196	7.8331	70.779794	5.4811	0.410
0.393	3.2299	24.6313	19.6039	7.5702e-01	0.1261	0.011	1449.98	69.125	7.8250	70.779794	5.4754	0.397
0.393	3.2306	24.6275	19.6008	7.3260e-01	0.1249	0.011	1449.98	69.109	7.8232	70.779795	5.4742	0.397
0.393	3.2311	24.6273	19.6006	7.3260e-01	0.1261	0.011	1449.98	69.094	7.8214	70.779795	5.4730	0.397
0.382	3.2317	24.6253	19.5990	8.1807e-01	0.1261	0.011	1449.98	69.080	7.8198	70.779796	5.4718	0.385
0.370	3.2322	24.6234	19.5974	8.7912e-01	0.1261	0.011	1449.98	69.066	7.8183	70.779796	5.4708	0.374
0.370	3.2326	24.6233	19.5973	9.0354e-01	0.1261	0.007	1449.98	69.054	7.8167	70.779796	5.4697	0.374
0.357	3.2327	24.6215	19.5959	9.4017e-01	0.1261	0.011	1449.98	68.978	7.8083	70.779797	5.4638	0.361
0.356	3.2329	24.6209	19.5954	8.9133e-01	0.1261	0.007	1449.98	68.958	7.8060	70.779797	5.4622	0.359
0.335	3.2330	24.6217	19.5960	8.3028e-01	0.1261	0.011	1449.98	68.939	7.8038	70.779798	5.4606	0.338
0.335	3.2331	24.6187	19.5936	7.9365e-01	0.1261	0.011	1449.98	68.985	7.8092	70.779798	5.4644	0.338
0.335	3.2330	24.6179	19.5930	7.5702e-01	0.1249	0.007	1449.98	68.914	7.8011	70.779799	5.4588	0.338
0.309	3.2323	24.6164	19.5919	7.5702e-01	0.1249	0.011	1449.97	68.834	7.7924	70.779799	5.4526	0.312
0.322	3.2319	24.6132	19.5893	8.6691e-01	0.1249	0.011	1449.97	68.812	7.7900	70.779800	5.4510	0.325
0.322	3.2312	24.6118	19.5883	9.1575e-01	0.1249	0.007	1449.96	68.854	7.7950	70.779800	5.4545	0.325
0.310	3.2313	24.6093	19.5863	9.5238e-01	0.1249	0.011	1449.96	68.778	7.7866	70.779801	5.4486	0.313
0.309	3.2311	24.6072	19.5846	9.2796e-01	0.1261	0.007	1449.95	68.759	7.7846	70.779801	5.4472	0.312
0.297	3.2310	24.6064	19.5840	8.4249e-01	0.1261	0.011	1449.95	68.742	7.7827	70.779802	5.4458	0.300
0.297	3.2308	24.6041	19.5822	7.9365e-01	0.1249	0.011	1449.95	68.726	7.7810	70.779802	5.4447	0.300
0.322	3.2305	24.6046	19.5826	8.0586e-01	0.1249	0.007	1449.95	68.711	7.7794	70.779803	5.4436	0.325
0.309	3.2303	24.6050	19.5829	7.8144e-01	0.1261	0.011	1449.95	68.635	7.7708	70.779803	5.4375	0.312
0.310	3.2299	24.6047	19.5827	7.3260e-01	0.1249	0.011	1449.95	68.678	7.7758	70.779804	5.4410	0.313
0.310	3.2292	24.6086	19.5858	6.9597e-01	0.1249	0.007	1449.95	68.605	7.7674	70.779804	5.4352	0.313
0.322	3.2291	24.6106	19.5875	6.8376e-01	0.1261	0.011	1449.95	68.525	7.7582	70.779805	5.4288	0.325
0.346	3.2290	24.6132	19.5895	6.5934e-01	0.1261	0.011	1449.95	68.565	7.7627	70.779805	5.4319	0.349
0.344	3.2288	24.6176	19.5931	6.4713e-01	0.1261	0.011	1449.96	68.552	7.7611	70.779806	5.4307	0.348
0.346	3.2286	24.6184	19.5937	6.4713e-01	0.1261	0.011	1449.96	68.542	7.7598	70.779806	5.4299	0.349
0.357	3.2282	24.6209	19.5957	6.4713e-01	0.1261	0.011	1449.96	68.469	7.7516	70.779807	5.4241	0.361
0.370	3.2277	24.6250	19.5990	6.5934e-01	0.1249	0.011	1449.96	68.454	7.7497	70.779807	5.4228	0.374
0.369	3.2272	24.6240	19.5982	7.3260e-01	0.1261	0.011	1449.96	68.440	7.7484	70.779808	5.4218	0.372
0.382	3.2272	24.6260	19.5998	7.4481e-01	0.1249	0.007	1449.96	68.429	7.7470	70.779808	5.4209	0.385
0.382	3.2273	24.6265	19.6002	7.0818e-01	0.1261	0.011	1449.96	68.420	7.7459	70.779809	5.4201	0.385
0.382	3.2277	24.6248	19.5989	6.7155e-01	0.1273	0.011	1449.96	68.414	7.7452	70.779809	5.4196	0.385
0.393	3.2281	24.6268	19.6004	6.4713e-01	0.1261	0.011	1449.97	68.409	7.7445	70.779810	5.4191	0.397
0.406	3.2285	24.6269	19.6004	6.4713e-01	0.1261	0.011	1449.97	68.343	7.7370	70.779810	5.4139	0.410
0.406	3.2287	24.6279	19.6012	6.9597e-01	0.1261	0.011	1449.97	68.335	7.7359	70.779810	5.4131	0.410
0.406	3.2288	24.6296	19.6026	7.0818e-01	0.1249	0.011	1449.98	68.329	7.7351	70.779811	5.4126	0.410
0.417	3.2287	24.6279	19.6013	6.8376e-01	0.1261	0.011	1449.97	68.326	7.7349	70.779811	5.4124	0.421
0.416	3.2282	24.6298	19.6028	6.9597e-01	0.1249	0.007	1449.97	68.325	7.7348	70.779812	5.4123	0.420
0.406	3.2273	24.6307	19.6035	7.3260e-01	0.1261	0.011	1449.97	68.327	7.7351	70.779812	5.4126	0.410
0.417	3.2279	24.6265	19.6002	7.6923e-01	0.1249	0.011	1449.97	68.331	7.7357	70.779813	5.4130	0.421
0.430	3.2280	24.6262	19.5999	8.3028e-01	0.1249	0.011	1449.97	68.338	7.7366	70.779813	5.4136	0.434
0.416	3.2282	24.6244	19.5985	8.6691e-01	0.1261	0.011	1449.97	68.348	7.7377	70.779814	5.4144	0.420
0.417	3.2280	24.6234	19.5977	9.0354e-01	0.1261	0.011	1449.96	68.360	7.7392	70.779814	5.4154	0.421
0.430	3.2279	24.6259	19.5997	9.8901e-01	0.1261	0.011	1449.97	68.312	7.7336	70.779815	5.4115	0.434
0.417	3.2275	24.6242	19.5984	9.8901e-01	0.1261	0.011	1449.96	68.321	7.7347	70.779815	5.4123	0.421
0.416	3.2275	24.6236	19.5979	8.9133e-01	0.1261	0.007	1449.96	68.323	7.7351	70.779816	5.4125	0.420
0.417	3.2273	24.6257	19.5996	7.8144e-01	0.1261	0.007	1449.96	68.329	7.7356	70.779816	5.4129	0.421
0.406	3.2271	24.6242	19.5984	7.3260e-01	0.1261	0.011	1449.96	68.336	7.7366	70.779817	5.4136	0.410
0.417	3.2267	24.6270	19.6006	6.9597e-01	0.1261	0.011	1449.96	68.347	7.7377	70.779817	5.4144	0.421
0.406	3.2261	24.6270	19.6006	7.0818e-01	0.1261	0.011	1449.96	68.351	7.7383	70.779818	5.4148	0.410
0.393	3.2260	24.6243	19.5986	6.9597e-01	0.1261	0.011	1449.96	68.357	7.7391	70.779818	5.4154	0.397
0.382	3.2254	24.6259	19.5998	6.7155e-01	0.1261	0.011	1449.95	68.365	7.7401	70.779819	5.4160	0.385
0.382	3.2250	24.6237	19.5981	7.9365e-01	0.1261	0.011	1449.95	68.375	7.7414	70.779819	5.4170	0.385
0.370	3.2246	24.6227	19.5973	8.5470e-01	0.1261	0.011	1449.95	68.324	7.7358	70.779820	5.4131	0.374
0.369	3.2241	24.6235	19.5980	8.0586e-01	0.1261	0.011	1449.95	68.331	7.7366	70.779820	5.4136	0.372
0.357	3.2238	24.6212	19.5962	7.5702e-01	0.1261	0.011	1449.94	68.330	7.7367	70.779821	5.4137	0.361
0.346	3.2230	24.6220	19.5969	7.4481e-01	0.1261	0.011	1449.94	68.332	7.7370	70.779821	5.4139	0.349
0.357	3.2221	24.6224	19.5973	7.5702e-01	0.1261	0.011	1449.94	68.337	7.7377	70.779822	5.4144	0.361
0.344	3.2218	24.6206	19.5959	7.4481e-01	0.1261	0.011	1449.93	68.352	7.7396	70.779822	5.4157	0.348
0.357	3.2214	24.6217	19.5968	7.0818e-01	0.1261	0.011	1449.93	68.298	7.7335	70.779823	5.4114	0.361
0.346	3.2202	24.6216	19.5968	6.9597e-01	0.1261	0.011	1449.93	68.291	7.7330	70.779823	5.4111	0.349
0.346	3.2197	24.6205	19.5960	6.9597e-01	0.1249	0.011	1449.92	68.287	7.7326	70.779823	5.4108	0.349
0.335	3.2195	24.6212	19.5965	6.8376e-01	0.1261	0.011	1449.92	68.294	7.7334	70.779824	5.4114	0.338
0.356	3.2194	24.6193	19.5950	6.8376e-01	0.1261	0.011	1449.92	68.294	7.7336	70.779824	5.4115	0.359
0.357	3.2191	24.6184	19.5943	6.8376e-01	0.1261	0.011	1449.92	68.297	7.7340	70.779825	5.4118	0.361
0.370	3.2190	24.6181	19.5941	6.8376e-01	0.1261	0.011	1449.92	68.302	7.7346	70.779825	5.4122	0.374
0.357	3.2190	24.6168	19.5931	7.3260e-01	0.1261	0.011	1449.91	68.246	7.7283	70.779826	5.4078	0.361
0.369	3.2188	24.6173	19.5935	7.5702e-01	0.1261	0.011	1449.91	68.310	7.7356	70.779826	5.4129	0.372
0.382	3.2181	24.6173	19.5935	8.0586e-01	0.1261	0.011	1449.91	68.313	7.7360	70.779827	5.4132	0.385
0.393	3.2184	24.6199	19.5956	8.0586e-01	0.1261	0.011	1449.92	68.263	7.7302	70.779827	5.4091	0.397
0.393	3.2183	24.6257	19.6002	8.0586e-01	0.1249	0.011	1449.92	68.261	7.7297	70.779828	5.4088	0.397
0.404	3.2180	24.6277	19.6018	7.8144e-01	0.1273	0.011	1449.93	68.252	7.7287	70.779828	5.4081	0.408
0.417	3.2177	24.6327	19.6058	7.8144e-01	0.1249	0.011	1449.93	68.191	7.7215	70.779829	5.4031	0.421
0.417	3.2178	24.6373	19.6095	7.9365e-01	0.1261	0.011	1449.94	68.187	7.7208	70.779829	5.4026	0.421
0.417	3.2176	24.6395	19.6112	7.8144e-01	0.1261	0.011	1449.94	68.249	7.7278	70.779830	5.4074	0.421
0.430	3.2176	24.6442	19.6149	7.3260e-01	0.1249	0.011	1449.95	68.250	7.7276	70.779830	5.4073	0.434
0.429	3.2176	24.6456	19.6160	7.2039e-01	0.1273	0.011	1449.95	68.188	7.7206	70.779831	5.4024	0.433
0.430	3.2174	24.6468	19.6170	7.2039e-01	0.1249	0.011	1449.95	68.184	7.7200	70.779831	5.4020	0.434
0.430	3.2177	24.6490	19.6187	7.9365e-01	0.1261	0.011	1449.95	68.182	7.7196	70.779832	5.4017	0.434
0.430	3.2178	24.6473	19.6174	7.8144e-01	0.1261	0.015	1449.95	68.182	7.7197	70.779832	5.4018	0.434
0.440	3.2177	24.6492	19.6189	7.2039e-01	0.1261	0.007	1449.95	68.184	7.7198	70.779833	5.4019	0.444
0.417	3.2176	24.6496	19.6193	6.8376e-01	0.1261	0.011	1449.95	68.188	7.7203	70.779833	5.4022	0.421
0.430	3.2172	24.6471	19.6173	6.7155e-01	0.1261	0.011	1449.95	68.186	7.7203	70.779834	5.4022	0.434
0.430	3.2168	24.6494	19.6191	6.8376e-01	0.1249	0.011	1449.95	68.185	7.7201	70.779834	5.4021	0.434
0.417	3.2160	24.6477	19.6179	6.8376e-01	0.1261	0.011	1449.94	68.186	7.7205	70.779835	5.4024	0.421
0.429	3.2156	24.6455	19.6161	6.8376e-01	0.1261	0.011	1449.94	68.189	7.7211	70.779835	5.4028	0.433
0.406	3.2153	24.6453	19.6159	6.9597e-01	0.1249	0.011	1449.94	68.194	7.7217	70.779836	5.4032	0.410
0.406	3.2149	24.6402	19.6120	7.2039e-01	0.1261	0.011	1449.93	68.137	7.7156	70.779836	5.3989	0.410
0.406	3.2147	24.6368	19.6093	7.2039e-01	0.1261	0.007	1449.92	68.137	7.7158	70.779837	5.3991	0.410
0.404	3.2146	24.6357	19.6084	7.3260e-01	0.1261	0.011	1449.92	68.140	7.7161	70.779837	5.3993	0.408
0.417	3.2146	24.6320	19.6055	7.4481e-01	0.1261	0.011	1449.92	68.144	7.7169	70.779837	5.3998	0.421
0.406	3.2147	24.6319	19.6054	7.4481e-01	0.1249	0.011	1449.92	68.151	7.7176	70.779838	5.4003	0.410
0.393	3.2149	24.6302	19.6040	7.0818e-01	0.1261	0.011	1449.91	68.087	7.7104	70.779838	5.3953	0.397
0.404	3.2150	24.6284	19.6025	6.8376e-01	0.1261	0.011	1449.91	68.080	7.7097	70.779839	5.3948	0.408
0.406	3.2154	24.6288	19.6029	6.7155e-01	0.1249	0.011	1449.92	68.075	7.7090	70.779839	5.3943	0.410
0.406	3.2155	24.6285	19.6025	8.1807e-01	0.1261	0.011	1449.92	68.136	7.7159	70.779840	5.3991	0.410
0.430	3.2156	24.6294	19.6033	9.5238e-01	0.1249	0.011	1449.92	68.144	7.7168	70.779840	5.3998	0.434
0.406	3.2158	24.6317	19.6051	9.1575e-01	0.1249	0.011	1449.92	68.090	7.7105	70.779841	5.3954	0.410
0.429	3.2158	24.6307	19.6043	8.1807e-01	0.1261	0.011	1449.92	68.094	7.7110	70.779841	5.3957	0.433
0.417	3.2152	24.6333	19.6064	7.4481e-01	0.1249	0.007	1449.92	68.100	7.7116	70.779842	5.3961	0.421
0.417	3.2140	24.6353	19.6081	7.0818e-01	0.1261	0.015	1449.92	68.108	7.7127	70.779842	5.3969	0.421
0.441	3.2131	24.6354	19.6082	6.9597e-01	0.1261	0.011	1449.91	68.118	7.7140	70.779843	5.3978	0.446
0.429	3.2122	24.6392	19.6113	6.8376e-01	0.1261	0.007	1449.92	68.058	7.7071	70.779843	5.3930	0.433
0.441	3.2114	24.6403	19.6122	6.8376e-01	0.1261	0.011	1449.91	68.054	7.7068	70.779844	5.3928	0.446
0.441	3.2107	24.6411	19.6129	6.9597e-01	0.1261	0.011	1449.91	68.116	7.7140	70.779844	5.3978	0.446
0.441	3.2100	24.6427	19.6143	8.4249e-01	0.1249	0.011	1449.91	68.062	7.7079	70.779845	5.3935	0.446
0.453	3.2094	24.6400	19.6122	9.0354e-01	0.1261	0.011	1449.90	68.065	7.7085	70.779845	5.3939	0.457
0.440	3.2087	24.6390	19.6114	8.4249e-01	0.1249	0.007	1449.90	68.070	7.7092	70.779846	5.3944	0.444
0.441	3.2085	24.6383	19.6108	7.5702e-01	0.1249	0.011	1449.90	68.068	7.7090	70.779846	5.3943	0.446
0.430	3.2083	24.6369	19.6097	7.0818e-01	0.1261	0.011	1449.90	68.067	7.7091	70.779847	5.3944	0.434
0.441	3.2080	24.6369	19.6098	6.9597e-01	0.1249	0.011	1449.89	68.069	7.7093	70.779847	5.3945	0.446
0.440	3.2080	24.6355	19.6086	6.9597e-01	0.1261	0.011	1449.89	68.072	7.7098	70.779848	5.3949	0.444
0.406	3.2080	24.6339	19.6074	6.8376e-01	0.1261	0.011	1449.89	68.014	7.7032	70.779848	5.3903	0.410
0.417	3.2078	24.6335	19.6071	6.9597e-01	0.1249	0.011	1449.89	68.012	7.7031	70.779849	5.3902	0.421
0.406	3.2076	24.6307	19.6048	7.5702e-01	0.1261	0.015	1449.88	68.013	7.7034	70.779849	5.3904	0.410
0.380	3.2077	24.6297	19.6040	8.0586e-01	0.1261	0.007	1449.88	68.006	7.7027	70.779850	5.3899	0.384
0.430	3.2077	24.6279	19.6026	7.6923e-01	0.1261	0.011	1449.88	68.075	7.7106	70.779850	5.3954	0.434
0.370	3.2080	24.6250	19.6003	7.4481e-01	0.1261	0.011	1449.88	68.027	7.7052	70.779851	5.3916	0.374
0.382	3.2078	24.6249	19.6002	7.8144e-01	0.1261	0.011	1449.88	68.026	7.7052	70.779851	5.3916	0.385
0.370	3.2084	24.6229	19.5986	7.8144e-01	0.1261	0.011	1449.88	68.028	7.7053	70.779851	5.3917	0.374
0.369	3.2088	24.6217	19.5976	7.5702e-01	0.1249	0.011	1449.88	68.031	7.7057	70.779852	5.3920	0.372
0.357	3.2094	24.6218	19.5977	7.9365e-01	0.1261	0.011	1449.88	68.027	7.7051	70.779852	5.3916	0.361
0.357	3.2099	24.6199	19.5961	7.8144e-01	0.1261	0.011	1449.88	68.024	7.7048	70.779853	5.3914	0.361
0.357	3.2102	24.6197	19.5959	7.3260e-01	0.1261	0.011	1449.88	68.032	7.7057	70.779853	5.3920	0.361
0.344	3.2100	24.6198	19.5960	7.3260e-01	0.1249	0.011	1449.88	68.042	7.7068	70.779854	5.3928	0.348
0.370	3.2094	24.6192	19.5956	7.6923e-01	0.1261	0.011	1449.88	67.982	7.7001	70.779854	5.3881	0.374
0.346	3.2078	24.6215	19.5975	7.5702e-01	0.1261	0.011	1449.87	67.977	7.6998	70.779855	5.3879	0.349
0.370	3.2064	24.6226	19.5985	7.2039e-01	0.1261	0.011	1449.87	67.975	7.6998	70.779855	5.3878	0.374
0.369	3.2056	24.6238	19.5995	7.3260e-01	0.1261	0.011	1449.87	67.974	7.6998	70.779856	5.3878	0.372
0.382	3.2049	24.6286	19.6034	8.6691e-01	0.1261	0.011	1449.87	67.976	7.6998	70.779856	5.3879	0.385
0.382	3.2042	24.6304	19.6048	1.1600e+00	0.1261	0.011	1449.87	67.979	7.7002	70.779857	5.3882	0.385
0.393	3.2036	24.6343	19.6080	1.1355e+00	0.1249	0.007	1449.87	67.984	7.7007	70.779857	5.3885	0.397
0.393	3.2022	24.6388	19.6116	9.7680e-01	0.1261	0.011	1449.87	67.991	7.7015	70.779858	5.3891	0.397
0.416	3.2005	24.6409	19.6134	8.6691e-01	0.1261	0.011	1449.87	68.000	7.7028	70.779858	5.3899	0.420
0.430	3.1991	24.6455	19.6172	7.8144e-01	0.1261	0.007	1449.87	68.011	7.7040	70.779859	5.3908	0.434
0.430	3.1974	24.6471	19.6185	7.3260e-01	0.1261	0.011	1449.86	68.023	7.7057	70.779859	5.3920	0.434
0.430	3.1961	24.6476	19.6191	7.2039e-01	0.1261	0.011	1449.86	68.028	7.7065	70.779860	5.3925	0.434
0.429	3.1948	24.6515	19.6223	7.2039e-01	0.1249	0.011	1449.86	68.035	7.7073	70.779860	5.3931	0.433
0.417	3.1938	24.6514	19.6222	7.0818e-01	0.1261	0.015	1449.85	68.043	7.7084	70.779861	5.3939	0.421
0.417	3.1933	24.6538	19.6242	6.7155e-01	0.1249	0.011	1449.85	67.989	7.7022	70.779861	5.3896	0.421
0.417	3.1929	24.6558	19.6258	6.7155e-01	0.1261	0.015	1449.85	67.991	7.7025	70.779862	5.3897	0.421
0.417	3.1923	24.6552	19.6253	6.8376e-01	0.1261	0.011	1449.85	67.986	7.7020	70.779862	5.3894	0.421
0.416	3.1920	24.6571	19.6268	6.8376e-01	0.1261	0.007	1449.85	67.982	7.7016	70.779863	5.3891	0.420
0.393	3.1918	24.6560	19.6261	6.7155e-01	0.1261	0.011	1449.85	67.980	7.7014	70.779863	5.3890	0.397
0.406	3.1913	24.6543	19.6247	6.5934e-01	0.1261	0.011	1449.84	67.989	7.7026	70.779864	5.3898	0.410
0.393	3.1910	24.6537	19.6242	6.4713e-01	0.1249	0.011	1449.84	67.999	7.7038	70.779864	5.3907	0.397
0.393	3.1910	24.6502	19.6214	6.3492e-01	0.1261	0.011	1449.84	68.002	7.7044	70.779864	5.3911	0.397
0.382	3.1908	24.6474	19.6193	6.1050e-01	0.1261	0.007	1449.83	68.006	7.7050	70.779865	5.3915	0.385
0.382	3.1906	24.6455	19.6177	5.9829e-01	0.1249	0.011	1449.83	68.012	7.7059	70.779865	5.3921	0.385
0.393	3.1910	24.6425	19.6153	6.4713e-01	0.1261	0.011	1449.83	68.020	7.7068	70.779866	5.3928	0.397
0.369	3.1913	24.6418	19.6148	6.4713e-01	0.1249	0.011	1449.83	68.029	7.7078	70.779866	5.3934	0.372
0.382	3.1915	24.6405	19.6137	6.5934e-01	0.1261	0.011	1449.83	67.966	7.7007	70.779867	5.3885	0.385
0.382	3.1918	24.6397	19.6130	7.0818e-01	0.1261	0.011	1449.83	67.960	7.7000	70.779867	5.3880	0.385
