DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0,000	3,2059	24,6590	19,6275	7,5883e-01	0,1255	0,009	1449,91	63,994	7,2467	70,779754	5,0708	0,000
1,000	3,1971	24,5382	19,5320	7,3820e-01	0,1266	0,014	1449,73	74,218	8,4136	70,780060	5,8873	1,009
2,000	3,2543	24,7545	19,7003	7,5389e-01	0,1268	0,015	1450,27	75,194	8,4996	70,780087	5,9475	2,019
3,000	3,3518	25,2123	20,0577	8,6844e-01	0,1268	0,015	1451,30	75,777	8,5180	70,780126	5,9604	3,028
4,000	3,7442	27,1312	21,5532	8,4054e-01	0,1268	0,015	1455,48	76,097	8,3620	70,780164	5,8512	4,038
5,000	4,0486	28,9295	22,9564	8,8105e-01	0,1267	0,015	1459,11	76,680	8,2614	70,780202	5,7808	5,048
6,000	4,1138	29,2731	23,2234	1,0148e+00	0,1267	0,015	1459,84	76,018	8,1581	70,780243	5,7086	6,057
7,000	4,1411	29,4581	23,3678	1,0006e+00	0,1268	0,015	1460,21	75,286	8,0640	70,780283	5,6427	7,067
8,000	4,1615	29,4805	23,3838	1,1762e+00	0,1270	0,015	1460,34	75,715	8,1048	70,780324	5,6712	8,076
9,000	4,1715	29,5078	23,4045	1,3817e+00	0,1269	0,015	1460,43	75,904	8,1215	70,780364	5,6829	9,086
10,000	4,1791	29,5217	23,4149	1,2793e+00	0,1269	0,015	1460,50	75,615	8,0883	70,780404	5,6597	10,095
11,000	4,1815	29,5271	23,4189	1,1428e+00	0,1269	0,015	1460,53	75,552	8,0808	70,780444	5,6544	11,105
12,000	4,1851	29,5593	23,4442	1,1721e+00	0,1267	0,029	1460,61	75,446	8,0670	70,780484	5,6448	12,114
13,000	4,1973	29,6936	23,5496	9,9727e-01	0,1268	0,041	1460,84	74,965	8,0059	70,780523	5,6021	13,124
14,000	4,3004	30,0355	23,8113	8,4736e-01	0,1270	0,041	1461,73	75,174	7,9896	70,780565	5,5907	14,133
15,000	4,3882	30,2572	23,9788	1,1565e+00	0,1270	0,042	1462,40	74,998	7,9421	70,780604	5,5574	15,143
16,000	4,4125	30,4343	24,1169	8,5707e-01	0,1272	0,045	1462,74	74,898	7,9174	70,780644	5,5401	16,152
17,000	4,4552	30,7405	24,3556	7,9613e-01	0,1272	0,044	1463,33	75,065	7,9105	70,780686	5,5353	17,162
18,000	4,4893	30,9875	24,5482	6,4595e-01	0,1272	0,043	1463,81	74,485	7,8299	70,780727	5,4789	18,172
19,000	4,5139	31,1076	24,6410	4,2176e-01	0,1273	0,040	1464,08	73,951	7,7629	70,780769	5,4320	19,181
20,000	4,5673	31,2656	24,7609	4,1177e-01	0,1273	0,038	1464,52	73,342	7,6808	70,780810	5,3746	20,191
21,000	4,6319	31,5072	24,9459	4,4701e-01	0,1274	0,037	1465,11	73,546	7,6777	70,780851	5,3724	21,200
22,000	4,6793	31,6501	25,0544	4,8612e-01	0,1274	0,037	1465,51	73,412	7,6477	70,780893	5,3514	22,210
23,000	4,7135	31,7463	25,1270	4,6988e-01	0,1273	0,037	1465,79	73,294	7,6242	70,780935	5,3350	23,219
24,000	4,7482	31,8417	25,1990	3,5328e-01	0,1273	0,037	1466,07	72,996	7,5820	70,780978	5,3054	24,229
25,000	4,8060	31,9951	25,3145	2,9496e-01	0,1274	0,040	1466,52	72,827	7,5462	70,781020	5,2804	25,239
26,000	4,8646	32,1432	25,4257	3,2160e-01	0,1274	0,043	1466,97	72,437	7,4877	70,781062	5,2395	26,248
27,000	4,8963	32,1951	25,4633	3,6500e-01	0,1274	0,047	1467,18	72,421	7,4779	70,781104	5,2326	27,258
28,000	4,9054	32,2028	25,4684	2,8286e-01	0,1274	0,048	1467,24	72,137	7,4465	70,781149	5,2106	28,268
29,000	4,9064	32,2037	25,4691	2,7375e-01	0,1274	0,049	1467,26	71,930	7,4249	70,781193	5,1955	29,277
30,000	4,9113	32,2120	25,4751	3,0260e-01	0,1274	0,050	1467,31	71,837	7,4140	70,781236	5,1879	30,287
31,000	5,0105	32,3685	25,5883	2,5521e-01	0,1274	0,051	1467,93	71,795	7,3844	70,781282	5,1671	31,296
32,000	5,0425	32,4198	25,6254	2,6001e-01	0,1275	0,050	1468,15	71,342	7,3297	70,781323	5,1289	32,306
33,000	5,1067	32,5219	25,6992	2,3634e-01	0,1275	0,049	1468,55	70,803	7,2582	70,781364	5,0788	33,316
34,000	5,1907	32,6286	25,7742	2,3486e-01	0,1274	0,054	1469,05	70,664	7,2243	70,781405	5,0551	34,325
35,000	5,2031	32,6469	25,7873	2,8460e-01	0,1274	0,058	1469,14	69,813	7,1344	70,781446	4,9922	35,335
36,000	5,2195	32,6796	25,8113	2,6322e-01	0,1274	0,055	1469,26	69,443	7,0923	70,781488	4,9628	36,345
37,000	5,2336	32,7074	25,8318	3,0501e-01	0,1274	0,052	1469,37	69,195	7,0632	70,781531	4,9424	37,354
38,000	5,2636	32,7555	25,8664	2,8257e-01	0,1274	0,051	1469,57	69,191	7,0555	70,781572	4,9370	38,364
39,000	5,2871	32,8034	25,9017	2,6099e-01	0,1274	0,051	1469,75	69,213	7,0516	70,781614	4,9343	39,374
40,000	5,3060	32,8625	25,9463	2,3420e-01	0,1274	0,050	1469,91	69,029	7,0269	70,781656	4,9170	40,383
41,000	5,3385	32,9164	25,9853	2,4884e-01	0,1275	0,049	1470,13	69,409	7,0576	70,781699	4,9385	41,393
42,000	5,3598	32,9683	26,0238	2,8309e-01	0,1275	0,049	1470,30	69,227	7,0331	70,781741	4,9214	42,403
43,000	5,3729	32,9964	26,0446	2,3503e-01	0,1274	0,050	1470,41	69,326	7,0396	70,781785	4,9259	43,412
44,000	5,3888	33,0251	26,0654	2,5720e-01	0,1275	0,051	1470,52	69,503	7,0536	70,781826	4,9357	44,422
45,000	5,4269	33,1067	26,1256	2,4568e-01	0,1274	0,051	1470,80	69,453	7,0383	70,781866	4,9250	45,432
46,000	5,4735	33,1975	26,1920	2,5314e-01	0,1275	0,052	1471,12	69,454	7,0265	70,781910	4,9167	46,442
47,000	5,4831	33,2137	26,2037	2,5910e-01	0,1274	0,052	1471,19	69,555	7,0343	70,781948	4,9222	47,451
48,000	5,5008	33,2388	26,2215	2,6567e-01	0,1275	0,053	1471,31	69,520	7,0266	70,782081	4,9168	48,461
49,000	5,5064	33,2450	26,2257	2,5932e-01	0,1275	0,051	1471,36	69,488	7,0222	70,782184	4,9137	49,471
50,000	5,5083	33,2490	26,2286	2,6428e-01	0,1274	0,051	1471,39	69,420	7,0148	70,782237	4,9085	50,480
51,000	5,5154	33,2556	26,2330	2,7148e-01	0,1275	0,050	1471,44	69,486	7,0200	70,782305	4,9122	51,490
