DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.251	1.9491	20.9374	16.7248	4.3956e-01	0.1285	0.015	1439.47	74.525	6.2558	44.699456
0.253	1.9490	20.9375	16.7249	4.3956e-01	0.1285	0.015	1439.47	74.525	6.2558	44.699457
0.230	1.9490	20.9373	16.7247	4.1514e-01	0.1285	0.015	1439.47	74.525	6.2558	44.699457
0.241	1.9493	20.9376	16.7250	4.1514e-01	0.1285	0.015	1439.48	74.525	6.2558	44.699457
0.228	1.9495	20.9373	16.7247	4.2735e-01	0.1273	0.015	1439.48	74.525	6.2557	44.699458
0.230	1.9491	20.9376	16.7249	4.1514e-01	0.1285	0.015	1439.47	74.589	6.2612	44.699458
0.230	1.9491	20.9375	16.7249	4.1514e-01	0.1285	0.015	1439.47	74.599	6.2619	44.699459
0.217	1.9491	20.9369	16.7244	4.1514e-01	0.1285	0.015	1439.47	74.543	6.2573	44.699459
0.216	1.9488	20.9371	16.7246	4.1514e-01	0.1285	0.015	1439.47	74.542	6.2573	44.699460
0.217	1.9487	20.9371	16.7246	4.2735e-01	0.1273	0.015	1439.47	74.606	6.2626	44.699460
0.193	1.9488	20.9367	16.7243	4.3956e-01	0.1285	0.015	1439.47	74.549	6.2579	44.699461
0.193	1.9488	20.9365	16.7241	4.1514e-01	0.1273	0.015	1439.47	74.613	6.2632	44.699461
0.193	1.9489	20.9364	16.7240	4.1514e-01	0.1285	0.015	1439.47	74.621	6.2639	44.699462
0.193	1.9487	20.9367	16.7243	4.0293e-01	0.1285	0.015	1439.47	74.628	6.2645	44.699462
0.182	1.9482	20.9367	16.7243	4.0293e-01	0.1285	0.015	1439.47	74.571	6.2598	44.699463
0.182	1.9488	20.9364	16.7240	4.1514e-01	0.1285	0.015	1439.47	74.633	6.2649	44.699463
0.180	1.9482	20.9366	16.7242	4.1514e-01	0.1285	0.015	1439.47	74.640	6.2656	44.699464
0.170	1.9484	20.9363	16.7239	4.2735e-01	0.1285	0.015	1439.47	74.646	6.2661	44.699464
0.182	1.9483	20.9362	16.7239	4.3956e-01	0.1285	0.015	1439.47	74.588	6.2612	44.699465
0.170	1.9490	20.9358	16.7235	4.3956e-01	0.1285	0.015	1439.47	74.584	6.2608	44.699465
0.180	1.9488	20.9357	16.7235	4.3956e-01	0.1285	0.015	1439.47	74.580	6.2605	44.699466
0.182	1.9494	20.9358	16.7235	4.3956e-01	0.1285	0.015	1439.47	74.641	6.2655	44.699466
0.170	1.9499	20.9363	16.7239	4.2735e-01	0.1285	0.015	1439.48	74.646	6.2659	44.699467
0.182	1.9504	20.9361	16.7237	4.2735e-01	0.1285	0.015	1439.48	74.651	6.2662	44.699467
0.193	1.9505	20.9366	16.7241	4.1514e-01	0.1285	0.015	1439.48	74.656	6.2666	44.699468
0.193	1.9504	20.9368	16.7243	4.1514e-01	0.1285	0.015	1439.48	74.661	6.2670	44.699468
0.193	1.9507	20.9366	16.7241	4.1514e-01	0.1298	0.015	1439.48	74.600	6.2619	44.699469
0.206	1.9508	20.9364	16.7239	4.0293e-01	0.1285	0.015	1439.48	74.659	6.2668	44.699469
0.228	1.9511	20.9363	16.7238	4.1514e-01	0.1285	0.015	1439.48	74.663	6.2671	44.699470
0.217	1.9516	20.9362	16.7237	4.2735e-01	0.1285	0.015	1439.48	74.666	6.2672	44.699470
0.230	1.9523	20.9365	16.7240	4.3956e-01	0.1285	0.015	1439.49	74.669	6.2673	44.699470
0.253	1.9521	20.9371	16.7245	4.2735e-01	0.1298	0.015	1439.49	74.671	6.2676	44.699471
0.216	1.9515	20.9376	16.7249	4.2735e-01	0.1285	0.015	1439.48	74.673	6.2678	44.699471
0.277	1.9510	20.9377	16.7250	4.2735e-01	0.1285	0.015	1439.48	74.675	6.2681	44.699472
0.266	1.9505	20.9374	16.7248	4.2735e-01	0.1285	0.015	1439.48	74.677	6.2683	44.699472
0.277	1.9499	20.9372	16.7246	4.2735e-01	0.1285	0.015	1439.48	74.678	6.2685	44.699473
0.277	1.9497	20.9371	16.7245	4.1514e-01	0.1298	0.015	1439.48	74.678	6.2685	44.699473
0.288	1.9493	20.9373	16.7247	4.0293e-01	0.1285	0.015	1439.48	74.678	6.2686	44.699474
