DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.151	13.2419	20.1891	14.9095	1.8681e+00	0.1310	0.015	1483.55	77.432	7.1579	164.688900	5.0087	0.153
0.162	13.2433	20.1796	14.9019	1.7949e+00	0.1310	0.015	1483.55	77.432	7.1581	164.688901	5.0088	0.164
0.164	13.2440	20.1824	14.9039	1.7582e+00	0.1298	0.015	1483.55	77.433	7.1579	164.688901	5.0087	0.166
0.151	13.2425	20.2039	14.9208	1.7460e+00	0.1310	0.015	1483.57	77.432	7.1571	164.688902	5.0081	0.153
0.164	13.2354	20.2730	14.9752	1.7827e+00	0.1310	0.015	1483.63	77.432	7.1551	164.688902	5.0067	0.166
0.174	13.2293	20.3644	15.0466	1.7827e+00	0.1298	0.015	1483.72	77.432	7.1520	164.688903	5.0045	0.175
0.164	13.2245	20.4588	15.1202	1.7582e+00	0.1298	0.015	1483.81	77.432	7.1485	164.688903	5.0021	0.166
0.164	13.2219	20.5363	15.1803	1.7338e+00	0.1310	0.015	1483.89	77.432	7.1454	164.688904	4.9999	0.166
0.162	13.2186	20.5923	15.2240	1.7827e+00	0.1310	0.015	1483.95	77.432	7.1434	164.688904	4.9985	0.164
0.175	13.2158	20.6315	15.2547	1.8559e+00	0.1310	0.015	1483.98	77.432	7.1421	164.688905	4.9976	0.177
0.164	13.2155	20.6504	15.2694	1.9048e+00	0.1298	0.015	1484.00	77.432	7.1413	164.688905	4.9971	0.166
0.151	13.2185	20.6183	15.2441	1.9292e+00	0.1310	0.015	1483.98	77.492	7.1478	164.688906	5.0016	0.153
0.162	13.2226	20.5403	15.1833	1.8803e+00	0.1298	0.015	1483.90	77.437	7.1456	164.688906	5.0001	0.164
0.151	13.2235	20.4729	15.1312	1.8071e+00	0.1310	0.015	1483.82	77.437	7.1485	164.688907	5.0021	0.153
0.151	13.2219	20.4535	15.1165	1.7582e+00	0.1310	0.015	1483.79	77.437	7.1496	164.688907	5.0028	0.153
0.151	13.2210	20.4559	15.1186	1.7216e+00	0.1298	0.015	1483.79	77.437	7.1496	164.688908	5.0028	0.153
0.138	13.2208	20.4647	15.1254	1.6850e+00	0.1310	0.015	1483.80	77.496	7.1547	164.688908	5.0064	0.139
0.140	13.2218	20.4758	15.1338	1.6484e+00	0.1298	0.015	1483.82	77.501	7.1545	164.688909	5.0063	0.141
0.127	13.2223	20.4823	15.1387	1.5873e+00	0.1298	0.015	1483.83	77.506	7.1546	164.688909	5.0063	0.128
0.127	13.2234	20.4769	15.1344	1.5995e+00	0.1310	0.015	1483.83	77.510	7.1551	164.688910	5.0067	0.128
0.114	13.2246	20.4642	15.1244	1.6484e+00	0.1310	0.015	1483.82	77.515	7.1559	164.688910	5.0072	0.115
0.116	13.2271	20.4480	15.1114	1.6728e+00	0.1298	0.015	1483.81	77.519	7.1566	164.688911	5.0078	0.117
0.091	13.2291	20.4252	15.0936	1.6484e+00	0.1310	0.015	1483.78	77.523	7.1576	164.688911	5.0085	0.092
0.091	13.2306	20.4009	15.0746	1.5873e+00	0.1298	0.015	1483.76	77.526	7.1589	164.688912	5.0093	0.092
0.067	13.2323	20.3792	15.0576	1.5507e+00	0.1298	0.015	1483.74	77.530	7.1599	164.688912	5.0101	0.068
0.091	13.2337	20.3591	15.0418	1.5629e+00	0.1298	0.015	1483.72	77.533	7.1609	164.688913	5.0108	0.092
0.069	13.2342	20.3473	15.0326	1.6606e+00	0.1310	0.015	1483.71	77.596	7.1671	164.688913	5.0151	0.069
0.069	13.2341	20.3448	15.0307	1.6850e+00	0.1310	0.015	1483.71	77.544	7.1625	164.688913	5.0119	0.069
0.067	13.2329	20.3479	15.0333	1.6484e+00	0.1310	0.015	1483.71	77.546	7.1627	164.688914	5.0120	0.068
0.056	13.2326	20.3530	15.0373	1.6239e+00	0.1310	0.015	1483.71	77.548	7.1627	164.688914	5.0120	0.056
0.069	13.2322	20.3582	15.0414	1.6361e+00	0.1298	0.015	1483.72	77.610	7.1682	164.688915	5.0159	0.069
0.044	13.2325	20.3588	15.0417	1.6484e+00	0.1298	0.015	1483.72	77.557	7.1633	164.688915	5.0124	0.045
0.067	13.2330	20.3526	15.0369	1.6728e+00	0.1310	0.011	1483.71	77.618	7.1691	164.688916	5.0165	0.068
0.069	13.2330	20.3441	15.0303	1.6728e+00	0.1310	0.015	1483.70	77.565	7.1646	164.688916	5.0133	0.069
