DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0,000	13,2470	20,1755	14,8981	1,7914e+00	0,1306	0,015	1483,55	77,567	7,1701	164,688941	5,0172	0,000
1,000	13,2367	20,3868	15,0627	1,7142e+00	0,1306	0,015	1483,78	77,375	7,1446	164,689021	4,9994	1,009
2,000	13,2040	21,2715	15,7498	2,0725e+00	0,1305	0,015	1484,72	77,796	7,1490	164,689045	5,0024	2,019
3,000	13,2025	22,0653	16,3617	2,0084e+00	0,1304	0,015	1485,67	77,783	7,1128	164,689068	4,9771	3,029
4,000	13,1485	24,8847	18,5450	1,5344e+00	0,1303	0,015	1488,82	77,302	6,9535	164,689089	4,8657	4,038
5,000	13,0702	26,2394	19,6046	1,1036e+00	0,1302	0,015	1490,16	76,813	6,8627	164,689109	4,8021	5,048
6,000	13,1963	26,7495	19,9749	9,5513e-01	0,1300	0,014	1491,21	76,420	6,7878	164,689129	4,7497	6,057
7,000	13,2175	26,8561	20,0532	7,8383e-01	0,1303	0,015	1491,42	74,951	6,6500	164,689149	4,6533	7,066
8,000	12,7107	27,3074	20,4953	6,4745e-01	0,1303	0,016	1490,24	74,561	6,6674	164,689170	4,6655	8,076
9,000	12,0107	27,3554	20,6580	6,0164e-01	0,1304	0,016	1487,89	74,866	6,7926	164,689189	4,7531	9,086
10,000	11,5894	27,4117	20,7748	5,2637e-01	0,1305	0,016	1486,50	73,350	6,7127	164,689209	4,6971	10,095
11,000	11,1281	27,7786	21,1378	4,0086e-01	0,1305	0,016	1485,32	72,288	6,6663	164,689229	4,6647	11,105
12,000	10,9554	28,4113	21,6581	3,7274e-01	0,1305	0,017	1485,48	71,834	6,6225	164,689249	4,6341	12,114
13,000	10,5735	28,7235	21,9638	3,4068e-01	0,1304	0,017	1484,50	71,319	6,6166	164,689269	4,6299	13,124
14,000	10,2800	28,8914	22,1421	2,9684e-01	0,1306	0,018	1483,66	71,245	6,6452	164,689290	4,6499	14,133
15,000	9,9113	29,1479	22,4007	2,6651e-01	0,1305	0,018	1482,64	71,668	6,7280	164,689309	4,7079	15,143
