DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.209	2.2655	28.9425	23.1049	4.5177e-01	0.1261	0.007	1451.33	70.894	5.5872	43.402326
0.209	2.2596	28.9592	23.1185	4.3956e-01	0.1261	0.007	1451.33	70.960	5.5926	43.402327
0.219	2.2486	28.9768	23.1334	4.6398e-01	0.1261	0.007	1451.30	70.971	5.5943	43.402327
0.209	2.2473	28.9773	23.1339	4.8840e-01	0.1261	0.007	1451.30	71.044	5.6003	43.402328
0.221	2.2517	28.9691	23.1270	4.8840e-01	0.1261	0.007	1451.31	71.060	5.6012	43.402328
0.196	2.2497	28.9657	23.1244	4.5177e-01	0.1261	0.007	1451.29	71.077	5.6030	43.402329
0.219	2.2475	28.9635	23.1228	4.2735e-01	0.1261	0.007	1451.28	71.158	5.6097	43.402329
0.221	2.2462	28.9626	23.1221	4.2735e-01	0.1261	0.007	1451.28	71.246	5.6169	43.402330
0.209	2.2440	28.9651	23.1243	4.2735e-01	0.1273	0.007	1451.27	71.278	5.6196	43.402330
0.219	2.2460	28.9645	23.1237	4.3956e-01	0.1273	0.007	1451.28	71.372	5.6268	43.402331
0.221	2.2431	28.9664	23.1254	4.3956e-01	0.1261	0.007	1451.27	71.474	5.6352	43.402331
0.221	2.2312	28.9733	23.1317	4.3956e-01	0.1261	0.007	1451.22	71.522	5.6404	43.402332
0.209	2.2340	28.9634	23.1236	4.2735e-01	0.1261	0.007	1451.22	71.563	5.6436	43.402332
0.219	2.2361	28.9566	23.1180	4.5177e-01	0.1273	0.007	1451.22	71.603	5.6467	43.402333
0.221	2.2351	28.9581	23.1193	4.6398e-01	0.1261	0.007	1451.22	71.705	5.6549	43.402333
0.221	2.2374	28.9584	23.1194	4.6398e-01	0.1261	0.007	1451.23	71.813	5.6630	43.402334
0.209	2.2400	28.9589	23.1196	4.3956e-01	0.1273	0.007	1451.24	71.799	5.6615	43.402334
0.232	2.2409	28.9619	23.1219	4.1514e-01	0.1261	0.007	1451.25	71.901	5.6693	43.402335
0.209	2.2405	28.9666	23.1257	4.1514e-01	0.1261	0.007	1451.26	72.010	5.6778	43.402335
0.221	2.2391	28.9711	23.1294	4.0293e-01	0.1261	0.007	1451.26	72.061	5.6818	43.402336
0.221	2.2366	28.9750	23.1327	3.9072e-01	0.1261	0.004	1451.25	72.173	5.6909	43.402336
0.208	2.2333	28.9774	23.1348	4.0293e-01	0.1261	0.007	1451.24	72.226	5.6954	43.402337
0.234	2.2164	28.9912	23.1469	4.6398e-01	0.1261	0.007	1451.18	72.279	5.7016	43.402337
0.209	2.2071	28.9930	23.1490	4.7619e-01	0.1261	0.007	1451.14	72.390	5.7116	43.402337
0.209	2.2086	28.9814	23.1396	4.7619e-01	0.1261	0.007	1451.13	72.440	5.7157	43.402338
0.219	2.2116	28.9720	23.1320	4.6398e-01	0.1261	0.007	1451.14	72.549	5.7242	43.402338
0.221	2.2132	28.9717	23.1316	4.3956e-01	0.1273	0.007	1451.14	72.598	5.7280	43.402339
0.196	2.2117	28.9760	23.1351	4.2735e-01	0.1273	0.007	1451.14	72.708	5.7367	43.402339
0.209	2.2084	28.9812	23.1395	4.1514e-01	0.1261	0.007	1451.13	72.759	5.7410	43.402340
0.208	2.2046	28.9855	23.1432	4.1514e-01	0.1261	0.004	1451.12	72.805	5.7450	43.402340
0.221	2.2019	28.9872	23.1447	4.0293e-01	0.1261	0.007	1451.11	72.845	5.7485	43.402341
0.196	2.2011	28.9880	23.1454	4.0293e-01	0.1261	0.007	1451.11	72.944	5.7564	43.402341
0.196	2.2036	28.9859	23.1436	3.9072e-01	0.1261	0.004	1451.12	72.982	5.7591	43.402342
