DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.218	13.6465	24.5370	18.1849	1.1600e+00	0.1310	0.011	1490.04	77.766	6.9376	163.515498	4.8546	0.220
0.228	13.6464	24.5374	18.1853	1.1355e+00	0.1298	0.011	1490.04	77.766	6.9376	163.515498	4.8546	0.230
0.218	13.6460	24.5374	18.1854	1.1233e+00	0.1310	0.015	1490.03	77.766	6.9377	163.515499	4.8546	0.220
0.218	13.6460	24.5373	18.1853	1.1233e+00	0.1298	0.011	1490.03	77.766	6.9377	163.515499	4.8546	0.220
0.218	13.6451	24.5377	18.1857	1.1233e+00	0.1298	0.011	1490.03	77.766	6.9378	163.515500	4.8547	0.220
0.217	13.6449	24.5376	18.1857	1.1111e+00	0.1310	0.015	1490.03	77.766	6.9378	163.515500	4.8547	0.219
0.218	13.6444	24.5380	18.1861	1.0989e+00	0.1298	0.011	1490.03	77.766	6.9379	163.515501	4.8547	0.220
0.218	13.6439	24.5379	18.1862	1.0989e+00	0.1310	0.011	1490.03	77.766	6.9380	163.515501	4.8548	0.220
0.218	13.6437	24.5378	18.1861	1.0867e+00	0.1298	0.015	1490.03	77.766	6.9380	163.515502	4.8548	0.220
0.205	13.6436	24.5377	18.1860	1.0745e+00	0.1298	0.015	1490.03	77.766	6.9380	163.515502	4.8548	0.207
0.194	13.6433	24.5379	18.1862	1.0867e+00	0.1298	0.011	1490.03	77.766	6.9380	163.515503	4.8548	0.196
0.205	13.6430	24.5380	18.1864	1.0989e+00	0.1310	0.011	1490.03	77.766	6.9381	163.515503	4.8549	0.207
0.194	13.6434	24.5375	18.1859	1.1111e+00	0.1298	0.011	1490.03	77.825	6.9433	163.515503	4.8585	0.196
0.192	13.6433	24.5375	18.1859	1.1233e+00	0.1298	0.015	1490.03	77.771	6.9385	163.515504	4.8552	0.194
0.183	13.6444	24.5370	18.1854	1.1233e+00	0.1310	0.015	1490.03	77.771	6.9384	163.515504	4.8551	0.184
0.183	13.6451	24.5370	18.1852	1.1233e+00	0.1298	0.011	1490.03	77.830	6.9435	163.515505	4.8587	0.184
