DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0,000	13,6436	24,5375	18,1859	1,1658e+00	0,1304	0,014	1490,02	77,825	6,9433	163,515632	4,8585	-0,000
1,000	13,6433	24,5377	18,1861	1,2563e+00	0,1306	0,015	1490,04	78,123	6,9699	163,515868	4,8772	1,009
2,000	13,6480	24,5379	18,1854	1,6146e+00	0,1307	0,015	1490,07	78,642	7,0156	163,515888	4,9091	2,019
3,000	13,6535	24,5398	18,1858	1,7664e+00	0,1307	0,015	1490,11	78,381	6,9914	163,515907	4,8922	3,028
4,000	13,6641	24,5469	18,1893	1,7510e+00	0,1308	0,015	1490,17	78,356	6,9873	163,515926	4,8893	4,038
5,000	13,6695	24,5505	18,1910	1,7750e+00	0,1308	0,015	1490,21	79,012	7,0448	163,515947	4,9295	5,047
6,000	13,6835	24,5603	18,1960	1,8040e+00	0,1309	0,015	1490,28	78,824	7,0256	163,515965	4,9161	6,057
7,000	13,7597	24,6317	18,2367	2,0427e+00	0,1309	0,015	1490,64	78,571	6,9888	163,515983	4,8904	7,066
8,000	13,8577	24,8465	18,3835	2,0025e+00	0,1310	0,015	1491,24	78,864	6,9913	163,516003	4,8921	8,076
9,000	13,7993	24,9341	18,4621	1,8472e+00	0,1309	0,015	1491,16	78,697	6,9811	163,516021	4,8850	9,086
10,000	13,7970	24,9863	18,5027	1,8651e+00	0,1309	0,015	1491,23	78,018	6,9190	163,516041	4,8415	10,095
11,000	13,7841	25,0534	18,5568	1,7196e+00	0,1310	0,015	1491,28	77,783	6,8971	163,516060	4,8262	11,105
12,000	13,8072	25,1076	18,5942	1,8632e+00	0,1309	0,015	1491,44	78,073	6,9172	163,516077	4,8402	12,114
13,000	13,8046	25,2053	18,6699	1,9466e+00	0,1310	0,015	1491,56	77,958	6,9032	163,516097	4,8304	13,124
14,000	13,7975	25,2561	18,7104	1,8597e+00	0,1310	0,015	1491,61	78,103	6,9149	163,516119	4,8387	14,133
15,000	13,7628	25,6764	19,0407	1,7116e+00	0,1310	0,015	1492,01	78,109	6,9024	163,516135	4,8299	15,143
16,000	13,7196	26,0091	19,3053	1,7784e+00	0,1310	0,015	1492,27	78,375	6,9178	163,516155	4,8407	16,153
17,000	13,6795	26,1986	19,4589	1,6325e+00	0,1310	0,016	1492,37	78,381	6,9160	163,516177	4,8394	17,162
18,000	13,6469	26,2612	19,5133	1,6223e+00	0,1310	0,015	1492,35	78,732	6,9490	163,516194	4,8625	18,171
19,000	13,5628	26,4799	19,6979	1,6772e+00	0,1309	0,016	1492,35	78,931	6,9692	163,516213	4,8767	19,181
20,000	13,5159	26,5765	19,7813	1,6590e+00	0,1310	0,016	1492,32	78,940	6,9726	163,516235	4,8790	20,191
21,000	13,3403	26,7729	19,9659	1,4563e+00	0,1310	0,016	1491,97	79,137	7,0070	163,516255	4,9031	21,200
22,000	12,9495	27,2203	20,3841	1,4120e+00	0,1310	0,016	1491,19	79,006	7,0332	163,516273	4,9214	22,210
23,000	12,8150	27,3595	20,5166	1,5849e+00	0,1311	0,016	1490,91	78,053	6,9620	163,516296	4,8716	23,219
24,000	12,6976	27,5299	20,6699	1,1623e+00	0,1309	0,017	1490,73	77,305	6,9049	163,516318	4,8317	24,229
25,000	12,6279	27,6197	20,7521	1,2156e+00	0,1310	0,017	1490,61	77,098	6,8926	163,516334	4,8231	25,239
26,000	12,3459	27,9264	21,0405	1,3360e+00	0,1310	0,017	1490,02	76,968	6,9088	163,516358	4,8344	26,248
27,000	12,1917	28,0452	21,1601	9,3634e-01	0,1310	0,017	1489,64	76,743	6,9060	163,516378	4,8324	27,258
28,000	11,8621	28,3810	21,4788	9,2998e-01	0,1310	0,018	1488,91	76,123	6,8839	163,516396	4,8169	28,268
29,000	11,5922	28,7194	21,7885	8,8972e-01	0,1310	0,018	1488,39	75,271	6,8315	163,516419	4,7803	29,277
30,000	11,2299	29,0083	22,0753	5,7220e-01	0,1309	0,018	1487,47	74,398	6,7926	163,516440	4,7530	30,287
31,000	10,8815	29,4643	22,4888	5,6182e-01	0,1310	0,018	1486,80	74,054	6,7926	163,516458	4,7530	31,296
32,000	10,1826	30,2238	23,1955	5,5736e-01	0,1309	0,018	1485,22	73,044	6,7696	163,516482	4,7370	32,306
33,000	9,9578	30,4232	23,3875	2,8614e-01	0,1307	0,018	1484,66	71,732	6,6723	163,516503	4,6689	33,316
34,000	9,8987	30,4706	23,4339	2,9524e-01	0,1309	0,018	1484,52	70,855	6,5972	163,516522	4,6164	34,325
35,000	9,8588	30,5072	23,4688	2,9047e-01	0,1307	0,018	1484,43	70,790	6,5954	163,516545	4,6151	35,335
