DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
10.273	2.0746	28.5999	22.8431	2.4420e-01	0.1285	0.015	1450.21	67.519	5.3597	44.675162
10.279	2.0746	28.5996	22.8429	2.3199e-01	0.1273	0.018	1450.21	67.519	5.3597	44.675163
10.268	2.0745	28.5994	22.8428	2.1978e-01	0.1273	0.018	1450.20	67.648	5.3699	44.675163
10.279	2.0743	28.5993	22.8427	2.1978e-01	0.1273	0.015	1450.20	67.666	5.3714	44.675163
10.268	2.0745	28.5993	22.8427	2.1978e-01	0.1273	0.015	1450.20	67.748	5.3779	44.675164
10.273	2.0743	28.5990	22.8425	2.1978e-01	0.1273	0.015	1450.20	67.903	5.3902	44.675164
10.268	2.0745	28.5989	22.8424	2.1978e-01	0.1273	0.015	1450.20	67.945	5.3936	44.675165
10.268	2.0745	28.5991	22.8425	2.1978e-01	0.1273	0.015	1450.20	68.115	5.4070	44.675165
10.279	2.0745	28.5985	22.8421	2.4420e-01	0.1273	0.015	1450.20	68.236	5.4167	44.675166
10.248	2.0745	28.5984	22.8420	2.6862e-01	0.1273	0.015	1450.20	68.364	5.4268	44.675166
10.268	2.0741	28.5985	22.8421	2.8083e-01	0.1273	0.015	1450.20	68.498	5.4375	44.675167
10.268	2.0745	28.5979	22.8415	3.0525e-01	0.1273	0.015	1450.20	68.637	5.4485	44.675167
10.268	2.0745	28.5976	22.8413	2.9304e-01	0.1273	0.015	1450.20	68.782	5.4600	44.675168
10.248	2.0743	28.5979	22.8416	2.5641e-01	0.1285	0.015	1450.20	68.931	5.4718	44.675168
10.255	2.0745	28.5976	22.8413	2.4420e-01	0.1273	0.015	1450.20	69.084	5.4840	44.675169
10.268	2.0745	28.5975	22.8413	2.1978e-01	0.1273	0.015	1450.20	69.242	5.4965	44.675169
10.255	2.0743	28.5974	22.8412	2.5641e-01	0.1273	0.018	1450.20	69.403	5.5094	44.675170
10.237	2.0741	28.5970	22.8409	3.0525e-01	0.1285	0.015	1450.20	69.503	5.5173	44.675170
10.268	2.0741	28.5969	22.8408	3.2967e-01	0.1285	0.015	1450.20	69.661	5.5299	44.675171
10.255	2.0743	28.5967	22.8407	3.0525e-01	0.1273	0.015	1450.20	69.821	5.5426	44.675171
10.243	2.0743	28.5965	22.8404	2.8083e-01	0.1285	0.015	1450.20	69.984	5.5555	44.675172
10.255	2.0741	28.5966	22.8405	2.6862e-01	0.1273	0.015	1450.20	70.149	5.5687	44.675172
10.237	2.0741	28.5964	22.8404	2.5641e-01	0.1273	0.015	1450.20	70.316	5.5819	44.675173
10.243	2.0743	28.5961	22.8402	2.6862e-01	0.1285	0.015	1450.20	70.419	5.5901	44.675173
10.255	2.0741	28.5960	22.8401	2.9304e-01	0.1273	0.015	1450.20	70.579	5.6028	44.675174
10.230	2.0741	28.5962	22.8402	2.9304e-01	0.1285	0.015	1450.20	70.804	5.6206	44.675174
10.248	2.0741	28.5958	22.8399	2.6862e-01	0.1273	0.018	1450.20	70.973	5.6341	44.675175
10.243	2.0745	28.5949	22.8392	2.5641e-01	0.1285	0.015	1450.20	71.078	5.6424	44.675175
10.230	2.0741	28.5953	22.8395	2.4420e-01	0.1285	0.015	1450.20	71.238	5.6551	44.675176
10.243	2.0743	28.5954	22.8396	2.4420e-01	0.1273	0.015	1450.20	71.332	5.6626	44.675176
10.237	2.0741	28.5954	22.8396	2.4420e-01	0.1273	0.015	1450.20	71.481	5.6744	44.675177
10.230	2.0740	28.5953	22.8395	2.3199e-01	0.1273	0.015	1450.20	71.628	5.6861	44.675177
10.243	2.0743	28.5949	22.8392	2.1978e-01	0.1273	0.015	1450.20	71.774	5.6976	44.675177
10.230	2.0740	28.5952	22.8395	2.1978e-01	0.1285	0.015	1450.20	71.917	5.7091	44.675178
10.237	2.0741	28.5948	22.8391	2.1978e-01	0.1273	0.018	1450.20	72.058	5.7203	44.675178
10.219	2.0745	28.5947	22.8390	2.3199e-01	0.1285	0.015	1450.20	72.132	5.7261	44.675179
10.230	2.0743	28.5949	22.8392	2.5641e-01	0.1285	0.015	1450.20	72.259	5.7362	44.675179
10.243	2.0741	28.5955	22.8397	2.9304e-01	0.1273	0.015	1450.20	72.382	5.7459	44.675180
10.213	2.0741	28.5954	22.8396	3.0525e-01	0.1273	0.015	1450.20	72.437	5.7503	44.675180
10.230	2.0741	28.5954	22.8396	2.9304e-01	0.1273	0.015	1450.20	72.543	5.7587	44.675181
10.230	2.0743	28.5950	22.8393	2.6862e-01	0.1273	0.015	1450.20	72.581	5.7618	44.675181
10.230	2.0743	28.5949	22.8392	2.5641e-01	0.1273	0.015	1450.20	72.735	5.7739	44.675182
10.219	2.0740	28.5947	22.8390	2.5641e-01	0.1273	0.015	1450.20	72.764	5.7763	44.675182
10.237	2.0741	28.5946	22.8390	2.6862e-01	0.1273	0.015	1450.20	72.843	5.7826	44.675183
10.219	2.0743	28.5946	22.8390	3.1746e-01	0.1273	0.015	1450.20	72.853	5.7834	44.675183
10.219	2.0740	28.5949	22.8392	3.7851e-01	0.1273	0.015	1450.20	72.913	5.7881	44.675184
10.219	2.0740	28.5949	22.8392	4.0293e-01	0.1273	0.015	1450.20	72.967	5.7924	44.675184
10.226	2.0740	28.5951	22.8394	3.7851e-01	0.1285	0.015	1450.20	72.951	5.7911	44.675185
10.219	2.0741	28.5955	22.8397	3.4188e-01	0.1273	0.015	1450.20	72.983	5.7937	44.675185
10.230	2.0741	28.5950	22.8392	3.0525e-01	0.1273	0.015	1450.20	73.010	5.7958	44.675186
10.219	2.0743	28.5950	22.8393	2.6862e-01	0.1273	0.015	1450.20	73.029	5.7973	44.675186
10.226	2.0741	28.5952	22.8394	2.4420e-01	0.1273	0.015	1450.20	72.997	5.7948	44.675187
10.219	2.0740	28.5950	22.8393	2.3199e-01	0.1285	0.015	1450.20	72.949	5.7910	44.675187
10.219	2.0741	28.5948	22.8391	2.3199e-01	0.1273	0.015	1450.20	72.959	5.7918	44.675188
10.219	2.0743	28.5946	22.8390	2.1978e-01	0.1273	0.015	1450.20	72.983	5.7937	44.675188
10.226	2.0740	28.5949	22.8392	2.1978e-01	0.1273	0.015	1450.20	72.937	5.7901	44.675189
10.219	2.0741	28.5948	22.8391	2.1978e-01	0.1285	0.015	1450.20	72.959	5.7918	44.675189
10.219	2.0741	28.5950	22.8392	2.1978e-01	0.1273	0.015	1450.20	72.986	5.7939	44.675190
10.230	2.0743	28.5944	22.8388	2.1978e-01	0.1273	0.015	1450.20	72.953	5.7913	44.675190
10.201	2.0741	28.5946	22.8390	2.3199e-01	0.1273	0.015	1450.20	72.979	5.7934	44.675190
10.230	2.0741	28.5948	22.8391	2.5641e-01	0.1273	0.015	1450.20	72.946	5.7907	44.675191
10.230	2.0741	28.5950	22.8392	2.6862e-01	0.1273	0.015	1450.20	72.973	5.7929	44.675191
10.219	2.0743	28.5947	22.8390	2.5641e-01	0.1273	0.018	1450.20	73.004	5.7954	44.675192
10.226	2.0741	28.5950	22.8392	2.4420e-01	0.1285	0.015	1450.20	72.977	5.7932	44.675192
10.219	2.0740	28.5955	22.8396	2.4420e-01	0.1285	0.015	1450.20	73.010	5.7958	44.675193
10.219	2.0741	28.5952	22.8394	2.3199e-01	0.1285	0.015	1450.20	72.984	5.7938	44.675193
10.230	2.0741	28.5953	22.8395	2.3199e-01	0.1285	0.015	1450.20	73.010	5.7958	44.675194
10.219	2.0741	28.5949	22.8392	2.3199e-01	0.1273	0.018	1450.20	72.976	5.7931	44.675194
10.237	2.0741	28.5950	22.8392	2.3199e-01	0.1273	0.015	1450.20	73.003	5.7953	44.675195
10.219	2.0740	28.5952	22.8394	2.1978e-01	0.1273	0.015	1450.20	73.036	5.7979	44.675195
10.230	2.0743	28.5947	22.8390	2.3199e-01	0.1285	0.015	1450.20	73.011	5.7959	44.675196
10.230	2.0743	28.5948	22.8391	2.5641e-01	0.1285	0.015	1450.20	73.046	5.7987	44.675196
10.226	2.0741	28.5951	22.8393	2.9304e-01	0.1285	0.015	1450.20	73.014	5.7962	44.675197
10.230	2.0741	28.5951	22.8393	2.9304e-01	0.1285	0.015	1450.20	73.043	5.7985	44.675197
10.230	2.0743	28.5953	22.8395	2.6862e-01	0.1285	0.015	1450.20	73.024	5.7969	44.675198
10.230	2.0741	28.5950	22.8392	2.4420e-01	0.1273	0.015	1450.20	73.067	5.8004	44.675198
10.237	2.0745	28.5947	22.8390	2.4420e-01	0.1273	0.015	1450.20	73.043	5.7984	44.675199
10.230	2.0743	28.5947	22.8390	2.4420e-01	0.1273	0.015	1450.20	73.017	5.7963	44.675199
10.243	2.0743	28.5948	22.8391	2.4420e-01	0.1273	0.015	1450.20	73.043	5.7984	44.675200
10.230	2.0743	28.5951	22.8394	2.4420e-01	0.1285	0.015	1450.20	73.076	5.8010	44.675200
10.237	2.0741	28.5956	22.8397	2.6862e-01	0.1273	0.015	1450.20	73.052	5.7991	44.675201
10.243	2.0743	28.5951	22.8393	2.9304e-01	0.1285	0.015	1450.20	73.090	5.8021	44.675201
10.230	2.0741	28.5953	22.8395	2.6862e-01	0.1285	0.018	1450.20	73.071	5.8007	44.675202
10.243	2.0741	28.5949	22.8392	2.5641e-01	0.1273	0.015	1450.20	73.115	5.8042	44.675202
10.248	2.0741	28.5950	22.8392	2.5641e-01	0.1285	0.015	1450.20	73.093	5.8024	44.675203
10.243	2.0743	28.5951	22.8394	2.4420e-01	0.1273	0.015	1450.20	73.069	5.8005	44.675203
10.255	2.0743	28.5952	22.8394	2.4420e-01	0.1273	0.015	1450.20	73.109	5.8036	44.675204
10.243	2.0741	28.5954	22.8396	2.4420e-01	0.1273	0.018	1450.20	73.082	5.8015	44.675204
10.213	2.0745	28.5951	22.8393	2.6862e-01	0.1285	0.015	1450.20	73.118	5.8044	44.675204
10.279	2.0743	28.5952	22.8394	2.5641e-01	0.1273	0.015	1450.20	73.154	5.8072	44.675205
10.268	2.0741	28.5955	22.8397	2.5641e-01	0.1273	0.018	1450.20	73.143	5.8063	44.675205
10.230	2.0741	28.5954	22.8396	2.5641e-01	0.1273	0.015	1450.20	73.120	5.8045	44.675206
10.268	2.0743	28.5956	22.8397	2.5641e-01	0.1285	0.015	1450.20	73.097	5.8027	44.675206
10.248	2.0741	28.5960	22.8400	2.5641e-01	0.1285	0.015	1450.20	73.128	5.8052	44.675207
10.268	2.0743	28.5956	22.8397	2.5641e-01	0.1285	0.015	1450.20	73.104	5.8032	44.675207
10.255	2.0741	28.5959	22.8400	2.4420e-01	0.1273	0.018	1450.20	73.143	5.8064	44.675208
10.255	2.0743	28.5956	22.8397	2.4420e-01	0.1285	0.015	1450.20	73.117	5.8043	44.675208
10.261	2.0741	28.5957	22.8398	2.4420e-01	0.1273	0.015	1450.20	73.156	5.8074	44.675209
10.268	2.0738	28.5960	22.8401	2.5641e-01	0.1285	0.015	1450.20	73.139	5.8061	44.675209
10.268	2.0741	28.5961	22.8401	2.5641e-01	0.1273	0.015	1450.20	73.122	5.8046	44.675210
10.255	2.0740	28.5962	22.8402	2.4420e-01	0.1273	0.015	1450.20	73.159	5.8077	44.675210
10.273	2.0740	28.5961	22.8402	2.4420e-01	0.1285	0.015	1450.20	73.133	5.8055	44.675211
10.268	2.0741	28.5962	22.8402	2.5641e-01	0.1285	0.015	1450.20	73.106	5.8034	44.675211
10.268	2.0740	28.5964	22.8404	2.6862e-01	0.1273	0.015	1450.20	73.143	5.8064	44.675212
10.268	2.0740	28.5966	22.8406	2.6862e-01	0.1273	0.015	1450.20	73.117	5.8043	44.675212
10.273	2.0738	28.5968	22.8408	2.5641e-01	0.1273	0.015	1450.20	73.091	5.8022	44.675213
10.268	2.0740	28.5967	22.8406	2.4420e-01	0.1273	0.015	1450.20	73.130	5.8053	44.675213
10.279	2.0741	28.5965	22.8405	2.4420e-01	0.1273	0.018	1450.20	73.105	5.8033	44.675214
10.279	2.0743	28.5959	22.8400	2.4420e-01	0.1285	0.015	1450.20	73.145	5.8065	44.675214
10.268	2.0741	28.5964	22.8403	2.5641e-01	0.1273	0.015	1450.20	73.121	5.8046	44.675215
10.284	2.0741	28.5961	22.8401	2.6862e-01	0.1285	0.015	1450.20	73.098	5.8028	44.675215
10.268	2.0741	28.5962	22.8402	2.5641e-01	0.1273	0.015	1450.20	73.141	5.8061	44.675216
10.279	2.0738	28.5966	22.8405	2.5641e-01	0.1285	0.015	1450.20	73.120	5.8045	44.675216
10.279	2.0741	28.5963	22.8403	2.5641e-01	0.1273	0.015	1450.20	73.100	5.8029	44.675217
10.284	2.0738	28.5966	22.8405	2.4420e-01	0.1273	0.011	1450.20	73.136	5.8058	44.675217
10.268	2.0740	28.5962	22.8402	2.3199e-01	0.1273	0.011	1450.20	73.119	5.8044	44.675217
10.303	2.0740	28.5961	22.8401	2.1978e-01	0.1261	0.011	1450.20	73.093	5.8024	44.675218
