DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.119	1.8589	20.3808	16.2832	5.7387e-01	0.1273	0.011	1438.33	76.518	6.4629	44.670822
0.132	1.8581	20.3870	16.2882	5.8608e-01	0.1273	0.007	1438.34	76.519	6.4628	44.670822
0.117	1.8575	20.3931	16.2930	5.8608e-01	0.1285	0.007	1438.34	76.454	6.4572	44.670823
0.119	1.8586	20.3978	16.2968	5.9829e-01	0.1273	0.007	1438.36	76.445	6.4560	44.670823
0.108	1.8601	20.4004	16.2988	5.8608e-01	0.1273	0.007	1438.37	76.436	6.4548	44.670824
0.119	1.8617	20.4008	16.2991	5.7387e-01	0.1273	0.007	1438.37	76.363	6.4484	44.670824
0.117	1.8631	20.4035	16.3012	5.6166e-01	0.1273	0.011	1438.38	76.345	6.4465	44.670825
0.108	1.8640	20.4052	16.3025	5.7387e-01	0.1273	0.007	1438.39	76.328	6.4449	44.670825
0.108	1.8650	20.4047	16.3021	5.7387e-01	0.1273	0.007	1438.39	76.248	6.4380	44.670826
0.108	1.8654	20.4038	16.3013	5.8608e-01	0.1285	0.007	1438.39	76.224	6.4359	44.670826
0.117	1.8659	20.4047	16.3021	5.8608e-01	0.1273	0.011	1438.40	76.201	6.4339	44.670827
0.108	1.8662	20.4044	16.3018	5.7387e-01	0.1273	0.007	1438.40	76.115	6.4266	44.670827
0.132	1.8666	20.4010	16.2991	5.8608e-01	0.1273	0.007	1438.40	76.086	6.4242	44.670828
0.082	1.8659	20.3994	16.2978	5.9829e-01	0.1273	0.007	1438.39	76.058	6.4220	44.670828
0.155	1.8654	20.3985	16.2971	6.1050e-01	0.1273	0.007	1438.39	76.032	6.4200	44.670829
0.119	1.8647	20.3962	16.2952	5.9829e-01	0.1273	0.007	1438.38	75.943	6.4126	44.670829
0.143	1.8643	20.3931	16.2928	5.8608e-01	0.1285	0.007	1438.38	75.911	6.4101	44.670829
0.130	1.8642	20.3914	16.2914	5.8608e-01	0.1273	0.007	1438.37	75.816	6.4022	44.670830
0.143	1.8640	20.3895	16.2900	5.8608e-01	0.1273	0.007	1438.37	75.843	6.4046	44.670830
0.132	1.8644	20.3864	16.2875	5.8608e-01	0.1285	0.007	1438.37	75.752	6.3970	44.670831
