DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0,000	12,5361	24,7947	18,5852	8,5076e-01	0,1293	0,011	1486,53	65,257	5,9499	164,665111	4,1634	-0,000
1,000	12,4886	24,0868	18,0466	1,0545e+00	0,1295	0,012	1485,55	63,897	5,8577	164,665183	4,0989	1,010
2,000	12,1734	25,1502	18,9234	1,2022e+00	0,1299	0,013	1485,72	66,043	6,0546	164,665202	4,2366	2,019
3,000	11,9947	26,2986	19,8428	7,4762e-01	0,1301	0,015	1486,48	69,844	6,3814	164,665222	4,4654	3,029
4,000	11,7887	26,8614	20,3142	4,9978e-01	0,1302	0,015	1486,44	72,418	6,6222	164,665242	4,6339	4,038
5,000	11,7773	26,9662	20,3974	5,2878e-01	0,1302	0,016	1486,55	72,646	6,6403	164,665260	4,6465	5,047
6,000	11,6394	27,0014	20,4483	5,1194e-01	0,1304	0,016	1486,12	72,341	6,6305	164,665279	4,6397	6,057
7,000	11,4722	27,0459	20,5113	5,1400e-01	0,1302	0,016	1485,60	71,560	6,5808	164,665298	4,6048	7,067
8,000	11,3868	27,1092	20,5748	4,5881e-01	0,1302	0,016	1485,39	70,879	6,5275	164,665317	4,5676	8,076
9,000	10,9627	27,2838	20,7810	3,7496e-01	0,1302	0,016	1484,10	70,497	6,5450	164,665335	4,5798	9,086
10,000	10,7240	27,4066	20,9155	3,5519e-01	0,1301	0,015	1483,41	70,098	6,5367	164,665354	4,5740	10,095
11,000	10,5617	27,5286	21,0365	3,3853e-01	0,1300	0,015	1482,98	69,573	6,5057	164,665374	4,5523	11,105
12,000	10,3124	27,8905	21,3579	2,9509e-01	0,1299	0,015	1482,53	68,822	6,4557	164,665392	4,5173	12,114
13,000	10,1017	28,0694	21,5305	2,9593e-01	0,1301	0,015	1482,00	68,808	6,4770	164,665411	4,5322	13,124
14,000	9,6543	28,3897	21,8495	2,8565e-01	0,1301	0,016	1480,76	68,882	6,5349	164,665431	4,5727	14,133
15,000	9,6154	28,7668	22,1496	2,6971e-01	0,1302	0,017	1481,09	69,400	6,5738	164,665450	4,6000	15,143
16,000	9,4371	28,9875	22,3490	2,6218e-01	0,1300	0,016	1480,72	69,418	6,5922	164,665470	4,6128	16,152
17,000	9,2286	29,2670	22,5986	2,6891e-01	0,1301	0,017	1480,30	69,733	6,6411	164,665488	4,6470	17,162
18,000	8,6941	29,8298	23,1178	2,6658e-01	0,1300	0,017	1479,01	70,364	6,7571	164,665508	4,7282	18,171
19,000	8,2011	30,4523	23,6761	2,4590e-01	0,1301	0,017	1477,92	70,371	6,8058	164,665527	4,7623	19,181
20,000	8,0540	30,7288	23,9138	2,2996e-01	0,1301	0,016	1477,72	68,985	6,6820	164,665546	4,6756	20,191
21,000	7,9541	31,0840	24,2064	2,0986e-01	0,1299	0,015	1477,80	68,037	6,5899	164,665567	4,6112	21,200
22,000	7,9662	31,2134	24,3062	2,1070e-01	0,1300	0,016	1478,02	67,953	6,5744	164,665584	4,6004	22,210
23,000	8,0379	31,3650	24,4149	2,0914e-01	0,1297	0,015	1478,50	67,681	6,5309	164,665606	4,5699	23,220
24,000	8,0064	31,4586	24,4929	2,0331e-01	0,1297	0,015	1478,51	67,909	6,5536	164,665626	4,5858	24,229
25,000	7,9439	31,5337	24,5607	2,0279e-01	0,1299	0,016	1478,38	68,179	6,5858	164,665646	4,6083	25,239
26,000	7,9809	31,5447	24,5640	2,0103e-01	0,1299	0,017	1478,55	68,471	6,6080	164,665665	4,6239	26,248
27,000	7,8819	31,5749	24,6018	2,0219e-01	0,1299	0,017	1478,23	68,316	6,6066	164,665686	4,6229	27,258
28,000	7,8365	31,6082	24,6343	1,9671e-01	0,1300	0,017	1478,11	68,524	6,6320	164,665705	4,6407	28,268
29,000	7,7476	31,7139	24,7297	1,9985e-01	0,1299	0,017	1477,92	68,500	6,6386	164,665725	4,6453	29,277
30,000	7,7615	31,7324	24,7423	2,0871e-01	0,1298	0,018	1478,01	67,916	6,5791	164,665827	4,6037	30,287
31,000	7,6051	31,8254	24,8371	1,9688e-01	0,1298	0,018	1477,54	67,940	6,6008	164,665871	4,6189	31,296
32,000	7,5712	31,8578	24,8673	2,0325e-01	0,1297	0,018	1477,47	66,866	6,5002	164,665944	4,5485	32,306
