DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.150	4.0123	17.4697	13.8700	5.8608e-01	0.1285	0.015	1444.21	65.878	5.3704	44.723727
0.150	4.0125	17.4696	13.8698	5.8608e-01	0.1285	0.015	1444.21	65.878	5.3704	44.723727
0.184	4.0129	17.4679	13.8685	5.7387e-01	0.1285	0.015	1444.21	65.879	5.3704	44.723728
0.162	4.0125	17.4667	13.8675	5.6166e-01	0.1285	0.015	1444.20	65.878	5.3705	44.723728
0.175	4.0116	17.4665	13.8675	5.4945e-01	0.1285	0.015	1444.20	65.816	5.3655	44.723729
0.162	4.0106	17.4657	13.8668	5.6166e-01	0.1285	0.015	1444.19	65.807	5.3650	44.723729
0.184	4.0097	17.4618	13.8638	5.6166e-01	0.1285	0.015	1444.18	65.926	5.3749	44.723730
0.186	4.0089	17.4580	13.8609	5.6166e-01	0.1285	0.015	1444.18	65.809	5.3656	44.723730
0.175	4.0084	17.4575	13.8605	5.6166e-01	0.1285	0.011	1444.17	65.864	5.3702	44.723731
0.197	4.0083	17.4588	13.8615	5.6166e-01	0.1285	0.015	1444.17	65.865	5.3702	44.723731
0.184	4.0083	17.4597	13.8623	5.6166e-01	0.1285	0.015	1444.18	65.802	5.3651	44.723732
0.197	4.0083	17.4606	13.8629	5.4945e-01	0.1273	0.015	1444.18	65.858	5.3696	44.723732
0.186	4.0084	17.4626	13.8645	5.8608e-01	0.1285	0.015	1444.18	65.859	5.3696	44.723733
0.197	4.0089	17.4644	13.8659	6.1050e-01	0.1298	0.015	1444.18	65.797	5.3644	44.723733
0.197	4.0091	17.4646	13.8661	6.2271e-01	0.1285	0.015	1444.19	65.853	5.3689	44.723734
0.197	4.0094	17.4636	13.8653	6.2271e-01	0.1285	0.015	1444.19	65.854	5.3691	44.723734
0.197	4.0091	17.4631	13.8648	6.1050e-01	0.1285	0.015	1444.18	65.793	5.3641	44.723735
0.210	4.0086	17.4603	13.8627	5.9829e-01	0.1285	0.015	1444.18	65.849	5.3689	44.723735
0.197	4.0091	17.4562	13.8594	5.8608e-01	0.1298	0.015	1444.17	65.851	5.3691	44.723736
0.197	4.0113	17.4619	13.8638	5.7387e-01	0.1285	0.015	1444.19	65.789	5.3635	44.723736
0.210	4.0136	17.4751	13.8741	5.7387e-01	0.1285	0.015	1444.22	65.846	5.3673	44.723736
0.197	4.0158	17.4861	13.8827	5.6166e-01	0.1285	0.015	1444.24	65.847	5.3668	44.723737
0.197	4.0167	17.4926	13.8878	5.8608e-01	0.1285	0.015	1444.25	65.786	5.3615	44.723737
0.197	4.0163	17.4944	13.8893	6.2271e-01	0.1285	0.015	1444.25	65.780	5.3610	44.723738
0.197	4.0142	17.4898	13.8858	6.5934e-01	0.1285	0.015	1444.24	65.838	5.3661	44.723738
0.186	4.0123	17.4808	13.8787	6.4713e-01	0.1285	0.015	1444.22	65.778	5.3618	44.723739
