DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.201	13.4125	23.5230	17.4470	1.8071e+00	0.1298	0.015	1488.05	76.031	6.8593	163.455058	4.7997	0.203
0.214	13.4125	23.5234	17.4473	1.8071e+00	0.1310	0.015	1488.05	75.972	6.8539	163.455058	4.7959	0.216
0.237	13.4127	23.5232	17.4472	1.7705e+00	0.1310	0.015	1488.05	76.026	6.8588	163.455059	4.7994	0.239
0.250	13.4128	23.5234	17.4473	1.7460e+00	0.1310	0.015	1488.06	76.027	6.8588	163.455059	4.7994	0.252
0.274	13.4126	23.5235	17.4474	1.7338e+00	0.1310	0.015	1488.05	76.027	6.8589	163.455060	4.7994	0.276
0.274	13.4125	23.5228	17.4468	1.7338e+00	0.1298	0.015	1488.05	76.027	6.8589	163.455060	4.7995	0.276
0.296	13.4128	23.5214	17.4457	1.7460e+00	0.1310	0.015	1488.05	76.028	6.8590	163.455061	4.7995	0.299
0.321	13.4130	23.5205	17.4450	1.7582e+00	0.1310	0.015	1488.05	76.028	6.8590	163.455061	4.7995	0.324
0.334	13.4130	23.5203	17.4448	1.7949e+00	0.1310	0.015	1488.05	76.029	6.8591	163.455062	4.7996	0.337
0.334	13.4127	23.5208	17.4453	1.8193e+00	0.1298	0.015	1488.05	76.029	6.8591	163.455062	4.7996	0.337
0.332	13.4129	23.5203	17.4448	1.8437e+00	0.1310	0.015	1488.05	76.029	6.8591	163.455063	4.7996	0.335
0.345	13.4128	23.5204	17.4450	1.8437e+00	0.1310	0.015	1488.05	76.029	6.8592	163.455063	4.7996	0.348
0.345	13.4127	23.5210	17.4455	1.8559e+00	0.1310	0.015	1488.05	76.030	6.8592	163.455064	4.7997	0.348
0.334	13.4125	23.5207	17.4452	1.8803e+00	0.1310	0.015	1488.05	76.030	6.8592	163.455064	4.7997	0.337
0.332	13.4123	23.5192	17.4441	1.8926e+00	0.1298	0.015	1488.05	76.030	6.8593	163.455065	4.7998	0.335
0.334	13.4122	23.5184	17.4435	1.8559e+00	0.1298	0.015	1488.05	76.030	6.8594	163.455065	4.7998	0.337
0.321	13.4120	23.5179	17.4431	1.8071e+00	0.1298	0.015	1488.05	76.030	6.8595	163.455066	4.7999	0.324
0.296	13.4120	23.5173	17.4427	1.7949e+00	0.1298	0.015	1488.05	76.030	6.8595	163.455066	4.7999	0.299
0.296	13.4117	23.5167	17.4423	1.7827e+00	0.1310	0.015	1488.04	76.031	6.8596	163.455067	4.7999	0.299
0.283	13.4120	23.5159	17.4416	1.7705e+00	0.1310	0.015	1488.04	76.031	6.8596	163.455067	4.7999	0.286
