DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0.289	15.1232	16.0629	11.4033	1.8193e+00	0.1298	0.011	1485.14	73.275	6.6794	162.663785	4.6739	0.292
0.302	15.1220	16.0644	11.4047	1.7949e+00	0.1298	0.015	1485.14	73.275	6.6795	162.663785	4.6739	0.305
0.280	15.1215	16.0665	11.4064	1.8193e+00	0.1285	0.011	1485.14	73.275	6.6795	162.663786	4.6739	0.282
0.280	15.1228	16.0608	11.4018	1.8437e+00	0.1285	0.011	1485.13	73.275	6.6795	162.663786	4.6739	0.282
0.302	15.1242	16.0662	11.4056	1.8803e+00	0.1310	0.011	1485.14	73.275	6.6792	162.663787	4.6737	0.305
0.267	15.1250	16.0697	11.4082	1.8803e+00	0.1298	0.007	1485.15	73.275	6.6789	162.663787	4.6735	0.269
0.280	15.1260	16.0646	11.4041	1.8437e+00	0.1298	0.011	1485.15	73.275	6.6790	162.663788	4.6735	0.282
0.255	15.1267	16.0694	11.4076	1.8071e+00	0.1298	0.015	1485.16	73.334	6.6840	162.663788	4.6771	0.258
0.265	15.1268	16.0702	11.4082	1.7827e+00	0.1285	0.011	1485.16	73.339	6.6844	162.663789	4.6774	0.268
0.231	15.1274	16.0655	11.4045	1.7949e+00	0.1298	0.011	1485.15	73.402	6.6904	162.663789	4.6815	0.233
0.231	15.1277	16.0701	11.4080	1.8193e+00	0.1285	0.011	1485.16	73.412	6.6910	162.663790	4.6819	0.233
0.244	15.1279	16.0698	11.4077	1.8437e+00	0.1298	0.011	1485.16	73.421	6.6918	162.663790	4.6825	0.246
0.207	15.1284	16.0692	11.4072	1.8437e+00	0.1298	0.011	1485.16	73.429	6.6925	162.663791	4.6830	0.209
0.220	15.1285	16.0783	11.4141	1.8193e+00	0.1285	0.011	1485.17	73.496	6.6982	162.663791	4.6870	0.222
0.207	15.1292	16.0823	11.4170	1.7827e+00	0.1298	0.007	1485.18	73.568	6.7045	162.663791	4.6914	0.209
0.196	15.1300	16.0853	11.4192	1.7582e+00	0.1298	0.011	1485.18	73.585	6.7058	162.663792	4.6923	0.197
0.158	15.1295	16.0934	11.4255	1.7582e+00	0.1298	0.011	1485.19	73.719	6.7177	162.663792	4.7007	0.160
0.184	15.1297	16.0953	11.4269	1.7460e+00	0.1298	0.011	1485.19	73.744	6.7199	162.663793	4.7022	0.186
0.160	15.1297	16.0984	11.4293	1.7705e+00	0.1298	0.011	1485.20	73.826	6.7273	162.663793	4.7074	0.162
0.149	15.1295	16.1014	11.4316	1.8559e+00	0.1298	0.011	1485.20	73.912	6.7351	162.663794	4.7128	0.150
0.134	15.1297	16.0988	11.4296	1.9780e+00	0.1310	0.011	1485.20	74.002	6.7433	162.663794	4.7186	0.135
0.124	15.1299	16.1009	11.4311	2.0635e+00	0.1298	0.015	1485.20	74.095	6.7517	162.663795	4.7244	0.126
0.111	15.1299	16.1045	11.4339	2.0879e+00	0.1298	0.011	1485.20	74.132	6.7549	162.663795	4.7267	0.113
0.100	15.1299	16.1022	11.4322	2.0269e+00	0.1298	0.007	1485.20	74.285	6.7689	162.663796	4.7365	0.101
0.099	15.1299	16.1061	11.4352	1.9292e+00	0.1298	0.011	1485.21	74.386	6.7780	162.663796	4.7428	0.099
0.065	15.1300	16.1111	11.4389	1.8559e+00	0.1298	0.011	1485.21	74.490	6.7872	162.663797	4.7493	0.065
0.076	15.1307	16.1106	11.4384	1.8071e+00	0.1298	0.011	1485.21	74.596	6.7968	162.663797	4.7560	0.077
0.063	15.1320	16.1137	11.4405	1.8071e+00	0.1298	0.015	1485.22	74.703	6.8063	162.663798	4.7626	0.064
0.053	15.1329	16.1165	11.4426	1.7827e+00	0.1298	0.011	1485.23	74.813	6.8160	162.663798	4.7694	0.054
0.053	15.1337	16.1145	11.4409	1.7582e+00	0.1285	0.007	1485.23	74.924	6.8261	162.663799	4.7765	0.054
0.040	15.1349	16.1178	11.4432	1.7582e+00	0.1298	0.011	1485.24	75.036	6.8360	162.663799	4.7834	0.041
0.052	15.1367	16.1180	11.4430	1.7827e+00	0.1298	0.007	1485.24	75.150	6.8461	162.663800	4.7905	0.052
0.040	15.1387	16.1152	11.4405	1.7949e+00	0.1298	0.011	1485.25	75.264	6.8563	162.663800	4.7976	0.041
