DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
0.240	2.5940	29.0153	23.1406	2.8083e-01	0.1285	0.015	1452.88	74.709	5.8363	42.579375
0.240	2.5940	29.0151	23.1404	2.8083e-01	0.1285	0.015	1452.87	74.709	5.8363	42.579375
0.240	2.5940	29.0145	23.1400	2.6862e-01	0.1285	0.015	1452.87	74.709	5.8363	42.579376
0.227	2.5938	29.0149	23.1404	2.6862e-01	0.1285	0.015	1452.87	74.709	5.8363	42.579376
0.217	2.5942	29.0150	23.1404	2.6862e-01	0.1285	0.015	1452.88	74.773	5.8413	42.579377
0.217	2.5943	29.0146	23.1400	2.6862e-01	0.1298	0.018	1452.88	74.718	5.8369	42.579377
0.217	2.5942	29.0143	23.1398	2.5641e-01	0.1273	0.015	1452.87	74.718	5.8369	42.579378
0.215	2.5943	29.0147	23.1401	2.6862e-01	0.1298	0.018	1452.88	74.717	5.8369	42.579378
0.204	2.5940	29.0150	23.1404	2.8083e-01	0.1285	0.015	1452.87	74.781	5.8419	42.579379
0.204	2.5944	29.0139	23.1395	2.9304e-01	0.1285	0.015	1452.87	74.789	5.8425	42.579379
0.193	2.5946	29.0144	23.1399	2.9304e-01	0.1285	0.015	1452.88	74.733	5.8381	42.579380
0.191	2.5943	29.0150	23.1403	2.9304e-01	0.1285	0.015	1452.88	74.732	5.8380	42.579380
0.193	2.5948	29.0143	23.1398	2.8083e-01	0.1285	0.018	1452.88	74.731	5.8379	42.579381
0.180	2.5944	29.0144	23.1398	2.9304e-01	0.1273	0.015	1452.87	74.793	5.8428	42.579381
0.180	2.5946	29.0145	23.1400	2.9304e-01	0.1285	0.018	1452.88	74.801	5.8434	42.579382
0.180	2.5944	29.0148	23.1402	2.9304e-01	0.1285	0.015	1452.88	74.745	5.8390	42.579382
0.168	2.5946	29.0143	23.1398	3.0525e-01	0.1285	0.018	1452.88	74.806	5.8438	42.579383
0.180	2.5944	29.0143	23.1398	3.1746e-01	0.1298	0.015	1452.87	74.750	5.8394	42.579383
0.168	2.5946	29.0143	23.1398	3.4188e-01	0.1273	0.015	1452.88	74.811	5.8442	42.579384
