DepSM	T090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0Mg/L	TimeJ	Sbeox0ML/L	PrDM
0,000	14,3959	20,5744	14,9977	3,5589e+00	0,1304	0,013	1487,93	82,235	7,4021	162,736122	5,1796	0,000
1,000	14,1193	20,9464	15,3347	3,8062e+00	0,1305	0,014	1487,45	82,674	7,4674	162,736182	5,2253	1,009
2,000	13,9508	21,2389	15,5906	3,4227e+00	0,1304	0,014	1487,24	83,302	7,5370	162,736215	5,2740	2,019
3,000	13,9329	21,3161	15,6532	2,6742e+00	0,1306	0,015	1487,28	82,353	7,4504	162,736239	5,2134	3,028
4,000	13,8805	21,4010	15,7281	2,0762e+00	0,1306	0,015	1487,22	81,704	7,3959	162,736257	5,1752	4,038
5,000	13,7029	21,6599	15,9597	1,8406e+00	0,1303	0,015	1486,94	81,232	7,3688	162,736276	5,1562	5,048
6,000	13,5230	21,9039	16,1801	1,7981e+00	0,1304	0,015	1486,63	80,249	7,2961	162,736297	5,1054	6,057
7,000	13,4284	22,0280	16,2926	1,8976e+00	0,1305	0,015	1486,47	79,557	7,2420	162,736318	5,0675	7,066
8,000	13,4015	22,1014	16,3539	1,6013e+00	0,1305	0,015	1486,48	79,284	7,2180	162,736337	5,0507	8,076
9,000	13,3826	22,1729	16,4124	1,4553e+00	0,1305	0,015	1486,51	79,124	7,2030	162,736357	5,0402	9,086
10,000	13,1927	22,5288	16,7206	1,0701e+00	0,1305	0,016	1486,29	78,764	7,1832	162,736375	5,0264	10,095
11,000	12,3733	24,1786	18,1374	7,8876e-01	0,1305	0,016	1485,42	78,771	7,2349	162,736395	5,0626	11,105
12,000	11,8527	24,9696	18,8383	6,3099e-01	0,1304	0,016	1484,55	78,517	7,2562	162,736414	5,0775	12,114
13,000	11,5784	25,5272	19,3163	6,6683e-01	0,1303	0,016	1484,26	76,697	7,1049	162,736432	4,9716	13,124
14,000	11,3041	26,0630	19,7773	5,6594e-01	0,1302	0,015	1483,94	74,701	6,9376	162,736451	4,8545	14,133
15,000	11,0301	26,6400	20,2702	4,9725e-01	0,1300	0,015	1483,67	73,621	6,8529	162,736470	4,7953	15,143
16,000	11,3825	27,2889	20,7143	5,8107e-01	0,1300	0,015	1485,71	72,917	6,7087	162,736489	4,6943	16,152
17,000	11,7054	28,1488	21,3263	6,1633e-01	0,1299	0,015	1487,90	72,377	6,5767	162,736509	4,6020	17,162
18,000	11,6988	28,3971	21,5200	6,0299e-01	0,1302	0,016	1488,19	72,259	6,5566	162,736529	4,5879	18,172
19,000	11,5254	28,5632	21,6790	5,4157e-01	0,1302	0,017	1487,80	73,348	6,6731	162,736549	4,6695	19,181
20,000	11,4853	28,7188	21,8066	5,2728e-01	0,1302	0,017	1487,86	74,269	6,7561	162,736570	4,7275	20,191
21,000	11,6051	28,8767	21,9082	4,9962e-01	0,1302	0,017	1488,49	74,349	6,7393	162,736591	4,7158	21,200
22,000	11,5779	28,9506	21,9703	4,5085e-01	0,1303	0,017	1488,50	74,574	6,7605	162,736611	4,7306	22,210
23,000	11,4281	28,9734	22,0141	3,9919e-01	0,1301	0,018	1488,01	74,906	6,8114	162,736631	4,7662	23,220
24,000	11,3395	28,9939	22,0453	3,5444e-01	0,1301	0,018	1487,74	74,787	6,8127	162,736651	4,7671	24,229
25,000	11,3189	29,0077	22,0596	3,3892e-01	0,1301	0,018	1487,70	74,183	6,7600	162,736671	4,7303	25,239
26,000	11,2871	29,0301	22,0824	3,4401e-01	0,1304	0,018	1487,63	73,565	6,7074	162,736691	4,6934	26,248
27,000	11,1733	29,0829	22,1429	3,2806e-01	0,1302	0,018	1487,31	73,279	6,6954	162,736712	4,6851	27,258
28,000	11,0389	29,1738	22,2364	3,0002e-01	0,1303	0,018	1486,96	73,227	6,7062	162,736732	4,6926	28,267
29,000	11,1133	29,2393	22,2746	3,0108e-01	0,1302	0,018	1487,32	73,278	6,6974	162,736753	4,6864	29,277
30,000	11,1210	29,2919	22,3142	2,8906e-01	0,1302	0,018	1487,42	73,576	6,7212	162,736774	4,7031	30,287
31,000	11,0219	29,3956	22,4116	2,7450e-01	0,1303	0,018	1487,21	74,204	6,7886	162,736795	4,7502	31,296
32,000	11,0752	29,5807	22,5464	2,7900e-01	0,1301	0,018	1487,64	74,054	6,7592	162,736815	4,7297	32,306
33,000	10,9232	29,7259	22,6850	2,6835e-01	0,1303	0,018	1487,29	73,963	6,7669	162,736836	4,7351	33,316
34,000	10,3546	29,9853	22,9817	2,4805e-01	0,1301	0,018	1485,58	74,304	6,8711	162,736856	4,8080	34,325
35,000	9,9374	30,2974	23,2926	2,3049e-01	0,1300	0,018	1484,46	73,724	6,8662	162,736876	4,8045	35,335
36,000	9,6287	30,4789	23,4829	2,2819e-01	0,1303	0,018	1483,57	72,952	6,8329	162,736897	4,7812	36,345
37,000	8,9499	30,6067	23,6876	2,1211e-01	0,1300	0,018	1481,23	73,351	6,9686	162,736918	4,8762	37,354
38,000	8,6491	30,7820	23,8696	2,0846e-01	0,1300	0,018	1480,34	72,450	6,9216	162,736938	4,8433	38,364
39,000	8,5110	30,8478	23,9414	2,0473e-01	0,1300	0,018	1479,92	71,484	6,8476	162,736960	4,7915	39,374
40,000	8,4105	30,9410	24,0290	1,9944e-01	0,1298	0,018	1479,67	70,689	6,7827	162,736980	4,7461	40,383
41,000	8,2963	31,0517	24,1323	2,0132e-01	0,1300	0,018	1479,39	70,768	6,8028	162,736999	4,7602	41,393
42,000	8,2996	31,0988	24,1688	1,9760e-01	0,1299	0,018	1479,48	70,482	6,7728	162,737020	4,7392	42,403
43,000	8,2780	31,1956	24,2477	1,9536e-01	0,1298	0,018	1479,53	70,313	6,7556	162,737040	4,7272	43,412
44,000	8,1451	31,5579	24,5509	1,9476e-01	0,1297	0,018	1479,49	70,311	6,7598	162,737059	4,7301	44,422
45,000	7,9032	31,8220	24,7927	1,9125e-01	0,1298	0,018	1478,91	69,945	6,7500	162,737080	4,7232	45,432
46,000	8,0383	32,0367	24,9419	1,9183e-01	0,1298	0,018	1479,71	69,250	6,6531	162,737100	4,6554	46,442
47,000	8,0092	32,1329	25,0215	1,9025e-01	0,1297	0,018	1479,73	68,868	6,6166	162,737120	4,6299	47,451
48,000	7,9312	32,2264	25,1061	1,8772e-01	0,1298	0,018	1479,57	69,332	6,6689	162,737141	4,6665	48,461
49,000	7,8450	32,4683	25,3083	1,8712e-01	0,1296	0,018	1479,56	69,601	6,6973	162,737161	4,6864	49,471
50,000	7,7746	32,5510	25,3833	1,8772e-01	0,1295	0,018	1479,41	69,633	6,7075	162,737180	4,6935	50,480
51,000	7,6967	32,6270	25,4540	1,8506e-01	0,1297	0,018	1479,22	69,745	6,7268	162,737201	4,7070	51,490
52,000	7,5382	32,7551	25,5770	1,8315e-01	0,1294	0,018	1478,79	69,657	6,7369	162,737221	4,7141	52,500
53,000	7,5304	32,7651	25,5859	1,8169e-01	0,1294	0,018	1478,79	69,208	6,6942	162,737240	4,6842	53,510
54,000	7,5101	32,7923	25,6101	1,8288e-01	0,1294	0,018	1478,76	68,598	6,6371	162,737261	4,6442	54,520
55,000	7,4249	32,8433	25,6621	1,7585e-01	0,1292	0,018	1478,51	68,140	6,6034	162,737282	4,6207	55,529
56,000	7,3632	32,8712	25,6926	1,7248e-01	0,1293	0,018	1478,33	68,056	6,6034	162,737301	4,6206	56,539
57,000	7,3180	32,9357	25,7496	1,7679e-01	0,1292	0,018	1478,25	67,666	6,5695	162,737322	4,5970	57,549
58,000	7,2254	33,2036	25,9731	1,7487e-01	0,1292	0,018	1478,24	67,080	6,5150	162,737343	4,5588	58,559
59,000	7,0973	33,3601	26,1138	1,6652e-01	0,1291	0,018	1477,96	66,599	6,4807	162,737362	4,5348	59,568
60,000	7,0655	33,4194	26,1648	1,6687e-01	0,1290	0,018	1477,93	66,584	6,4814	162,737382	4,5353	60,578
